科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"2,009,439,273.00","1,518,274,105.92","2,243,826,071.77","5,384,662,920.46","5,450,076,360.89","5,853,787,399.76","3,837,333,589.48","4,063,216,822.01","3,383,688,172.34","3,338,818,805.90","2,449,387,926.03","3,165,963,845.35","2,640,001,371.18","2,953,053,559.38","3,551,804,423.19","5,110,407,326.69","4,024,819,919.42","4,460,027,854.58","4,744,660,417.66","4,486,918,096.81","3,257,057,412.33","4,278,584,908.77","4,092,165,719.53","5,900,112,991.21","5,003,766,258.77","5,953,356,914.45","5,519,875,818.38","4,709,031,660.24","4,671,723,182.69","5,241,225,013.17","5,432,270,506.67","4,943,539,312.56","3,985,263,217.27","4,472,338,321.83"
短期借款,,,"6,000,000.00","6,000,000.00","6,000,000.00","26,000,000.00","26,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,"4,199,691.11","2,014,690.72","4,440,685.22","4,274,204.17","3,701,506.59","4,104,560.02","4,260,971.76","4,100,714.54","3,908,182.29","3,272,406.66","3,089,064.10","3,177,905.75","3,215,696.77","3,041,989.36","3,376,140.87","3,707,866.85","3,722,815.36","4,158,435.31","3,799,458.99","3,396,858.57","3,493,744.20","3,887,784.75","4,535,352.88","5,914,222.56",,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"400,000.00","1,952,227.65",,,,,,,,"400,000.00",,,"500,000.00",,,"2,000,000.00","3,000,000.00",,,,"2,000,000.00","3,000,000.00","1,000,000.00",,,,,"1,431,948.05","1,431,948.05",,"500,000.00","700,000.00",,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,"40,000,000.00",,,,,,,,
应收账款,"262,371,813.33","558,122,578.02","597,109,173.37","623,602,263.62","757,661,592.65","447,609,445.83","446,395,821.61","491,739,004.99","488,768,405.39","468,639,228.07","542,463,444.70","546,347,126.44","584,665,780.24","690,854,738.11","558,017,911.18","468,778,919.13","783,943,425.63","696,778,085.61","663,855,718.25","549,510,885.80","837,885,571.73","849,890,247.97","792,163,149.41","675,661,743.67","746,966,300.02","675,165,751.88","1,017,005,130.91","1,046,591,925.36","963,669,176.91","1,038,520,793.34","952,214,357.59","850,081,832.10","973,677,426.35","923,527,650.69"
应付账款,"341,619,180.15","310,114,264.35","331,612,647.97","317,356,240.41","352,363,844.86","369,206,999.26","458,210,394.75","448,644,831.52","564,901,601.28","634,396,708.06","759,560,608.03","720,764,393.81","785,222,438.38","780,525,752.57","836,615,030.70","700,040,597.65","781,591,817.81","973,822,206.51","679,589,415.10","645,382,430.13","680,655,778.53","703,813,269.44","860,427,875.27","774,384,663.23","855,315,385.08","779,595,398.99","940,887,103.85","806,646,049.75","751,041,325.94","839,628,256.77","899,497,023.30","742,697,514.31","641,827,049.42","651,960,953.86"
预付款项,"84,916,823.10","102,623,675.34","93,714,770.94","98,402,956.75","105,067,769.97","140,367,952.34","167,875,044.05","206,937,618.68","256,503,648.91","240,484,481.00","209,037,252.08","195,425,128.87","195,041,265.19","206,315,059.02","138,063,080.18","188,058,107.53","168,377,313.89","181,078,085.26","122,533,940.28","186,143,496.69","182,696,686.34","154,867,691.12","131,952,469.88","153,185,263.57","176,615,587.65","252,820,506.22","196,683,251.92","195,119,409.33","250,995,771.01","219,609,076.34","146,446,916.53","214,715,794.06","164,313,104.21","159,648,126.17"
预收款项,"221,151,265.39","267,779,564.27","287,650,283.28","298,335,211.52","313,908,250.23","372,043,817.74","332,247,082.09","398,008,349.07","449,592,118.44","484,896,246.20","418,086,324.37","457,431,413.25","392,794,111.35","455,432,151.85","359,916,311.49","412,486,217.71","454,827,145.52","575,145,947.88","405,314,827.93","509,939,089.48","522,043,141.38","643,104,291.19","603,825,752.36","700,281,190.01","759,030,516.40","921,070,423.73","815,938,903.08","935,071,582.88","945,738,375.51","1,028,258,839.07","861,843,170.92","974,022,838.29","944,354,548.48","1,048,430,704.34"
