科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"78,463,873.70","141,588,942.49","238,885,441.27","59,867,835.20","128,036,256.20","182,994,844.15","271,009,706.87","35,177,487.50","92,385,137.50","151,233,677.50","224,173,696.33","29,758,899.75","80,801,566.75","139,996,122.50","209,317,306.50","37,147,464.00","97,204,539.50","153,655,743.92","232,172,006.17","40,027,637.00","86,960,075.75","140,628,007.25","227,137,758.50","32,237,175.27","84,485,485.80","143,994,809.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,429,448.24","3,775,684.24","8,448,835.62","1,226,615.09","5,532,444.39","5,532,444.39","8,873,717.55",,"1,577,146.49","2,245,999.84","2,912,906.91",,"1,427,362.98","2,343,516.22","3,349,121.54","883,231.85","873,231.85","1,892,026.96","2,785,615.45","680,393.92","998,763.84","2,260,581.93","2,680,801.09",,"1,439,250.53","2,443,914.06"
支付其他与投资活动有关的现金,,,,,,,"540,315,224.42",,,,"160,985,000.00",,,,"128,536,624.19","100,000,000.00","194,999,789.60","1,029,789.60",,"100,000,000.00",,,,,,
收到其他与经营活动有关的现金,"564,497.16","7,135,262.36","2,280,184.68","316,142.07","625,594.26","5,282,975.54","4,678,816.39","1,057,805.13","2,861,784.89","15,735,954.25","6,999,022.22","1,902,661.27","2,221,301.98","2,546,476.86","3,498,986.51","7,633,480.55","7,932,555.97","9,467,433.90","12,759,601.71","3,556,293.53","4,202,206.93","8,515,825.22","11,361,405.52","2,398,707.85","5,769,735.29","8,725,686.12"
投资活动现金流出小计,"48,053,695.89","303,685.83","1,212,901.04","30,170.91","132,510.57","260,668.77","540,957,742.28","63,816,110.78","65,118,396.73","65,179,579.64","237,671,818.40","2,371,608.72","3,879,946.14","6,240,331.62","157,340,540.99","119,564,745.22","466,326,868.41","446,832,802.47","535,102,060.17","106,109,311.62","116,855,824.55","197,393,535.68","306,720,432.09","111,199,827.31","259,517,402.89","445,673,871.06"
经营活动现金流入小计,"82,457,819.10","152,499,889.09","249,614,461.57","61,410,592.36","134,194,294.85","193,810,264.08","284,562,240.81","36,235,292.63","96,824,068.88","169,215,631.59","234,085,625.46","31,661,561.02","84,450,231.71","144,886,115.58","216,165,414.55","45,664,176.40","106,010,327.32","165,015,204.78","247,717,223.33","44,264,324.45","92,161,046.52","151,404,414.40","241,179,965.11","34,635,883.12","91,694,471.62","155,164,409.71"
投资活动产生的现金流量净额,"-28,419,031.45","47,710,582.66","-1,212,901.04","-30,170.91","-132,510.57","-260,668.77","-538,822,885.52","-63,816,110.78","-65,087,825.56","-65,179,579.64","57,787,658.96","61,539,100.32","65,107,762.90","300,283,957.59","283,992,851.63","-94,948,742.12","-248,049,821.87","28,481,352.48","-9,306,498.14","-106,109,311.62","-115,930,673.86","-195,926,700.06","-168,427,495.10","19,940,090.50","-27,353,087.82","-71,921,610.78"
购买商品、接受劳务支付的现金,"20,700,428.72","46,927,867.29","60,544,581.82","11,872,132.97","31,361,306.80","48,071,281.84","71,940,574.33","14,063,125.71","30,332,001.36","50,550,818.81","70,439,190.41","19,281,028.94","44,139,570.51","62,424,585.68","74,975,253.08","20,780,514.18","53,583,927.32","70,344,290.54","96,485,665.21","25,464,655.01","44,001,347.21","64,914,866.53","85,491,334.21","20,563,408.03","48,798,464.73","78,904,378.88"
吸收投资收到的现金,,,,,"596,360,000.00","596,360,000.00","596,360,000.00",,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"11,379,024.61","19,182,666.66","26,180,839.30","9,069,123.73","16,375,637.55","23,669,299.38","31,215,813.78","14,195,591.02","22,837,621.99","31,599,258.88","33,165,821.21","12,173,154.16","20,428,652.44","28,943,496.28","38,876,894.81","19,248,241.79","27,994,186.32","37,558,574.45","43,903,081.62","17,795,633.30","28,126,717.14","39,640,200.14","52,472,178.13","18,377,296.47","31,004,241.91","45,228,877.96"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
