科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"3,130,004.77","6,207,270.62","15,948,088.39","5,132,075.20","10,277,285.29","13,946,023.35","20,591,975.08","5,743,704.89","11,361,201.87","16,540,512.50","22,663,858.69","6,764,182.87","12,118,034.50","17,528,220.17","24,505,516.42","7,632,678.86","13,706,840.46","20,899,036.11","29,433,345.18","11,159,011.58","19,743,968.72","29,095,325.24","38,162,948.69","14,887,431.37","25,572,946.96","37,539,326.29","51,428,199.40","18,019,347.88","32,272,942.04","48,313,730.51","60,496,783.74","23,533,338.72","40,269,539.40","57,339,797.23","73,468,987.51","30,694,505.30","45,094,927.18","70,057,922.92","82,529,390.57","23,475,563.38","44,207,175.44","62,336,486.64"
取得借款收到的现金,,"14,000,000.00","50,000,000.00",,,,"500,000.00",,,,"13,593,361.40",,,,,,,,,,,,,,,,,,,"16,000,000.00","16,000,000.00",,,,,,,,,,,"30,000,000.00"
支付的各项税费,"5,530,259.36","7,986,026.56","18,489,648.86","5,707,723.79","8,255,339.66","13,845,978.31","17,670,393.64","3,172,303.41","6,589,368.22","8,927,035.69","13,815,577.51","5,790,177.97","11,125,657.24","16,257,220.31","20,863,492.13","5,376,016.28","10,310,048.70","14,985,539.70","22,682,761.91","4,269,017.57","9,820,958.56","14,967,427.92","26,648,842.66","7,273,885.97","15,241,101.29","25,024,084.07","40,402,010.66","11,099,003.07","21,418,542.05","31,029,965.51","43,061,918.05","10,013,440.77","21,451,024.24","32,434,890.64","41,852,631.21","23,301,789.59","31,673,045.97","37,316,886.20","28,601,334.14","5,744,047.87","14,165,985.16","25,149,024.47"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"137,430.49","13,593,361.40",,,,"10,111,027.77",,,,"7,549,011.30",,"1,221,000.00","1,221,000.00","2,048,162.45",,"108,658.80","183,651.30","1,123,542.46","34,732.50","68,625.00","71,775.00","107,475.46","1,577,513.59",,,,,,
支付其他与经营活动有关的现金,"6,526,716.42","12,260,760.74","14,456,542.83","9,229,953.22","14,030,455.02","20,330,836.05","20,743,831.37","6,239,512.61","17,406,224.79","31,201,058.86","24,836,222.81","12,215,805.95","24,752,389.15","38,284,668.84","34,077,481.78","16,039,861.34","43,753,319.79","80,106,229.86","90,402,875.29","14,964,823.97","31,306,217.87","50,518,776.48","79,090,851.64","39,502,788.59","53,863,559.86","70,952,533.69","88,680,416.07","36,050,180.62","47,299,062.16","82,928,784.43","78,190,824.17","21,456,322.09","50,303,515.66","90,414,269.32","77,049,083.87","21,719,267.77","88,332,431.76","113,700,145.93","138,129,292.80","30,412,708.01","70,996,828.70","103,957,519.75"
筹资活动现金流入小计,,"14,000,000.00","50,000,000.00",,"375,395,825.16","375,395,825.16","375,895,825.16",,,,"13,593,361.40",,,"137,430.49","13,593,361.40","500,000.00","500,000.00","500,000.00","10,611,027.77",,,,"8,049,011.30",,"1,221,000.00","1,221,000.00","11,074,362.45",,"1,608,658.80","16,183,651.30","23,799,245.21","3,344,001.37","3,498,238.83","3,501,388.83","27,482,788.24","4,704,507.24","8,706,631.22","8,201,872.42","10,262,475.46",,,"30,000,000.00"
经营活动现金流出小计,"36,642,078.20","65,496,708.00","139,819,726.02","55,926,570.55","102,591,982.30","159,063,841.87","204,991,389.22","43,114,158.41","87,264,585.10","133,663,111.60","174,631,438.50","53,259,187.44","113,664,392.38","170,904,113.37","215,446,935.10","49,404,656.29","110,341,210.47","195,537,993.82","265,220,198.68","66,970,362.84","138,096,089.26","214,726,658.26","315,627,447.18","111,282,091.02","191,790,123.14","278,768,314.18","377,280,583.74","136,202,384.37","244,793,738.53","377,455,801.84","456,892,582.37","123,202,630.71","224,769,225.64","363,886,861.89","457,796,722.90","181,395,215.77","327,554,015.45","437,745,289.41","526,479,508.33","96,910,681.67","218,759,261.60","341,507,077.23"
偿还债务支付的现金,,,"44,000,000.00","10,000,000.00","35,500,000.00","36,000,000.00","36,000,000.00","500,000.00","500,000.00","500,000.00","500,000.00",,"13,593,361.40",,"13,593,361.40",,,,,,,,,,,,,,,"236,800.00",,"288,000.00",,"16,000,000.00","16,000,000.00",,,,,,,
经营活动产生的现金流量净额,"-15,168,856.19","-14,437,934.09","34,741,872.97","-29,217,609.37","-46,416,027.37","-44,055,894.68","-14,779,912.92","-10,884,493.71","-21,041,827.21","-21,842,450.88","20,430,583.33","-14,976,638.54","-29,841,282.19","-45,133,179.36","-32,689,712.31","-11,911,591.35","-7,809,368.18","618,834.67","13,165,119.86","-19,290,429.26","-33,556,144.92","-48,237,094.92","-31,617,155.62","-15,568,294.71","-24,485,233.18","-6,327,001.81","36,637,466.21","-55,764,681.74","-67,253,517.13","-84,662,466.79","-11,820,486.83","-19,410,797.74","-23,523,216.94","-28,488,071.77","28,141,548.75","-100,314,250.85","-124,829,944.88","-133,667,705.67","-41,205,545.11","-17,188,270.71","-43,742,966.51","-58,144,433.57"
分配股利、利润或偿还利息支付的现金,"16,363,100.00","16,744,516.13","17,044,789.99","640,655.00","856,558.75","866,830.00","866,830.00","1,282.50","21,716,672.50","21,716,672.50","21,716,672.51",,"4,310,516.98","10,857,695.00","10,857,695.00",,"3,022,312.05","10,857,695.00","10,857,695.00",,"4,061,014.30","10,857,695.00","10,857,695.00",,"4,598,329.72","10,857,695.00","10,857,695.00",,"10,717,634.95","10,717,634.95","11,463,695.00",,"582,400.00","7,823,426.39","18,196,168.00",,,"4,415,421.94","4,415,421.94",,"935,937.86","2,384,324.00"
