科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"262,347,345.90","300,410,016.73","145,077,281.04","233,802,039.49","331,679,754.19","93,407,442.36","205,881,837.39","328,214,228.63","470,647,853.19","119,835,004.11","270,061,069.40","411,380,365.06","538,393,874.49","110,314,643.01","230,203,939.24","358,980,348.08","486,248,019.24","135,147,270.45","266,304,099.33","399,929,747.11","564,232,216.75","117,931,235.87","297,308,156.20","461,567,913.79","597,579,907.49","89,535,738.08","229,228,174.36","336,468,233.56","441,741,031.53","148,718,597.02","268,183,956.11","400,897,751.35","520,244,454.55","93,398,409.09","247,838,101.67","406,916,060.47","532,046,547.77","111,776,861.43","243,284,986.00"
二、营业利润,"35,351,968.27","34,035,106.74","20,734,247.23","33,833,067.30","43,162,282.38","8,019,911.30","20,626,955.01","30,240,408.74","36,641,577.44","2,611,863.56","9,596,962.66","15,528,043.61","13,899,787.86","2,319,732.32","11,030,521.78","20,973,846.29","26,772,004.17","6,938,081.62","16,262,460.31","27,223,715.92","32,867,631.64","2,832,895.25","8,241,544.65","13,731,215.29","9,899,860.46","-2,725,157.45","4,118,954.42","1,184,330.18","3,750,779.07","19,662,282.85","19,174,274.44","19,443,889.75","12,947,196.67","-3,635,259.34","2,069,957.62","7,996,361.67","732,331.44","-3,562,806.32","-268,234.21"
减:营业成本,"199,216,512.63","227,924,111.83","102,641,903.47","165,437,691.52","236,895,349.42","69,336,977.25","155,747,413.64","248,689,866.88","361,845,308.40","97,857,158.42","222,363,142.42","337,164,534.12","438,587,469.14","87,403,136.07","179,885,583.00","278,422,308.63","370,323,722.16","102,291,853.89","199,494,180.82","298,061,641.16","417,280,787.49","89,478,951.70","232,645,648.21","361,699,192.20","467,494,385.53","66,854,609.00","165,021,209.67","242,158,605.81","312,423,889.61","98,582,690.49","185,834,642.35","279,242,287.26","361,395,990.79","69,337,070.25","183,977,444.54","299,570,457.97","392,526,516.61","86,397,417.73","187,760,819.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"744,731.77","1,237,323.53","699,381.68","1,000,612.58","1,359,761.97","429,477.09","802,637.44","1,099,915.59","1,695,473.72","149,206.42","496,418.23","1,000,597.30","2,115,644.80","354,773.11","1,231,637.25","1,421,604.94","2,090,931.93","905,421.74","2,051,043.81","2,545,250.39","3,421,421.51","373,401.42","997,105.99","1,575,982.68","2,977,245.99","585,413.54","1,531,683.57","2,513,748.09","3,826,776.81","843,217.93","1,422,235.03","2,138,122.27","6,703,831.14","1,548,122.53","3,429,222.33","5,441,085.30","8,194,267.36","1,129,639.03","3,028,101.75"
营业外收入,"2,964,486.79","2,471,336.54","505,085.18","799,978.74","3,621,402.61","352,336.00","752,570.02","1,602,590.02","2,064,465.82","2,048,780.47","2,154,423.47","2,166,369.02","2,537,979.23","152,000.00","164,520.00","897,056.65","1,696,611.34","1,500.27","57,959.99","271,069.24","826,601.53",,"50,540.00","91,149.32","726,571.53","630,000.00","638,801.00","654,601.00","2,613,523.21","171,158.60","968,680.63","1,508,950.37","2,226,620.33","751,241.88","4,562,323.04","4,941,336.21","2,412,249.94","111,312.64","341,474.59"
销售费用,"15,300,387.34","17,892,959.14","11,685,420.12","19,531,588.95","27,219,552.06","7,854,923.89","14,443,895.98","25,145,893.88","36,765,284.74","9,025,166.72","17,481,202.33","27,536,640.57","37,108,295.26","7,602,101.83","16,552,200.49","24,895,494.65","33,459,446.35","7,782,578.83","16,865,364.61","25,866,688.12","37,440,094.05","8,344,714.55","17,751,000.19","27,524,106.34","37,380,766.97","8,064,793.49","17,386,568.22","24,438,867.81","30,698,342.58","5,159,671.70","12,402,584.46","19,224,440.06","25,726,747.95","4,804,779.42","11,395,762.48","19,145,828.38","26,722,189.96","5,992,481.47","12,322,119.58"
减:营业外支出,"230,511.93","151,136.74","51,942.16","125,565.24","109,111.88","17,353.33","26,081.55","272,750.68","555,545.18","56,955.44","85,026.14","160,789.56","188,424.93","396,788.96","527,769.33","1,167,626.51","1,647,044.80","91,272.66","100,449.89","862,620.68","966,500.04","26,600.00","79,000.00","112,203.32","112,703.32","76,622.68","172,273.48","218,587.97","378,167.24","45,550.00","8,195,564.97","8,436,521.49","10,445,877.27","843,849.56","522,015.20","1,348,065.97","1,487,783.31","399,050.20","953,332.12"
管理费用,"10,960,270.08","11,499,541.28","7,893,217.14","12,625,828.08","17,967,690.35","7,931,051.24","14,302,683.23","23,753,648.87","33,114,366.38","9,843,731.63","18,909,214.16","28,679,575.02","40,834,248.03","10,323,169.11","20,363,245.82","30,939,655.90","44,162,007.42","14,057,762.75","28,178,223.70","44,388,628.36","64,705,324.10","15,182,694.59","31,546,644.57","46,792,817.05","63,461,091.71","11,922,677.94","30,794,456.56","50,984,844.17","71,191,653.78","18,280,618.89","39,774,719.81","63,484,066.16","86,353,683.31","17,992,785.16","35,462,165.23","51,982,703.06","75,687,023.78","14,735,965.31","30,166,135.59"
其中:非流动资产处置净损失,"12,461.42",106.80,"29,850.00","29,850.00","29,850.00",,,"99,413.42","488,119.87",,,"67,528.39","81,672.69","353,178.40","383,958.40","1,001,429.52","1,499,650.91","11,391.70","11,391.70","11,722.81","11,722.81",,,"2,953.32","2,953.32","76,622.68","28,922.68","65,446.18","76,483.37",,"621,814.97","853,771.49","2,746,697.12","11,749.82","18,611.03","18,611.03",,,
