科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"936,885,038.70","1,124,500,882.14","1,719,790,809.50","354,988,871.58","710,402,591.84","1,088,171,048.87","1,573,402,425.13","415,909,565.65","874,467,983.99","1,250,980,042.30","1,752,851,804.69","385,460,479.65","866,131,031.61","1,394,917,513.48","1,999,171,282.20","472,904,600.87","1,096,328,773.40","1,766,819,157.46","2,462,783,664.93","613,536,375.68","1,207,432,016.72","1,932,008,171.77","2,786,433,906.69","725,889,830.87","1,517,802,933.04","2,403,482,051.00","3,323,484,215.66","909,427,791.48","1,896,686,257.28"
取得子公司及其他营业单位支付的现金净额,,"13,300,000.00",,,,,"66,168,591.79",,,"104,220,000.00","107,736,653.63",,"79,664,236.92","351,587,108.78","362,567,710.32","199,109,252.11","265,805,161.37","352,411,785.21","368,971,249.39","144,000,000.00","229,842,716.00","336,142,715.99","272,062,067.58","23,500,000.00","53,891,750.00","175,811,750.00","102,147,519.65","2,160,000.00","26,133,678.60"
收到的税费返还,,"23,245,039.90","13,105,294.31",,"5,875,263.73","5,576,520.12","7,444,054.08","660,193.02","4,744,595.81","5,209,343.36","7,393,382.98","263,701.39","4,034,939.37","6,058,665.43","6,854,365.19","2,452,842.39","6,433,498.56","20,579,254.99","36,894,313.55","12,611,197.53","29,500,854.48","46,505,110.66","64,217,562.11","16,176,386.17","42,866,280.81","74,283,113.87","110,983,923.67","25,091,910.44","52,792,968.40"
支付其他与投资活动有关的现金,,"27,647,632.11",,"11,000,000.00",,,,"31,630,891.15","31,820,013.34","31,820,013.34","21,563,258.78","40,000,000.00","74,614,611.56","83,563,728.14","28,780,000.00",,,,"14,837,500.00",,"4,000,000.00","13,437,664.89",,"20,000,000.00","20,000,000.00","71,080,000.00","71,080,000.00",,
收到其他与经营活动有关的现金,"35,875,628.79","68,937,673.43","96,745,079.93","1,531,245.22","28,241,275.67","34,179,038.03","55,911,124.27","17,739,451.23","17,609,524.48","34,630,783.57","93,877,558.71","22,727,738.09","29,891,805.73","39,264,475.91","57,789,358.39","28,639,752.61","39,505,110.84","55,606,602.70","85,718,691.51","47,049,585.98","30,138,649.22","43,557,126.57","65,596,248.76","7,132,272.81","15,360,485.94","72,647,893.95","49,759,443.41","9,604,515.47","20,153,232.64"
投资活动现金流出小计,"434,302,038.12","289,161,213.78","222,947,904.57","59,435,728.58","145,200,863.74","145,184,139.27","256,733,077.48","164,586,794.68","185,042,629.74","304,006,944.04","462,096,025.38","150,159,332.38","371,327,399.16","763,881,288.47","1,008,303,964.48","395,135,845.64","551,065,872.02","812,852,522.87","1,090,662,139.13","288,224,649.20","515,255,914.52","880,791,159.33","1,217,018,659.61","182,535,537.08","417,556,927.51","841,366,770.28","1,105,914,844.05","258,755,098.15","467,425,715.41"
经营活动现金流入小计,"972,760,667.49","1,216,683,595.47","1,829,641,183.74","356,520,116.80","744,519,131.24","1,127,926,607.02","1,636,757,603.48","434,309,209.90","896,822,104.28","1,290,820,169.23","1,854,122,746.38","408,451,919.13","900,057,776.71","1,440,240,654.82","2,063,815,005.78","503,997,195.87","1,142,267,382.80","1,861,757,144.43","2,585,396,669.99","683,362,619.02","1,287,994,932.49","2,055,867,820.35","2,963,893,704.34","761,824,661.62","1,602,589,100.46","2,592,624,603.75","3,537,999,546.43","955,466,490.81","1,999,136,924.01"
投资活动产生的现金流量净额,"-425,132,904.37","-241,197,481.92","-183,852,432.57","-58,781,439.51","-144,615,363.54","-139,143,071.98","-255,879,878.30","-163,468,976.62","-180,570,086.29","-275,956,454.26","-459,492,209.09","-150,087,332.38","-370,252,985.67","-761,655,468.60","-969,850,699.51","-296,814,945.33","-459,477,810.67","-716,254,644.61","-915,604,275.71","-288,224,649.20","-371,151,669.81","-615,151,314.62","-654,140,570.23","-182,409,537.08","-415,781,663.85","-826,941,506.62","-992,776,892.01","-258,742,791.31","-454,824,662.25"
购买商品、接受劳务支付的现金,"663,002,285.97","734,754,967.31","998,169,349.70","156,651,367.17","388,457,662.99","636,733,628.04","877,799,252.97","273,225,405.83","541,563,240.06","796,882,634.87","1,070,439,821.57","253,590,627.83","579,988,804.68","971,651,055.03","1,306,738,725.53","318,433,401.66","691,342,224.03","1,087,021,513.09","1,246,230,923.64","357,100,719.87","574,587,865.18","931,459,690.04","1,264,843,222.45","496,252,676.93","931,032,740.76","1,473,569,998.68","1,815,599,388.37","527,219,703.01","981,650,327.74"
吸收投资收到的现金,,"1,000,000.00","12,000,000.00",,"1,025,000,000.00","1,025,000,000.00","1,061,200,000.00",,,,,"113,314,500.00","113,314,500.00","117,314,500.00","132,217,700.00",,"8,000,000.00","8,000,000.00","8,480,000.00",,"180,000.00","180,000.00","159,760,208.00",,,,"11,164,200.00",,"6,480,000.00"
