科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"605,567,375.89","536,210,442.65","726,905,732.73","181,611,400.50","372,037,061.15","597,153,068.93","852,765,719.77","205,121,301.89","443,121,864.92","714,403,648.04","956,094,956.09","256,195,866.79","540,859,677.44","881,964,921.36","1,303,753,712.31","335,837,636.93","879,162,894.80","1,434,039,529.34","2,198,859,303.71","697,395,114.25","1,848,786,888.97","2,955,473,173.81","4,991,760,998.58","1,674,782,644.02","4,118,387,549.69","8,256,184,968.29","11,849,434,006.36","3,491,215,765.13","8,130,582,086.10","12,764,641,472.32","18,024,874,501.13","6,575,382,578.23","12,360,009,187.96"
取得子公司及其他营业单位支付的现金净额,,,,,"2,115,964.74","2,115,964.74","2,115,964.74",,,"37,216,837.16","37,482,010.78",,"24,328,863.22","24,328,863.22","24,328,863.22",,,,"56,400,533.27",,,"372,271,816.54","372,271,816.54","40,564,448.37","523,885,415.44","592,696,925.42","592,696,925.42",,,,,,
收到的税费返还,"12,175,284.14","1,934,850.11","16,422,487.50","9,450,285.12","13,441,325.61","22,523,340.75","32,695,295.88","10,891,700.46","16,329,593.02","24,395,816.68","33,461,515.03","1,414,091.76","3,447,101.15","5,129,097.16","7,171,515.95","1,599,760.96","3,915,871.42","6,674,581.19","28,803,932.37","40,613,161.77","62,921,100.91","109,103,863.24","139,265,683.55","37,059,688.01","99,384,354.31","168,859,031.27","232,145,000.82","62,113,249.00","104,143,618.75","164,144,670.71","189,085,682.39","278,434,412.00","423,050,925.87"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"8,939,993.87","8,939,993.87","8,806,253.87",,,,,,"20,000,000.00","600,000.00",,,,,"117,825.80",,"3,322,316.86","673,054.05","673,054.05","3,515,691,380.00","7,011,632,033.00"
收到其他与经营活动有关的现金,"6,218,268.70","5,205,611.30","8,989,532.38","2,677,043.66","3,937,367.19","4,787,442.52","12,353,755.89","9,903,355.35","14,197,989.14","17,621,078.62","24,383,987.47","13,508,653.92","29,535,111.68","6,505,812.24","23,945,478.79","4,914,250.71","9,337,176.14","14,555,953.46","70,971,393.27","15,323,317.24","25,245,336.05","50,698,643.82","68,961,128.12","30,605,832.87","142,367,529.56","131,820,664.20","145,463,244.85","132,170,768.53","464,658,420.44","495,739,701.22","429,634,995.70","255,634,516.85","174,911,558.13"
投资活动现金流出小计,"81,237,336.50","64,273,892.76","157,444,944.00","47,142,148.44","89,063,339.19","117,555,026.52","203,804,422.75","75,563,729.72","144,219,792.84","251,884,827.24","299,876,096.31","25,681,896.75","88,383,761.62","119,356,176.69","155,905,491.45","96,853,467.77","131,716,491.18","165,626,799.98","283,492,141.03","17,255,034.68","50,590,733.28","920,983,914.93","1,049,640,704.85","108,369,925.00","1,239,084,016.68","1,972,870,474.18","3,638,341,882.29","247,258,892.19","624,487,335.66","1,339,078,575.84","2,019,874,046.28","4,109,656,511.45","7,842,666,830.67"
经营活动现金流入小计,"623,960,928.73","543,350,904.06","752,317,752.61","193,738,729.28","389,415,753.95","624,463,852.20","897,814,771.54","225,916,357.70","473,649,447.08","756,420,543.34","1,013,940,458.59","271,118,612.47","573,841,890.27","893,599,830.76","1,334,870,707.05","342,351,648.60","892,415,942.36","1,455,270,063.99","2,298,634,629.35","753,331,593.26","1,936,953,325.93","3,115,275,680.87","5,199,987,810.25","1,742,448,164.90","4,360,139,433.56","8,556,864,663.76","12,227,042,252.03","3,685,499,782.66","8,699,384,125.29","13,424,525,844.25","18,643,595,179.22","7,109,451,507.08","12,957,971,671.96"
投资活动产生的现金流量净额,"-73,653,424.21","-47,968,789.45","-152,811,488.28","-46,902,148.44","-84,095,447.76","-112,548,635.09","-194,843,318.39","-58,963,464.72","-102,647,095.34","-183,155,308.90","-232,945,606.36","-25,656,419.75","-87,590,447.62","-115,293,518.88","-116,886,767.39","-96,030,173.53","-123,616,706.75","-106,085,460.30","-171,481,749.22","-14,093,138.72","-35,241,856.40","-510,301,322.08","-476,889,723.75","-50,055,317.02","-1,037,188,623.39","-973,867,163.57","-1,717,107,958.89","55,420,180.67","-268,337,371.76","-492,241,916.17","-745,714,512.96","-1,600,247,093.94","112,125,942.86"
购买商品、接受劳务支付的现金,"452,928,591.64","330,142,602.43","436,198,553.34","124,878,964.21","296,473,306.75","496,774,930.27","646,557,286.54","169,712,245.70","375,203,004.77","564,640,340.76","722,682,581.72","190,435,395.13","436,198,120.63","672,264,230.65","946,155,686.13","219,635,077.67","666,836,183.16","1,139,258,590.72","1,793,696,218.03","581,369,151.06","1,335,076,636.26","2,195,148,988.70","3,898,298,308.63","1,680,840,151.84","3,812,492,885.01","6,971,214,748.99","10,183,565,346.14","3,510,696,341.78","7,663,104,034.97","11,377,557,616.75","15,171,676,347.83","4,389,062,099.98","8,937,452,547.46"
吸收投资收到的现金,"142,657,276.64","7,750,000.00","122,250,000.00",,,"599,617,469.15","604,217,469.15","11,200,000.00","12,100,000.00","14,050,000.00","41,050,000.00","2,000,000.00","6,000,000.00","7,650,000.00","7,650,000.00","200,000.00","4,340,000.00","7,280,000.00","34,225,838.00","2,450,000.00","2,450,000.00","371,149,998.00","371,649,998.00","1,650,000.00","1,145,649,995.00","1,148,449,995.00","1,148,449,995.00",,"250,000.00","250,000.00","250,000.00",,
支付给职工以及为职工支付的现金,"102,785,069.96","95,745,119.10","141,181,532.30","43,060,516.36","89,945,048.72","140,777,747.78","189,738,562.26","56,061,206.93","109,543,129.48","169,454,564.16","229,551,508.36","66,156,028.39","155,120,419.75","225,088,383.28","284,359,149.94","86,603,049.93","170,186,294.25","253,690,594.85","340,125,176.27","87,342,872.42","167,478,238.11","280,106,500.75","444,696,889.19","150,039,939.29","384,001,721.28","715,866,506.34","1,131,029,851.72","404,239,082.48","833,590,668.75","1,260,963,284.07","1,740,140,258.64","708,557,508.63","1,620,066,560.24"
取得借款收到的现金,"235,356,998.54","173,659,462.89","134,932,698.65","32,967,263.83","135,615,303.17","154,459,419.37","189,188,913.07","34,938,259.40","80,485,840.40","102,698,005.40","130,658,597.40","86,426,127.11","269,828,267.97","463,805,167.68","633,588,979.64","186,165,340.00","484,163,470.00","658,769,224.00","826,826,815.48","290,304,074.56","739,440,382.76","1,473,908,720.22","2,302,608,443.37","517,909,921.83","1,056,851,578.10","1,757,427,008.58","2,685,334,184.70","889,074,241.43","1,884,174,930.44","2,617,213,166.61","3,486,653,034.13","1,081,017,609.94","2,333,366,312.52"
支付的各项税费,"25,534,954.96","23,587,349.18","30,724,558.72","8,311,299.94","18,398,929.96","30,425,024.59","38,706,253.19","8,670,403.98","20,599,087.27","31,853,088.82","35,300,412.71","9,994,928.62","33,617,305.87","47,725,933.04","59,429,084.00","11,426,762.57","25,805,366.82","41,262,629.13","65,051,727.07","17,468,902.10","39,738,090.53","60,022,242.59","101,797,542.07","35,504,922.57","101,491,766.46","165,084,858.93","271,527,785.41","118,070,751.34","218,642,208.47","364,702,828.17","479,956,559.60","346,407,158.69","491,577,989.03"
收到其他与筹资活动有关的现金,,"5,000,000.00",,,,"6,718,830.85",,,,,,,,,,,,"10,000,000.00","10,000,000.00",,,,,,,"200,000,000.00","311,910,609.96","27,152,113.12","366,908,683.55","487,161,883.55","512,726,054.79","339,397,800.00","539,838,524.14"
