科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"872,961,610.82","927,161,819.82","1,021,377,708.21","511,550,413.06","747,228,866.04","993,178,420.91","205,236,001.80","413,943,717.19","750,349,991.79","927,202,085.76"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,"1,824,424.94","7,080.21","481,507.93","1,437,583.78","1,437,583.78","1,437,583.78","5,708,767.47","9,258,119.64","19,751,035.59","22,940,289.00"
支付其他与投资活动有关的现金,,,,,,,"149,100,000.00","244,000,000.00","369,000,000.00","341,000,000.00"
收到其他与经营活动有关的现金,"38,543,663.02","21,003,209.84","40,066,812.63","31,233,876.91","34,441,833.86","34,466,336.71","270,440.73","23,675,120.97","25,726,506.24","27,494,322.31"
投资活动现金流出小计,"70,454,845.98","26,616,981.90","57,222,750.33","12,914,098.77","22,856,598.12","66,527,550.43","189,972,666.62","303,490,376.11","469,187,797.53","510,641,122.83"
经营活动现金流入小计,"913,329,698.78","948,172,109.87","1,061,926,028.77","544,221,873.75","783,108,283.68","1,029,082,341.40","211,215,210.00","446,876,957.80","795,827,533.62","977,636,697.07"
投资活动产生的现金流量净额,"12,645,478.08","-23,468,894.55","-49,291,076.02","-7,367,698.77","-17,238,327.21","-44,015,622.35","-185,966,766.62","-192,972,790.74","-202,801,767.16","-213,122,749.22"
购买商品、接受劳务支付的现金,"612,945,292.16","557,631,036.28","615,947,006.94","323,598,687.01","480,550,354.01","624,405,024.60","191,438,237.78","397,410,072.70","662,486,531.59","772,363,061.44"
吸收投资收到的现金,"93,000,000.00",,,,,,"399,457,000.00","399,357,000.00","460,639,458.00","460,639,458.00"
支付给职工以及为职工支付的现金,"131,022,235.60","133,986,931.55","140,852,642.93","80,047,019.53","110,014,559.19","145,123,715.37","46,991,064.70","83,739,547.47","122,210,880.80","163,219,403.70"
取得借款收到的现金,"567,300,000.00","356,320,000.00","438,322,062.10","99,053,022.23","148,343,498.62","178,509,630.78","88,200,000.00","156,800,000.00","195,500,000.00","235,100,000.00"
支付的各项税费,"73,860,018.19","67,598,388.16","69,358,926.97","32,830,397.30","52,921,692.11","66,881,637.49","9,803,125.90","19,796,962.93","30,175,382.53","31,643,904.88"
收到其他与筹资活动有关的现金,"8,700,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"59,073,800.61","78,811,175.90","73,502,571.30","61,710,490.20","65,281,632.31","79,298,246.28","13,564,472.72","54,425,487.06","76,491,767.79","74,683,402.47"
筹资活动现金流入小计,"669,000,000.00","356,320,000.00","438,322,062.10","99,053,022.23","148,343,498.62","178,509,630.78","487,657,000.00","556,157,000.00","656,139,458.00","695,739,458.00"
经营活动现金流出小计,"876,901,346.56","838,027,531.89","899,661,148.14","498,186,594.04","708,768,237.62","915,708,623.74","261,796,901.10","555,372,070.16","891,364,562.71","1,041,909,772.49"
偿还债务支付的现金,"591,260,200.84","430,960,000.00","512,082,062.10","130,100,000.00","195,143,498.62","241,009,630.78","187,300,000.00","187,300,000.00","255,800,000.00","255,800,000.00"
经营活动产生的现金流量净额,"36,428,352.22","110,144,577.98","162,264,880.63","46,035,279.71","74,340,046.06","113,373,717.66","-50,581,691.10","-108,495,112.36","-95,537,029.09","-64,273,075.42"
分配股利、利润或偿还利息支付的现金,"84,102,761.26","17,901,541.02","23,786,760.77","18,489,365.69","19,897,675.21","21,025,896.05","1,152,482.62","29,021,882.66","64,222,643.38","64,795,392.44"
收回投资收到的现金,"46,062,200.00",,,,,,,,,
支付其他与筹资活动有关的现金,"29,000,000.00","400,000.00","1,240,000.00","300,000.00","440,000.00","440,000.00","15,125,000.00","13,949,489.46","13,949,489.46","16,179,000.00"
取得投资收益收到的现金,,,,,,,,"202,842.47","2,138,736.87","2,862,294.52"
筹资活动现金流出小计,"704,362,962.10","449,261,541.02","537,108,822.87","148,889,365.69","215,481,173.83","262,475,526.83","203,577,482.62","230,271,372.12","333,972,132.84","336,774,392.44"
处置固定资产、无形资产和其他长期资产收回的现金净额,"35,938,424.06","726,513.09","7,931,674.31","5,546,400.00","5,618,270.91","19,363,828.08","4,005,900.00","314,742.90","247,293.50","656,079.09"
筹资活动产生的现金流量净额,"-35,362,962.10","-92,941,541.02","-98,786,760.77","-49,836,343.46","-67,137,675.21","-83,965,896.05","284,079,517.38","325,885,627.88","322,167,325.16","358,965,065.56"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-1,663,261.82","137,588.07","1,438,708.88","369,037.70","450,466.35","1,099,465.43","16,762.91","-844,581.17","-1,704,092.99","-2,763,578.26"
收到其他与投资活动有关的现金,"1,099,700.00","2,421,574.26",,,,"3,148,100.00",,"110,000,000.00","264,000,000.00","294,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"83,100,324.06","3,148,087.35","7,931,674.31","5,546,400.00","5,618,270.91","22,511,928.08","4,005,900.00","110,517,585.37","266,386,030.37","297,518,373.61"
五、现金及现金等价物净增加额,"12,047,606.38","-6,128,269.52","15,625,752.72","-10,799,724.82","-9,585,490.01","-13,508,335.31","47,547,822.57","23,573,143.61","22,124,435.92","78,805,662.66"
购建固定资产、无形资产和其他长期资产支付的现金,"70,454,845.98","26,616,981.90","57,222,750.33","12,914,098.77","22,856,598.12","66,527,550.43","40,872,666.62","59,490,376.11","100,187,797.53","169,641,122.83"
期初现金及现金等价物余额,"3,373,318.36","15,420,924.74","9,292,655.22","24,918,407.94","24,918,407.94","24,918,407.94","10,647,785.07","11,410,072.63","11,410,072.63","11,410,072.63"
投资支付的现金,,,,,,,,,,
期末现金及现金等价物余额,"15,420,924.74","9,292,655.22","24,918,407.94","14,118,683.12","15,332,917.93","11,410,072.63","58,195,607.64","34,983,216.24","33,534,508.55","90,215,735.29"
