科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
三、利润总额,"2,715,913.68","26,592,403.77","97,267,226.61","7,209,243.01","43,478,992.57","82,506,916.90","111,107,877.09","6,280,479.88","36,530,596.48","64,606,266.09","127,849,899.47","20,098,341.69","87,054,205.46","155,031,165.76","288,178,078.62","43,177,755.26","146,046,556.40","235,482,315.95","413,350,168.81","74,962,350.36","256,164,016.32","425,972,041.94","754,582,532.07","160,930,661.91","432,152,704.06","693,901,588.53","1,125,238,124.32","239,305,710.72","555,472,965.89","794,238,469.88","1,252,843,911.01","114,386,248.60","535,805,920.38","877,343,627.02","1,578,247,083.37","245,044,355.35","816,764,899.31","1,139,491,222.59","2,012,337,526.93","308,249,008.01","1,133,184,395.10","1,569,688,799.73","2,642,207,856.14"
资产减值损失,,"-2,318,314.04","-296,967.22",,"3,907,690.08","5,040,587.91","1,792,035.28","770,002.79","2,035,635.44","5,729,070.16","9,330,272.82","2,862,786.84","6,365,777.77","10,894,890.44","11,339,203.86","5,911,135.28","17,210,722.31","23,435,900.24","26,723,209.00","12,355,054.06","23,698,452.28","37,149,163.07","37,947,498.52","11,842,400.68","36,037,147.95","56,659,297.18","98,559,602.46","12,697,334.30","38,982,898.96","50,033,558.49","79,357,586.12","19,946,608.52","52,332,053.64","88,375,886.90","192,281,999.67","18,402,843.72","70,488,505.82","127,308,941.35","129,145,009.24","25,377,377.36","89,628,522.59","150,811,233.36","245,506,915.74"
减:所得税,,"2,181,728.38","11,493,411.82","1,555,981.73","7,109,613.84","8,690,616.19","7,069,616.15","51,190.82","2,582,817.98","4,706,065.45","10,740,322.22","1,615,896.00","8,696,840.04","14,524,416.37","28,546,466.83","4,038,711.09","17,371,374.22","32,143,964.80","37,789,319.68","8,915,427.56","32,295,053.26","50,782,434.24","57,931,297.91","18,883,086.59","46,680,556.47","78,949,427.16","-4,900,604.01","37,738,846.15","48,751,399.98","68,530,032.45","108,579,382.61","10,897,625.92","72,489,001.48","117,201,768.19","197,123,573.47","30,624,258.89","106,393,965.53","73,964,982.30","202,185,238.62","32,232,982.48","153,360,669.71","125,783,329.50","265,421,510.04"
加:公允价值变动净收益,,,,,,,"-13,200.00",,,,"13,200.00",,,,"271,728.21","-807,590.03","-1,238,622.69","-2,191,740.96","-927,288.22","508,160.00","3,824,216.40","-145,118.14","-1,835,136.12","2,095,942.22","987,831.88","2,971,940.31","3,973,172.57","151,295.04","65,830.36","-253,574.76","894,483.21","-1,793,411.03","118,161.95","-2,119,005.65","-5,228,415.65","660,960.00","2,851,456.00","2,851,456.00","2,851,456.00","55,635.96",,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"916,908.43","927,230.07",,,,"-522,181.70",,,,"4,797.00",,,,"-3,317.31",,"-1,051,465.34","-2,136,936.47","-4,041,974.58","-857,496.88","-1,474,271.99","-1,375,760.99","-1,027,741.59","1,348,992.14","2,735,132.63","3,297,687.51","7,753,381.11","-1,229,169.62","-320,303.79","-217,557.24","7,557,419.64","5,956,851.24","9,617,468.88","11,446,994.44","14,013,463.97","899,541.01","12,782,064.33","10,275,010.30","6,642,772.49","-7,366,992.63","-14,018,542.65","-21,234,624.42","-29,510,653.15"
四、净利润,"2,715,913.68","24,410,675.39","85,773,814.79","5,653,261.28","36,369,378.73","73,816,300.71","104,038,260.94","6,229,289.06","33,947,778.50","59,900,200.64","117,109,577.25","18,482,445.69","78,357,365.42","140,506,749.39","259,631,611.79","39,139,044.17","128,675,182.18","203,338,351.15","375,560,849.13","66,046,922.80","223,868,963.06","375,189,607.70","696,651,234.16","142,047,575.32","385,472,147.59","614,952,161.37","1,130,138,728.33","201,566,864.57","506,721,565.91","725,708,437.43","1,144,264,528.40","103,488,622.68","463,316,918.90","760,141,858.83","1,381,123,509.90","214,420,096.46","710,370,933.78","1,065,526,240.29","1,810,152,288.31","276,016,025.53","979,823,725.39","1,443,905,470.23","2,376,786,346.10"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,"-49,865.34","-49,865.34","365,449.12","-435,336.88","-906,511.98","-808,000.98","-1,010,471.67","-438,718.13","-475,924.30","-818,882.48","-1,246,471.45","-281,505.40","-429,691.77","-580,024.36","-787,545.47","-298,639.57","-173,161.17","353,243.58","715,015.65","-169,168.62","-5,409,647.98","-10,234,573.88","1,658,248.41","-9,332,581.24","-18,719,464.17","-28,341,585.19","-37,464,812.35"
归属于母公司所有者的净利润,"2,779,527.07","24,556,167.89","85,748,259.78","5,836,523.44","36,727,892.08","74,434,533.37","104,126,860.63","6,310,066.13","34,024,690.70","59,977,669.47","117,187,030.35","18,528,630.06","78,450,422.95","140,770,590.57","260,294,585.96","39,185,843.20","128,907,294.90","204,238,399.55","377,983,123.52","66,967,705.04","225,809,636.69","377,997,722.57","700,155,145.05","142,673,089.17","386,253,535.92","615,966,667.45","1,130,921,915.51","201,668,480.66","506,330,773.81","724,596,498.69","1,142,678,484.61","103,404,954.02","463,807,123.29","761,185,688.48","1,372,301,211.87","215,240,055.79","709,741,024.33","1,069,555,716.91","1,825,199,447.95","286,838,396.38","983,001,211.23","1,444,493,831.26","2,378,726,820.22"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-63,613.39","-145,492.50","25,555.01","-183,262.16","-358,513.35","-618,232.66","-88,599.69","-80,777.07","-76,912.20","-77,468.83","-77,453.10","-46,184.37","-93,057.53","-263,841.18","-662,974.17","-46,799.03","-232,112.72","-900,048.40","-2,422,274.39","-920,782.24","-1,940,673.63","-2,808,114.87","-3,503,910.89","-625,513.85","-781,388.33","-1,014,506.08","-783,187.18","-101,616.09","390,792.10","1,111,938.74","1,586,043.79","83,668.66","-490,204.39","-1,043,829.65","8,822,298.03","-819,959.33","629,909.45","-4,029,476.62","-15,047,159.64","-10,822,370.85","-3,177,485.84","-588,361.03","-1,940,474.12"
