科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"71,059,595.75","203,443,204.76","501,340,176.34","78,980,753.39","182,067,601.73","319,290,412.29","463,249,834.18","75,691,251.04","197,608,217.13","296,178,834.60","472,989,330.79","176,149,703.64","500,685,176.30","846,428,636.13","1,290,168,628.89","306,879,462.90","718,888,057.25","1,135,215,087.81","1,579,802,276.06","271,102,022.79","699,083,790.88","992,189,506.17","1,357,181,542.10","227,212,214.22","592,318,130.58","1,201,742,061.32","1,732,095,020.36","333,340,890.76","764,520,832.80","1,194,307,499.22","1,689,029,058.02","248,382,363.65","642,018,109.48","826,923,195.16","1,105,010,276.40","145,429,215.19","393,309,969.05","576,481,606.83","858,949,645.67","161,540,553.01","415,223,426.17","1,157,141,865.50","1,756,258,394.89","272,293,030.99","718,282,559.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"414,349,559.95","414,349,559.95",,,,,,,,,,,,,,,,,,
收到的税费返还,"44,561.67","989,815.54","5,017,355.38","145,066.95","1,466,677.03","2,990,118.73","2,498,078.73",,"2,169,109.78","2,169,109.78","2,194,166.77","280,276.83","320,109.69","729,547.41","729,547.41",,"237,644.65","537,644.65","237,644.65",,,,,,,,,,,,,,,,,,,,,,,,"127,367.68",,
支付其他与投资活动有关的现金,,,,,,,,"28,694.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"31,136,280.66",,,,,,,,,"3,944,799.94","400,761.74"
收到其他与经营活动有关的现金,"15,186,836.00","13,185,294.58","15,540,110.83","73,328.17","931,513.41","2,540,424.99","7,645,141.06","1,684,405.49","4,417,011.35","7,194,374.68","11,156,543.71","3,250,313.54","7,505,127.09","21,778,668.82","21,437,517.73","9,607,863.19","11,898,196.02","14,668,997.22","36,385,881.69","882,270.08","2,922,836.72","3,197,302.49","7,385,306.53","480,544.23","1,395,362.36","9,136,686.28","35,480,631.47","4,810,247.86","8,783,665.53","12,232,744.29","18,403,680.01","6,421,220.25","9,159,020.77","17,760,752.37","39,245,523.10","4,211,881.57","10,228,258.60","15,333,570.97","24,432,750.21","1,920,032.88","13,008,144.48","53,067,962.89","52,914,051.11","20,355,647.59","49,225,004.74"
投资活动现金流出小计,"10,597,704.33","23,287,919.77","65,549,662.46","5,721,919.23","19,049,414.27","26,222,732.22","53,727,217.77","6,159,889.68","24,247,234.19","40,881,376.31","76,854,339.47","13,364,507.57","29,906,148.95","48,107,057.35","60,974,389.32","13,445,765.99","24,784,532.77","42,354,439.40","71,236,399.63","12,384,817.23","22,726,988.63","31,684,914.84","38,655,715.47","4,330,179.00","7,162,041.87","440,535,893.61","469,746,554.65","9,318,073.65","14,967,319.83","27,581,235.85","52,868,151.50","17,217,440.52","24,480,712.76","29,181,944.21","68,740,124.91","9,979,697.00","11,509,535.15","13,811,853.33","19,776,464.66","3,192,947.09","8,326,948.09","198,819,669.53","232,023,988.34","507,036,905.38","812,653,435.15"
经营活动现金流入小计,"86,290,993.42","217,618,314.88","521,897,642.55","79,199,148.51","184,465,792.17","324,820,956.01","473,393,053.97","77,375,656.53","204,194,338.26","305,542,319.06","486,340,041.27","179,680,294.01","508,510,413.08","868,936,852.36","1,312,335,694.03","316,487,326.09","731,023,897.92","1,150,421,729.68","1,616,425,802.40","271,984,292.87","702,006,627.60","995,386,808.66","1,364,566,848.63","227,692,758.45","593,713,492.94","1,210,878,747.60","1,767,575,651.83","338,151,138.62","773,304,498.33","1,206,540,243.51","1,707,432,738.03","254,803,583.90","651,177,130.25","844,683,947.53","1,144,255,799.50","149,641,096.76","403,538,227.65","591,815,177.80","883,382,395.88","163,460,585.89","428,231,570.65","1,210,209,828.39","1,809,299,813.68","292,648,678.58","767,507,563.95"
投资活动产生的现金流量净额,"-10,597,704.33","-23,248,659.77","-65,418,134.46","-5,721,919.23","-8,434,855.37","-15,410,178.32","-42,901,513.87","-5,991,789.68","-24,028,458.03","-40,662,600.15","-76,038,286.91","-13,364,507.57","-29,889,148.95","-48,090,057.35","-60,797,768.82","-13,445,765.99","-24,784,532.77","-42,337,399.40","-70,649,859.63","-12,370,513.23","-22,712,684.63","-28,824,010.84","-35,794,811.47","-4,330,179.00","-7,162,041.87","-440,109,186.41","-469,319,847.45","-7,259,316.56","4,363,537.94","-8,183,246.08","-33,435,161.73","-16,736,497.32","-23,793,160.56","-21,427,566.39","-63,671,747.09","-9,979,697.00","-11,509,535.15","-13,811,853.33","-19,776,464.66","-2,976,993.80","-8,090,107.80","-143,154,974.36","-168,002,777.34","-500,681,159.09","-571,649,850.21"
购买商品、接受劳务支付的现金,"66,715,711.32","128,534,967.63","366,875,746.18","93,450,172.57","174,121,231.57","273,748,661.51","335,337,754.72","44,504,417.31","118,171,130.88","176,625,444.92","313,051,761.08","174,140,371.40","437,306,454.06","705,102,048.32","1,095,639,549.56","336,744,514.77","680,941,311.68","1,068,304,490.47","1,411,941,702.26","254,613,975.47","617,989,427.92","849,346,187.25","1,171,833,219.79","232,605,175.81","534,171,902.87","1,031,860,785.51","1,478,759,267.13","260,739,690.65","571,388,878.81","886,462,466.55","1,249,692,554.28","225,307,843.87","489,814,707.32","584,321,102.41","769,855,366.67","73,415,095.09","164,670,078.24","241,279,035.53","472,098,944.75","92,293,278.59","207,332,617.36","704,365,065.61","973,851,999.42","226,004,471.90","498,770,001.60"
吸收投资收到的现金,,,"203,000.00",,"326,823,750.00","326,823,750.00","326,823,750.00",,,,,,,,,,,,,,,,,,"524,697,008.00","524,697,008.00","524,697,008.00",,,,,,,,,,,,,,,,"404,949,989.25",,
