科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"116,117,960.59","261,286,444.44","418,262,750.04","432,304,712.03","588,412,690.91","121,065,570.47","300,423,005.54","473,388,462.30","639,921,655.90","126,384,575.70","272,187,692.19","412,751,130.03","595,485,099.08","124,354,064.97","283,954,041.11","434,977,347.47","593,234,533.44","122,537,416.67","270,465,774.09","391,149,495.69","499,529,048.29","120,086,615.27","219,844,122.89","310,804,049.76","418,511,830.48","106,797,635.06","230,524,521.05","362,280,875.53","509,003,037.13","148,807,593.86","324,701,327.58","462,351,279.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,"-570,998.37","-570,998.37",,,,,,,,,,,,,,,,,,,,,,,"-17,982,906.69","17,164,893.31"
收到的税费返还,"660,355.45","82,551.96","741,705.11","413,478.66","630,582.29","4,356,829.25","7,082,769.15","8,453,105.59","8,703,389.56","3,988,446.14","9,888,685.46","13,005,204.73","16,121,209.97","3,114,946.86","6,982,218.21","12,881,542.50","16,982,845.26","7,245,171.81","13,950,540.06","25,820,946.38","29,174,208.83","2,010,013.42","4,116,585.04","4,624,547.54","4,610,189.53","8,719,766.92","9,361,264.16","9,829,370.45","10,297,655.40","1,755,516.98","1,793,932.17","5,890,145.33"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,109,803.12","8,652,966.60","9,695,226.55","3,602,893.61","6,464,390.62","2,148,405.33","24,689,073.36","38,529,575.47","47,847,598.79","5,703,045.96","21,631,699.45","23,449,679.05","31,184,338.79","19,561,223.74","30,511,185.04","42,952,289.66","45,564,833.38","3,623,982.76","35,222,169.83","40,402,062.18","44,880,672.40","1,526,155.88","22,457,817.67","34,253,717.77","44,969,584.55","5,019,651.18","23,095,153.15","41,737,817.83","36,667,552.40","4,792,786.80","38,850,728.74","44,899,306.05"
投资活动现金流出小计,"3,909,530.55","22,532,518.03","6,902,054.87","25,404,055.51","29,124,470.61","4,599,092.66","13,473,951.74","33,851,342.00","57,026,089.17","19,004,495.99","34,303,518.04","42,845,031.66","56,332,563.50","3,820,331.60","16,010,655.54","58,903,189.90","176,561,886.61","56,001,386.49","110,234,643.90","111,862,365.20","231,863,299.35","42,198,980.70","42,405,997.21","43,590,319.50","148,388,886.99","109,845,142.51","110,717,294.33","224,132,908.34","224,466,731.34","557,839.86","92,815,079.45","421,924,851.05"
经营活动现金流入小计,"117,888,119.16","270,021,963.00","428,699,681.70","436,321,084.30","595,507,663.82","127,570,805.05","332,194,848.05","520,371,143.36","696,472,644.25","136,076,067.80","303,708,077.10","449,206,013.81","642,790,647.84","147,030,235.57","321,447,444.36","490,811,179.63","655,782,212.08","133,406,571.24","319,638,483.98","457,372,504.25","573,583,929.52","123,622,784.57","246,418,525.60","349,682,315.07","468,091,604.56","120,537,053.16","262,980,938.36","413,848,063.81","555,968,244.93","155,355,897.64","365,345,988.49","513,140,731.08"
投资活动产生的现金流量净额,"-3,484,460.64","-12,501,741.10","-5,843,929.16","-25,404,055.51","-29,124,470.61","-4,549,092.66","-13,378,951.74","-33,756,342.00","-56,360,090.80","-19,003,995.99","-34,303,018.04","-42,835,031.66","-56,147,543.50","-3,820,331.60","-15,994,209.14","-58,879,739.10","-166,480,572.80","-9,312,768.97","-12,080,308.06","-13,708,029.36","19,925,571.30","28,801,698.75","118,382,042.36","117,232,447.07","12,790,732.98","-2,848,807.89","106,321,639.26","103,448,491.00","103,646,366.63","-557,839.86","-92,793,079.45","-240,590,320.23"
购买商品、接受劳务支付的现金,"99,973,004.93","186,977,786.89","273,247,596.56","308,044,766.69","416,086,347.66","95,187,022.88","222,671,770.99","342,963,910.71","461,119,662.81","116,355,080.56","194,058,507.52","286,542,353.75","381,301,968.13","45,561,573.60","104,928,451.89","188,424,219.67","294,436,699.30","63,244,521.18","174,073,402.70","236,530,575.45","287,652,273.26","76,303,655.92","137,383,342.50","210,113,311.95","258,124,127.72","52,209,758.89","112,444,293.20","173,429,903.94","215,392,766.95","64,075,863.54","155,975,900.82","233,268,490.54"
吸收投资收到的现金,"3,000,000.00","24,750,000.00","43,039,177.96",,"1,015,260,000.00",,,,,,,,"2,450,000.00",,,,,,,,,,,"31,419,040.00","33,850,400.00",,,,,,,
支付给职工以及为职工支付的现金,"7,315,091.00","15,603,959.90","24,548,173.59","32,163,600.28","42,692,711.87","14,927,920.30","30,823,419.70","48,844,184.02","72,048,716.20","26,351,803.80","48,592,025.90","64,179,108.05","92,335,660.22","17,459,055.42","40,683,943.90","59,189,102.28","81,004,548.18","14,898,458.85","41,216,444.67","59,465,134.13","80,095,179.45","15,244,553.59","35,404,254.91","57,700,092.53","74,965,428.43","14,110,526.34","35,425,461.19","53,406,349.98","70,814,125.24","17,174,571.89","40,985,891.24","59,991,566.80"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,"24,670,843.44","24,476,000.00",,,,,,"197,667.00","197,667.00","197,667.00",,,
支付的各项税费,"1,234,075.90","4,408,389.03","18,288,122.92","21,421,458.62","26,938,156.68","4,808,905.22","19,031,065.71","30,754,768.00","38,461,353.83","9,168,962.76","20,502,148.52","36,673,373.00","41,484,838.99","6,830,028.41","26,992,969.25","42,683,558.79","51,107,009.68","11,935,164.31","31,416,384.90","39,529,827.19","47,918,949.29","7,594,373.72","21,509,297.20","24,526,200.46","34,478,292.65","4,534,767.52","22,639,675.49","29,291,844.55","37,727,664.64","9,950,775.46","20,144,188.35","28,812,413.80"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"2,431,360.00","2,431,360.00",,,"705,060.00","705,060.00","705,060.00",,,
