科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"210,066,987.92","474,391,827.30","687,857,619.61","875,610,484.86","206,610,815.83","429,442,599.11","634,552,943.79","828,989,616.79","182,352,790.32","421,139,455.32","666,071,157.28","916,000,475.69","247,482,047.96","555,799,629.80","837,184,301.10","1,112,124,682.01","315,902,428.80","650,731,022.53","963,234,346.69","1,243,996,271.26","260,169,119.35","570,383,862.59","855,640,749.43","1,131,022,099.85","261,022,205.59","551,686,418.43","832,399,879.47","1,121,755,000.34","198,827,872.87","438,681,396.46","2,502,783,598.56","3,501,634,730.02","693,869,510.35","1,570,568,706.83","2,484,139,297.72","4,107,829,939.92","1,664,869,862.50","3,073,960,397.80","4,251,457,586.43","5,927,091,441.29","1,649,523,280.31","3,435,487,346.97","5,143,590,415.99","7,254,805,627.63"
二、营业利润,"14,631,551.62","32,979,288.92","49,207,041.86","55,962,161.16","7,016,461.41","18,962,757.59","29,152,952.57","30,445,916.11","3,627,368.69","16,322,629.03","28,760,202.80","42,027,635.21","20,021,550.98","49,965,441.26","83,039,115.00","121,039,820.64","26,416,497.63","70,778,172.43","79,753,354.54","76,180,858.04","5,860,774.13","9,781,922.15","7,239,218.91","25,537,173.71","10,171,011.46","20,145,396.84","26,720,183.55","22,997,648.53","-2,634,808.17","-7,946,487.60","261,593,941.50","361,871,595.42","61,871,062.98","137,942,855.98","206,867,303.46","386,529,505.83","175,908,348.88","295,009,801.44","359,155,011.22","470,662,360.99","6,417,834.10","48,715,912.94","65,471,780.24","154,185,470.61"
减:营业成本,"180,957,411.27","411,663,072.36","593,952,405.19","757,657,554.86","181,346,297.56","376,084,231.21","555,874,578.45","726,094,965.19","161,967,792.73","372,338,333.18","587,511,069.72","800,963,190.37","210,987,604.20","469,845,340.13","699,521,783.06","912,310,511.38","268,456,098.64","513,443,959.98","799,212,752.55","1,023,198,775.18","224,207,505.37","501,024,624.74","758,639,533.33","992,571,188.95","221,691,925.54","473,899,080.85","726,248,764.46","993,305,923.86","184,698,516.34","410,832,902.07","1,947,066,585.00","2,722,713,581.93","530,039,152.37","1,218,481,929.96","1,934,952,199.85","3,190,433,748.44","1,291,630,679.54","2,398,776,667.96","3,331,597,236.40","4,670,368,688.79","1,422,780,876.85","2,972,566,197.29","4,435,860,468.86","6,196,468,623.56"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,278.90","9,493.05","10,768.05","10,933.05","2,600.00","2,600.00","3,300.00","3,300.00",,,"1,690.00","1,690.00",,,,"164,994.13","790,111.22","1,535,025.86","2,677,635.13","3,990,984.06","754,589.49","2,205,900.71","3,190,796.05","3,752,980.48","658,203.73","1,966,006.84","4,459,988.80","4,123,101.17","500,482.38","2,828,279.92","11,939,766.66","17,465,090.12","5,043,836.82","8,761,725.43","12,199,913.34","16,580,699.10","5,108,997.70","8,942,696.68","15,496,764.81","22,645,674.22","6,938,450.60","12,491,251.02","18,250,736.04","21,952,756.38"
营业外收入,"517,500.00","1,055,916.58","1,132,442.91","3,648,279.27","25,000.00","4,116,054.69","4,803,575.12","3,566,816.03","465,050.00","515,250.00","3,629,652.75","774,541.34","135,187.90","520,880.56","672,215.16","1,405,116.85","206,250.00","1,102,628.19","1,520,002.41","2,448,592.90","37,942.16","62,870.74","264,370.74","1,475,688.30","235,812.62","747,126.91","768,817.66","1,782,138.57","15,892.86","31,785.72","49,162,690.91","73,947,820.26","12,532,843.48","31,016,987.00","51,827,427.18","87,998,723.03","22,437,418.22","47,765,829.85","74,509,293.57","125,651,941.89","33,140,244.94","17,112,273.68","2,413,620.41","3,064,629.17"
销售费用,"4,412,299.75","9,101,503.64","13,597,275.07","18,655,743.63","5,456,810.58","9,931,353.48","13,589,029.40","17,564,699.61","4,301,243.67","9,370,595.87","14,468,538.51","19,994,405.97","5,182,111.98","11,698,094.73","17,229,397.04","22,098,624.56","5,081,664.00","13,262,221.32","18,904,324.56","24,876,939.81","4,561,223.94","9,786,051.52","16,638,849.38","24,152,812.81","6,500,554.32","13,063,614.20","19,550,578.12","24,681,030.18","5,728,114.35","11,786,874.32","162,178,572.66","223,554,105.75","57,184,035.34","113,016,788.48","185,724,232.08","306,014,052.04","118,840,114.93","216,671,668.58","306,246,437.89","400,514,556.60","96,844,308.67","202,795,363.99","296,743,878.46","471,198,969.37"
减:营业外支出,"7,549.08","93,858.55","118,510.74","996,901.89",700.00,"7,330.76","106,299.27","166,084.39","30,000.00","106,033.97","106,033.97","151,487.28","468,500.00","468,739.79","681,765.79","1,016,085.58","334,067.26","505,428.34","966,137.43","1,018,985.94","349,244.00","367,799.27","1,618,405.31","4,866,551.99",,"513,144.80","520,288.87","33,094.17","162,211.32","211,276.72","2,068,015.15","3,147,408.82","202,605.91","3,274,178.31","3,351,121.74","1,464,922.07","1,473,066.19","2,136,075.56","7,066,471.50","7,716,602.64","363,896.14","445,215.33","2,691,264.01","4,093,616.07"
管理费用,"5,157,843.34","11,163,673.55","16,861,794.61","26,922,218.50","6,180,745.54","12,735,375.27","18,687,177.61","26,707,578.15","6,064,492.10","11,779,441.86","18,727,373.80","25,008,448.73","6,412,123.70","13,127,020.45","20,055,426.57","35,379,488.83","7,483,204.24","15,887,367.15","23,702,946.02","62,164,919.41","17,172,301.44","32,912,879.89","46,468,423.62","65,293,388.55","15,422,672.70","29,384,659.61","36,800,870.08","45,529,946.35","6,867,157.88","13,947,919.96","122,502,248.31","176,914,509.47","48,823,571.23","100,814,058.33","162,510,435.34","253,155,099.69","93,557,173.67","178,025,154.26","260,345,487.57","412,702,570.10","104,787,058.53","212,032,184.94","348,273,274.30","450,186,788.49"
其中:非流动资产处置净损失,,,,"315,462.31",,,,"29,589.38",,,,"80,851.61",,,,"1,005,845.79",,,,"1,010,491.76",,"18,555.27","534,508.31","951,336.80","-55,274.57","2,149.80","9,293.87","32,714.52",,,,"35,094.94","19,849.49","312,812.78","88,281.51","440,017.94",,"237,176.19","268,156.88","314,523.92","214,553.24","223,956.64","468,537.27",
