科目,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"545,662,726.68","411,063,149.70","503,020,747.32","531,963,759.40","449,430,038.75","416,376,689.25","374,497,464.38","244,863,728.59","457,398,378.38","240,915,510.07","583,766,333.73","307,586,707.77","296,396,228.80","223,807,981.56","261,685,203.57","237,684,156.39","248,325,528.75","182,297,411.43","137,431,144.41"
短期借款,,,,,,,"15,000,000.00",,,,,,,,,"27,000,000.00","27,000,000.00","45,000,000.00","45,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"1,100,000.00","1,800,000.00","900,000.00","2,130,000.00",,"1,060,000.00","1,000,000.00","520,000.00","3,023,247.93","605,600.00","774,940.00","300,000.00","150,000.00"
应付票据,"205,390,000.00","124,830,000.00","236,270,000.00","50,690,000.00","40,083,560.00","29,035,299.06","23,626,889.06","62,136,289.60","141,055,984.60","163,864,845.00","115,267,645.00","172,729,786.00","221,630,786.00","115,983,049.00","48,407,649.00","112,059,825.88",,"154,529,720.43",
应收账款,"3,468,860.17","2,659,825.24","5,713,758.68","8,901,174.19","41,599,620.16","14,847,096.17","34,294,798.01","81,726,457.69","106,187,579.04","98,743,689.39","111,547,688.51","198,067,895.45","219,048,769.07","230,166,162.15","199,347,708.32","310,025,825.82","465,292,586.42","432,920,578.07","469,557,272.08"
应付账款,"37,642,281.71","12,882,368.99","32,136,573.30","153,046,159.42","96,466,469.01","24,829,844.86","89,818,181.10","121,655,360.36","100,303,725.66","91,021,865.41","163,918,553.78","176,635,456.08","89,691,153.96","59,199,192.01","113,581,078.75","134,469,695.46",,"132,943,514.51",
预付款项,"9,518,741.14","24,937,654.16","8,211,372.37","19,773,813.46","35,163,292.94","38,942,017.73","54,196,098.53","59,345,389.81","58,364,727.60","13,521,415.25","20,266,573.62","23,058,413.96","46,933,335.03","4,235,074.39","31,986,424.99","29,917,450.02","31,469,715.35","14,530,232.05","22,910,753.77"
预收款项,"63,133,902.74","26,457,443.96","10,213,560.27","25,001,926.33","7,684,982.78","16,273,923.63","34,800,742.21","17,551,861.61","12,439,013.10","26,156,013.34","35,445,309.87","18,408,491.43","9,923,671.17","18,568,451.61","39,183,853.00","14,237,443.13","9,801,998.14","22,341,708.28","6,370,514.29"
其他应收款,"69,776.78","19,520.00","245,032.04","366,239.54","1,344,324.68","1,092,510.86","925,857.38","1,325,800.63","2,288,995.98","5,991,192.84","6,522,197.34","5,855,686.22","6,875,041.86","8,627,373.36","9,105,057.83","9,314,644.30","11,586,042.96","9,646,817.19","8,440,982.41"
应付职工薪酬,"6,697,204.40","7,551,891.40","8,925,644.82","6,576,579.37","7,333,068.19","8,224,757.46","6,284,307.06","7,182,364.30","8,077,333.08","9,351,674.76","4,993,161.56","6,494,013.76","7,830,414.69","9,229,392.52","3,154,488.06","6,932,031.51","8,042,734.61","15,070,063.24","10,189,789.74"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"4,250,741.21","2,560,847.09","-15,530,609.21","-17,713,590.80","-3,529,715.32","-12,951,493.30","-4,565,016.48","-5,386,885.24","-5,843,957.90","2,001,651.24","1,062,147.85","2,512,608.09","8,694,458.87","6,391,482.32","1,750,856.53","4,027,101.22","8,504,606.95","15,167,744.78","12,021,123.07"
应收利息,"1,667,696.96","117,577.78","309,359.31","3,335,483.56","2,327,561.79","1,803,967.05","4,073,429.56","1,867,774.18","2,382,739.57","2,919,984.24","778,184.39","2,495,127.99","3,900,743.67","1,040,850.28","321,060.54","474,311.29","1,004,475.16","857,149.25","260,771.14"
应付利息,,,,,,,,"33,000.00",,"595,294.52","723,265.56","1,190,303.01","1,669,134.33","2,224,315.89","2,828,375.96","3,463,650.41","5,157,473.69","6,144,414.84","7,265,068.26"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,"90,480.00","90,480.00",,
存货,"28,898,800.61","15,758,502.51","32,276,923.49","89,419,139.15","57,718,612.88","58,910,323.72","95,268,624.62","81,174,175.06","78,134,699.89","149,819,768.32","165,352,379.50","187,656,299.38","132,510,811.12","109,662,429.73","167,817,208.89","158,344,390.53","116,815,848.39","201,294,305.76","185,795,299.79"
其他应付款,"1,545,113.75","726,348.97","1,139,362.36","5,799,587.29","1,988,968.09","1,862,519.77","167,748,385.13","125,614,877.51","96,000,961.60","123,258,634.83","124,320,181.10","126,027,646.80","92,410,847.87","93,346,268.55","67,029,656.97","78,082,018.89","96,415,713.43","102,255,989.10","101,787,486.64"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,"400,000,000.00","349,390,000.00","300,000,000.00","371,100,000.00","465,000,000.00","294,111,425.00","427,105,078.15","86,234,478.17","311,528,590.69","247,979,521.53","198,491,082.11","59,429,394.88","65,919,123.07","35,796,202.42","52,367,438.42","54,367,348.83"
其他流动负债,,,,,,,"4,000,000.00",,,,,,,,,,,,
流动资产合计,"589,286,602.34","454,556,229.39","549,777,193.21","1,053,759,609.30","936,973,451.20","831,972,604.78","935,456,272.48","937,103,325.96","999,768,545.46","941,146,638.26","974,467,835.26","1,037,308,721.46","954,644,451.08","776,550,953.58","732,715,306.95","812,285,501.42","910,060,864.29","893,356,782.92","878,652,801.29"
流动负债合计,"318,659,243.81","175,008,900.41","273,154,531.54","223,400,661.61","150,027,332.75","67,274,851.48","336,713,488.08","328,786,868.14","352,033,060.14","416,249,979.10","445,730,264.72","503,998,305.17","431,850,466.89","304,942,151.90","275,935,958.27","380,362,246.50","458,219,614.96","487,308,740.34","472,885,651.94"
可供出售金融资产,,,,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,
长期借款,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","34,814,000.00","36,164,000.00","39,413,260.66","41,413,260.66"
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,
预计负债,"11,383,941.02","9,090,277.86","8,610,092.99","8,413,854.04","8,971,693.78","8,752,992.13","9,646,946.15","8,757,721.29","8,297,759.88","7,824,723.91","7,762,547.97","9,253,032.70","8,978,224.22","9,539,033.10","7,813,016.60","7,764,043.19","9,139,165.28","9,974,508.40","12,171,813.72"
固定资产,"40,376,413.58","46,199,429.79","198,629,908.45","201,385,485.46","199,715,347.67","197,257,261.58","229,690,603.57","242,421,606.38","238,584,873.03","258,062,639.29","273,768,823.00","302,374,367.71","299,790,966.90","345,077,711.30","341,078,714.61","348,144,136.94","342,945,807.11","344,132,740.83","340,668,399.98"
递延所得税负债,,,,,,,,,,"3,444,069.16","3,228,387.34","3,109,407.41","2,797,023.70","2,807,962.28","2,658,502.36","2,509,042.44","2,359,582.51","2,109,528.79","1,973,669.09"
在建工程,"36,976,162.12","116,110,556.02","20,379,547.45","21,709,832.81","25,380,063.50","35,022,922.13","45,175,805.21","40,700,930.42","52,773,453.65","70,083,559.31","63,761,109.52","39,714,608.25","46,054,730.58","14,525,705.75","21,183,791.95","19,647,080.74","26,198,276.13","43,596,611.32","48,875,346.27"
其他非流动负债,,,"18,232,500.00",,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,"12,051.49","12,051.49","12,051.49",,,
非流动负债合计,"11,383,941.02","9,090,277.86","26,842,592.99","25,711,354.04","25,801,693.78","25,115,492.13","25,710,696.15","24,185,221.29","23,257,759.88","25,761,293.07","25,015,935.31","27,669,940.11","26,615,247.92","26,719,495.38","27,566,718.96","26,900,785.63","28,090,270.41","30,785,229.58","32,475,879.43"
固定资产清理,,,,,,,,,,,,,,,,,,,
负债合计,"330,043,184.83","184,099,178.27","299,997,124.53","249,112,015.65","175,829,026.53","92,390,343.61","362,424,184.23","352,972,089.43","375,290,820.02","442,011,272.17","470,746,200.03","531,668,245.28","458,465,714.81","331,661,647.28","303,502,677.23","407,263,032.13","486,309,885.37","518,093,969.92","505,361,531.37"
生产性生物资产,,,,,,,,,,,,,,,,,"12,051.49",,
实收资本(或股本),"150,000,000.00","150,000,000.00","150,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","201,559,000.00","201,559,000.00","201,559,000.00","201,508,000.00","261,960,400.00","261,960,400.00","261,960,400.00","260,000,000.00","260,000,000.00","260,000,000.00","260,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,,
资本公积,"127,125,277.93","127,125,277.93","127,125,277.93","574,589,377.93","574,589,377.93","574,589,377.93","574,589,377.93","574,589,377.93","599,346,297.93","603,642,897.93","603,642,897.93","604,186,338.63","539,723,823.03","541,101,850.66","542,341,727.17","518,836,531.17","518,836,531.17","518,836,531.17","518,836,531.17"
无形资产,"49,142,039.46","48,197,456.26","47,099,878.06","46,677,241.38","46,399,639.56","46,177,226.41","69,840,317.79","68,896,858.32","68,010,474.41","70,702,370.25","69,664,979.35","79,505,049.87","92,137,926.13","117,620,220.93","116,319,288.42","115,020,854.11","111,687,694.80","110,127,281.43","113,089,810.91"
盈余公积,"19,136,377.48","34,309,808.88","46,920,254.26","52,760,023.75","46,920,254.26","54,863,530.37","54,863,530.37","54,863,530.37","54,863,530.37","57,715,135.41","57,715,135.41","57,715,135.41","57,715,135.41","59,312,785.49","59,312,785.49","59,312,785.49","59,312,785.49","59,312,785.49","59,312,785.49"
开发支出,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,"29,698,253.97","29,698,253.97","28,799,094.67","28,799,094.67","29,068,172.28","29,068,172.28",,,,
商誉,,,,,,,"151,352,549.57","151,427,568.87","151,427,568.87","146,951,352.09","146,951,352.09","146,951,352.09","146,951,352.09","146,951,352.09","146,951,352.09","146,951,352.09","146,951,352.09","146,951,352.09","146,951,352.09"
未分配利润,"92,227,397.32","168,788,279.92","202,282,288.32","254,840,213.69","217,660,418.07","193,771,591.94","212,669,493.80","230,236,144.94","246,272,342.95","224,126,887.10","238,597,415.01","251,251,954.06","262,271,973.00","235,733,508.50","221,563,443.19","223,123,469.60","240,643,714.35","177,184,595.78","181,289,137.60"
长期待摊费用,"2,635,807.31","1,895,629.55","12,445,313.21","10,927,102.84","10,167,997.66","9,408,892.48","8,860,083.29","15,980,680.95","15,383,441.84","14,357,907.28","15,147,414.27","14,449,151.66","13,270,594.69","13,906,901.84","13,587,322.03","11,466,840.05","10,855,832.77","9,221,114.21","7,999,308.59"
少数股东权益,,,,,,,"31,175,641.93","38,402,103.27","42,356,188.36","41,389,099.68","41,848,040.92","43,985,339.03","46,177,416.39","52,106,727.87","50,749,717.84","52,749,357.53","58,337,341.12","67,636,764.19","68,410,556.54"
