科目,2007-12-31,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,"46,819,000.00","176,378,000.00","1,216,511,400.00","334,582,400.00","633,065,120.00","261,717,000.00","1,872,478,065.00","528,427,530.00","614,371,460.00","615,398,800.00","667,804,410.00","711,794,600.00","826,914,000.00","782,611,200.00","798,915,600.00","786,524,500.00","714,699,450.00","999,670,250.00","1,423,994,520.00","1,419,145,150.00","1,915,215,750.00","1,960,800,625.00","1,901,904,000.00","2,843,876,350.00","4,226,592,240.00","4,307,204,862.48","2,799,782,910.00","3,090,226,796.16","3,272,193,581.25","3,339,139,110.85","5,531,578,480.76","3,251,969,524.60","4,800,261,904.17","5,348,360,786.99","7,006,547,821.52","6,611,444,182.28","4,382,369,738.66","4,032,203,702.09","3,254,596,251.92","1,581,860,926.54","2,546,299,551.60"
货币资金,"65,771,654,772.24","31,845,594,109.37","38,774,906,087.86","64,504,724,308.45","50,659,957,850.17","55,992,370,327.02","43,755,689,882.18","42,733,217,808.59","48,126,590,668.08","40,498,930,084.83","34,641,111,925.81","31,510,383,476.65","32,078,980,521.98","30,380,738,970.55","27,186,445,586.95","28,913,202,184.40","32,788,755,615.42","31,225,548,941.68","33,599,986,756.46","25,276,946,146.83","29,255,416,998.34","33,038,156,436.65","39,506,553,240.39","54,866,893,638.48","72,974,693,358.34","129,225,249,570.04","110,407,056,081.69","81,618,054,473.80","77,898,630,020.34","73,237,237,605.60","64,575,721,011.92","61,272,262,772.88","60,112,188,715.85","59,656,244,997.41","56,800,381,018.82","52,656,695,176.95","60,142,125,991.46","56,214,963,209.14","53,430,689,207.22","47,433,784,413.59","67,314,912,585.44"
其中：质押借款,,,,,,,,,,,,,,,,"275,689,000.00","25,438,455.00","211,085,750.00","515,365,500.00","114,003,350.00","475,830,000.00","452,437,500.00",,,,,,,,,,,,,,,,,,,
其中：客户资金存款,"62,600,516,345.05","27,657,697,438.69","33,438,229,064.07","57,138,165,508.79","46,185,095,358.47","51,382,794,122.10","41,189,619,749.18","39,445,920,192.90","42,926,078,680.90","35,993,788,356.00","28,712,827,119.07","2,838,854,220.83","29,697,687,873.67","26,484,061,285.71","23,825,952,130.02","26,852,742,074.66","28,334,855,856.19","26,771,009,793.36","23,493,568,015.43","22,683,148,572.53","24,072,343,942.10","25,438,493,042.27","34,247,328,560.82","47,486,938,045.51","65,986,772,435.63","112,520,512,161.13","78,043,286,348.23","72,416,265,172.70","65,100,129,320.95","64,279,986,642.57","55,131,159,283.91","50,326,986,281.30","49,578,458,693.14","48,716,177,350.09",,,"48,693,201,591.25",,"43,917,337,221.75","40,144,484,403.73",
拆入资金,,,,,,,,,,,,,,,,"111,000,000.00","3,300,000,000.00","500,000,000.00","1,100,000,000.00","1,000,000,000.00","1,000,000,000.00","1,500,000,000.00",,"4,600,000,000.00","3,000,000,000.00","1,000,000,000.00","1,000,000,000.00","4,000,000,000.00",,"1,600,000,000.00",,"1,500,000,000.00","1,200,000,000.00","1,750,000,000.00","7,570,000,000.00","1,470,000,000.00","5,000,000,000.00","3,000,000,000.00","1,000,000,000.00","3,519,000,000.00",
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,"352,272,000.00","1,145,508.97","24,437,510.20","63,679,677.03","301,852,316.96","383,253,838.37","453,311,439.89","83,607,769.76","128,207,665.96","192,146,067.12","31,039,614.21","102,379,217.07","260,103,775.19","253,718,373.04","351,409,124.51","281,201,989.42","230,072,869.16","372,884,725.01","552,895,619.29","651,815,333.76","701,397,959.50","685,147,757.83","493,215,374.88",,,,,,,"2,214,747,095.35","2,834,314,772.12","4,439,955,642.34","5,006,250,676.25","7,210,014,508.02","4,818,155,517.85","5,492,509,430.04","7,240,359,800.70",,,,
结算备付金,"7,245,287,420.64","2,843,243,081.78","3,547,067,543.85","4,663,307,178.18","21,510,905,705.14","4,928,912,879.54","4,574,297,540.17","19,908,695,305.82","4,161,361,581.98","2,966,634,346.27","3,978,608,364.65","4,204,670,532.66","6,080,122,127.09","5,312,444,783.67","5,401,132,845.72","4,693,925,591.75","5,312,031,473.86","6,187,641,473.02","4,746,938,448.58","5,047,161,047.55","5,928,468,086.13","6,048,274,553.48","6,646,271,069.70","12,191,800,738.04","10,780,575,363.39","24,774,448,840.92","17,379,530,617.47","19,166,188,028.21","14,146,312,049.40","11,676,725,581.66","16,946,175,088.53","19,043,468,593.71","15,409,395,817.22","14,784,264,670.08","13,129,113,205.52","14,010,490,946.36","16,104,655,449.62","15,419,884,471.87","14,604,961,651.09","13,796,280,422.62","17,809,435,440.30"
衍生金融负债,,,,,,,"32,264,396.71",,,,,,,,,,,"1,585,794.37","42,864,791.50","131,817,709.45","165,471,835.26","396,456,727.77","757,892,965.02","849,865,227.37","2,394,445,987.51","3,528,695,735.73","2,007,830,646.93","1,866,371,978.54","908,827,820.32","977,757,543.35","792,075,080.54","1,842,803,403.41","1,135,559,570.88","755,557,715.15","1,303,508,060.63","1,584,910,242.63","795,399,604.26","799,307,162.37","662,539,505.74","1,305,685,455.20","1,262,087,901.67"
