科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"96,547,858.15","93,165,886.80","116,747,889.56","250,841,844.00","206,395,753.15","96,993,202.96","309,983,723.65","107,063,699.33","88,096,805.98"
短期借款,,,,,,,,,
交易性金融资产,,,,"9,328.77",,,,,
交易性金融负债,,,,,,,,,
应收票据,,,,,,,,,
应付票据,,,,,,,,,
应收账款,"10,087,417.21","15,926,623.64","14,866,456.40","15,451,305.56","16,834,285.87","17,644,586.45","19,119,168.26","23,845,905.30","26,857,548.24"
应付账款,"22,505,756.23","23,332,202.14","21,645,200.33","38,863,197.61","36,764,377.21","45,390,007.89","34,794,199.34","48,859,928.90","50,051,805.84"
预付款项,"11,438,059.56","13,519,214.81","9,330,381.26","3,880,902.65","6,874,478.73","5,605,106.13","6,078,198.92","4,979,463.91","8,206,978.53"
预收款项,"4,416,948.06","5,668,850.42","5,078,375.38","5,227,617.07","5,586,967.86","5,275,840.85","6,421,674.42","7,419,188.60","8,355,123.72"
其他应收款,"24,187,475.28","23,577,003.01","26,241,397.21","26,733,892.48","28,236,178.15","29,884,530.72","31,764,927.14","33,231,456.19","34,124,383.64"
应付职工薪酬,"6,037,903.10","7,503,779.38","9,988,096.68","10,789,306.04","8,535,669.68","9,620,703.48","10,447,627.93","10,828,032.75","10,229,501.42"
应收关联公司款,,,,,,,,,
应交税费,"12,666,259.12","11,523,808.20","13,750,672.02","12,940,773.69","11,239,444.32","14,275,298.85","15,731,798.15","18,918,092.48","10,832,138.22"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"77,292,878.77","74,266,587.33","65,407,209.63","78,583,845.55","76,615,164.36","79,448,983.35","72,366,703.85","99,730,848.19","101,881,444.29"
其他应付款,"937,051.43","1,112,535.76","2,610,994.91","1,928,585.90","2,494,976.36","2,613,410.04","2,906,186.77","3,059,230.83","16,981,755.44"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,,"442,522.30","293,542.67","60,047,279.06","90,425,851.50","225,341,018.82","11,543,838.05","217,532,225.34","217,835,984.56"
其他流动负债,,,,,,,,,
流动资产合计,"219,553,688.97","220,897,837.89","232,886,876.73","435,548,398.07","425,381,711.76","454,917,428.43","450,856,559.87","486,383,598.26","477,003,145.24"
流动负债合计,"46,563,917.94","49,141,175.90","53,073,339.32","69,749,480.31","64,621,435.43","77,175,261.11","70,301,486.61","89,084,473.56","96,450,324.64"
可供出售金融资产,,,,,,,,,"13,233,200.00"
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,"284,139.26","284,139.26","284,139.26",
固定资产,"45,219,430.24","42,783,910.88","42,372,149.13","42,365,707.09","41,952,358.61","41,969,484.01","41,819,435.83","42,549,653.70","42,205,925.53"
递延所得税负债,,,,,,,,,
在建工程,"75,400.27","678,185.17","500,822.92","114,769.50","590,438.21","1,228,894.86","577,660.60","810,309.15","938,305.79"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
