科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"59,296,280.21","50,888,266.08","79,133,513.87","85,401,416.75","185,739,713.07","190,050,411.75","138,753,258.29","143,974,024.80","86,290,501.54","49,479,639.90","45,173,715.96","50,855,327.60","51,191,624.99","48,786,762.60","109,874,873.39","63,548,091.10","127,277,300.88"
短期借款,,,,,,,,,,,"57,820,000.00","62,390,000.00","109,040,000.00","108,590,000.00","181,761,889.00","181,761,889.00","227,237,365.02"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"358,437.98","3,320,350.00","2,182,546.29","2,009,000.00","620,000.00","172,000.00","2,102,988.00","1,969,011.87","2,364,511.08","2,361,853.10","15,219,273.50","18,448,780.00","1,251,450.09","10,652,128.33","13,168,112.59","14,600,864.26","18,350,230.26"
应付票据,,,,,,,,,,,,,"3,572,000.00","38,306,707.47","76,431,502.47","69,878,023.80","81,862,668.25"
应收账款,"38,318,937.47","46,491,751.63","27,133,095.26","25,778,359.78","43,579,218.10","38,030,169.91","30,674,683.60","32,694,872.40","32,503,744.47","27,512,600.15","255,376,632.45","279,452,658.41","257,052,498.73","307,268,637.47","330,715,804.19","344,633,016.06","414,677,694.06"
应付账款,"17,973,985.38","9,066,483.25","13,506,065.06","10,063,356.15","10,059,088.26","10,502,912.20","8,121,286.97","8,154,565.66","12,764,686.74","19,036,592.67","168,198,387.41","193,042,911.38","173,203,985.07","158,933,076.94","182,868,790.32","207,777,618.48","364,119,016.13"
预付款项,"367,791.73","435,316.45","185,169.71","327,384.99","527,723.10","1,449,955.24","252,678.97","2,776,761.34","761,749.37","3,323,777.04","3,243,060.74","11,069,044.93","15,298,197.02","6,129,347.73","2,952,614.66","16,341,513.94","2,482,343.32"
预收款项,"6,232,395.45","4,412,606.85","9,956,133.78","18,364,399.01","18,675,138.62","21,154,158.69","13,474,613.19","14,283,307.31","14,452,013.11","16,378,596.59","22,682,509.41","32,973,326.10","29,299,347.80","35,104,707.85","36,671,193.92","41,346,185.48","43,915,730.95"
