科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"86,685,539.46","95,042,293.05","105,142,981.76","243,217,182.98","192,868,402.07","211,897,381.11","298,987,885.63","172,188,702.34","138,416,409.52"
短期借款,"27,600,000.00","16,382,888.49","100,000.00","3,150,218.99","3,150,218.99","776,500.00","776,500.00",,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"954,589.76","1,700,000.00","3,505,905.60","5,167,000.00","1,040,277.83","7,765,000.00","36,580,106.00","42,254,352.86","24,592,628.07"
应付票据,"1,980,000.00",,,,,,,,
应收账款,"76,283,802.93","74,149,404.71","65,914,874.62","52,466,277.67","72,602,302.90","102,564,375.80","60,895,217.27","71,439,738.98","108,220,962.61"
应付账款,"66,659,787.73","74,975,551.84","54,254,941.40","30,569,070.19","35,587,362.18","35,634,307.97","47,499,711.77","40,451,318.36","61,150,366.48"
预付款项,"48,500.00","489,601.14","1,745,284.52","287,897.54","1,621,068.64","1,255,788.81","669,850.20","2,427,437.78","1,238,400.59"
预收款项,"11,943,898.67","29,584,002.94","78,348,641.42","49,653,391.86","29,707,934.75","107,766,976.98","31,283,027.60","25,482,117.02","9,749,222.98"
其他应收款,"3,653,634.36","8,341,356.04","8,873,591.11","6,597,410.74","6,222,074.50","6,857,869.59","4,108,928.00","5,464,203.99","6,252,214.52"
应付职工薪酬,"2,919,407.11","3,844,772.80","5,008,098.22","5,192,387.41","5,731,633.47","6,218,699.78","7,007,628.61","7,398,362.13","8,366,581.59"
应收关联公司款,,,,,,,,,
应交税费,"4,148,461.76","5,133,038.90","4,430,083.46","2,782,256.41","7,030,209.61","4,951,879.43","4,857,659.46","2,589,962.63","5,103,475.84"
应收利息,,,,,,,,,
应付利息,"50,555.55","14,853.76",146.21,"2,839.56","4,140.25",985.18,"1,083.70",,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"36,746,764.69","60,023,646.28","108,900,808.74","99,761,897.90","56,347,382.15","94,198,232.70","59,190,497.03","43,536,365.16","35,431,203.11"
其他应付款,"26,659.81","140,998.22","897,221.05","1,085,635.49","871,973.72","868,206.18","139,448.75","486,397.41","705,715.07"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,"31,676,879.99","36,592,250.15","43,638,514.82","39,905,115.45","51,043,864.55","54,885,733.09","60,595,785.98","59,534,781.69","71,603,075.51"
一年内到期的非流动负债,"29,411,366.66","36,027,044.96","47,833,687.45","37,625,580.91","50,921,514.43","50,812,998.24","54,931,359.39","59,451,305.82","63,466,871.69"
其他流动资产,"3,216,522.51","1,957,031.40","919,619.02","1,459,719.03","80,234,932.79","81,283,933.25","10,308,766.01","131,659,286.28","173,078,618.12"
其他流动负债,,,,,,,,,
流动资产合计,"239,266,233.70","278,295,582.77","338,641,580.19","448,862,501.31","461,980,305.43","560,708,314.35","531,337,036.12","528,504,869.08","558,833,512.05"
流动负债合计,"144,740,137.29","166,103,151.91","190,872,819.21","130,061,380.82","133,004,987.40","207,030,553.76","146,496,419.28","135,859,463.37","148,542,233.65"
可供出售金融资产,,"5,341,250.00","5,341,250.00","5,341,250.00","5,341,250.00",,"975,000.00","975,000.00","975,000.00"
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,"14,861,290.00","14,861,290.00","14,861,290.00"
固定资产,"7,527,408.89","12,016,631.96","13,681,539.62","12,321,244.52","11,008,014.67","9,539,229.39","8,707,880.13","7,832,493.88","7,044,562.60"
递延所得税负债,,,,,,,,,
在建工程,,,,,,,,,
其他非流动负债,"23,661,463.86","29,319,346.06","46,068,740.87","48,698,219.24","54,752,192.58","52,337,911.66","66,261,161.62","59,962,920.45","55,456,346.79"
工程物资,,,,,,,,,
非流动负债合计,"23,661,463.86","29,319,346.06","46,068,740.87","48,698,219.24","54,752,192.58","52,337,911.66","81,122,451.62","74,824,210.45","70,317,636.79"
固定资产清理,,,,,,,,,
负债合计,"168,401,601.15","195,422,497.97","236,941,560.08","178,759,600.06","187,757,179.98","259,368,465.42","227,618,870.90","210,683,673.82","218,859,870.44"
生产性生物资产,,,,,,,,,
实收资本(或股本),"61,500,000.00","61,500,000.00","61,500,000.00","82,000,000.00","106,600,000.00","106,600,000.00","107,339,000.00","107,339,000.00","107,339,000.00"
油气资产,,,,,,,,,
资本公积,"9,828,090.93","9,828,090.93","9,828,090.93","157,816,653.43","133,335,521.41","133,335,521.41","148,226,111.41","150,530,888.68","152,835,665.92"
无形资产,"1,145,796.33","1,936,897.48","3,113,447.29","3,883,209.33","6,647,875.28","7,799,056.98","9,179,607.39","8,583,384.78","8,464,787.32"
盈余公积,"3,690,873.54","7,515,901.44","12,008,230.16","12,008,230.16","12,008,230.16","12,008,230.16","17,813,170.92","17,813,170.92","17,813,170.92"
开发支出,,,,,,,,,
减:库存股,,,,,,,"14,861,290.00","14,861,290.00","14,861,290.00"
商誉,,,,,,,,,
未分配利润,"29,934,664.73","50,895,980.83","82,321,088.65","88,636,328.00","94,119,239.82","116,830,102.55","123,566,072.38","130,558,165.39","147,145,282.71"
长期待摊费用,"529,270.70","372,100.69","587,700.96","553,370.16","479,671.64","374,478.95","311,855.42","416,463.48","340,679.50"
少数股东权益,"1,283,337.92","202,035.97","-1,166,237.70","-1,306,062.90","-1,303,892.73","-1,192,903.49","-1,463,954.07","-1,687,002.68","-1,482,122.41"
