科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"359,622,550.50","384,522,256.45","461,254,865.90","191,146,287.02","417,080,211.47","107,281,635.10","181,456,355.68","292,443,865.86","385,502,885.13","91,116,435.13","204,376,565.91","416,166,257.16","629,792,239.97","125,871,290.18","252,666,344.22","455,360,349.76","629,986,758.88","131,276,152.36","271,464,060.93","433,700,082.17"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"190,334,634.94","241,293,741.42",,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,"9,242,390.75",
支付其他与投资活动有关的现金,,,,,,,"200,000,000.00","245,000,000.00","185,000,000.00","44,985,369.86","114,998,125.45","203,840,438.35","1,224,800,000.00",,"40,000,000.00","294,824,418.55","1,514,215,833.59","264,540,788.99","549,400,000.00","862,207,519.66"
收到其他与经营活动有关的现金,"784,453.26","5,107,850.25","4,792,977.82","3,279,480.27","8,615,574.93","1,702,689.74","921,996.31","1,215,365.14","5,054,372.55","511,923.12","2,657,711.26","4,859,745.78","23,724,554.48","1,758,784.00","9,897,547.99","13,849,844.44","21,498,792.70","1,401,020.84","8,714,680.15","2,585,141.38"
投资活动现金流出小计,"13,802,471.48","16,715,628.54","9,931,903.22","4,220,956.97","7,651,313.71","539,893.34","204,640,435.01","252,096,775.08","230,231,918.69","344,038,834.17","419,091,959.53","405,853,238.85","1,516,640,219.14","3,304,650.55","46,838,877.04","304,794,680.21","1,687,365,063.40","275,555,612.01","561,063,909.95","901,100,317.71"
经营活动现金流入小计,"360,407,003.76","389,630,106.70","466,047,843.72","194,425,767.29","425,695,786.40","108,984,324.84","182,378,351.99","293,659,231.00","390,557,257.68","91,628,358.25","207,034,277.17","421,026,002.94","653,516,794.45","127,630,074.18","262,563,892.21","469,210,194.20","651,485,551.58","132,677,173.20","289,421,131.83","436,285,223.55"
投资活动产生的现金流量净额,"-11,668,255.82","-16,715,628.54","-9,931,903.22","-4,220,956.97","-7,651,313.71","-539,893.34","-203,229,879.45","-248,559,288.97","-225,379,620.18","-341,521,213.63","-414,233,378.98","-397,986,442.69","-104,253,133.03","-1,197,392.53","-32,341,305.04","-287,635,248.48","-154,146,233.10","-235,287,338.04","-256,218,933.50","-342,779,315.11"
购买商品、接受劳务支付的现金,"204,180,617.30","203,243,316.68","277,195,953.98","124,561,882.01","261,973,001.49","71,124,399.34","122,332,325.79","182,569,942.78","220,974,920.14","51,218,737.87","112,680,050.33","198,381,369.95","240,477,928.88","111,142,582.03","169,606,977.78","231,584,301.94","274,588,286.84","73,972,591.85","138,807,181.27","218,748,151.87"
吸收投资收到的现金,,"6,794,040.00",,,,"304,113,256.00","299,223,864.85","299,223,864.85","304,113,256.00","423,609,509.50","499,779,806.20","422,699,871.34","425,604,669.50",,"4,666,100.00","4,666,100.00","2,670,940.00",,,
支付给职工以及为职工支付的现金,"29,879,382.77","34,793,834.15","43,487,144.48","25,280,102.81","53,101,245.27","10,608,937.73","26,198,809.94","41,903,696.56","58,458,792.06","17,464,682.92","35,611,863.39","72,314,095.24","109,656,117.98","38,437,459.08","64,733,637.55","114,033,419.43","163,456,160.00","37,332,008.18","72,124,075.90","114,407,391.76"
取得借款收到的现金,"86,510,000.00","116,280,000.00","69,040,000.00",,"69,040,000.00",,"5,200,000.00","18,690,000.00","68,290,000.00",,"7,000,000.00","54,600,000.00","120,000,000.00",,"7,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","55,000,000.00"
支付的各项税费,"34,923,999.42","33,326,404.49","37,953,258.90","15,263,448.01","35,677,301.48","4,940,333.33","14,078,456.16","20,676,755.10","31,888,762.05","6,285,634.75","21,129,445.61","35,710,443.19","60,279,835.25","26,318,546.68","34,885,711.79","47,457,498.60","67,997,794.59","28,595,287.91","43,443,031.49","43,572,201.53"
收到其他与筹资活动有关的现金,,,"3,054,807.12","5,414,400.00",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"60,065,805.16","44,471,513.86","37,395,691.81","22,665,695.87","49,481,660.14","41,371,025.06","20,722,458.38","34,031,190.29","41,844,217.22","20,276,903.00","39,840,486.21","81,508,466.58","88,503,520.50","43,066,719.68","54,141,681.36","91,727,168.56","107,298,187.85","37,448,672.60","96,618,552.99","87,916,486.26"
筹资活动现金流入小计,"86,510,000.00","123,074,040.00","72,094,807.12","5,414,400.00","69,040,000.00","304,113,256.00","304,423,864.85","317,913,864.85","372,403,256.00","423,609,509.50","506,779,806.20","477,299,871.34","545,604,669.50",,"11,666,100.00","34,666,100.00","42,670,940.00","40,000,000.00","40,000,000.00","55,000,000.00"
经营活动现金流出小计,"329,049,804.65","315,835,069.18","396,032,049.17","187,771,128.70","400,233,208.38","128,044,695.46","183,332,050.27","279,181,584.73","353,166,691.47","95,245,958.54","209,261,845.54","387,914,374.96","498,917,402.61","218,965,307.47","323,368,008.48","484,802,388.53","613,340,429.28","177,348,560.54","350,992,841.65","464,644,231.42"
