科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"44,003,028.64","71,700,966.46","43,956,250.65","723,959,646.54","659,611,602.33","629,105,789.07","560,703,128.47","537,305,192.48","593,688,810.86","542,965,815.04","513,004,130.75","487,611,635.62","548,355,846.51","535,115,632.39","511,723,555.69","493,915,915.87","534,490,491.54","489,552,979.40","477,405,915.18","472,406,150.41","538,604,145.71","378,088,367.00","299,326,099.10","253,804,676.09","254,654,169.93","222,613,115.71","312,343,630.18","281,226,812.47","194,610,279.20","138,922,030.67","246,237,879.86","125,281,892.08","114,779,568.58","120,207,781.94","140,270,009.48","128,905,179.13","87,583,656.12","110,048,998.37"
短期借款,"69,000,000.00","93,000,000.00","90,000,000.00","90,000,000.00",,,,,,,"15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,"11,371,450.13",,,,"8,000,000.00","8,000,000.00","5,400,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00"
交易性金融资产,,,,,,,,,,"300,000.00",,,,,,,,,,,,,,,,,,,"5,000,868.49","1,208,981.23",,"6,000,000.00","6,058,244.38",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,310,000.00","1,600,000.00","4,678,920.00","3,960,000.00","7,000,000.00","13,573,732.00","1,980,000.00","1,900,000.00",,"7,270,000.00","13,010,000.00","4,560,000.00","19,188,842.31","4,400,000.00","5,127,000.00","5,823,663.89","14,303,734.52","10,529,087.93","5,841,596.00","14,730,000.00","21,075,633.13","11,005,980.00","9,110,000.00","21,417,720.00","7,125,296.47","13,142,135.24","4,443,394.92","7,460,000.00","22,366,482.74","21,147,246.45","28,719,205.00","20,084,123.95","43,218,668.93","29,942,580.79","30,541,009.61","24,256,281.50","53,232,542.10","50,918,243.47"
应付票据,,,,,,,,,,,"32,044,074.68","34,641,074.68","2,947,000.00","30,367,540.00","55,077,540.00","50,333,940.16","67,917,454.15","46,310,593.49","36,147,554.39","41,370,951.59","45,231,217.62","37,672,530.00","39,003,694.68","42,028,550.68","66,391,827.97","63,928,069.50","47,020,975.47","60,293,008.50","53,344,393.80","41,339,793.73","29,821,271.49","19,422,651.85","9,375,221.66","19,163,797.41","21,420,134.10","20,172,195.63","29,019,195.73","29,207,705.96"
应收账款,"182,970,801.40","228,050,758.90","281,365,267.21","267,207,939.98","261,446,856.61","270,363,540.77","309,902,323.95","320,576,245.76","310,041,043.76","304,233,846.37","355,001,443.31","402,487,971.45","349,549,526.64","362,877,468.76","421,403,693.24","460,954,364.04","433,531,105.59","480,748,146.15","508,724,148.55","500,363,027.51","471,803,073.25","476,744,363.35","508,417,237.71","504,685,918.34","541,331,229.24","527,469,636.09","583,791,901.30","541,130,763.73","552,708,985.59","539,053,663.24","526,768,244.03","488,734,371.33","463,637,198.51","454,165,658.39","440,229,195.56","469,437,334.70","472,949,511.83","415,033,036.16"
应付账款,"111,917,752.08","164,179,211.11","163,568,342.44","142,125,664.38","146,339,424.10","126,313,395.48","132,905,350.25","142,396,481.63","132,421,379.39","207,114,648.06","195,539,899.30","223,572,724.65","254,407,273.20","228,488,582.77","275,838,504.61","312,757,085.68","233,494,642.68","242,814,706.98","275,843,601.84","273,997,224.27","252,550,341.75","255,374,070.33","277,529,002.51","307,160,395.02","293,484,597.53","274,347,527.80","277,816,307.92","237,374,147.54","270,722,118.19","263,356,126.96","261,759,243.03","285,233,932.77","271,264,413.75","257,020,493.59","255,938,455.18","260,652,041.36","273,791,304.49","239,993,232.07"
预付款项,"4,383,723.40","5,959,068.28","7,452,518.92","2,317,455.60","16,237,213.46","29,316,176.66","63,212,892.09","58,325,941.62","39,965,561.74","77,794,043.92","22,875,312.78","17,919,975.12","14,861,639.44","19,450,722.37","25,034,239.73","24,618,502.95","24,353,688.18","26,027,259.78","23,864,231.82","34,737,452.68","25,185,845.07","26,518,033.68","30,973,806.75","29,620,975.40","25,882,839.60","43,972,626.65","34,704,743.77","45,874,781.13","25,603,843.89","25,979,262.41","24,781,193.81","25,418,004.08","24,811,578.40","11,451,082.57","15,535,993.44","13,073,873.34","13,859,298.97","20,100,922.57"
预收款项,"48,439,331.19","29,935,882.21","11,717,266.84","8,827,527.33","15,425,649.39","35,404,865.66","16,837,233.17","25,701,352.73","15,309,335.89","25,639,849.69","28,905,703.14","30,688,147.04","15,814,516.26","30,962,824.33","22,268,559.94","33,158,574.75","27,608,100.97","39,290,617.81","37,171,419.58","21,698,534.70","23,600,861.27","24,351,608.93","22,056,452.64","18,507,625.62","22,715,537.16","18,232,863.81","11,403,599.76","9,692,633.19","13,538,052.80","7,902,790.62","9,372,083.54","20,786,958.86","26,522,577.92","27,097,882.50","20,503,821.81","16,118,451.14","34,230,795.21","40,441,810.18"
