科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"64,534,558.02","112,817,732.58","182,726,469.83","86,233,644.79","132,146,280.07","196,529,646.26","60,994,047.77","143,767,450.71","235,278,610.05","316,281,620.42","74,491,363.76","158,758,700.13","349,736,450.73","500,606,039.07","208,291,648.96","379,488,833.22","616,036,514.46","969,744,454.48","221,154,726.77","499,584,801.84","787,481,680.59","1,192,802,827.37","345,584,976.32","730,306,300.22","1,026,645,870.01","1,632,744,331.90"
取得子公司及其他营业单位支付的现金净额,"22,787,522.57",,,,,,,,,"5,833,680.96",,"18,603,668.80","111,145,668.22","198,863,216.04","9,180,000.00","17,162,400.00","199,918,365.61","163,773,778.47","102,282,310.00","105,258,022.21","105,258,022.21","87,697,957.66","38,770,000.00","555,645,367.03","638,072,864.03","535,970,832.64"
收到的税费返还,,,,"3,195,410.25","3,287,834.10","99,000.00",,"475,547.26","1,387,925.21",,,,,,,,,,,,,"23,613.01",,,,
支付其他与投资活动有关的现金,,,,,,,,,,"78,000,000.00",,,"280,000,000.00",,"51,771,692.06",,,,,,,"179,846.32",,,,
收到其他与经营活动有关的现金,"25,642,505.70","3,965,938.54","2,870,836.07","1,195,139.11","3,855,117.40","7,234,694.56","4,557,181.28","5,643,576.13","13,710,967.12","27,206,226.39","1,070,270.15","4,906,879.58","19,788,401.35","35,472,316.38","10,903,351.90","10,907,285.97","14,090,346.87","45,570,575.31","11,474,682.33","14,915,615.20","26,335,398.08","48,226,602.73","69,896,535.14","17,513,216.12","74,642,317.18","95,479,796.20"
投资活动现金流出小计,"39,166,262.91","22,290,239.97","127,240,861.50","9,826,903.83","23,691,094.82","22,689,693.38","26,217,715.45","54,717,081.16","41,681,128.17","140,209,848.44","62,410,597.81","122,494,549.61","478,896,836.26","746,720,461.90","93,179,858.36","128,976,867.27","330,307,020.76","779,169,617.49","336,627,404.53","470,738,580.66","615,282,673.94","1,128,703,835.88","142,004,153.35","911,775,960.17","1,356,035,101.58","1,589,651,061.61"
经营活动现金流入小计,"90,177,063.72","116,783,671.12","185,597,305.90","90,624,194.15","139,289,231.57","203,863,340.82","65,551,229.05","149,886,574.10","250,377,502.38","343,487,846.81","75,561,633.91","163,665,579.71","369,524,852.08","536,078,355.45","219,195,000.86","390,396,119.19","630,126,861.33","1,015,315,029.79","232,629,409.10","514,500,417.04","813,817,078.67","1,241,053,043.11","415,481,511.46","747,819,516.34","1,101,288,187.19","1,728,224,128.10"
投资活动产生的现金流量净额,"-34,165,237.31","-20,764,058.67","4,644,941.02","-9,826,903.83","-23,691,094.82","-22,689,129.38","-26,217,715.45","-54,715,106.53","-41,674,847.58","-139,754,079.45","-56,410,597.81","-43,350,606.62","-399,542,053.27","-219,458,478.62","-64,712,011.23","-43,690,049.29","-235,793,872.96","-413,185,015.60","-328,504,794.53","-275,200,743.97","-284,987,128.57","-530,002,150.96","-11,714,207.80","-559,103,017.10","-722,229,297.92","-846,404,672.97"
购买商品、接受劳务支付的现金,"31,701,848.17","39,973,396.51","59,187,819.93","31,160,242.39","36,812,999.63","71,021,211.37","21,197,032.98","60,286,002.68","92,790,867.56","108,553,833.82","34,407,210.99","65,617,838.93","130,240,520.16","177,103,597.05","53,222,912.54","97,566,227.30","153,326,697.29","261,788,611.04","90,113,510.93","121,314,934.30","149,561,640.11","376,683,919.45","97,959,496.10","224,447,205.54","320,865,236.43","519,215,135.30"
吸收投资收到的现金,,"19,290,406.51","245,000.00",,"481,170,979.00","483,480,979.00","400,000.00","1,941,267.66","1,941,267.66","2,244,954.20",,"1,231,330.00","1,721,330.00","45,406,097.35",,"8,607,200.00","8,607,200.00","45,131,152.64","478,999,990.64","484,351,190.64","488,551,190.64","596,784,024.71","50,000,000.00","659,199,999.30","659,889,999.30","714,557,748.55"
支付给职工以及为职工支付的现金,"10,713,381.89","31,321,245.43","53,002,590.57","31,176,800.03","55,575,682.94","74,218,917.09","26,927,299.59","50,306,462.92","76,299,006.63","103,317,819.02","39,770,206.14","64,621,433.33","138,097,247.80","214,830,297.83","70,880,181.67","161,369,171.41","206,709,507.27","355,669,616.79","87,493,271.54","254,639,334.60","367,649,965.39","490,328,640.18","127,571,346.20","291,852,624.11","439,392,901.87","610,071,767.66"
取得借款收到的现金,,,,,,,,,,,"49,208,252.18","49,251,684.00","273,662,399.91","269,236,000.00",,,"188,049,143.04","281,911,828.60","5,300,000.00","7,700,000.00","108,100,000.00","332,661,703.83","26,673,280.00","81,665,625.00","168,602,544.46","362,965,343.38"
支付的各项税费,"3,434,279.18","4,631,335.38","15,333,110.90","9,520,595.16","14,565,452.08","17,510,527.67","6,660,965.49","14,584,869.07","19,209,071.64","26,400,906.85","7,624,418.57","18,228,978.07","35,630,817.81","41,123,649.60","13,182,573.50","32,183,205.56","48,939,646.07","59,280,474.63","21,382,654.26","48,090,456.54","72,201,542.21","71,777,341.30","20,661,376.78","69,123,335.75","102,431,416.55","127,087,897.77"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"449,402.35",,"22,500,000.00","27,700,000.00","32,441,720.00","26,350,976.00",,,"20,536,624.75","24,263,893.33",,,,
支付其他与经营活动有关的现金,"22,379,254.35","14,271,940.33","19,382,234.03","10,657,841.50","11,002,065.32","26,130,165.35","7,489,035.39","11,625,182.83","16,124,037.15","28,115,700.95","10,915,561.46","19,909,625.00","50,636,110.15","59,359,914.41","55,716,250.55","47,776,583.17","152,364,268.78","152,844,233.99","57,864,975.42","69,071,345.57","165,610,573.79","110,352,149.84","80,300,271.85","52,315,448.10","99,917,195.24","156,878,465.56"
筹资活动现金流入小计,,"19,290,406.51","245,000.00",,"481,170,979.00","483,480,979.00","400,000.00","1,941,267.66","1,941,267.66","2,244,954.20","49,208,252.18","50,483,014.00","275,833,132.26","314,642,097.35","22,500,000.00","36,307,200.00","229,098,063.04","353,393,957.24","484,299,990.64","492,051,190.64","617,187,815.39","953,709,621.87","76,673,280.00","740,865,624.30","828,492,543.76","1,077,523,091.93"
经营活动现金流出小计,"68,228,763.59","90,197,917.65","146,905,755.43","82,515,479.08","117,956,199.97","188,880,821.48","62,274,333.45","136,802,517.50","204,422,982.98","266,388,260.64","92,717,397.16","168,377,875.33","354,604,695.92","492,417,458.89","193,001,918.26","338,895,187.44","561,340,119.41","829,582,936.45","256,854,412.15","493,116,071.01","755,023,721.50","1,049,142,050.77","326,492,490.93","637,738,613.50","962,606,750.09","1,413,253,266.29"
偿还债务支付的现金,,,,,,,,,,,,,"123,350,000.00","43,775,259.45","269,236,000.00","276,083,617.72","272,236,000.00","291,450,062.46","7,702,277.73","66,910,456.45","219,098,170.09","378,764,591.67","79,705,135.37","71,822,691.45","71,822,691.45","287,562,185.87"
