科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"37,510,561,421.16","49,343,490,604.32","47,566,203,646.33","18,045,007,053.30","36,588,408,455.22","5,442,580,922.68","15,355,651,148.89","21,883,680,281.18","28,335,088,495.16","3,789,508,625.23","9,459,015,480.63","13,330,663,402.60","23,654,454,329.03","3,508,496,961.50","8,706,467,383.94","16,194,293,975.33","32,177,398,012.75","9,325,409,998.11","21,196,268,186.84","32,595,069,743.66","56,738,847,670.99","11,953,172,202.07"
取得子公司及其他营业单位支付的现金净额,"2,033,473,860.15","1,208,423,473.89","55,000,000.00",,,"173,678,200.00",,,"157,193,543.60",,,,,,"4,508,797,820.81","4,508,949,720.81","4,509,647,200.00",,,,,
收到的税费返还,,,,,,,,,,,,,"19,630,478.78",,,,,,,,,
支付其他与投资活动有关的现金,"43,052,695.12","43,000,000.00","7,229,148.98","698,000.00","1,388,000.00","8,968,318.48","175,189,900.00","264,744,768.40","102,119,747.92","5,490,079.03","21,400.00","41,400.00","30,326,500.00","4,791,873.12","229,136.32","1,140,217.28","290,838.09","10,806,250.76","2,650,000.00","303,142,183.93","308,556,476.47","4,846,685.30"
收到其他与经营活动有关的现金,"692,931,008.89","994,153,437.26","866,541,644.04","418,375,253.00","877,287,558.87","144,291,132.81","479,127,622.88","600,794,216.06","844,856,160.83","91,447,274.03","687,560,170.49","957,453,158.98","2,005,204,932.43","73,526,990.62","716,165,648.61","1,187,253,286.09","1,462,696,809.31","330,517,449.50","1,146,079,984.75","2,123,383,349.48","781,092,668.76","416,971,327.91"
投资活动现金流出小计,"9,127,713,470.23","10,428,685,590.56","7,396,817,364.94","3,020,725,157.47","6,568,669,454.83","1,827,116,518.48","1,697,628,897.37","2,797,580,170.87","3,333,804,374.17","1,854,291,784.03","1,392,457,463.23","2,117,621,001.69","2,679,464,305.59","511,863,647.86","5,556,322,854.96","5,865,272,898.21","6,519,877,744.08","294,642,086.99","643,988,569.37","3,334,328,280.13","9,870,437,334.18","1,537,237,431.24"
经营活动现金流入小计,"38,203,492,430.05","50,337,644,041.58","48,432,745,290.37","18,463,382,306.30","37,465,696,014.09","5,586,872,055.49","15,834,778,771.77","22,484,474,497.24","29,179,944,655.99","3,880,955,899.26","10,146,575,651.12","14,288,116,561.58","25,679,289,740.24","3,582,023,952.12","9,422,633,032.55","17,381,547,261.42","33,640,094,822.06","9,655,927,447.61","22,342,348,171.59","34,718,453,093.14","57,519,940,339.75","12,370,143,529.98"
投资活动产生的现金流量净额,"-8,478,913,617.17","-9,570,263,876.34","-6,340,539,854.23","-2,888,934,148.02","-5,811,793,623.90","-1,821,934,936.18","-1,687,393,287.29","-2,603,166,979.98","-3,130,216,930.66","-1,850,059,134.05","-1,252,067,446.19","-1,803,567,271.63","-1,854,968,456.65","-511,593,171.97","-2,984,602,320.74","-3,273,347,766.47","-267,794,332.14","-208,155,604.33","-504,343,158.60","-2,996,505,117.27","-8,513,785,624.87","-1,489,747,822.84"
购买商品、接受劳务支付的现金,"13,387,692,619.19","18,232,160,747.29","22,144,886,095.58","6,342,439,024.66","14,933,796,182.90","1,914,049,931.93","6,664,445,537.34","9,946,357,302.90","9,202,848,603.12","805,392,779.43","1,776,920,271.10","3,393,484,385.29","8,474,443,377.13","710,968,297.30","2,721,476,952.56","4,370,071,313.62","11,253,328,460.80","2,109,947,170.47","6,192,956,315.06","9,021,458,715.89","21,165,097,536.34","3,240,177,957.10"
吸收投资收到的现金,"273,504,750.00","210,050,000.00","221,424,000.00","91,000,000.00","91,000,000.00","3,809,739,100.00","3,809,739,130.43","3,809,745,130.43","3,809,745,130.43",,"17,500,000.00","17,500,000.00",,,,,"600,000.00",,"10,000.00",,"700,000.00",
支付给职工以及为职工支付的现金,"5,019,739,377.39","7,256,720,790.83","7,984,164,694.98","3,682,651,674.70","7,442,578,019.17","1,602,180,210.76","3,108,156,394.95","4,708,791,824.41","6,569,388,352.92","1,114,106,000.34","2,727,089,440.80","3,679,463,618.43","5,348,480,333.95","983,349,616.13","1,608,561,722.52","2,345,172,616.34","4,187,671,547.07","843,498,167.55","2,043,138,721.20","2,625,961,048.95","4,495,679,709.14","919,560,332.00"
