科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"265,469,259.60","312,916,865.23","370,775,179.55","406,254,827.66","561,584,375.85","110,840,510.08","184,784,486.42","274,050,701.79","285,807,713.24","136,429,437.35","191,030,509.99","350,801,551.09","347,172,519.04","109,015,378.51","184,555,472.93","352,653,279.03","331,581,806.65","169,063,732.35","364,463,624.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"1,015,445.70",,,
收到的税费返还,"56,297.97",,,"780,741.60","1,411,483.20",,,,,,,,"370,651.18",,,"280,329.60","911,071.20",,"60,516.02"
支付其他与投资活动有关的现金,"565,900,000.00","202,500,000.00","179,200,000.00","150,000,000.00","150,000,000.00",,"130,000,000.00","130,000,000.00","742,000,000.00",,"130,000,000.00","130,000,000.00","1,074,000,000.00",,,,"1,406,000,000.00",,
收到其他与经营活动有关的现金,"3,618,363.27","37,054,153.71","31,124,119.76","48,001,216.50","59,722,826.10","16,972,895.14","15,558,783.57","46,122,914.97","84,146,418.91","7,834,738.64","19,982,048.37","33,237,695.32","41,634,903.01","2,369,664.39","11,908,734.08","21,105,551.79","47,616,656.80","7,611,429.33","28,576,997.31"
投资活动现金流出小计,"582,863,318.62","213,485,261.95","188,329,940.91","153,981,209.10","155,321,082.35","1,505,556.00","133,261,164.00","134,571,764.00","750,704,312.14","876,428.00","131,975,405.00","133,380,043.00","1,088,783,024.49","832,142.40","1,359,006.40","3,277,500.26","1,574,084,737.38","42,569,500.08","45,917,594.48"
经营活动现金流入小计,"269,143,920.84","349,971,018.94","401,899,299.31","455,036,785.76","622,718,685.15","127,813,405.22","200,343,269.99","320,173,616.76","369,954,132.15","144,264,175.99","211,012,558.36","384,039,246.41","389,178,073.23","111,385,042.90","196,464,207.01","374,039,160.42","380,109,534.65","176,675,161.68","393,101,137.57"
投资活动产生的现金流量净额,"-15,340,264.26","20,313,851.74","-8,893,736.02","-13,187,955.69","-4,204,418.00","-1,233,760.11","-132,565,068.09","-132,552,983.15","-133,609,791.56","1,487.17","3,199,176.08","2,496,754.52","-6,029,388.35","399,451.70","347,629.25","3,325,896.92","-160,882,257.99","-39,746,261.70","-41,442,951.56"
购买商品、接受劳务支付的现金,"130,123,983.60","235,122,971.33","219,970,763.94","255,361,582.37","314,861,785.02","75,754,630.17","141,133,798.47","208,293,828.50","256,894,507.91","51,844,092.58","103,089,594.35","176,791,546.15","184,919,160.73","60,509,657.90","115,797,840.77","241,158,745.76","201,804,656.66","104,702,340.32","253,394,368.14"
吸收投资收到的现金,"29,738,450.00",,,,,"260,100,000.00","260,100,000.00","298,820,000.00","315,320,000.00",,,,,,,"30,422,700.00","31,106,745.00",,"1,622,668.80"
支付给职工以及为职工支付的现金,"18,475,113.80","31,086,389.77","34,380,863.53","31,852,696.85","42,244,629.64","15,142,784.40","30,075,302.23","37,905,493.80","38,017,181.28","13,493,272.59","22,636,236.21","33,053,438.55","37,673,798.50","13,377,541.67","28,367,907.34","42,412,184.04","40,905,153.29","14,645,727.56","41,113,899.46"
取得借款收到的现金,"160,000,000.00","145,000,000.00","115,000,000.00","50,000,000.00","75,000,000.00","15,770,000.00","25,000,000.00","60,000,000.00","25,000,000.00",,"11,500,000.00","26,500,000.00","55,000,000.00",,,"85,000,000.00","165,000,000.00","50,000,000.00","119,000,000.00"
支付的各项税费,"19,031,110.14","31,228,660.63","41,050,209.57","37,670,473.16","53,357,113.87","7,089,135.73","20,265,722.77","30,233,487.15","46,101,806.83","23,923,202.59","35,318,095.24","39,862,984.97","48,177,117.24","6,577,243.38","18,972,513.75","27,484,276.56","51,510,226.65","16,869,147.59","26,651,680.07"
收到其他与筹资活动有关的现金,,,,,,,"16,500,000.00","16,500,000.00",,,,,,,,,,,
支付其他与经营活动有关的现金,"15,393,079.64","63,821,961.68","49,838,717.23","60,222,457.97","77,777,387.41","18,747,842.91","39,805,642.09","80,848,940.75","89,940,837.95","24,985,251.39","37,681,825.51","60,976,424.50","68,274,568.07","15,541,878.74","28,542,063.57","48,269,992.97","60,862,811.19","21,563,111.10","45,239,873.75"
筹资活动现金流入小计,"189,738,450.00","145,000,000.00","115,000,000.00","50,000,000.00","75,000,000.00","275,870,000.00","301,600,000.00","375,320,000.00","340,320,000.00",,"11,500,000.00","26,500,000.00","55,000,000.00",,,"115,422,700.00","196,106,745.00","50,000,000.00","120,622,668.80"
经营活动现金流出小计,"183,023,287.18","361,259,983.41","345,240,554.27","385,107,210.35","488,240,915.94","116,734,393.21","231,280,465.56","357,281,750.20","430,954,333.97","114,245,819.15","198,725,751.31","310,684,394.17","339,044,644.54","96,006,321.69","191,680,325.43","359,325,199.33","355,082,847.79","157,780,326.57","366,399,821.42"
偿还债务支付的现金,"222,000,000.00","147,000,000.00","115,000,000.00","115,000,000.00","115,000,000.00","35,000,000.00","75,000,000.00","110,000,000.00","75,000,000.00","10,000,000.00","10,000,000.00","25,000,000.00","25,000,000.00",,,"52,000,000.00","92,000,000.00","20,000,000.00","53,000,000.00"
经营活动产生的现金流量净额,"86,120,633.66","-11,288,964.47","56,658,745.04","69,929,575.41","134,477,769.21","11,079,012.01","-30,937,195.57","-37,108,133.44","-61,000,201.82","30,018,356.84","12,286,807.05","73,354,852.24","50,133,428.69","15,378,721.21","4,783,881.58","14,713,961.09","25,026,686.86","18,894,835.11","26,701,316.15"
分配股利、利润或偿还利息支付的现金,"29,338,212.40","7,666,042.29","7,056,751.15","25,991,983.44","26,976,900.14","1,077,833.37","12,463,806.71","12,805,390.05","13,068,125.05","284,375.00","16,571,875.00","16,973,958.33","17,256,104.16","598,124.99","16,889,896.66","17,940,071.93","18,083,982.75","1,449,072.23","52,879,457.48"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,664,000.00","2,983,018.87","1,000,000.00","350,000.00","350,000.00",,"9,583,630.68","9,583,750.00","10,979,396.23",,"184,988.23","184,988.23",,"145,200.00",,"145,200.00","145,200.00","173,250.00","213,250.00"
取得投资收益收到的现金,"520,043.46","714,113.69","236,204.89","793,253.41","1,116,664.35","271,795.89","696,095.91","2,018,780.85","3,676,520.58","9,275.34",,"5,645,797.52","8,364,791.48","1,231,594.10",,"6,603,397.18","7,202,479.39",,
筹资活动现金流出小计,"253,002,212.40","157,649,061.16","123,056,751.15","141,341,983.44","142,326,900.14","36,077,833.37","97,047,437.39","132,389,140.05","99,047,521.28","10,284,375.00","26,756,863.23","42,158,946.56","42,256,104.16","743,324.99","16,889,896.66","70,085,271.93","110,229,182.75","21,622,322.23","106,092,707.48"
处置固定资产、无形资产和其他长期资产收回的现金净额,"120,000.00",,,,,,,,"188,000.00","231,000.00","231,000.00","231,000.00","108,844.66",,,,,,
筹资活动产生的现金流量净额,"-63,263,762.40","-12,649,061.16","-8,056,751.15","-91,341,983.44","-67,326,900.14","239,792,166.63","204,552,562.61","242,930,859.95","241,272,478.72","-10,284,375.00","-15,256,863.23","-15,658,946.56","12,743,895.84","-743,324.99","-16,889,896.66","45,337,428.07","85,877,562.25","28,377,677.77","14,529,961.32"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,"-18,434.66","-23,908.95","419,073.34",,"-20,864.70","127,473.37","127,665.51","-657,618.94","-9,451.26","-89,085.39","-152,322.39","-592,441.40","-241,206.27","373,419.99"
收到其他与投资活动有关的现金,"566,883,010.90","233,085,000.00","179,200,000.00","140,000,000.00","150,000,000.00",,,,"613,230,000.00","637,639.83","134,943,581.08","130,000,000.00","1,074,280,000.00",,"1,706,635.65",,"1,406,000,000.00","2,823,238.38","4,474,642.92"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"567,523,054.36","233,799,113.69","179,436,204.89","140,793,253.41","151,116,664.35","271,795.89","696,095.91","2,018,780.85","617,094,520.58","877,915.17","135,174,581.08","135,876,797.52","1,082,753,636.14","1,231,594.10","1,706,635.65","6,603,397.18","1,413,202,479.39","2,823,238.38","4,474,642.92"
五、现金及现金等价物净增加额,"7,516,607.00","-3,624,173.89","39,708,257.87","-34,600,363.72","62,946,451.07","249,618,983.87","41,026,390.00","73,688,816.70","46,662,485.34","19,714,604.31","356,593.27","60,320,325.71","56,190,317.24","15,025,396.66","-11,847,471.22","63,224,963.69","-50,570,450.28","7,285,044.91","161,745.90"
购建固定资产、无形资产和其他长期资产支付的现金,"16,963,318.62","10,985,261.95","9,129,940.91","3,981,209.10","5,321,082.35","1,505,556.00","3,261,164.00","4,571,764.00","8,704,312.14","876,428.00","1,975,405.00","3,380,043.00","6,602,624.49","832,142.40","1,359,006.40","2,193,214.56","8,084,737.38","2,527,110.08","5,875,204.48"
期初现金及现金等价物余额,"71,355,700.96","78,872,307.96","75,248,134.07","114,956,391.94","114,956,391.94","177,902,843.01","177,902,843.01","177,902,843.01","177,902,843.01","224,565,328.35","224,565,328.35","224,565,328.35","224,565,328.35","280,755,645.59","280,755,645.59","280,755,645.59","280,755,645.59","230,185,195.31","230,185,195.31"
投资支付的现金,,,,,,,,,,,,,"8,180,400.00",,,"68,840.00","160,000,000.00","40,042,390.00","40,042,390.00"
期末现金及现金等价物余额,"78,872,307.96","75,248,134.07","114,956,391.94","80,356,028.22","177,902,843.01","427,521,826.88","218,929,233.01","251,591,659.71","224,565,328.35","244,279,932.66","224,921,921.62","284,885,654.06","280,755,645.59","295,781,042.25","268,908,174.37","343,980,609.28","230,185,195.31","237,470,240.22","230,346,941.21"
