科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,121,308,685.95","1,382,660,788.31","1,674,620,861.07","466,941,341.18","754,412,735.11","1,301,307,968.74","2,006,836,601.18","453,532,753.72","987,490,284.92","1,572,569,367.23","2,222,638,686.53","530,668,480.85","1,180,488,143.48","1,822,797,558.13","2,544,482,273.91","722,071,585.15","1,463,901,089.59","2,095,528,844.15","2,942,820,727.30","823,574,627.75","1,607,579,405.46","2,471,992,930.10","3,326,480,964.35","1,090,471,677.93","2,002,436,710.42","3,038,359,254.67","4,712,252,091.70","1,462,129,658.25","2,842,906,307.94","4,580,094,227.03","5,921,166,279.33","1,950,768,270.87","3,024,992,613.61","4,178,096,878.86","6,510,330,077.28","1,984,683,130.71","3,371,262,289.57"
取得子公司及其他营业单位支付的现金净额,,"5,998,281.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,156,978.49","4,960,039.87","90,769.45","1,010,802.44","1,566,348.04","2,984,407.46","4,526,728.47","2,755,788.64","3,836,978.46","3,874,080.83","4,618,328.06","372,161.52","1,520,346.09","2,175,906.71","2,175,906.71",,"441,883.50","475,043.56","482,990.37","4,348.82","698,052.46","703,156.24","1,789,742.73","2,183,818.45","2,275,301.81","2,275,301.81","3,254,211.02","2,866,815.66","2,866,815.66","5,456,639.00","7,505,175.67","10,666.77","6,951,397.12","6,978,114.85","9,875,361.94",,
支付其他与投资活动有关的现金,,,,"719,000.00",,,,,,,"3,600,000.00","400,000.00","400,000.00","400,000.00","400,000.00",,,,,,,,,,,,,,,,,,,,,"28,220,355.47","63,441,108.13"
收到其他与经营活动有关的现金,"4,618,046.64","29,212,844.36","21,326,015.33","5,618,194.16","13,083,838.34","43,402,968.84","33,382,445.75","4,181,606.45","7,884,817.90","17,764,776.87","32,725,469.96","3,127,837.25","10,008,152.77","15,642,708.75","24,928,868.14","9,129,963.18","15,368,093.89","20,312,016.27","35,190,366.73","8,371,345.80","14,325,632.80","20,549,298.63","28,339,058.11","6,902,880.63","6,357,125.51","25,287,812.52","47,132,742.14","14,095,667.04","17,966,203.49","66,092,340.45","75,545,910.93","49,082,115.40","15,860,704.11","75,763,534.87","93,029,165.42","15,070,097.09","70,437,775.22"
投资活动现金流出小计,"93,648,913.59","169,352,166.11","119,487,577.59","24,530,140.10","97,291,448.27","199,366,559.84","364,092,038.36","97,470,519.93","218,854,957.07","287,625,697.50","348,024,699.42","57,245,290.53","96,201,109.85","147,784,970.21","136,068,613.66","34,559,815.78","94,451,801.11","164,269,063.89","222,986,499.87","23,839,705.90","64,160,161.48","109,469,579.89","213,799,202.08","37,168,936.25","86,603,654.00","128,813,290.72","175,281,407.78","55,670,731.86","79,839,287.68","114,283,169.01","146,052,452.54","23,067,175.36","35,284,619.48","62,992,020.89","82,995,151.91","56,393,998.77","132,476,187.16"
经营活动现金流入小计,"1,127,083,711.08","1,416,833,672.54","1,696,037,645.85","473,570,337.78","769,062,921.49","1,347,695,345.04","2,044,745,775.40","460,470,148.81","999,212,081.28","1,594,208,224.93","2,259,982,484.55","534,168,479.62","1,192,016,642.34","1,840,616,173.59","2,571,587,048.76","731,201,548.33","1,479,711,066.98","2,116,315,903.98","2,978,494,084.40","831,950,322.37","1,622,603,090.72","2,493,245,384.97","3,356,609,765.19","1,099,558,377.01","2,011,069,137.74","3,065,922,369.00","4,762,639,044.86","1,479,092,140.95","2,863,739,327.09","4,651,643,206.48","6,004,217,365.93","1,999,861,053.04","3,047,804,714.84","4,260,838,528.58","6,613,234,604.64","1,999,753,227.80","3,441,700,064.79"
投资活动产生的现金流量净额,"17,590,167.02","-155,296,166.11","-116,471,674.79","-24,530,140.10","-27,774,628.27","-123,183,268.43","-277,353,576.34","-97,470,519.93","-190,752,057.07","-256,654,025.24","-318,566,128.27","-57,245,290.53","-88,141,309.85","-139,719,791.82","-125,269,372.77","-34,524,901.95","-92,271,512.93","-158,956,771.41","-203,031,513.26","-21,212,705.90","-60,747,661.48","-105,914,977.76","-201,927,281.66","-37,005,936.25","-83,620,654.00","-125,216,958.86","-159,820,043.84","-55,570,861.96","-75,106,387.78","-110,315,402.79","-128,086,844.13","-22,612,880.94","-34,625,795.06","-61,880,891.62","-81,157,947.18","-56,392,818.77","-132,476,187.16"
购买商品、接受劳务支付的现金,"891,920,567.89","1,093,836,257.37","1,246,730,377.00","443,139,484.48","687,082,148.27","1,204,176,599.37","1,846,697,924.69","462,119,501.61","893,058,710.77","1,409,726,432.07","1,950,299,201.30","314,581,125.25","858,434,688.39","1,331,130,678.60","1,987,515,146.29","597,693,071.23","1,092,251,515.90","1,635,472,732.53","2,379,974,872.31","652,225,044.94","1,278,403,611.97","1,956,009,840.43","2,578,186,255.57","822,202,506.12","1,551,883,893.31","2,490,788,180.12","4,048,992,197.41","1,072,454,331.55","2,279,711,641.06","3,712,172,014.08","4,892,018,434.36","1,502,509,040.44","2,900,353,978.95","3,836,362,043.84","5,750,769,525.84","1,545,850,939.62","2,540,825,571.62"
吸收投资收到的现金,,"4,675,162.36",,,"813,090,454.77","813,090,454.77","815,803,083.84",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00",,"32,312,329.40","68,586,839.20"
支付给职工以及为职工支付的现金,"48,443,473.74","97,737,832.64","111,845,671.87","44,515,816.92","81,736,932.19","122,227,067.35","168,945,479.26","56,218,365.71","117,096,448.16","175,736,045.30","236,036,489.18","60,082,132.13","118,887,447.77","178,278,981.87","227,292,636.36","73,347,099.39","140,750,445.75","209,666,552.17","264,059,625.90","76,243,201.99","152,046,080.58","235,040,885.01","313,299,218.05","89,091,014.71","178,833,044.29","280,555,731.56","391,339,009.66","113,060,384.70","220,613,220.55","336,949,177.19","433,415,772.09","114,376,200.45","223,205,305.71","339,349,756.65","449,425,195.78","121,544,186.24","236,735,596.41"
取得借款收到的现金,"105,000,000.00","213,330,000.00","280,000,000.00","170,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","94,000,000.00","471,041,970.59","675,693,994.60","628,000,000.00","255,000,000.00","355,000,000.00","542,000,000.00","842,000,000.00","395,575,000.00","435,800,000.00","536,025,000.00","280,000,000.00",,,"100,000,000.00","140,000,000.00","200,000,000.00","330,000,000.00","554,876,835.00","636,181,733.00","204,950,000.00","296,451,595.52","546,826,122.18","692,176,613.36","275,122,146.19","705,385,421.70","1,124,253,843.93","1,313,001,421.87","194,674,925.09","302,476,960.27"
支付的各项税费,"36,944,054.69","54,343,986.92","67,552,848.85","25,918,349.90","35,110,029.73","56,791,780.44","62,489,568.15","9,472,533.37","26,706,996.36","35,414,084.89","54,145,839.68","17,820,487.05","28,181,145.28","47,710,346.83","74,481,853.98","13,269,178.60","32,311,722.79","56,162,577.67","72,124,302.60","13,821,899.24","34,265,660.70","65,856,871.90","98,267,631.34","31,051,607.36","46,177,750.45","61,680,214.95","61,690,558.15","23,932,494.91","51,020,688.54","67,703,905.18","111,594,215.06","46,176,990.93","65,024,530.75","81,632,547.51","100,318,838.80","63,991,965.29","98,638,803.54"
收到其他与筹资活动有关的现金,"60,585,000.00",,,,,"11,339,545.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00",,
支付其他与经营活动有关的现金,"63,321,214.95","71,643,091.20","78,355,283.21","20,835,375.97","33,573,487.54","119,804,924.62","75,506,407.06","23,174,882.62","65,071,651.46","135,884,559.99","119,879,683.35","38,606,986.19","80,960,354.62","120,647,425.91","125,172,814.13","46,967,983.15","70,533,031.53","104,595,284.73","148,461,668.40","40,912,151.93","84,178,724.48","145,752,672.72","191,561,038.77","47,487,056.55","100,371,179.07","181,849,865.04","223,945,367.36","68,631,175.34","135,831,818.82","191,076,084.13","219,166,388.95","66,610,858.23","83,126,202.57","178,195,153.26","288,642,756.64","80,039,852.88","164,428,889.84"
筹资活动现金流入小计,"165,585,000.00","218,005,162.36","280,000,000.00","170,000,000.00","1,013,090,454.77","1,024,430,000.00","1,015,803,083.84","94,000,000.00","471,041,970.59","675,693,994.60","628,000,000.00","255,000,000.00","355,000,000.00","542,000,000.00","842,000,000.00","395,575,000.00","435,800,000.00","536,025,000.00","575,500,000.00",,,"100,000,000.00","140,000,000.00","200,000,000.00","330,000,000.00","554,876,835.00","636,181,733.00","204,950,000.00","296,451,595.52","546,826,122.18","692,176,613.36","275,122,146.19","705,385,421.70","1,127,253,843.93","1,316,001,421.87","226,987,254.49","371,063,799.47"
经营活动现金流出小计,"1,040,629,311.27","1,317,561,168.13","1,504,484,180.93","534,409,027.27","837,502,597.73","1,503,000,371.78","2,153,639,379.16","550,985,283.31","1,101,933,806.75","1,756,761,122.25","2,360,361,213.51","431,090,730.62","1,086,463,636.06","1,677,767,433.21","2,414,462,450.76","731,277,332.37","1,335,846,715.97","2,005,897,147.10","2,864,620,469.21","783,202,298.10","1,548,894,077.73","2,402,660,270.06","3,181,314,143.73","989,832,184.74","1,877,265,867.12","3,014,873,991.67","4,725,967,132.58","1,278,078,386.50","2,687,177,368.97","4,307,901,180.58","5,656,194,810.46","1,729,673,090.05","3,271,710,017.98","4,435,539,501.26","6,589,156,317.06","1,811,426,944.03","3,040,628,861.41"
偿还债务支付的现金,"130,000,000.00","125,000,000.00","212,190,000.00","110,570,000.00","181,140,000.00","201,140,000.00","261,140,000.00",,"260,852,986.29","469,616,854.37","348,000,000.00","169,000,000.00","355,000,000.00","597,000,000.00","845,000,000.00","457,000,000.00","577,000,000.00","577,000,000.00","617,000,000.00","40,000,000.00","80,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","150,000,000.00","350,100,000.00","424,762,741.67","405,376,150.40","545,611,337.07","717,707,922.60","909,075,062.74","259,739,184.70","444,305,662.35","880,556,949.63","1,240,278,387.87","382,201,933.92","672,358,050.76"
经营活动产生的现金流量净额,"86,454,399.81","99,272,504.41","191,553,464.92","-60,838,689.49","-68,439,676.24","-155,305,026.74","-108,893,603.76","-90,515,134.50","-102,721,725.47","-162,552,897.32","-100,378,728.96","103,077,749.00","105,553,006.28","162,848,740.38","157,124,598.00","-75,784.04","143,864,351.01","110,418,756.88","113,873,615.19","48,748,024.27","73,709,012.99","90,585,114.91","175,295,621.46","109,726,192.27","133,803,270.62","51,048,377.33","36,671,912.28","201,013,754.45","176,561,958.12","343,742,025.90","348,022,555.47","270,187,962.99","-223,905,303.14","-174,700,972.68","24,078,287.58","188,326,283.77","401,071,203.38"
分配股利、利润或偿还利息支付的现金,"51,289,478.18","11,395,740.18","12,923,469.83","3,127,833.12","7,412,316.46","10,302,070.09","13,209,337.59","3,579,196.12","48,545,340.53","54,900,241.97","62,464,120.72","9,365,193.38","31,424,889.80","39,347,985.47","46,245,758.51","7,662,467.19","16,691,358.31","17,662,076.10","19,119,905.00","19,639,777.78","21,107,333.34","22,530,222.23","25,718,225.71","20,240,934.44","24,302,301.70","27,858,633.13","31,133,269.33","22,086,456.83","27,328,688.37","35,954,002.32","41,145,605.05","5,980,780.18","12,661,790.79","22,290,645.43","33,176,229.12","9,345,041.74","15,736,691.30"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"1,981,199.02",,,,"9,195,706.10","2,712,629.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"6,585,693.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"181,289,478.18","138,376,939.20","225,113,469.83","113,697,833.12","188,552,316.46","220,637,776.19","277,061,966.66","3,579,196.12","309,398,326.82","524,517,096.34","410,464,120.72","178,365,193.38","386,424,889.80","636,347,985.47","891,245,758.51","464,662,467.19","593,691,358.31","594,662,076.10","636,119,905.00","59,639,777.78","101,107,333.34","162,530,222.23","165,718,225.71","160,240,934.44","174,302,301.70","377,958,633.13","455,896,011.00","427,462,607.23","572,940,025.44","753,661,924.92","950,220,667.79","265,719,964.88","456,967,453.14","902,847,595.06","1,273,454,616.99","391,546,975.66","688,094,742.06"
处置固定资产、无形资产和其他长期资产收回的现金净额,"128,000.00","56,000.00","15,902.80",,"23,660,000.00","24,391,628.47","23,691,142.02",,"53,000.00","53,800.00","1,940,123.95",,"34,000.00","39,378.39","580,490.89","34,913.83","546,504.16","1,978,508.46","5,348,002.59","827,000.00","1,612,500.00","1,754,602.13","1,951,320.42","163,000.00","163,000.00","165,650.00","411,363.94","99,869.90","4,732,899.90","4,792,276.60","10,545,023.79","454,294.42","658,824.42","1,111,129.27","1,170,946.73","1,180.00",
筹资活动产生的现金流量净额,"-15,704,478.18","79,628,223.16","54,886,530.17","56,302,166.88","824,538,138.31","803,792,223.81","738,741,117.18","90,420,803.88","161,643,643.77","151,176,898.26","217,535,879.28","76,634,806.62","-31,424,889.80","-94,347,985.47","-49,245,758.51","-69,087,467.19","-157,891,358.31","-58,637,076.10","-60,619,905.00","-59,639,777.78","-101,107,333.34","-62,530,222.23","-25,718,225.71","39,759,065.56","155,697,698.30","176,918,201.87","180,285,722.00","-222,512,607.23","-276,488,429.92","-206,835,802.74","-258,044,054.43","9,402,181.31","248,417,968.56","224,406,248.87","42,546,804.88","-164,559,721.17","-317,030,942.59"
处置子公司及其他营业单位收到的现金净额,"14,991,436.05",,,,,,,,,,,,,,"10,218,750.00",,"-414,415.98","-414,415.98","-414,415.98",,,,,,,,,,,"-824,510.38","-824,510.38",,,,,,
四、汇率变动对现金的影响,"-1,322,925.42","-873,424.05","-77,218.36","-4,472.00",,"-266,187.06","-852,437.30","-235,652.87","-241,710.46","-355,924.59","-628,990.41","106,097.50","214,454.00","253,136.87","-35,391.44","-78,419.86","-354,801.29","-579,026.44","-75,215.36","-243,454.55","-6,238.60","-108,297.14","-28,018.52","331,260.27","157,646.32","439,364.54","1,186,075.81","314,899.13","-336,503.39","-384,932.09","-1,221,040.58","-340,726.76","-519,592.20","-1,107,364.33","274,045.82","-1,304,093.92","-1,248,176.41"
收到其他与投资活动有关的现金,"89,533,951.08","14,000,000.00","3,000,000.00",,"45,856,820.00","51,791,662.94","63,047,320.00",,"28,049,900.00","30,917,872.26","27,518,447.20",,"8,025,800.00","8,025,800.00",,,"2,048,200.00","3,748,200.00","15,021,400.00","1,800,000.00","1,800,000.00","1,800,000.00","9,920,600.00",,"2,820,000.00","3,430,681.86","15,050,000.00",,,,"8,245,095.00",,,,"666,258.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"111,239,080.61","14,056,000.00","3,015,902.80",,"69,516,820.00","76,183,291.41","86,738,462.02",,"28,102,900.00","30,971,672.26","29,458,571.15",,"8,059,800.00","8,065,178.39","10,799,240.89","34,913.83","2,180,288.18","5,312,292.48","19,954,986.61","2,627,000.00","3,412,500.00","3,554,602.13","11,871,920.42","163,000.00","2,983,000.00","3,596,331.86","15,461,363.94","99,869.90","4,732,899.90","3,967,766.22","17,965,608.41","454,294.42","658,824.42","1,111,129.27","1,837,204.73","1,180.00",
五、现金及现金等价物净增加额,"87,017,163.23","22,731,137.41","129,891,101.94","-29,071,134.71","728,323,833.80","525,037,741.58","351,641,499.78","-97,800,503.42","-132,071,849.23","-268,385,948.89","-202,037,968.36","122,573,362.59","-13,798,739.37","-70,965,900.04","-17,425,924.72","-103,766,573.04","-106,653,321.52","-107,754,117.07","-149,853,018.43","-32,347,913.96","-88,152,220.43","-77,968,382.22","-52,377,904.43","112,810,581.85","206,037,961.24","103,188,984.88","58,323,666.25","-76,754,815.61","-175,369,362.97","26,205,888.28","-39,329,383.67","256,636,536.60","-10,632,721.84","-13,282,979.76","-14,258,808.90","-33,930,350.09","-49,684,102.78"
