科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"248,039,057.23","234,772,572.76","220,685,357.45","42,067,302.54","98,353,540.37","158,028,186.07","222,719,469.12","46,377,848.68","106,693,846.18","160,918,554.67","211,723,463.08"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"7,138,326.76","5,116,982.72","10,029,165.41","3,496,227.47","7,131,682.98","9,331,314.45","13,697,706.48","3,657,625.39","7,108,328.82","10,695,840.86","13,146,973.31"
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,408,679.01","6,342,326.98","9,110,793.37","550,633.92","567,796.96","7,414,445.49","10,024,603.65","632,178.86","7,163,983.06","6,976,615.16","9,407,253.14"
投资活动现金流出小计,"8,890,298.79","7,271,527.42","10,125,840.71","3,070,336.16","3,982,547.59","5,846,187.10","179,611,577.49","148,877,682.28","246,665,373.89","393,076,800.48","492,289,633.03"
经营活动现金流入小计,"260,586,063.00","246,231,882.46","239,825,316.23","46,114,163.93","106,053,020.31","174,773,946.01","246,441,779.25","50,667,652.93","120,966,158.06","178,591,010.69","234,277,689.53"
投资活动产生的现金流量净额,"-8,888,158.51","-7,101,763.16","-10,029,980.71","-3,070,336.16","-3,982,547.59","-5,814,657.15","-179,538,606.61","-10,667,696.18","-25,391,979.04","-5,747,051.41","-48,204,304.06"
购买商品、接受劳务支付的现金,"156,501,828.91","146,404,583.47","129,481,205.84","25,583,016.49","60,686,270.20","96,973,565.55","129,199,570.29","23,822,124.03","60,035,901.04","94,354,275.94","124,704,260.52"
吸收投资收到的现金,,,,,"225,200,000.00","225,200,000.00","188,922,083.00",,,,
支付给职工以及为职工支付的现金,"25,394,728.55","28,065,224.07","27,138,667.52","8,161,195.55","15,340,566.47","22,772,512.79","30,699,478.44","9,196,968.90","17,147,476.95","25,972,809.95","35,307,828.52"
取得借款收到的现金,"22,100,000.00","44,950,000.00",,,,,,,"20,000,000.00","28,000,000.00","28,000,000.00"
支付的各项税费,"18,849,760.14","21,542,622.28","24,111,931.83","4,889,006.67","10,122,135.24","16,083,303.11","21,565,125.71","4,043,243.54","9,063,705.61","13,613,279.24","15,910,263.34"
收到其他与筹资活动有关的现金,"3,000,000.00",,,,,"142,886.69",,,,,
支付其他与经营活动有关的现金,"45,805,266.19","37,220,858.85","28,676,359.78","6,818,480.62","18,162,427.13","28,640,551.77","33,522,523.04","7,217,549.56","12,005,993.30","18,213,612.39","23,840,309.00"
筹资活动现金流入小计,"25,100,000.00","44,950,000.00",,,"225,200,000.00","225,342,886.69","188,922,083.00",,"20,000,000.00","28,000,000.00","28,000,000.00"
