科目,2008-12-31,2009-12-31,2010-12-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"2,591,433.73","30,368,822.43","50,832,435.49","41,262,906.75","59,073,704.82","258,713,663.22","245,265,837.17","234,738,753.04","238,936,904.97","244,266,920.50","191,123,168.86","176,376,360.81","168,456,611.30","156,095,514.01","150,237,327.78","143,503,597.84","137,966,838.64","99,828,565.66","121,878,921.09","83,080,732.11","152,851,000.10","105,296,878.46","115,492,751.92","158,151,110.88","237,643,855.74","221,943,482.90","225,213,198.30","205,987,883.31"
短期借款,"1,650,000.00","14,400,000.00","8,000,000.00","30,000,000.00","30,000,000.00","10,000,000.00","10,000,000.00",,"19,000,000.00","39,000,000.00","10,000,000.00","13,000,000.00","4,000,000.00","54,000,000.00","54,000,000.00","51,000,000.00","50,000,000.00","70,000,000.00","90,000,000.00","100,000,000.00","80,000,000.00","90,000,000.00","90,000,000.00","110,000,000.00","111,237,844.59","172,000,000.00","173,000,000.00","164,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,"1,151,012.14","2,856,516.28","857,516.72","551,548.80","578,610.36","1,207,241.00","1,207,241.00","1,596,153.85",,"750,000.00","371,452.20","312,283.37",,"1,258,100.00",,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"15,655,149.32","45,693,061.02","79,733,085.94","112,578,484.96","121,303,179.17","132,806,294.56","136,276,550.62","156,083,773.61","167,303,717.20","171,371,328.38","181,322,510.27","194,376,095.59","210,285,158.48","209,948,172.27","230,522,056.51","242,227,834.53","273,143,889.27","260,162,594.10","323,109,607.37","362,585,679.68","346,264,797.53","326,485,760.45","337,742,307.13","343,004,314.77","323,584,482.52","356,207,897.51","334,051,337.14","319,829,284.77"
应付账款,"670,000.00","1,374,395.97","12,949,756.65","7,953,408.73","11,719,095.07","8,238,945.35","10,640,590.44","15,039,886.78","15,988,395.06","11,014,818.55","12,286,913.46","10,395,962.31","22,875,789.80","16,715,563.21","26,206,645.85","30,130,360.83","45,974,109.28","40,310,814.19","55,967,672.02","76,038,288.37","82,094,408.55","74,755,361.71","77,159,535.54","77,219,934.37","94,326,676.01","80,251,411.99","71,754,829.46","85,454,058.75"
预付款项,"23,400.00","2,642.48",,"800,000.00","2,300,000.00","1,095,920.00","4,670,444.00","4,080,602.00","5,042,284.20","9,635,173.16","10,644,499.18","10,283,931.48","2,436,895.66","2,138,099.60","3,289,347.94","3,614,218.56","1,397,694.36","51,068,627.01","31,511,758.79","27,796,163.03","37,880,554.82","55,945,470.05","87,233,002.36","82,750,875.44","382,946,083.07","74,957,816.15","54,637,295.18","81,775,198.78"
预收款项,"118,044.65","3,610,700.00","36,750.00","967,740.00","4,513,548.90","4,513,548.90","5,455.00","184,961.35","239,452.64","1,229,930.27","226,693.82","1,700,200.35","488,179.35","1,007,008.55","1,838,982.91","1,162,270.71","989,274.71","1,337,300.35","25,332,538.61","30,529,426.12","39,388,313.78","35,953,233.18","55,950,203.01","50,641,270.51","60,183,370.50","11,814,749.53","7,203,460.71","9,038,986.83"
其他应收款,"661,510.24","2,854,109.63","734,506.83","1,054,763.20","647,848.91","3,063,296.74","1,765,505.53","3,945,345.51","4,095,799.07","3,660,408.52","4,533,307.93","5,629,013.15","5,668,629.64","8,582,123.14","7,714,594.98","12,694,955.07","7,443,690.81","8,780,072.53","16,537,861.65","16,916,643.04","13,410,644.93","36,530,946.68","15,623,369.62","16,097,606.82","7,494,549.50","18,128,008.52","17,167,431.79","16,879,242.55"
