科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"93,575,462.74","75,032,442.29","92,474,517.61","54,274,345.09","273,264,955.21","266,665,968.65","114,468,488.85","106,573,495.01","130,263,157.30","216,582,345.48","328,282,282.12","187,657,763.59","237,362,926.82"
短期借款,"161,120,000.00","177,309,441.25","223,455,976.00","241,858,228.00","227,400,000.00","218,900,000.00","300,400,000.00","348,800,000.00","399,300,000.00","388,173,800.00","256,468,400.00","250,676,200.00","312,312,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"52,821,954.65","64,141,573.11","64,778,178.55","37,826,024.62","35,994,160.43","56,377,094.03","59,527,642.48","41,668,429.26","36,561,622.41","52,501,086.98","87,080,563.52","74,192,806.84","76,035,623.46"
应付票据,,,,,,"2,800,000.00",,,"30,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","10,000,000.00"
应收账款,"21,679,736.36","48,732,461.58","15,092,376.06","33,249,072.22","28,629,166.20","35,630,114.14","45,015,239.36","77,498,490.24","63,835,130.12","61,128,384.86","40,652,173.45","47,737,188.41","46,277,748.62"
应付账款,"24,157,034.76","20,316,771.95","7,910,847.04","6,571,950.27","3,860,723.81","13,111,234.65","13,410,604.96","22,488,827.49","14,949,463.69","15,709,476.97","13,233,818.58","22,100,626.73","25,339,411.98"
预付款项,"54,103,208.11","31,596,516.06","65,533,014.15","78,390,062.32","68,398,563.33","65,271,633.09","45,594,459.61","48,591,771.60","61,868,480.72","59,527,734.83","84,233,079.13","80,006,580.74","45,385,234.84"
预收款项,"2,331,669.54","4,420,253.50","2,481,238.63","2,628,085.11","3,324,765.45","2,050,533.69","2,531,711.18","7,544,315.07","4,642,921.88","16,829,133.86","3,705,154.15","3,653,592.20","12,098,254.01"
其他应收款,"232,509.58","405,701.87","571,776.96","691,546.46","551,296.71","1,143,650.22","1,080,077.60","23,578,959.14","19,980,117.14","18,237,659.36","9,153,867.77","4,342,695.98","6,721,095.85"
应付职工薪酬,"243,057.00","607,527.94","537,938.83","335,647.02","466,424.05","1,915,990.06","4,180,452.11","1,014,705.98","1,075,958.68","1,095,057.15","4,362,782.77","884,442.98","1,093,195.32"
应收关联公司款,,,,,,,,,,,,,
应交税费,"2,966,023.18","6,934,341.75","4,308,266.00","1,102,964.85","1,874,124.54","3,440,950.73","9,943,899.35","14,558,885.77","7,743,643.45","4,220,180.78","21,948,710.80","4,987,930.02","6,415,580.33"
应收利息,,,,,,,,,,,,,
应付利息,"311,565.00","299,625.00","307,089.44","315,415.00","307,073.61","264,504.17","355,733.33","424,245.84","485,838.99","573,266.48","662,100.07","738,205.92","1,003,300.70"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,"7,602,400.00",,,,,"2,648,250.00"
存货,"116,734,293.97","139,366,459.60","127,001,677.18","165,531,679.10","139,474,458.92","142,229,601.38","158,694,440.48","224,470,795.34","262,518,306.23","253,479,091.22","157,557,012.10","185,478,097.70","246,753,168.81"
其他应付款,"3,846,444.37","2,977,721.91","3,054,777.43","869,789.37","1,516,215.42","6,745,191.96","7,330,924.48","28,986,412.56","19,543,681.27","17,912,228.14","2,632,297.11","1,698,180.56","1,696,455.88"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,"14,800,000.00","13,032,000.00","12,036,000.00","91,555,590.27","11,538,000.00","11,289,000.00",,,,,,,
其他流动资产,,"2,191,050.14","6,074,136.31","6,618,140.83","5,941,059.13","6,938,315.55","6,275,336.50","6,404,232.24","14,041,855.69","15,585,839.05","7,166,987.84","128,769,281.78","86,523,386.14"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"339,147,165.41","361,466,204.65","371,525,676.82","376,580,870.64","552,253,659.93","574,256,377.06","430,655,684.88","528,786,172.83","589,068,669.61","677,042,141.78","714,125,965.93","708,184,415.04","745,059,184.54"
流动负债合计,"209,775,793.85","225,897,683.30","254,092,133.37","345,237,669.89","250,287,326.88","260,517,405.26","338,153,325.41","431,419,792.71","477,741,507.96","474,513,143.38","343,013,263.48","324,739,178.41","372,606,448.22"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,,,,,,,,,"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00"
持有至到期投资,,,,,,,,,,,,,
应付债券,,"79,500,076.71","79,713,700.29",,"79,824,640.45","79,881,875.35",,,,,"133,356,873.65","136,728,651.24","138,269,969.61"
长期应收款,,"4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00",,,,,,,
长期应付款,,"18,468,000.00","8,766,895.81","6,420,571.81","4,021,787.81","1,569,483.81",,"40,000,000.00","40,000,000.00","40,000,000.00",,,
长期股权投资,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,"1,495,966.20","1,370,137.32","1,242,558.72","1,210,664.07","1,178,769.42","1,146,874.77",,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"82,797,095.41","104,593,857.48","169,688,097.58","176,190,440.39","184,447,059.21","178,501,286.56","261,609,785.57","300,423,832.07","306,923,321.03","299,723,320.49","291,808,180.74","311,023,080.03","307,051,890.51"
递延所得税负债,,,,,,,,,"21,050,815.01","20,689,656.13","20,331,705.98","20,035,193.36","19,739,197.35"
在建工程,"61,612,988.12","172,546,549.11","156,284,619.24","158,159,961.26","150,829,793.01","159,543,716.39","79,845,354.92","83,451,675.10","83,433,644.27","91,387,449.27","105,652,529.47","84,959,629.18","110,736,420.48"
其他非流动负债,,,,"13,190,801.02",,"12,928,605.08",,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"207,018.31","111,737,551.67","101,795,720.35","19,611,372.83","96,912,405.48","94,379,964.24","12,900,262.40","52,764,316.42","73,679,185.45","153,182,080.59","246,045,058.11","248,984,377.10","250,093,753.48"
固定资产清理,,,,,,,,,,,,,
负债合计,"209,982,812.16","337,635,234.97","355,887,853.72","364,849,042.72","347,199,732.36","354,897,369.50","351,053,587.81","484,184,109.13","551,420,693.41","627,695,223.97","589,058,321.59","573,723,555.51","622,700,201.70"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"55,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,353,523.00"
油气资产,,,,,,,,,,,,,
资本公积,"77,296,683.02","77,296,683.02","77,296,683.02","77,296,683.02","241,563,955.72","241,563,955.72","241,563,955.72","241,571,251.32","241,571,251.32","241,571,251.32","250,900,306.12","254,684,568.86","255,163,693.68"
无形资产,"48,965,279.61","51,271,986.29","49,938,098.57","49,604,626.64","49,271,154.71","48,937,682.78","48,604,210.85","115,197,378.08","130,481,959.87","129,149,533.98","127,830,425.32","126,502,946.85","125,175,468.39"
盈余公积,"21,008,107.58","25,033,493.17","29,053,579.51","29,053,579.51","29,053,579.51","29,053,579.51","34,100,447.64","34,100,447.64","34,100,447.64","34,100,447.64","38,933,380.96","38,933,380.96","38,933,380.96"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,"8,541,370.03","8,541,370.03","8,541,370.03","8,541,370.03","8,541,370.03","14,528,025.57","14,480,043.29","78,893,644.57","79,135,405.15","79,135,405.15","75,820,916.77","75,820,916.77","75,820,916.77"
未分配利润,"179,952,012.39","212,088,204.80","246,923,339.02","251,828,790.13","263,711,815.02","274,484,250.57","284,764,378.07","273,901,741.30","285,669,605.80","299,451,156.91","315,660,969.68","324,346,026.01","328,559,315.95"
长期待摊费用,,"388,395.00","363,257.54","341,542.71","272,057.88","202,573.05","133,088.18","794,095.97","1,085,917.68","1,473,371.70","1,452,026.68","1,359,079.00","1,318,943.33"
少数股东权益,,,,,,"13,193,159.45","15,398,725.90","15,134,355.19","20,716,058.72","20,754,426.14","22,066,905.02","22,039,040.72","22,672,433.78"
递延所得税资产,"679,750.37","2,375,116.08","2,077,776.77","2,898,619.64","3,585,218.42","4,925,778.57","4,304,083.45","13,671,827.54","13,329,684.90","14,029,799.96","4,959,326.96","5,654,737.69","6,474,308.19"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,,,,,,,"160,598,844.00","1,023,278.42","3,369,454.38","4,981,483.65","9,270,269.00","14,521,525.00","10,659,537.00"
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"204,092,449.74","345,587,411.31","392,635,778.45","401,447,224.74","402,625,422.68","412,285,937.69","569,575,410.26","593,455,731.75","617,759,387.28","619,880,364.20","616,793,674.94","619,841,914.52","637,237,484.67"
所有者权益(或股东权益)合计,"333,256,802.99","369,418,380.99","408,273,601.55","413,179,052.66","607,679,350.25","631,644,945.25","649,177,507.33","638,057,795.45","655,407,363.48","669,227,282.01","741,861,319.28","754,302,774.05","759,596,467.51"
资产总计,"543,239,615.15","707,053,615.96","764,161,455.27","778,028,095.38","954,879,082.61","986,542,314.75","1,000,231,095.14","1,122,241,904.58","1,206,828,056.89","1,296,922,505.98","1,330,919,640.87","1,328,026,329.56","1,382,296,669.21"
负债和所有者(或股东权益)合计,"543,239,615.15","707,053,615.96","764,161,455.27","778,028,095.38","954,879,082.61","986,542,314.75","1,000,231,095.14","1,122,241,904.58","1,206,828,056.89","1,296,922,505.98","1,330,919,640.87","1,328,026,329.56","1,382,296,669.21"
