科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"93,061,721.61","176,154,872.30","165,357,572.37","239,792,251.08","47,977,239.90","121,657,930.15","223,771,477.66","338,555,353.98","85,833,443.82","187,674,536.71","326,685,666.09","468,560,675.14","94,012,444.52","269,894,234.86","692,566,132.78","1,213,539,195.50","683,522,969.63","1,235,373,692.30","1,867,451,064.56","2,586,116,785.99","598,628,734.74","1,196,335,221.91","2,121,768,021.81","2,655,909,326.04","274,663,401.98","642,303,911.93","1,069,412,269.50","1,527,953,293.50","355,460,933.33","758,940,080.27","1,525,939,828.37","2,592,905,519.16","791,850,068.92","1,535,667,456.31","2,289,139,605.59","3,000,968,538.79","822,019,966.37"
取得子公司及其他营业单位支付的现金净额,,"8,760.20",,,,,,,,,,,,,,"190,621,646.76",,,"7,804,977.52","40,262,631.83","558,728,495.69","320,523,612.25","465,123,612.25","220,539,372.56","191,500,536.97","425,276,121.86","594,290,376.65","430,022,449.92","289,886,898.69","574,532,760.06","593,384,385.84","133,316,865.25",,"15,034,044.00","15,034,044.00","15,034,044.00",
收到的税费返还,"4,158,991.56","3,086,056.02","5,639,212.52","10,298,552.46","2,115,009.86","3,307,017.31","6,389,805.32","11,013,993.16","4,639,074.86","5,864,143.77","9,844,138.65","15,801,672.58","1,833,832.54","4,199,412.48","10,413,971.25","21,416,231.85","3,601,365.81","6,165,653.95","11,884,779.89","22,334,447.51","6,500,681.54","10,927,830.67","17,178,860.97","27,428,854.13","11,092,059.67","14,756,629.05","18,429,351.95","23,972,470.91","8,937,979.58","12,647,872.08","22,927,214.83","30,287,257.18","1,715,601.42","8,113,688.26","43,177,769.25","57,458,941.70","4,200,994.35"
支付其他与投资活动有关的现金,,,,,,,,,,,,"174,100,000.00","550,000.00","820,000.00","5,653,000.00","7,403,000.00",,,,"600,000.00",,"11,000,000.00","5,000,000.00","72,385,365.29",,,,"24,451,745.29","7,250,000.00",,,,,,,,
收到其他与经营活动有关的现金,"518,471.79","378,363.12","1,261,286.87","2,077,070.42","3,230,127.76","5,593,720.58","7,958,081.45","9,238,444.08","3,254,604.43","4,968,016.40","6,250,758.06","8,616,058.43","1,116,236.58","27,339,775.04","37,335,642.23","8,929,457.43","7,486,779.45","3,138,130.23","5,006,200.53","8,077,220.50","1,989,938.43","4,396,628.82","4,452,904.80","27,269,369.88","2,967,678.51","10,060,469.80","16,165,684.08","593,074,883.46","60,105,920.93","19,788,615.35","30,512,264.04","28,657,414.19","6,751,598.36","16,646,978.26","21,853,893.80","49,295,208.78","5,731,813.78"
投资活动现金流出小计,"7,553,267.00","24,926,593.39","32,943,473.54","36,095,981.32","11,986,128.39","81,453,965.49","109,652,541.20","277,053,193.03","42,999,240.93","131,400,384.29","210,746,502.19","442,893,050.47","31,316,907.47","278,149,298.84","321,107,339.39","314,843,617.20","12,681,340.98","77,798,011.15","108,176,520.99","171,089,482.55","577,107,366.33","398,227,159.01","583,266,099.03","919,614,916.36","285,668,207.13","605,197,251.07","661,918,257.68","848,343,029.52","407,174,016.03","871,777,150.18","1,012,696,409.06","819,126,634.41","895,980,561.15","1,015,028,218.03","1,090,658,937.42","1,137,873,115.05","19,999,999.47"
经营活动现金流入小计,"97,739,184.96","179,619,291.44","172,258,071.76","252,167,873.96","53,322,377.52","130,558,668.04","238,119,364.43","358,807,791.22","93,727,123.11","198,506,696.88","342,780,562.80","492,978,406.15","96,962,513.64","301,433,422.38","740,315,746.26","1,243,884,884.78","694,611,114.89","1,244,677,476.48","1,884,342,044.98","2,616,528,454.00","607,119,354.71","1,211,659,681.40","2,143,399,787.58","2,710,607,550.05","288,723,140.16","667,121,010.78","1,104,007,305.53","2,145,000,647.87","424,504,833.84","791,376,567.70","1,579,379,307.24","2,651,850,190.53","800,317,268.70","1,560,428,122.83","2,354,171,268.64","3,107,722,689.27","831,952,774.50"
投资活动产生的现金流量净额,"-7,553,267.00","-24,926,593.39","-32,943,473.54","-36,095,981.32","-11,986,128.39","-81,453,965.49","-109,652,541.20","-192,962,883.84","-41,568,361.93","-128,590,900.29","-204,622,005.41","-434,077,399.67","-30,626,793.57","-102,815,711.74","-145,721,301.29","-133,937,034.05","-9,642,110.22","-71,553,097.42","-99,370,019.85","-165,602,933.56","-571,818,498.26","-390,960,279.94","-575,510,214.14","-700,402,214.16","-154,876,551.49","-471,950,865.57","-484,971,767.24","54,008,299.59","-376,350,079.02","-753,960,615.78","-838,060,125.51","-589,505,426.11","-811,629,130.69","-895,408,938.12","-902,677,114.48","-896,656,821.01","2,595,900.64"
购买商品、接受劳务支付的现金,"76,009,669.63","122,666,067.72","109,887,145.23","155,537,604.45","38,779,727.01","91,066,704.54","155,040,443.09","220,399,066.50","58,990,942.80","112,641,093.57","198,773,415.40","267,029,261.59","66,696,854.56","207,368,315.37","570,423,761.07","932,560,504.32","717,875,357.48","1,094,060,620.14","1,636,419,412.70","2,334,514,119.71","513,682,016.15","1,034,551,605.41","1,741,170,331.59","1,965,809,597.80","141,193,887.77","505,779,277.48","775,836,897.58","1,227,458,374.25","202,657,423.86","302,582,989.10","682,822,983.37","1,290,562,797.96","358,002,817.84","763,991,692.13","1,070,129,391.26","1,451,210,406.78","314,244,252.52"
吸收投资收到的现金,"18,000,000.00",,,,"562,536,000.00","562,536,000.00","562,536,000.00","562,536,000.00",,,,,,,,,,"43,867,019.06","43,867,019.06","43,867,020.26","654,574,502.40","253,666,662.40","253,666,662.40","253,850,662.40",,"42,350,000.00","42,000,000.00",,"255,747,591.05",,"1,510,704.00","1,510,704.00",,,,,
支付给职工以及为职工支付的现金,"8,221,519.09","17,266,511.25","19,691,439.42","28,814,449.36","7,296,801.78","17,888,186.00","32,774,759.52","45,570,190.31","12,085,044.35","27,487,004.10","44,728,283.40","60,516,470.80","15,816,569.82","31,697,482.07","54,234,949.87","86,927,855.71","23,947,861.51","46,356,446.54","75,665,957.07","108,622,821.62","28,002,848.39","74,834,158.64","117,211,885.40","198,389,110.86","41,220,291.68","89,647,417.34","156,181,505.22","193,427,562.56","98,295,517.37","174,523,966.28","319,217,096.17","590,151,039.74","145,182,248.02","305,973,605.94","487,534,353.12","764,572,902.65","185,680,971.82"
取得借款收到的现金,"10,355,066.20","49,411,648.00","35,008,793.08","50,592,362.15",,,,,,"7,765,920.00","11,597,460.00","101,341,620.00",,"90,000,000.00","97,000,000.00","172,308,380.00","249,312,311.71","339,208,465.23","423,559,125.58","629,118,428.23","372,319,244.35","501,285,990.74","709,321,001.09","1,172,780,192.38","311,244,603.96","634,207,132.69","827,737,240.58","1,065,052,289.90","329,299,800.57","755,379,827.58","1,003,249,691.29","1,214,468,558.36","768,000,000.00","1,008,491,200.00","1,428,115,577.62","1,729,039,689.37","155,000,000.00"
支付的各项税费,"3,730,034.07","5,062,632.81","4,495,049.00","8,655,290.03","1,615,948.18","6,828,110.51","8,697,339.00","11,216,368.02","2,169,956.82","9,955,860.04","11,377,992.15","15,303,162.97","1,910,475.01","18,766,421.51","33,668,858.68","33,837,296.70","16,987,542.87","23,953,228.57","31,862,063.55","40,557,025.88","34,148,647.68","32,940,349.83","62,099,591.81","90,075,874.89","15,865,136.85","67,795,046.94","97,582,905.06","120,026,400.84","62,392,474.69","193,454,899.48","291,096,351.77","171,454,123.35","92,055,347.81","160,968,560.34","245,050,767.94","159,752,436.36","53,896,107.07"
收到其他与筹资活动有关的现金,,,"3,139,065.03",,,,,,,,,,,,"56,748,924.68","98,154,713.34","108,631,318.33","302,819,992.14","84,082,685.54","567,145,574.00","65,368,723.55","135,256,657.59","74,298,874.56","1,373,929.58","139,889,016.05","322,654,128.56","256,931,279.81","12,003,420.65",,,,"9,035,637.52",,,,"16,000,000.00",
支付其他与经营活动有关的现金,"6,876,239.84","10,274,119.92","9,522,657.01","11,750,791.22","5,234,618.19","11,004,843.76","27,573,781.88","28,933,386.11","4,621,564.72","17,790,361.85","29,535,466.75","48,248,706.66","6,390,626.22","22,498,795.51","51,800,653.33","68,712,294.20","17,864,510.62","40,233,362.70","51,871,535.21","74,304,729.56","30,915,457.14","55,349,706.86","113,774,263.63","127,518,713.09","44,292,673.43","87,468,974.17","144,253,024.53","504,610,704.25","171,581,443.62","136,236,357.26","210,631,487.65","406,746,757.68","115,080,559.04","211,383,781.95","351,079,352.63","451,168,270.04","132,725,197.05"
筹资活动现金流入小计,"28,355,066.20","49,411,648.00","38,147,858.11","50,592,362.15","562,536,000.00","562,536,000.00","562,536,000.00","562,536,000.00",,"7,765,920.00","11,597,460.00","101,341,620.00",,"90,000,000.00","153,748,924.68","270,463,093.34","357,943,630.04","685,895,476.43","551,508,830.18","1,240,131,022.49","1,092,262,470.30","890,209,310.73","1,037,286,538.05","1,428,004,784.36","451,133,620.01","999,211,261.25","1,126,668,520.39","1,822,368,210.55","585,047,391.62","755,379,827.58","1,004,760,395.29","1,225,014,899.88","768,000,000.00","1,008,491,200.00","1,428,115,577.62","1,745,039,689.37","155,000,000.00"
经营活动现金流出小计,"94,837,462.63","155,269,331.70","143,596,290.66","204,758,135.06","52,927,095.16","126,787,844.81","224,086,323.49","306,119,010.94","77,867,508.69","167,874,319.56","284,415,157.70","391,097,602.02","90,814,525.61","280,331,014.46","710,128,222.95","1,122,037,950.93","776,675,272.48","1,204,603,657.95","1,795,818,968.53","2,557,998,696.77","606,748,969.36","1,197,675,820.74","2,034,256,072.43","2,381,793,296.64","242,571,989.73","750,690,715.93","1,173,854,332.39","2,045,523,041.90","534,926,859.54","806,798,212.12","1,503,767,918.96","2,458,914,718.73","710,320,972.71","1,442,317,640.36","2,153,793,864.95","2,826,704,015.83","686,546,528.46"
