科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"50,158,721.32","66,491,689.09","96,717,889.72","90,456,243.61","57,889,169.37","353,784,266.90","266,235,962.49","215,098,442.29","201,808,143.67","196,499,840.66","125,099,765.14"
短期借款,"24,640,000.00","61,000,000.00","98,000,000.00","139,300,000.00","164,400,000.00","141,400,000.00","131,400,000.00","161,300,000.00","248,000,000.00","286,624,000.00","357,624,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"10,056,085.53","12,238,833.47","20,904,342.70","15,227,311.93","13,048,608.37","25,403,014.36","17,530,570.70","15,720,573.98","10,457,722.93","18,013,055.33","16,203,818.72"
应付票据,,,,,,,,,,,
应收账款,"183,704,087.73","241,121,305.11","272,930,259.17","331,859,876.39","367,309,562.74","359,765,317.02","402,063,327.61","458,456,167.78","537,305,990.47","576,842,263.00","663,020,001.57"
应付账款,"14,661,495.11","19,182,223.76","25,824,523.68","29,631,843.42","25,334,710.39","8,459,628.68","19,786,568.22","24,529,190.39","30,194,436.91","55,956,937.13","52,515,160.53"
预付款项,"18,525,571.22","23,576,792.20","32,647,622.86","19,165,019.69","68,135,816.32","56,380,135.63","69,376,522.05","86,556,710.04","98,600,316.52","88,287,065.18","97,402,721.29"
预收款项,"6,063,802.13","7,978,642.55","6,413,537.45","7,950,377.23","11,405,419.59","13,551,633.35","14,968,733.87","15,508,991.40","22,921,770.59","18,928,217.95","15,026,866.62"
其他应收款,"7,006,131.41","6,904,460.90","16,535,999.10","18,869,925.21","18,334,261.93","18,371,481.34","23,875,602.37","26,900,293.37","40,477,902.74","17,514,199.77","24,640,009.10"
应付职工薪酬,"4,355,141.64","7,958,929.28","12,718,361.67","7,521,873.86","10,811,756.05","18,334,525.88","7,340,927.24","12,360,720.92","17,234,246.79","25,382,698.73","13,073,562.20"
应收关联公司款,,,,,,,,,,,
应交税费,"8,086,127.15","6,538,022.18","9,738,238.28","5,533,977.79","13,844,572.53","9,545,278.40","11,415,567.34","12,352,337.63","19,745,412.71","24,007,151.82","26,261,941.32"
应收利息,,,,,,,,,,,
应付利息,,,,,"116,241.67",,,"57,521.13",,"91,325.00",
应收股利,,,,,,,,,,,
应付股利,,,,,,,,"266,641.44","9,148,200.00","9,148,200.00","9,148,200.00"
存货,"60,852,924.46","55,850,832.54","65,984,942.08","85,810,976.75","73,579,004.82","76,051,400.72","104,056,829.07","127,624,622.99","164,375,781.91","201,538,444.96","243,409,358.69"
其他应付款,"6,802,648.57","5,147,791.04","7,140,863.81","9,455,997.52","8,744,738.27","9,193,861.07","9,499,965.72","105,044,002.28","92,922,042.57","88,653,780.73","97,441,746.14"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
