科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"44,399,620.83","40,500,671.19","57,108,315.12","88,513,780.29",,"472,389,391.86","360,445,968.81","284,259,528.66","404,148,069.35","459,094,726.25","364,350,302.40","383,052,891.18","633,489,987.98","281,284,890.64","320,147,769.93"
短期借款,"134,387,600.00","175,120,163.68","215,796,939.79","340,459,364.55",,"254,131,971.20","239,753,352.49","228,276,189.82","360,868,330.24","419,356,469.85","462,880,876.23","599,702,448.55","586,343,493.13","470,989,509.83","382,962,667.77"
交易性金融资产,"200,100.00",,"123,750.00","9,100.00",,"277,200.00","53,200.00",,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"6,005,869.39","3,302,375.00","2,121,583.79","6,558,622.59",,"3,503,321.83","6,497,987.90","15,395,536.55","13,349,265.21","18,876,611.98","23,092,461.69","20,311,545.11","11,058,706.89","28,739,264.67","18,384,564.47"
应付票据,,,,,,,,,,,,,,,
应收账款,"160,913,128.19","188,983,380.50","217,078,914.45","221,885,435.12",,"259,366,805.74","255,195,726.00","267,581,077.28","280,020,378.87","294,590,450.99","309,994,533.92","347,787,795.14","355,587,713.47","354,186,362.35","370,311,042.15"
应付账款,"69,017,487.22","68,277,679.70","128,333,485.65","100,203,495.22",,"136,492,484.74","118,678,748.37","133,100,600.01","126,377,338.10","149,708,687.43","143,090,107.44","178,403,485.94",,"175,398,341.77",
预付款项,"19,187,338.09","18,226,604.12","16,202,362.32","15,469,627.37",,"4,625,806.43","2,565,108.11","6,716,357.60","5,576,881.51","10,347,667.89","12,221,337.44","12,759,539.13","20,708,310.56","7,644,368.07","10,102,555.14"
预收款项,"511,066.97","239,781.44","851,769.29","417,095.56",,"143,814.84","265,890.55","435,151.72","384,568.96","1,264,319.75","1,998,520.08","817,331.48","1,019,563.68","1,388,804.68","1,010,232.67"
其他应收款,"8,952,266.66","11,577,532.81","10,230,700.68","13,990,968.78",,"7,879,428.43","10,011,174.51","10,669,158.48","9,294,604.19","6,114,792.78","12,667,805.47","8,394,143.18","8,648,655.50","19,886,068.36","21,157,441.43"
应付职工薪酬,"23,741,564.87","23,223,242.85","29,184,009.67","20,054,098.30",,"39,651,479.93","27,855,201.08","31,647,808.59","35,176,414.65","43,764,571.43","28,224,095.21","28,418,753.98","32,620,010.73","58,593,526.04","43,724,785.17"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"9,671,710.57","9,055,611.99","14,205,515.44","15,682,376.96",,"17,799,845.71","26,170,974.30","18,085,116.87","23,708,661.71","25,416,753.45","29,751,153.09","28,896,322.97","26,204,615.14","13,232,560.90","12,846,277.48"
应收利息,,,,,,,,,,,,,,,
应付利息,,"726,564.42","537,339.59","671,635.11",,"680,461.87","779,431.69","589,775.26","554,155.07","805,289.18","925,158.33","661,121.92",,"1,669,029.00","2,055,227.10"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"101,116,027.10","111,601,688.38","123,864,922.63","117,673,535.57",,"154,333,350.24","166,395,375.05","166,589,982.22","183,176,563.92","211,192,378.84","223,275,234.40","252,227,793.83","259,356,193.98","341,933,175.55","345,832,769.93"
其他应付款,"5,382,633.46","6,524,274.75","5,849,187.82","4,894,099.19",,"17,069,413.23","10,928,800.01","5,836,785.60","9,867,558.84","74,765,066.77","66,997,630.80","53,091,742.50","68,914,973.42","76,969,547.70","81,082,231.63"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,"29,413,750.91","22,592,867.83"
其他流动资产,,"354,844.46",,,,"2,233,892.86","2,663,883.10","62,257,378.39","53,131,170.78","11,103,884.23","7,660,828.59","13,781,678.92","10,965,447.25","72,721,364.54","23,080,148.57"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"340,774,350.26","374,547,096.46","426,730,548.99","464,101,069.72","470,084,300.00","904,609,197.39","803,828,423.48","813,469,019.18","948,696,933.83","1,011,320,512.96","953,262,503.91","1,038,315,386.49","1,299,815,015.63","1,106,395,494.18","1,109,016,291.62"
流动负债合计,"242,712,063.09","283,167,318.83","394,758,247.25","482,382,164.89","462,090,500.00","465,969,471.52","424,432,398.49","417,971,427.87","556,937,027.57","715,081,157.86","733,867,541.18","889,991,207.34","906,380,074.16","825,986,041.83","711,782,196.68"
可供出售金融资产,,,,,,,,"21,671,370.00","21,671,370.00","20,582,730.00","19,807,515.00","27,957,730.00","27,957,730.00","28,281,235.00","28,281,235.00"
长期借款,,,"79,336,983.18","106,941,509.57",,"150,358,142.95","103,318,487.69","100,843,167.70","98,367,847.71","95,892,527.72","97,759,277.72","114,161,948.72","359,269,570.26","367,639,822.34","522,714,577.40"
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,"331,338,186.28","314,900,528.62","320,152,656.40"
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,
长期股权投资,,,,,,,"21,671,370.00",,,,,,"10,000,000.00","9,746,445.76","9,410,000.84"
专项应付款,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,
固定资产,"166,767,540.24","208,717,593.77","227,929,832.27","268,543,072.69",,"299,384,470.34","306,989,251.64","323,321,226.17","353,224,002.18","447,971,841.44","442,765,176.68","457,971,547.77","849,027,978.55","1,220,164,367.68","1,225,226,014.26"
递延所得税负债,"50,025.00",,"18,562.50","1,365.00",,"41,580.00","36,110.00",,,,,,,"2,203,591.29","2,388,875.97"
在建工程,"12,154,487.58","39,134,084.05","220,440,462.30","240,710,623.19",,"312,265,401.60","332,695,282.62","345,221,234.40","352,251,220.58","326,166,539.96","376,029,146.14","475,368,373.99","202,449,928.00","178,741,676.43","226,339,692.02"
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
