科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"12,798,991.86","27,076,346.18","30,163,000.88","64,261,614.60","18,825,911.13","32,977,130.60","66,745,918.09","45,447,231.11","2,822,550.00","2,651,248.63","3,932,177.26","5,162,181.67","1,514,484.73","3,407,128.33","4,747,091.77","6,155,588.16","1,707,971.61","3,089,533.92","4,443,134.26","6,687,591.55","2,138,663.70","3,887,634.01","5,755,278.50","7,350,810.35","2,072,868.90","4,000,839.84","6,958,747.98","8,361,193.09","3,210,989.93","6,298,738.34","10,450,905.55","13,476,911.37","3,751,987.65","8,911,729.49","13,890,614.74","18,835,358.49","8,278,393.16","13,131,884.42","18,438,147.76","24,376,216.13","6,203,434.13","14,448,892.53","22,018,217.08","27,341,894.38","11,857,995.44","19,200,415.37"
取得借款收到的现金,,,,,,,"300,000,000.00","300,000,000.00",,"5,000,000.00","155,000,000.00","155,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",,,"520,000,000.00","520,000,000.00","155,000,000.00","297,880,000.00","482,580,000.00","509,430,000.00","56,300,000.00","99,850,000.00","99,850,000.00","193,680,000.00","671,330,000.00","1,217,830,000.00","1,217,830,000.00","1,021,330,000.00",,,"340,000,000.00","460,000,000.00","370,300,000.00","170,300,000.00"
支付的各项税费,"23,876,072.13","47,296,934.67","56,277,651.03","70,790,786.68","40,631,778.53","55,607,104.64","192,915,010.20","178,330,930.72","2,488,388.55","25,337,027.49","78,004,086.77","81,440,400.40","17,863,405.34","44,796,219.63","55,198,912.15","62,974,303.97","8,335,892.22","11,093,900.34","20,826,147.21","30,689,486.38","39,087,956.22","39,605,887.70","42,745,601.59","44,983,608.02","5,824,180.98","16,383,453.63","17,094,539.62","38,135,953.05","2,630,656.83","25,775,314.95","26,657,799.96","26,094,165.69","354,439.97","2,187,537.55","2,915,566.08","5,683,515.21","15,629,673.07","22,832,903.43","25,394,809.91","29,005,325.85","5,173,764.25","9,165,961.79","17,673,091.95","29,084,912.46","13,633,530.06","36,583,452.03"
收到其他与筹资活动有关的现金,,,,,,,,,"5,000,000.00",,,,,,,,,"116,194.44","116,194.44",,,,,,,,,,,,,,,,,,,,,,"242,270,000.00","242,270,000.00","242,270,000.00","426,873,130.00","3,500,000.00","203,500,000.00"
支付其他与经营活动有关的现金,"10,807,510.64","20,525,954.58","30,377,068.33","41,409,647.01","11,513,264.82","23,665,301.72","160,062,400.67","53,632,716.56","47,744,240.01","88,439,467.04","100,655,068.77","68,190,693.50","6,120,693.64","89,623,934.10","90,553,425.32","36,441,228.07","13,338,738.73","7,102,086.05","33,950,435.25","37,507,693.29","9,547,812.82","43,117,829.26","52,989,223.71","171,940,757.65","21,759,611.59","74,533,491.55","102,981,413.10","20,103,446.30","63,409,236.68","22,435,007.23","183,439,753.90","58,025,253.63","90,965,236.65","92,998,458.32","105,986,186.16","43,175,438.17","4,365,867.77","34,378,783.96","30,756,926.27","31,977,981.46","5,377,446.87","17,647,738.18","22,237,743.20","31,303,546.96","9,397,969.03","17,550,867.33"
筹资活动现金流入小计,,,,,,,"500,000,000.00","500,000,000.00","5,000,000.00","5,000,000.00","155,000,000.00","155,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,"10,116,194.44","10,116,194.44","10,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",,,"520,000,000.00","520,000,000.00","155,000,000.00","297,880,000.00","482,580,000.00","509,430,000.00","56,300,000.00","99,850,000.00","99,850,000.00","193,680,000.00","671,330,000.00","1,217,830,000.00","1,217,830,000.00","1,021,330,000.00","242,270,000.00","242,270,000.00","582,270,000.00","886,873,130.00","373,800,000.00","373,800,000.00"
经营活动现金流出小计,"759,870,236.16","1,542,040,173.79","2,328,016,564.07","3,924,144,885.95","1,216,286,124.86","2,016,763,480.70","4,518,758,577.49","3,473,330,157.84","70,065,837.56","195,750,909.62","364,819,646.39","347,543,598.61","41,710,536.39","179,512,399.11","259,359,048.40","167,446,543.09","25,432,782.79","31,606,226.19","78,937,380.16","102,970,888.96","203,519,880.40","260,237,816.94","279,582,664.45","255,321,710.42","33,420,842.80","215,254,239.67","472,598,654.48","425,573,093.54","-94,751,640.29","189,001,072.50","470,087,446.05","176,198,718.52","132,060,863.23","198,572,070.04","228,516,407.40","311,768,766.45","36,835,555.30","98,465,239.58","167,328,279.91","199,638,825.97","52,219,039.52","121,973,215.56","196,133,979.68","276,323,052.68","97,760,925.06","175,062,622.73"
偿还债务支付的现金,"30,000,000.00","30,000,000.00","75,025,243.50","75,085,243.50",,,"205,085,243.50","178,000,000.00",,"24,000,000.00","197,000,000.00","197,000,000.00","70,000,000.00","70,000,000.00","125,000,000.00","137,000,000.00","4,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00",,,"1,000,000.00","1,000,000.00","51,000,000.00","51,000,000.00","116,000,000.00","116,000,000.00","148,000,000.00","148,000,000.00","298,000,000.00","298,000,000.00","53,375,555.56","178,375,555.56","251,375,555.56","446,126,600.00","450,430,000.00","654,993,200.00","656,993,200.00","461,906,400.00","237,000,000.00","241,563,200.00","555,287,000.00","805,297,000.00","182,000,000.00","4,010,000.00"
经营活动产生的现金流量净额,"36,271,024.89","34,555,164.03","65,484,471.56","75,306,650.10","11,065,751.36","-10,075,621.86","-390,505,734.11","-337,362,725.74","116,039,855.23","180,434,608.39","140,427,034.03","141,357,079.51","-18,335,521.06","-6,940,879.46","-11,511,582.04","-2,654,707.42","4,626,477.32","63,072,805.37","31,285,707.69","28,701,123.03","-142,669,477.22","-136,041,241.86","-130,327,216.86","-98,497,904.81","29,586,300.04","95,834,607.12","-124,602,357.62","-165,544,135.88","179,983,887.45","-34,331,760.22","36,130,982.22","160,937,735.20","-88,458,381.83","-124,698,241.72","-126,064,939.46","-158,862,776.24","167,732,149.42","-85,272,451.62","-122,509,777.20","-102,291,142.04","-16,614,881.75","-24,277,087.38","5,034,105.70","115,124,629.69","-29,305,195.19","17,242,498.05"
分配股利、利润或偿还利息支付的现金,"116,064.00","116,064.00","8,005,057.83","8,088,515.93","287,856.53","440,620.03","10,764,005.01","9,009,054.88","778,540.00","1,506,393.33","11,644,848.90","11,644,848.90","114,548.46","1,354,267.66","8,702,967.42","8,825,033.09","909,250.00","1,844,138.89","21,934,178.83","22,768,178.83","7,373,361.11","13,074,805.56","20,223,002.24","28,757,141.13","5,497,583.33","10,240,694.54","12,341,633.89","29,540,306.32","20,895,333.33","32,015,010.01","59,261,732.56","73,217,585.09","16,990,372.90","35,011,726.28","57,330,245.74","84,860,520.89","14,228,308.64","34,104,769.92","59,824,285.83","79,441,007.68","20,919,837.16","41,137,263.68","63,505,224.50","72,876,159.42","19,400,940.28","33,780,530.47"
收回投资收到的现金,,,"1,049,200.00","20,815,472.73",,,"20,815,472.73",,,,"130,080.00","1,289,050.00","1,452,655.00","2,468,470.00","2,532,120.00","3,137,591.31",,,,,,,,,,,,,,"190,000,000.00","190,000,000.00",,"190,000,000.00","380,000,000.00","380,000,000.00","190,000,000.00",,,,,,,,"400,000,000.00","88,500,000.00","120,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,"3,180,000.00","3,196,049.01",,"20,000.00","20,000.00","20,000.00",,,,,"3,150,000.00",,"6,379,880.00","12,410,653.22",,"2,214,823.13","6,189,534.46","8,520,254.46",,"393,273,746.67","393,432,051.63","393,432,051.63","392,270,000.00","200,000.00","200,000.00","200,000.00","2,100,000.00","210,000.00","415,000,000.00"
取得投资收益收到的现金,,,"19,870,478.13","106,605.40",,,"106,605.40",,,,"35,181.36","392,592.57","275,832.30","468,644.70","469,305.53","1,562,994.55",,,"5,626,780.35","5,626,780.35",,,"5,626,780.35","5,626,780.35",,,"6,189,458.40","6,189,458.40","980,821.91","1,771,013.69","1,771,013.69",,"8,898,151.07","11,254,369.67","11,377,355.78","7,117,877.10","7,117,877.10","7,117,877.10","7,117,877.10","7,117,877.10",,,,"12,456,285.00","95,342.46",
筹资活动现金流出小计,"30,116,064.00","30,116,064.00","83,030,301.33","83,173,759.43","287,856.53","440,620.03","215,849,248.51","187,009,054.88","778,540.00","25,506,393.33","208,644,848.90","208,644,848.90","70,114,548.46","71,354,267.66","133,702,967.42","145,825,033.09","4,909,250.00","28,024,138.89","48,130,227.84","45,768,178.83","7,393,361.11","13,094,805.56","21,243,002.24","29,757,141.13","56,497,583.33","61,240,694.54","128,341,633.89","148,690,306.32","168,895,333.33","186,394,890.01","369,672,385.78","371,217,585.09","72,580,751.59","219,576,816.30","317,226,055.76","530,987,120.89","857,932,055.31","1,082,530,021.55","1,110,249,537.46","933,617,407.68","258,119,837.16","282,900,463.68","618,992,224.50","880,273,159.42","201,610,940.28","452,790,530.47"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,684,160.00","1,608,900.00","2,517,143.78","445,381.83",,,"609,908,148.41","611,216,273.58",,,,,,,,,,,"46,000.00","46,000.00",,,,,,,,,,,,,,,,,"2,400.00",,,,,"2,460,600.00","2,460,600.00","1,606,410.59",,"129,000.00"
筹资活动产生的现金流量净额,"-30,116,064.00","-30,116,064.00","-83,030,301.33","-83,173,759.43","-287,856.53","-440,620.03","284,150,751.49","312,990,945.12","4,221,460.00","-20,506,393.33","-53,644,848.90","-53,644,848.90","-20,114,548.46","-21,354,267.66","-83,702,967.42","-95,825,033.09","-4,909,250.00","-17,907,944.45","-38,014,033.40","-35,768,178.83","142,606,638.89","136,905,194.44","128,756,997.76","120,242,858.87","-56,497,583.33","-61,240,694.54","391,658,366.11","371,309,693.68","-13,895,333.33","111,485,109.99","112,907,614.22","138,212,414.91","-16,280,751.59","-119,726,816.30","-217,376,055.76","-337,307,120.89","-186,602,055.31","135,299,978.45","107,580,462.54","87,712,592.32","-15,849,837.16","-40,630,463.68","-36,722,224.50","6,599,970.58","172,189,059.72","-78,990,530.47"
处置子公司及其他营业单位收到的现金净额,,,,,,"26,674,345.12",,"24,927,191.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,"3,879,232.87",,,,"26,915,569.74",,,,,,,,"404,909.56",,"245,292.39"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,684,160.00","1,608,900.00","23,436,821.91","21,367,459.96",,"26,674,345.12","630,830,226.54","636,143,465.30",,,"165,261.36","1,681,642.57","1,728,487.30","2,937,114.70","3,001,425.53","4,700,585.86",,,"5,672,781.19","5,672,780.35",,,"5,626,780.35","5,626,780.35",,,"6,189,458.40","6,189,458.40","980,821.91","191,771,013.69","191,771,013.69","3,879,232.87","198,898,151.07","391,254,369.67","391,377,355.78","224,033,446.84","7,120,277.10","7,117,877.10","7,117,877.10","7,117,877.10",,"2,460,600.00","2,460,600.00","414,467,605.15","88,595,342.46","120,374,292.39"
五、现金及现金等价物净增加额,"6,262,884.29","2,675,633.79","-1,074,406.37","-1,289,905.71","2,490,535.01","-6,804,579.67","-21,672,475.06","-58,277,119.52","106,261,315.23","159,888,215.06","86,076,791.49","87,082,808.18","-37,943,467.22","-27,713,232.42","-94,582,703.93","-98,190,721.59","-347,772.68","44,986,646.92","-1,272,181.52","-1,675,463.45","-67,914.33","853,616.58","4,044,125.25","27,351,498.41","-26,911,283.29","34,566,412.58","273,217,966.89","211,338,168.22","-22,971,273.97","78,839,633.46","150,645,725.13","112,923,817.98","-96,245,498.46","-45,765,509.76","-144,708,423.85","-273,930,091.70","-11,766,216.79","57,082,030.93","-8,159,010.56","-7,546,545.62","-32,464,718.91","-62,559,741.86","-29,425,602.60","15,314,984.13","131,893,493.46","57,428,008.03"
购建固定资产、无形资产和其他长期资产支付的现金,"1,576,236.60","3,372,366.24","6,965,398.51","14,790,256.34","8,287,359.82","22,962,682.90","17,834,146.86","31,253,798.76",,"40,000.00","671,795.00","680,495.00","21,600.00","28,500.00","42,880.00","1,969,561.94","65,000.00","178,214.00","216,637.00","281,188.00","5,076.00","10,336.00","12,436.00","20,236.00",,"27,500.00","27,500.00","616,847.98","40,650.00","84,730.00","163,885.00","105,565.00","404,516.11","2,594,821.41","2,644,784.41","1,793,641.41","16,588.00","63,373.00","83,573.00","85,873.00",,"112,790.80","198,083.80","877,221.29","85,713.53","1,198,251.94"
期初现金及现金等价物余额,"27,129,364.20","27,129,364.20","27,129,364.20","27,129,364.20","20,512,208.93","25,839,458.49","101,044,464.17","72,797,057.79","14,469,868.80","14,519,938.27","14,519,938.27","14,519,938.27","101,602,746.45","101,602,746.45","101,602,746.45","101,602,746.45","3,412,024.86","3,412,024.86","3,412,024.86","3,412,024.86","1,736,561.41","1,736,561.41","1,736,561.41","1,736,561.41","29,088,059.82","29,088,059.82","29,088,059.82","29,088,059.82","240,426,228.04","240,426,228.04","240,426,228.04","240,426,228.04","543,350,046.02","353,350,046.02","353,350,046.02","353,350,046.02","79,419,954.32","79,419,954.32","79,419,954.32","79,419,954.32","71,873,408.70","71,873,408.70","71,873,408.70","71,873,408.70","87,188,392.83","87,188,392.83"
投资支付的现金,,,,,,,,"638,795,005.44",,,"198,860.00","1,630,570.00","1,200,285.00","2,326,700.00","2,326,700.00","2,442,005.00",,,,,,,,,,,,,"190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00",,,,,,,,,"520,000,000.00","99,500,000.00",
期末现金及现金等价物余额,"33,392,248.49","29,804,997.99","26,054,957.83","25,839,458.49","23,002,743.94","19,034,878.82","79,371,989.11","14,519,938.27","120,731,184.03","174,408,153.33","100,596,729.76","101,602,746.45","63,659,279.23","73,889,514.03","7,020,042.52","3,412,024.86","3,064,252.18","48,398,671.78","2,139,843.34","1,736,561.41","1,668,647.08","2,590,177.99","5,780,686.66","29,088,059.82","2,176,776.53","63,654,472.40","302,306,026.71","240,426,228.04","217,454,954.07","319,265,861.50","391,071,953.17","353,350,046.02","447,104,547.56","307,584,536.26","208,641,622.17","79,419,954.32","67,653,737.53","136,501,985.25","71,260,943.76","71,873,408.70","39,408,689.79","9,313,666.84","42,447,806.10","87,188,392.83","219,081,886.29","144,616,400.86"
