科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,632,782,538.64","3,072,758,748.22","627,475,872.47","2,621,043,506.63","618,431,496.89","1,375,286,653.51","2,140,352,635.84","2,663,839,906.79","672,983,932.03","1,384,707,098.78","1,866,924,041.57","2,769,504,676.02","659,149,698.31","1,241,254,520.87","1,775,479,239.59","3,000,657,211.45","581,068,895.53","1,281,948,310.85","2,134,313,176.15","2,896,036,593.54"
取得子公司及其他营业单位支付的现金净额,,,,"1,405,607.00",,,,,,,,"24,883,200.00",,,,,,,,
收到的税费返还,"10,081,520.45","8,594,813.30",,"9,286,023.31",,"525,899.39","2,943,931.71","3,864,005.33","1,373,194.35","2,346,316.61","3,697,948.13","6,542,665.85","510,568.87","773,235.89","1,469,409.38","2,216,741.28","1,336,588.42","1,953,183.25","2,295,855.31","7,220,280.15"
支付其他与投资活动有关的现金,,,,,"361,960.81","261,960.81","300,261,960.81","300,261,960.81",,,,"1,571,640.00",,,,"4,978,875.00","1,808,872.50","1,916,019.50","6,851,396.30","3,519,291.25"
收到其他与经营活动有关的现金,"93,704,219.61","44,533,593.47","44,383,674.27","111,654,473.75","11,200,906.88","23,029,720.49","26,492,561.67","28,782,388.89","9,561,201.75","33,975,629.58","49,096,258.43","70,983,946.77","94,377,056.70","21,147,321.09","44,566,725.36","25,862,230.26","38,685,630.80","17,401,157.50","35,325,728.56","60,792,935.01"
投资活动现金流出小计,"123,879,415.72","149,863,233.29","40,319,776.62","119,408,336.94","27,016,486.12","50,211,992.83","362,401,664.56","402,792,792.41","13,846,730.72","66,390,842.32","75,471,101.18","88,867,066.00","19,988,938.32","44,687,451.87","63,283,395.37","91,608,944.50","17,670,935.11","48,948,769.90","85,648,916.51","132,282,870.26"
经营活动现金流入小计,"2,736,568,278.70","3,125,887,154.99","671,859,546.74","2,741,984,003.69","629,632,403.77","1,398,842,273.39","2,169,789,129.22","2,696,486,301.01","683,918,328.13","1,421,029,044.97","1,919,718,248.13","2,847,031,288.64","754,037,323.88","1,263,175,077.85","1,821,515,374.33","3,028,736,182.99","621,091,114.75","1,301,302,651.60","2,171,934,760.02","2,964,049,808.70"
投资活动产生的现金流量净额,"-23,563,318.12","-67,625,600.17","-39,885,985.69","-90,536,076.81","-26,477,139.66","-25,412,150.86","-311,871,641.32","-348,565,921.86","314,534,915.09","285,724,533.76","283,170,250.66","275,415,655.47","-19,397,078.32","-8,261,365.80","-20,400,056.19","-46,847,625.98","-17,663,317.68","-21,333,502.26","-53,055,561.05","-97,770,955.75"
购买商品、接受劳务支付的现金,"2,028,001,781.85","1,955,960,154.55","536,176,513.90","1,896,183,903.52","454,257,924.90","1,002,090,443.52","1,454,271,265.69","1,658,134,530.31","494,682,174.39","979,204,047.85","1,195,368,383.59","1,696,454,380.68","440,409,768.39","871,988,042.38","1,153,621,456.20","1,840,262,467.46","488,114,074.53","1,039,037,115.80","1,540,635,425.04","1,974,332,338.57"
吸收投资收到的现金,"329,349,300.00","3,468,800.00",,,,,"636,400,000.00","626,537,836.07",,,"10,000,000.00","10,000,000.00",,,,,"500,000.00","1,000,000.00","1,000,000.00","1,000,000.00"
