科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"272,296,988.08","325,886,714.24","345,673,311.61",,"100,945,042.32","152,497,546.52","307,258,468.10","38,656,179.65","95,314,393.34","159,712,688.77","346,799,789.47","45,301,352.68","114,946,175.61","178,185,493.92","285,150,638.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"16,569,171.57","13,499,930.41","15,349,393.24",,"5,686,262.91","9,018,919.18","12,702,026.54","4,313,326.90","6,314,825.54","8,774,414.50","12,485,424.42","3,309,674.12","5,069,427.55","7,890,996.94","11,371,056.83"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,913,941.20","2,798,042.63","2,984,900.32",,"2,361,709.00","5,660,630.04","9,041,881.04","3,334,500.20","3,973,333.67","10,404,429.61","6,620,014.34","3,731,891.68","5,622,119.51","12,170,716.58","8,457,988.58"
投资活动现金流出小计,"1,950,414.59","918,708.57","3,599,743.74",,"695,255.81","1,093,118.55","301,302,340.52","31,655,577.71","22,544,036.56","553,468,000.60","583,382,709.88","182,071,107.10","254,171,731.10","680,420,295.96","727,749,985.47"
经营活动现金流入小计,"297,780,100.85","342,184,687.28","364,007,605.17",,"108,993,014.23","167,177,095.74","329,002,375.68","46,304,006.75","105,602,552.55","178,891,532.88","365,905,228.23","52,342,918.48","125,637,722.67","198,247,207.44","304,979,684.38"
投资活动产生的现金流量净额,"-1,740,384.59","2,087,819.24","-3,380,677.75","-336,100.00","386,313.79","-9,843.95","-300,217,369.66","-31,653,635.96","-21,742,094.81","-21,664,451.42","-17,246,935.62","-72,071,107.10","-73,111,731.10","-98,801,073.87","-124,306,708.00"
购买商品、接受劳务支付的现金,"136,270,884.12","187,773,458.32","201,975,168.00",,"64,468,736.15","100,034,055.35","187,509,165.52","39,293,363.35","68,434,062.46","106,021,589.68","212,536,763.49","44,150,226.45","81,514,710.76","134,222,146.51","178,940,074.44"
吸收投资收到的现金,,,,,"318,518,200.00","318,518,200.00","336,450,000.00",,,,,,,,
支付给职工以及为职工支付的现金,"31,473,281.79","34,739,594.75","41,845,756.82",,"22,462,801.72","29,655,028.31","45,129,727.38","18,213,618.95","24,757,726.74","34,016,036.60","50,603,350.77","17,938,409.43","28,409,689.39","39,752,824.03","57,210,613.60"
取得借款收到的现金,"30,000,000.00",,,,,,,,,,,,,,
支付的各项税费,"47,862,501.77","37,557,779.18","43,622,319.48",,"30,004,040.76","37,996,279.82","35,475,651.80","6,950,874.38","18,400,810.71","26,830,269.18","29,529,581.92","8,362,499.39","15,000,764.16","23,663,092.48","28,345,617.59"
收到其他与筹资活动有关的现金,"4,911,512.30","5,390,670.45","7,173,534.00",,"17,931,800.00","17,931,800.00","14,357,492.70","5,117,310.30","8,421,723.15","10,524,158.25","15,303,390.30","4,956,917.85","6,710,975.85","13,082,349.15","16,065,833.85"
支付其他与经营活动有关的现金,"30,644,369.44","33,506,872.25","28,753,833.63",,"13,906,988.65","22,145,758.96","25,264,247.76","8,017,544.78","17,397,299.59","28,346,139.67","32,122,227.61","8,902,385.73","17,427,231.66","29,918,876.12","33,762,391.92"
筹资活动现金流入小计,"34,911,512.30","5,390,670.45","7,173,534.00",,"336,450,000.00","336,450,000.00","350,807,492.70","5,117,310.30","8,421,723.15","10,524,158.25","15,303,390.30","4,956,917.85","6,710,975.85","13,082,349.15","16,065,833.85"
经营活动现金流出小计,"246,251,037.12","293,577,704.50","316,197,077.93",,"130,842,567.28","189,831,122.44","293,378,792.46","72,475,401.46","128,989,899.50","195,214,035.13","324,791,923.79","79,353,521.00","142,352,395.97","227,556,939.14","298,258,697.55"
偿还债务支付的现金,"20,000,000.00","10,000,000.00",,,,,,,,,,,,,
经营活动产生的现金流量净额,"51,529,063.73","48,606,982.78","47,810,527.24","-19,488,500.00","-21,849,553.05","-22,654,026.70","35,623,583.22","-26,171,394.71","-23,387,346.95","-16,322,502.25","41,113,304.44","-27,010,602.52","-16,714,673.30","-29,309,731.70","6,720,986.83"
