科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月
销售商品、提供劳务收到的现金,"456,467,018.00","1,642,147,108.00","2,707,988,779.00","3,785,454,537.00","1,156,901,464.00","2,370,421,500.00","4,204,614,771.00","6,195,335,331.00","1,907,252,226.00","6,727,241,166.00","10,797,563,292.00","15,926,683,850.00","2,376,845,424.00","5,779,743,718.00","9,768,811,329.00","15,868,430,913.00","4,423,016,856.00","8,808,595,910.00","15,304,266,416.00","20,827,133,097.00","5,615,868,070.00","14,808,712,660.00","24,589,529,890.00","37,098,796,920.51","8,949,900,347.76","18,624,153,525.45","29,826,137,629.51","42,524,900,792.38","8,712,833,774.91","18,355,477,590.23","28,427,510,441.71","41,608,963,264.17","9,467,176,552.62","22,919,760,919.87","38,455,647,263.04"
取得子公司及其他营业单位支付的现金净额,,"-471,613.00","24,220,904.00","227,583,787.00","136,787,960.00","-3,010,125.00","-3,010,125.00","5,252,240.00","4,000,000.00",,,,,,,"15,306,886.00",,,,"155,553,982.00","5,244,360.00","122,221,009.00","190,958,140.00","317,095,120.95","5,100,000.00",,"132,381,505.46","154,796,235.07",,,,,,,"10,596,600.00"
收到的税费返还,"31,024,970.00","31,027,844.00","31,030,658.00","57,829,657.00",373.00,"1,607.00","2,655,454.00","25,520,015.00","2,496.00","9,407.00","1,347,949.00","598,706.00","15,222,784.00","15,311,948.00","15,311,948.00","15,222,063.00",,801.00,"10,218,775.00","11,795,675.00","6,750.00","334,434.00","331,716.00",,"10,955,527.37","15,808,867.22","15,808,867.22","15,808,867.22",,,"27,348,837.85",,,,"8,783.44"
支付其他与投资活动有关的现金,"11,481.00","2,427,405.00","13,581,148.00","19,910,931.00",,"21,803,244.00","60,872,194.00","54,886,338.00",,,,,"6,977,067.00",,"1,971,145.00","2,579,455.00","6,819,097.00","22,597,418.00","22,189,927.00","36,569,960.00",,"8,707,949.00","8,707,949.00","8,653,703.86",,"561,222,801.84","561,222,801.84","561,222,801.84",,,,,,,"746,180,075.09"
收到其他与经营活动有关的现金,"107,560,669.00","196,085,128.00","446,403,175.00","1,756,268,725.00","801,791,332.00","744,898,884.00","893,647,564.00","887,926,560.00","511,295,947.00","824,720,066.00","1,250,535,398.00","3,542,739,117.00","282,302,017.00","1,457,432,262.00","1,991,535,324.00","2,650,784,301.00","459,539,494.00","2,399,907,299.00","3,537,025,543.00","5,266,286,134.00","827,649,199.00","1,382,261,388.00","2,974,874,002.00","5,604,316,499.20","1,088,709,883.94","2,864,443,964.78","4,193,297,175.59","4,742,948,288.83","1,537,028,051.18","3,871,017,979.61","6,841,156,957.77","8,512,192,484.41","2,584,887,037.69","4,950,861,844.21","7,881,250,024.51"
投资活动现金流出小计,"5,790,356.00","40,808,235.00","946,304,338.00","1,915,877,783.00","191,199,578.00","211,855,526.00","272,383,608.00","1,157,499,001.00","14,796,020.00","28,709,318.00","38,534,864.00","945,675,137.00","37,132,911.00","34,446,981.00","52,136,146.00","100,284,620.00","124,019,360.00","172,981,812.00","310,252,772.00","471,855,057.00","94,680,927.00","225,944,327.00","430,781,989.00","645,082,651.00","43,740,647.30","612,239,161.62","762,348,677.12","1,074,425,236.32","71,497,882.17","86,273,431.53","117,852,952.36","132,589,354.44","173,413,396.79","496,316,218.84","1,570,936,458.31"
经营活动现金流入小计,"595,052,657.00","1,869,260,080.00","3,185,422,612.00","5,599,552,919.00","1,958,693,169.00","3,115,321,991.00","5,100,917,789.00","7,108,781,906.00","2,418,550,669.00","7,551,970,639.00","12,049,446,639.00","19,470,021,673.00","2,674,370,225.00","7,252,487,928.00","11,775,658,601.00","18,534,437,277.00","4,882,556,350.00","11,208,504,010.00","18,851,510,734.00","26,105,214,906.00","6,443,524,019.00","16,191,308,482.00","27,564,735,608.00","42,703,113,419.71","10,049,565,759.07","21,504,406,357.45","34,035,243,672.32","47,283,657,948.43","10,249,861,826.09","22,226,495,569.84","35,296,016,237.33","50,121,155,748.58","12,052,063,590.31","27,870,622,764.08","46,336,906,070.99"
投资活动产生的现金流量净额,"-5,686,156.00","-20,728,973.00","-916,197,662.00","-1,561,226,532.00","-140,472,530.00","-158,458,293.00","-218,832,664.00","-419,241,421.00","27,063,547.00","49,008,852.00","38,905,840.00","-445,789,078.00","-37,129,481.00","-34,400,123.00","120,038,646.00","80,010,506.00","-124,015,730.00","-172,234,626.00","-308,914,068.00","-168,026,845.00","-94,650,147.00","-225,912,197.00","-430,742,869.00","-644,639,224.30","-43,607,304.30","-300,791,558.31","-435,363,319.47","-747,151,696.35","-71,497,482.17","-65,678,503.92","-77,826,142.50","-79,115,210.41","-149,409,113.69","199,289,637.87","-870,038,593.63"
购买商品、接受劳务支付的现金,"1,505,061,425.00","2,889,001,748.00","4,364,550,450.00","8,213,204,025.00","2,776,152,584.00","4,759,721,748.00","5,904,551,422.00","9,374,818,057.00","1,608,732,603.00","2,645,911,081.00","4,140,838,730.00","8,370,247,406.00","2,144,687,245.00","6,182,133,125.00","9,334,463,626.00","15,504,594,545.00","3,516,857,557.00","9,336,184,478.00","13,986,361,635.00","18,939,453,170.00","3,996,265,062.00","7,664,076,750.00","11,810,084,723.00","23,466,485,913.43","4,749,445,280.89","10,622,047,633.80","20,155,096,718.59","31,779,772,963.55","9,896,232,646.93","20,625,105,111.33","27,074,310,400.10","39,881,908,800.65","9,920,009,437.90","20,261,758,470.60","30,026,820,709.97"
吸收投资收到的现金,,"157,271,980.00","2,643,238,880.00","3,188,359,229.00","126,985,250.00","226,985,250.00","226,985,250.00","6,444,200,352.00",,"75,000,000.00","75,000,000.00","338,613,350.00",,"475,673,905.00","490,673,905.00","617,673,905.00","51,250,000.00","51,250,000.00","51,250,000.00","63,250,000.00","98,000,000.00","238,000,000.00","511,000,000.00","511,000,000.00","4,000,000.00","116,206,306.58","118,041,079.00","1,610,886,152.23","36,788,300.00","52,690,666.19","254,265,704.18","1,596,048,344.17","515,300,000.00","889,181,567.06","1,024,481,567.06"
支付给职工以及为职工支付的现金,"116,989,853.00","205,006,663.00","293,232,202.00","384,051,253.00","176,431,750.00","293,307,234.00","405,082,867.00","515,097,597.00","149,212,811.00","286,740,876.00","353,886,452.00","561,496,643.00","229,860,929.00","367,569,007.00","512,454,736.00","663,519,706.00","294,299,282.00","490,222,480.00","717,426,729.00","932,401,018.00","335,381,117.00","557,955,747.00","793,037,637.00","1,118,176,198.56","428,182,923.49","674,059,496.16","983,126,518.84","1,462,218,085.03","532,204,002.23","854,694,963.32","1,194,355,095.30","1,787,414,090.41","668,564,480.79","1,161,424,042.43","1,540,098,711.17"
取得借款收到的现金,"1,411,257,237.00","2,686,259,307.00","5,162,280,695.00","8,758,782,055.00","2,266,522,283.00","4,411,118,702.00","5,812,540,085.00","8,943,642,350.00","1,222,780,648.00","2,167,067,165.00","5,037,063,977.00","5,612,106,753.00","2,109,233,376.00","5,730,487,074.00","6,859,617,476.00","7,766,251,253.00","2,146,077,138.00","4,240,989,406.00","7,997,007,616.00","12,206,606,205.00","3,615,439,000.00","5,292,641,763.00","7,335,203,556.00","10,400,528,146.29","7,097,703,401.23","12,961,884,236.52","14,700,287,816.88","16,696,358,600.58","3,445,780,180.83","9,924,282,155.82","16,216,394,880.82","20,157,822,505.82","5,665,126,014.37","13,555,217,307.88","14,229,686,423.00"
支付的各项税费,"100,571,412.00","261,702,799.00","420,044,249.00","547,320,197.00","171,798,456.00","450,227,717.00","658,658,076.00","802,008,011.00","293,683,061.00","689,645,723.00","1,078,187,484.00","1,426,342,512.00","632,574,717.00","1,621,816,124.00","2,330,350,396.00","2,707,911,375.00","893,677,175.00","2,302,125,348.00","3,293,842,132.00","3,763,688,121.00","867,339,244.00","2,674,247,425.00","4,640,703,039.00","6,251,459,270.87","1,316,379,429.67","4,126,788,176.01","5,816,514,372.81","7,793,961,358.12","1,952,624,916.54","5,455,155,348.46","6,883,850,156.54","8,058,164,657.57","2,463,927,739.20","6,010,179,943.53","7,985,057,195.79"
