科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"5,321,884.33","4,164,882.40","27,846,798.38","15,398,892.47","16,885,265.16","333,725,371.34","262,120,561.11","311,322,530.60","160,175,637.90","136,935,538.95","207,286,643.78","199,614,544.43","150,631,829.68","97,368,829.17","116,076,407.05","131,819,129.41","118,467,034.01","99,840,552.33","152,143,359.11","81,842,556.71","102,485,697.13","54,115,994.23","70,460,539.73","62,583,585.76","46,107,255.16","50,286,128.35","90,396,509.72","110,772,907.26","73,368,213.04","54,516,766.05","67,559,309.18","76,343,775.80","64,624,674.78"
短期借款,"76,000,000.00","117,000,000.00","116,300,000.00","93,000,000.00","81,900,000.00","84,000,000.00","93,000,000.00","139,500,000.00","189,500,000.00","214,500,000.00","254,000,000.00","339,500,000.00","301,000,000.00","331,500,000.00","415,800,000.00","488,800,000.00","408,207,864.20","340,758,594.90","400,470,841.69","337,120,191.63","365,667,894.19","300,997,300.00","383,804,350.00","366,982,800.00","270,709,750.00","158,000,000.00","18,000,000.00",,,,,,"20,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,848,985.50",,"717,848.76","3,695,274.28","6,347,798.00","8,604,338.78","11,737,813.38","9,948,860.60","13,589,356.60","18,949,167.55","18,201,979.85","8,970,346.19","9,117,130.68","30,488,635.93","13,161,976.00","8,981,735.99","13,956,157.07","15,784,119.64","33,880,121.21","39,824,446.72","23,659,327.20","26,207,380.58","28,040,364.99","28,281,006.99","10,090,978.02","12,832,746.72","4,801,984.61","13,991,193.22","13,078,610.82","9,540,009.00","17,561,273.54","27,946,917.69","45,979,003.55"
应付票据,,,"21,000,000.00","5,000,000.00","10,000,000.00","5,000,000.00",,,,"10,300,000.00","14,214,563.76","7,858,387.76","7,315,824.00","9,427,000.00","7,655,000.00","4,173,389.50","2,573,389.50","50,681,492.00","50,681,492.00",,,,,,,,,,,,,,
应收账款,"17,676,714.63","18,010,777.43","32,270,362.75","27,874,307.46","41,436,080.80","37,258,173.48","53,892,890.92","69,679,340.89","67,937,211.96","75,096,278.21","86,898,629.68","82,219,608.80","76,357,632.77","48,319,748.52","84,293,831.79","88,864,667.55","85,749,142.62","72,516,917.32","90,501,660.77","88,713,113.50","134,647,401.86","140,186,569.74","100,984,485.67","92,349,224.84","108,696,756.54","67,484,268.38","65,272,402.82","73,806,808.20","72,548,982.47","66,396,969.98","76,703,669.17","99,776,055.18","104,576,667.54"
应付账款,"9,676,575.59","15,094,613.53","17,816,453.15","17,677,182.73","19,516,241.95","13,314,171.18","24,677,581.67","36,544,439.30","25,759,924.96","34,692,734.57","32,712,725.86","34,106,757.65","38,500,631.71","39,378,323.06","52,903,533.78","35,831,841.28","23,269,541.97","28,254,986.13","30,268,014.85","32,501,090.43","45,504,043.41","42,476,164.71","34,500,460.76","39,380,963.61","43,481,237.23","38,049,991.20","37,465,051.74","39,609,762.36","38,995,566.10","41,647,117.03","43,204,825.32","38,771,040.10","24,355,646.94"
预付款项,"12,602,596.70","10,681,332.80","18,175,476.52","23,187,423.29","39,155,455.02","66,218,661.40","50,387,607.12","27,139,012.13","77,898,856.03","45,346,439.64","41,268,091.04","63,055,844.82","71,824,757.02","50,310,819.24","55,715,474.11","53,574,227.85","40,748,304.07","20,102,571.67","30,954,418.81","10,253,289.08","17,472,686.22","8,085,801.01","9,997,829.52","10,205,576.31","9,677,917.20","4,356,252.47","9,479,928.82","9,699,447.97","10,769,369.55","8,730,386.54","14,936,722.76","10,153,844.42","13,736,602.31"
预收款项,"300,907.37","1,239,307.84","2,987,436.69","981,259.36","3,633,755.39","1,312,237.87","1,346,096.98","951,958.13","6,133,276.35","2,715,554.91","2,113,903.71","1,097,324.18","4,597,492.11","4,004,772.73","1,383,328.02","1,694,000.37","8,184,963.05","4,333,520.16","1,111,381.48","1,312,847.34","2,875,485.65","2,888,628.33","3,463,825.71","3,201,573.54","3,679,320.81","2,707,320.99","4,371,064.39","5,751,012.32","5,949,800.68","8,801,614.44","14,431,193.33","4,531,353.77","10,636,124.09"
