科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"89,284,178.28","109,503,151.34","152,922,539.43",,"161,278,155.93","14,723,906.69","103,611,316.49","42,531,154.61","81,345,632.36","43,493,842.80","47,273,950.38","33,577,770.41","53,466,028.75","61,905,020.71","47,078,264.87","136,017,080.16"
短期借款,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,"1,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"14,178,784.24","16,583,259.52","3,640,392.35",,"5,197,475.46","2,436,227.60","10,025,809.11","8,318,007.83","13,833,867.18","17,181,293.50","20,384,561.02","9,589,887.51","8,593,265.83","19,911,634.13","8,736,689.09","12,104,456.97"
应付票据,,,,,,,,,,,,,,,,
应收账款,"20,403,009.73","22,433,646.27","19,771,685.27",,"28,637,142.58","31,788,607.36","27,194,570.22","31,344,458.49","31,627,759.57","35,268,618.77","35,249,782.50","43,401,301.52","42,137,376.06","41,380,495.11","63,500,841.89","58,119,821.87"
应付账款,"2,622,049.81","2,213,849.86","3,149,619.77",,"4,883,986.94","6,207,117.99","6,335,776.99","8,994,930.89","8,016,957.05","6,120,359.39","6,313,685.39","6,852,057.77","9,212,968.53",,"6,541,677.93",
预付款项,"2,909,153.31","1,008,468.94","1,002,711.31",,"368,927.17","3,891,893.51","857,781.45","1,356,179.90","1,394,606.75","3,316,955.82","5,070,678.11","2,783,487.62","3,506,092.28","12,530,999.64","824,464.56","13,749,777.47"
预收款项,"605,564.95","740,435.95","385,068.74",,"181,801.30","1,002,770.77","841,909.70","888,120.20","1,064,007.52","1,079,755.28","1,729,550.16","1,134,244.66","5,540,574.57","14,249,117.39","693,507.81","501,831.92"
