科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"7,112,482.22","28,242,242.89","29,061,589.09","18,888,726.35","479,805,972.57","489,574,654.81","463,399,995.84","456,123,817.86","418,600,920.13","284,821,862.77","341,517,501.97","299,774,110.87","366,902,878.67","302,722,961.89","306,990,499.85","242,582,801.36","247,765,029.26","245,219,929.94","206,674,342.00","191,453,244.04","246,182,533.85","250,569,381.36","249,661,916.69","202,374,100.98","200,784,229.77","228,136,136.68","208,129,344.10","191,643,145.17","183,820,763.41","364,155,484.02","343,966,836.46","313,529,886.24","332,597,570.50","294,332,671.36","231,848,094.50"
短期借款,"3,000,000.00","15,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,"8,934,427.28","3,500,000.00","500,000.00",,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","5,000,000.00","5,000,000.00","10,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,536,226.20","12,439,655.62","15,552,564.75","9,836,797.68","15,782,254.77","16,506,489.00","13,035,935.00","15,532,000.00","17,874,572.76","35,212,242.12","32,977,683.56","22,757,249.00","22,656,362.91","45,954,692.23","38,063,145.55","29,618,240.72","28,171,522.42","21,990,887.24","20,170,000.00","8,668,000.00","14,491,711.14","20,861,501.98","23,181,293.88","8,819,301.88","11,186,871.86","11,870,635.92","20,935,881.97","26,603,214.65","24,500,884.91","122,128,343.43","115,258,157.06","71,044,219.22","46,666,010.75","122,541,114.44","127,869,953.63"
应付票据,,,,,"871,425.00","1,416,725.00","8,987,661.20","16,129,784.27","29,065,445.34","27,518,219.38","16,498,230.98","18,204,341.80","16,511,368.68","22,767,184.33","19,147,951.23","9,406,942.18","14,323,615.48","13,401,769.31","11,756,640.07","15,731,560.68","12,933,282.03","8,469,646.02","8,771,055.82","8,658,644.56","12,095,402.61","9,005,272.04","7,230,479.02","5,842,661.49","1,907,613.70","22,799,439.45","3,007,115.21","2,256,056.21","1,239,983.17","1,239,983.17","7,845,914.31"
应收账款,"32,653,354.69","28,601,394.90","33,058,150.25","35,538,213.68","41,339,011.12","55,106,367.65","61,676,862.54","68,808,309.30","81,226,043.28","98,248,651.02","99,804,048.16","116,040,184.21","125,663,743.13","136,539,600.29","142,990,412.71","145,562,110.55","165,640,606.84","166,970,679.95","260,231,796.45","254,704,098.26","211,757,358.56","236,776,431.32","212,580,037.10","215,292,150.10","201,662,752.00","243,182,271.65","220,066,570.03","216,089,008.64","203,847,542.48","244,402,498.04","255,552,686.60","257,575,225.73","265,425,893.89","326,973,205.98","320,038,069.11"
应付账款,"12,391,365.12","1,067,997.57","2,477,682.69","3,350,879.59","3,833,700.93","6,060,769.09","5,773,306.29","9,049,462.83","10,084,845.20","12,463,840.60","14,517,388.70","14,370,386.95","13,589,240.85","15,155,625.80","14,053,953.96","11,000,821.79","12,987,776.51","14,885,423.36","48,876,327.82","44,561,091.57","32,894,396.15","45,622,627.47","40,942,496.92","43,287,158.04","31,529,692.67","44,799,926.64","32,427,380.49","35,604,629.41","44,414,965.45","41,060,595.82","34,403,905.54","41,245,470.30","49,429,069.38","78,598,823.70","85,326,448.46"
预付款项,"898,242.71","13,890,308.84","2,406,126.35","6,700,183.25","8,256,768.37","4,430,615.58","31,140,617.39","35,387,018.17","29,980,247.56","15,273,198.80","14,190,285.42","16,219,495.36","13,976,688.40","3,043,306.70","4,192,868.74","3,367,863.56","7,761,429.43","5,724,756.36","12,709,493.20","8,430,134.29","9,725,325.71","5,932,802.76","3,646,760.66","21,853,505.20","23,379,069.24","4,878,630.77","9,494,588.24","10,791,397.17","10,347,738.67","29,564,214.20","27,798,703.78","32,452,768.14","40,139,706.99","20,852,616.29","36,836,540.83"
预收款项,"240,444.00","985,475.00","2,188,053.50","1,639,052.00","2,285,433.00","1,396,886.00","709,163.00","6,822,793.00","8,609,097.20","2,169,824.49","1,181,858.00","3,575,063.93","1,695,773.00","1,364,695.00","776,183.00","1,140,077.00","2,079,049.00","1,190,128.00","2,356,058.00","1,722,811.00","5,264,186.00","4,638,164.84","7,572,329.00","6,319,407.00","10,334,031.67","1,970,535.00","5,727,273.00","8,281,837.00","4,225,637.00","3,324,403.70","5,933,501.64","16,041,192.19","17,324,316.98","9,866,200.34","15,207,525.92"
其他应收款,"343,491.89","724,419.93","1,307,013.89","1,370,287.98","1,716,303.40","777,156.65","1,263,813.45","1,143,893.78","1,991,194.45","3,451,926.65","3,070,568.86","2,356,449.42","2,621,280.50","2,843,917.99","4,724,869.73","3,849,610.99","1,404,243.31","4,156,258.29","8,914,526.81","6,179,498.12","4,601,265.30","7,913,146.00","5,999,698.09","16,549,143.90","15,319,779.98","8,790,765.43","5,005,401.70","7,341,075.37","9,710,633.38","24,339,989.31","22,981,076.85","23,735,538.49","27,010,474.10","37,050,381.61","43,406,220.76"
