科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"4,419,604.31","11,437,458.49","28,552,231.87","12,381,124.89","98,391,710.98","41,377,484.79","96,241,840.97","90,264,159.55","216,815,782.51","120,486,533.39","126,324,467.85","247,874,261.76","157,515,891.62","113,729,502.41","206,061,945.92","192,728,409.13","226,923,431.32"
短期借款,"51,350,000.00","64,000,000.00","84,000,000.00","84,000,000.00","35,000,000.00","5,000,000.00","75,000,000.00","85,000,000.00","129,000,000.00","75,000,000.00","105,000,000.00","182,000,000.00","279,000,000.00","298,500,000.00","333,500,000.00","356,500,000.00","481,500,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"2,300,000.00","12,033,502.19","7,305,084.00","9,220,587.40","9,907,924.81","5,227,575.00","8,311,832.73","10,173,368.13","19,565,763.89","19,030,781.39","36,073,175.73","48,662,659.06","56,659,197.10","61,727,804.81","78,869,530.74","56,078,700.89","84,804,255.65"
应付票据,,,,,,,,,,,,,,"5,890,000.00","7,840,000.00","5,940,000.00",
应收账款,"17,114,333.32","25,475,378.97","47,386,231.12","53,663,188.84","78,952,572.68","78,585,563.91","61,203,122.01","63,413,346.26","132,124,077.41","153,127,514.40","158,944,886.42","190,915,044.46","210,345,596.75","238,957,503.13","246,883,958.54","280,870,590.87","284,186,737.58"
应付账款,"33,780,587.03","37,808,823.45","46,750,682.83","32,019,757.81","41,276,211.63","48,544,848.31","47,983,283.32","68,426,484.04","110,162,939.68","102,791,956.80","110,577,349.07","128,317,653.20","152,973,839.77","176,680,919.63","186,881,029.27","203,196,541.30","217,233,304.37"
预付款项,"1,262,367.20","16,412,267.59","5,476,608.03","12,085,721.64","4,721,582.95","5,522,972.48","4,661,202.65","6,905,335.29","9,075,116.39","9,057,319.57","8,012,423.45","11,644,280.80","14,222,548.60","14,661,145.28","17,013,633.80","34,748,918.79","38,506,631.31"
预收款项,"3,585,502.99","7,984,393.94","19,292,649.57","17,624,667.86","4,639,068.02","5,725,699.09","10,395,813.59","13,238,190.98","20,220,310.45","17,862,484.42","21,804,619.11","28,143,369.68","32,628,249.62","49,295,420.34","42,209,378.36","47,851,854.56","48,225,095.46"
其他应收款,"5,672,562.05","2,284,016.20","2,554,179.11","2,406,537.41","1,188,963.85","1,250,110.05","1,887,648.57","4,552,820.30","5,893,816.39","9,814,451.90","4,664,192.77","9,214,017.21","11,263,476.15","11,556,240.82","9,228,121.37","13,995,172.68","14,407,316.91"
应付职工薪酬,"2,193,232.98","2,852,262.86","2,527,370.32","2,970,002.22","3,071,550.96","3,183,883.56","3,372,345.25","3,849,017.19","7,897,502.88","8,161,404.48","21,127,871.88","14,121,415.37","19,188,239.69","25,786,617.83","44,607,436.19","32,568,544.00","36,664,230.68"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"-2,990,964.17","668,173.31","1,000,847.40","1,477,863.31","4,499,001.80","778,837.14","140,529.36","400,566.30","5,224,456.33","9,486,651.92","6,150,596.01","11,366,001.14","12,570,839.61","6,651,187.61","11,652,529.37","15,568,359.26","13,415,002.50"
应收利息,,,,,,,,,,,,,,,,"183,944.45","321,190.97"
应付利息,"242,375.83","266,970.00","296,926.67","287,856.24","80,833.31","17,916.66","107,307.30","96,062.49","167,924.30","77,937.50","130,620.83","242,995.83","404,093.05","468,092.27","646,271.62","746,004.99","777,449.94"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,"8,448,000.00",,,"16,896,000.00",,,,,,,,,
存货,"73,067,903.65","96,101,655.29","117,615,302.32","109,044,966.90","94,993,101.38","106,345,911.63","120,608,815.84","141,344,653.44","224,781,280.98","243,092,578.29","256,307,971.31","284,704,749.75","303,981,486.20","344,793,098.38","345,106,744.40","385,441,946.28","392,642,771.77"
其他应付款,"586,697.50","65,938.50","149,439.53","150,615.13","4,087,663.40","2,632,525.78","598,979.87","536,258.06","40,474,187.42","58,987,239.69","57,948,707.33","96,931,241.10","87,500,426.03","83,726,848.10","106,572,877.41","93,663,340.92","65,030,478.12"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"1,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,"2,000,000.00","12,818,652.84","12,702,345.06","12,475,379.96"
其他流动资产,"1,800.00","12,633.36","1,513,192.49","2,273,303.89","423,065.29","868,673.24","1,997,824.49","4,206,895.88","4,501,292.47","2,255,114.62","4,676,169.54","2,701,974.91","3,238,973.90","59,706,365.58","10,429,481.12","7,102,010.76","7,067,693.31"
其他流动负债,,,,,,,,,"246,065.01","107,212.97",,,"2,232,678.55","1,441,032.40",,,
流动资产合计,"103,838,570.53","163,756,912.09","210,402,828.94","201,075,430.97","288,578,921.94","239,178,291.10","294,912,287.26","320,860,578.85","612,757,130.04","556,864,293.56","595,003,287.07","795,716,987.95","757,227,170.32","845,131,660.41","913,593,415.89","971,149,693.85","1,048,860,028.82"
流动负债合计,"89,747,432.16","115,646,562.06","156,017,916.32","140,530,762.57","101,102,329.12","65,883,710.54","137,598,258.69","188,442,579.06","313,393,386.07","272,474,887.78","322,739,764.23","461,122,676.32","586,498,366.32","650,440,118.18","746,728,175.06","768,736,990.09","875,320,941.03"
可供出售金融资产,,,,,,,,,,,,,,,"1,000,000.00","1,000,000.00","1,000,000.00"
长期借款,"53,000,000.00","57,000,000.00","55,000,000.00","55,000,000.00","10,000,000.00","5,000,000.00","5,000,000.00",,,,,,"30,253,863.93","82,237,231.57","115,581,517.70","114,459,709.72","116,624,530.04"
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,"493,218.60","342,829.67","809,940.99","315,220.58","284,486.83","198,481.12"
长期股权投资,,,,,,,,,"17,458,136.13","19,259,492.68","26,288,123.75","54,283,391.31","53,420,960.76","53,234,593.05","52,786,223.64","53,712,842.15","55,728,932.08"
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,
固定资产,"160,760,647.11","160,383,505.68","164,848,177.83","175,154,939.34","175,371,062.45","212,717,742.20","221,130,623.19","226,157,793.30","291,273,405.14","347,326,326.23","349,053,315.76","405,337,069.14","451,156,809.23","484,806,769.17","640,716,004.47","635,214,473.95","684,852,964.60"
递延所得税负债,,,,,,,,,"2,316,104.00","2,257,220.00","4,241,157.95","4,766,233.99","11,502,644.42","11,424,880.53","17,999,720.59","17,881,631.24","21,675,939.68"
在建工程,"307,484.00","19,576,369.75","49,996,668.89","40,443,857.63","41,200,163.14","8,001,413.98","8,744,512.37","16,713,760.56","23,653,890.50","33,332,923.63","35,529,707.07","54,340,822.14","79,120,083.24","96,530,443.93","60,396,649.22","72,650,531.06","56,926,318.29"
其他非流动负债,,,,"13,521,460.10",,,,,,,,,,,"10,489,974.24","7,739,974.24","7,692,361.33"
工程物资,,,,,,,,,,,,,,,,,
非流动负债合计,"62,945,666.67","69,495,463.17","69,048,642.99","68,521,460.10","22,994,277.21","17,467,094.32","16,939,911.43","11,412,728.54","17,555,816.40","20,096,865.93","21,341,319.43","24,455,185.44","60,130,011.53","112,152,036.71","160,756,865.54","156,096,723.06","161,223,131.80"
固定资产清理,,,,,,,,,,,,,,,,,
负债合计,"152,693,098.83","185,142,025.23","225,066,559.31","209,052,222.67","124,096,606.33","83,350,804.86","154,538,170.12","199,855,307.60","330,949,202.47","292,571,753.71","344,081,083.66","485,577,861.76","646,628,377.85","762,592,154.89","907,485,040.60","924,833,713.15","1,036,544,072.83"
生产性生物资产,,,,,,,,,,,,,,,,,
实收资本(或股本),"63,360,000.00","63,360,000.00","63,360,000.00","63,360,000.00","84,480,000.00","84,480,000.00","168,960,000.00","168,960,000.00","348,511,161.00","348,511,161.00","348,511,161.00","367,962,873.00","367,962,873.00","367,962,873.00","367,962,873.00","367,962,873.00","662,333,171.00"
油气资产,,,,,,,,,,,,,,,,,
资本公积,"11,685,631.80","11,685,631.80","11,685,631.80","11,685,631.80","163,701,631.80","163,701,631.80","79,221,631.80","79,221,631.80","470,853,170.80","470,853,170.80","470,348,903.35","814,307,080.72","814,468,128.99","814,468,128.99","816,846,146.87","816,846,146.87","522,475,848.87"
无形资产,"54,144,907.80","52,795,209.53","52,249,629.58","51,858,714.19","51,467,935.56","51,208,145.88","50,822,534.40","50,436,922.92","67,386,359.25","66,563,465.21","65,909,034.27","75,070,313.46","120,883,095.70","124,099,411.92","138,064,390.21","136,763,601.32","135,593,110.59"
盈余公积,"9,492,456.72","14,148,658.15","18,240,395.72","18,240,395.72","18,240,395.72","18,240,395.72","21,583,096.64","21,583,096.64","21,583,096.64","21,583,096.64","26,838,971.81","26,838,971.81","26,838,971.81","26,838,971.81","34,907,220.31","34,907,220.31","34,907,220.31"
开发支出,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,"273,663,779.09","289,906,948.06","295,346,713.96","501,921,386.61","548,077,947.13","597,371,179.69","621,510,069.75","621,510,069.75","621,510,069.75"
未分配利润,"84,519,947.26","127,853,736.65","164,316,448.61","171,352,657.76","176,462,717.94","180,534,230.13","183,788,233.42","173,027,509.74","124,964,538.63","149,970,406.96","164,663,274.04","194,239,105.15","182,742,964.25","225,467,091.23","252,372,281.39","291,063,426.96","303,625,657.78"
长期待摊费用,,"2,366,121.25","2,036,788.75","1,901,286.25","1,765,783.75","1,630,281.25","1,494,778.75","1,887,402.59","3,727,853.96","4,368,098.88","5,487,439.78","6,334,293.60","7,958,054.65","6,702,371.04","8,792,162.87","7,631,078.31","12,448,331.27"
少数股东权益,,,"582,065.99","489,512.66","531,786.13","354,786.06","297,900.47","574,040.61","22,214,308.28","57,480,576.60","55,559,194.97","60,831,363.36","82,707,305.70","135,040,966.30","145,390,763.21","152,895,097.52","167,636,172.75"
递延所得税资产,"2,699,525.17","3,311,933.53","3,717,007.44","3,746,192.23","3,935,903.08","3,952,415.76","3,905,679.24","3,704,600.35","9,683,808.26","9,778,250.23","12,762,291.55","13,107,238.02","13,967,294.14","14,931,882.50","19,447,844.39","19,777,609.07","20,351,437.08"
外币报表折算价差,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,"5,193,368.00","13,973,558.40","27,378,617.24","23,460,527.82","19,473,667.14","13,581,168.45","24,651,082.90","43,660,951.97","89,368,770.75","109,259,840.55","68,783,823.24","68,839,728.74","89,938,104.66"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,
非流动资产合计,"217,912,564.08","238,433,139.74","272,848,272.49","273,104,989.64","278,934,215.98","291,483,557.47","313,476,745.19","322,361,007.54","706,320,899.47","784,116,673.37","815,027,709.04","1,154,055,466.25","1,363,953,015.60","1,486,936,491.85","1,611,497,167.79","1,617,099,934.35","1,678,349,268.32"
所有者权益(或股东权益)合计,"169,058,035.78","217,048,026.60","258,184,542.12","265,128,197.94","443,416,531.59","447,311,043.71","453,850,862.33","443,366,278.79","988,128,827.04","1,048,409,213.22","1,065,949,912.45","1,464,194,592.44","1,474,551,808.07","1,569,475,997.37","1,617,605,543.08","1,663,415,915.05","1,690,665,224.31"
资产总计,"321,751,134.61","402,190,051.83","483,251,101.43","474,180,420.61","567,513,137.92","530,661,848.57","608,389,032.45","643,221,586.39","1,319,078,029.51","1,340,980,966.93","1,410,030,996.11","1,949,772,454.20","2,121,180,185.92","2,332,068,152.26","2,525,090,583.68","2,588,249,628.20","2,727,209,297.14"
负债和所有者(或股东权益)合计,"321,751,134.61","402,190,051.83","483,251,101.43","474,180,420.61","567,513,137.92","530,661,848.57","608,389,032.45","643,221,586.39","1,319,078,029.51","1,340,980,966.93","1,410,030,996.11","1,949,772,454.20","2,121,180,185.92","2,332,068,152.26","2,525,090,583.68","2,588,249,628.20","2,727,209,297.14"
