科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"470,161,140.75","540,052,058.38","908,810,370.94","264,482,368.50","484,178,305.48","710,090,076.43","1,002,131,533.90","185,923,004.58","489,541,748.68","724,701,045.14","1,058,686,114.61","236,857,731.86","486,822,996.82","708,498,824.81","991,943,662.23","206,171,898.27","444,756,055.64","743,166,688.82","1,091,485,982.48","260,408,042.23","631,213,410.84","942,346,463.99","1,443,235,569.69","284,784,619.21","552,097,545.53","990,290,067.90","1,220,131,879.15","461,466,440.14","906,511,640.65","1,505,161,347.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"86,820.44","1,483,982.35","1,066,971.18","1,558,412.69","1,835,198.02","2,334,004.43","875,504.08","1,120,208.72","5,596,846.00","7,448,680.12","6,428,711.77","9,941,111.47","13,182,006.49","14,681,757.73","4,103,744.73","10,290,269.69","12,167,943.27","12,464,074.53","900,621.12","5,492,926.58","5,492,926.58","7,785,321.25","6,905,582.71","9,816,622.22","11,766,868.56","11,766,868.56","4,823,622.97","9,080,553.87","12,603,136.26"
支付其他与投资活动有关的现金,,,,,,"113,159.90",,,,,,,,,,,,,,,,,,,,,,,,"56,323.70"
收到其他与经营活动有关的现金,"6,431,517.20","3,995,764.56","13,099,488.01","8,729,050.28","4,830,458.62","6,460,072.24","7,242,056.15","5,948,534.81","16,289,568.75","21,283,980.97","19,778,379.45","5,262,215.46","11,906,074.90","14,951,474.53","14,510,779.61","4,297,277.74","11,592,566.09","13,361,752.16","16,425,016.13","2,234,770.39","5,027,952.30","9,558,812.27","16,567,063.41","4,381,856.83","5,572,595.51","10,611,179.14","9,986,168.69","5,257,325.78","8,142,582.26","9,240,846.82"
投资活动现金流出小计,"103,228,626.84","58,719,047.96","68,386,515.34","16,205,754.37","28,981,855.74","60,136,917.78","122,542,295.32","40,860,002.47","92,525,609.19","184,616,302.47","231,441,943.32","45,100,822.38","68,605,083.68","103,717,426.76","103,886,368.24","17,331,147.53","20,422,561.41","25,283,538.54","28,382,180.24","6,122,517.49","17,829,910.03","23,884,320.67","16,474,073.82","533,099.04","19,015,606.40","87,909,691.31","61,041,042.80","23,534,037.23","40,069,003.25","109,531,709.18"
经营活动现金流入小计,"476,592,657.95","544,134,643.38","923,393,841.30","274,278,389.96","490,567,176.79","718,385,346.69","1,011,707,594.48","192,747,043.47","506,951,526.15","751,581,872.11","1,085,913,174.18","248,548,659.09","508,670,183.19","736,632,305.83","1,021,136,199.57","214,572,920.74","466,638,891.42","768,696,384.25","1,120,375,073.14","263,543,433.74","641,734,289.72","957,398,202.84","1,467,587,954.35","296,072,058.75","567,486,763.26","1,012,668,115.60","1,241,884,916.40","471,547,388.89","923,734,776.78","1,527,005,330.92"
投资活动产生的现金流量净额,"-103,086,271.20","-58,680,047.96","-68,386,515.34","-16,205,754.37","-28,941,855.74","-60,096,917.78","-122,006,117.00","-40,860,002.47","-92,525,609.19","-184,616,302.47","-231,381,943.32","-45,080,822.38","-68,585,083.68","-103,697,426.76","-103,822,684.15","-17,331,147.53","-20,422,561.41","-25,283,538.54","-28,269,590.19","-5,978,517.49","-17,543,910.03","-23,598,320.67","-15,908,216.15","64,900.96","-18,249,606.40","-86,943,691.31","-54,421,999.75","-22,877,475.58","-40,019,003.25","-109,481,709.18"
购买商品、接受劳务支付的现金,"385,151,168.39","444,421,874.52","786,988,332.72","328,507,479.36","508,861,117.37","716,267,891.79","952,106,281.25","211,434,786.85","408,924,907.35","616,960,449.22","865,257,990.71","248,497,998.06","417,189,494.82","613,329,695.70","898,948,783.43","192,114,744.91","393,561,269.16","696,602,114.99","922,629,667.09","295,519,176.50","573,291,160.02","795,741,060.66","1,066,623,942.52","240,125,371.85","548,170,496.42","870,900,268.39","1,085,984,417.29","409,761,860.56","807,272,268.86","1,361,325,608.61"
吸收投资收到的现金,"67,142,267.78",,,,"694,490,934.00","695,690,934.00","728,490,934.00",,,,,,,,,,,,,,,,,,,,,,,"155,049,001.66"
支付给职工以及为职工支付的现金,"6,733,906.58","10,698,080.28","15,660,325.72","4,263,720.61","8,308,298.31","16,463,222.99","22,844,876.76","7,280,081.55","13,182,646.62","23,458,033.61","29,870,519.38","10,173,436.80","20,154,322.66","31,613,431.11","41,037,601.82","11,186,238.32","20,198,668.53","34,221,437.54","46,817,478.22","12,811,000.06","28,001,243.43","42,722,253.41","54,570,331.21","15,260,527.80","31,402,471.04","46,038,527.76","59,421,264.69","18,057,360.73","33,808,175.78","52,481,659.03"
取得借款收到的现金,"93,293,356.00","140,718,983.10","153,870,000.00","173,115,104.40","180,421,437.00","243,421,437.00","256,637,283.15","29,785,615.00","38,662,901.88","38,662,901.88","40,978,364.28","9,636,353.10","54,612,828.45","54,612,828.45","67,389,228.45","59,239,259.88","127,611,991.04","140,298,420.87","160,077,711.84","59,346,121.16","150,198,261.45","150,198,261.45","150,198,261.45",,,,,,,"14,470,000.00"
支付的各项税费,"16,081,182.14","21,285,809.50","32,373,674.77","6,972,933.20","16,437,471.73","25,876,881.48","35,587,231.79","9,271,091.62","21,472,758.57","32,947,181.44","40,831,769.50","5,723,681.23","10,599,090.80","15,797,618.63","24,445,592.51","4,848,809.96","14,608,309.22","23,329,192.61","36,184,722.02","4,675,533.32","27,184,568.00","42,052,760.25","57,178,145.27","15,865,640.70","33,978,999.05","52,627,858.62","73,948,521.40","9,578,824.49","21,499,848.74","36,891,800.49"
收到其他与筹资活动有关的现金,"7,000,000.00","23,333,000.00","7,200,000.00",,"8,315,466.00","8,315,466.00","1,100,000.00",,,,"4,710,000.00",,,,"800,000.00",,"400,000.00","400,000.00","57,845,248.45",,"67,028,680.72","147,028,681.02","66,598,681.02","133,444,845.62","137,064,658.18","136,610,877.57","133,444,845.62","11,401,927.18","12,274,270.78","12,274,270.78"
支付其他与经营活动有关的现金,"23,780,870.47","22,672,929.92","36,329,624.44","17,277,014.48","22,303,554.37","32,379,237.68","47,554,693.00","10,856,541.84","20,178,740.41","22,025,580.76","82,392,910.24","9,014,865.25","14,287,738.36","20,771,867.50","74,015,505.48","3,795,023.81","10,064,042.31","14,233,607.58","66,800,243.67","3,615,265.86","9,350,815.06","14,614,748.48","82,493,891.82","4,416,092.70","6,905,792.14","10,838,572.38","78,614,429.41","2,083,430.22","7,246,291.98","12,068,247.55"
筹资活动现金流入小计,"167,435,623.78","164,051,983.10","161,070,000.00","173,115,104.40","883,227,837.00","947,427,837.00","986,228,217.15","29,785,615.00","38,662,901.88","38,662,901.88","45,688,364.28","9,636,353.10","54,612,828.45","54,612,828.45","68,189,228.45","59,239,259.88","128,011,991.04","140,698,420.87","217,922,960.29","59,346,121.16","217,226,942.17","297,226,942.47","216,796,942.47","133,444,845.62","137,064,658.18","136,610,877.57","133,444,845.62","11,401,927.18","12,274,270.78","181,793,272.44"
经营活动现金流出小计,"431,747,127.58","499,078,694.22","871,351,957.65","357,021,147.65","555,910,441.78","790,987,233.94","1,058,093,082.80","238,842,501.86","463,759,052.95","695,391,245.03","1,018,353,189.83","273,409,981.34","462,230,646.64","681,512,612.94","1,038,447,483.24","211,944,817.00","438,432,289.22","768,386,352.72","1,072,432,111.00","316,620,975.74","637,827,786.51","895,130,822.80","1,260,866,310.82","275,667,633.05","620,457,758.65","980,405,227.15","1,297,968,632.79","439,481,476.00","869,826,585.36","1,462,767,315.68"
偿还债务支付的现金,"45,695,012.24","116,936,783.63","139,987,175.12","59,700,000.00","241,759,606.00","283,259,606.00","283,782,623.78","43,204,091.49","95,993,100.29","132,207,167.65","132,207,167.65",,,,,"22,367,022.45","67,494,034.90","108,108,914.88","169,350,981.22","31,810,897.36","58,474,270.58","84,308,870.63","92,716,678.61","40,478,372.96","117,092,699.96","117,092,699.96","116,434,659.96",,,"2,640,000.00"
经营活动产生的现金流量净额,"44,845,530.37","45,055,949.16","52,041,883.65","-82,742,757.69","-65,343,264.99","-72,601,887.25","-46,385,488.32","-46,095,458.39","43,192,473.20","56,190,627.08","67,559,984.35","-24,861,322.25","46,439,536.55","55,119,692.89","-17,311,283.67","2,628,103.74","28,206,602.20","310,031.53","47,942,962.14","-53,077,542.00","3,906,503.21","62,267,380.04","206,721,643.53","20,404,425.70","-52,970,995.39","32,262,888.45","-56,083,716.39","32,065,912.89","53,908,191.42","64,238,015.24"
分配股利、利润或偿还利息支付的现金,"6,005,340.15","4,465,423.00","16,436,403.57","2,407,044.68","5,176,366.79","6,025,467.19","7,379,827.23","1,115,321.53","21,623,236.46","22,040,078.74","23,421,552.83",,"18,641,408.42","20,133,660.74","20,250,000.00","289,734.41","1,589,859.86","2,022,713.36","3,410,743.47","694,939.46","20,273,473.60","20,888,552.69","23,279,181.30",,"44,281,211.15","44,281,211.15","44,281,211.15",,"20,250,000.00","20,250,000.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"36,033,000.00","7,200,000.00",,,"2,623,925.22","5,173,925.22","4,545,934.28",,,,,,"22,586.64","2,252,586.64","57,845,248.45","59,264,417.17","202,500.00","202,500.00","66,598,681.02","27,622,127.03","159,129,764.99","143,934,432.51","133,444,845.62","92,242,966.93","12,413,608.55","9,584,861.23","12,274,270.78","16,002,211.17","8,332,038.65","11,007,783.69"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,519,043.05","606,561.65",,
筹资活动现金流出小计,"87,733,352.39","128,602,206.63","156,423,578.69","62,107,044.68","249,559,898.01","294,458,998.41","295,708,385.29","44,319,413.02","117,616,336.75","154,247,246.39","155,628,720.48",,"18,663,995.06","22,386,247.38","78,095,248.45","81,921,174.03","69,286,394.76","110,334,128.24","239,360,405.71","60,127,963.85","237,877,509.17","249,131,855.83","249,440,705.53","132,721,339.89","173,787,519.66","170,958,772.34","172,990,141.89","16,002,211.17","28,582,038.65","33,897,783.69"
处置固定资产、无形资产和其他长期资产收回的现金净额,"142,355.64","39,000.00",,,"40,000.00","40,000.00","40,000.00",,,,"60,000.00","20,000.00","20,000.00","20,000.00","63,684.09",,,,"112,590.05","144,000.00","286,000.00","286,000.00","565,857.67","598,000.00","766,000.00","966,000.00","1,100,000.00","50,000.00","50,000.00","50,000.00"
筹资活动产生的现金流量净额,"79,702,271.39","35,449,776.47","4,646,421.31","111,008,059.72","633,667,938.99","652,968,838.59","690,519,831.86","-14,533,798.02","-78,953,434.87","-115,584,344.51","-109,940,356.20","9,636,353.10","35,948,833.39","32,226,581.07","-9,906,020.00","-22,681,914.15","58,725,596.28","30,364,292.63","-21,437,445.42","-781,842.69","-20,650,567.00","48,095,086.64","-32,643,763.06","723,505.73","-36,722,861.48","-34,347,894.77","-39,545,296.27","-4,600,283.99","-16,307,767.87","147,895,488.75"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"19,195.05","-39,981.62","-125,856.20","-41,741.47","-135,230.47","-163,777.53","-212,864.25","106,721.16","346,235.13","675,852.82","423,071.30","-196,650.25","-1,168,531.22","-1,811,789.42","-2,419,468.61","746,535.39","320,749.92","38,195.00","-321,940.20","106,333.11","-1,087,382.64","4,916,735.70","8,298,954.56","-2,985,511.11","-2,415,929.87","-2,166,621.48","-1,437,517.28","-203,176.34","-1,714,192.95","-4,741,399.02"
收到其他与投资活动有关的现金,,,,,,,"496,178.32",,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"142,355.64","39,000.00",,,"40,000.00","40,000.00","536,178.32",,,,"60,000.00","20,000.00","20,000.00","20,000.00","63,684.09",,,,"112,590.05","144,000.00","286,000.00","286,000.00","565,857.67","598,000.00","766,000.00","966,000.00","6,619,043.05","656,561.65","50,000.00","50,000.00"
五、现金及现金等价物净增加额,"21,480,725.61","21,785,696.05","-11,824,066.58","12,017,806.19","539,247,587.79","520,106,256.03","521,915,362.29","-101,382,537.72","-127,940,335.73","-243,334,167.08","-273,339,243.87","-60,502,441.78","12,634,755.04","-18,162,942.22","-133,459,456.43","-36,638,422.55","66,830,386.99","5,428,980.62","-2,086,013.67","-59,731,569.07","-35,375,356.46","91,680,881.71","166,468,618.88","18,207,321.28","-110,359,393.14","-91,195,319.11","-151,488,529.69","4,384,976.98","-4,132,772.65","97,910,395.79"
购建固定资产、无形资产和其他长期资产支付的现金,"83,228,626.84","58,719,047.96","68,386,515.34","16,205,754.37","28,981,855.74","60,023,757.88","122,542,295.32","40,860,002.47","92,525,609.19","152,616,302.47","199,441,943.32","45,100,822.38","68,605,083.68","103,717,426.76","103,886,368.24","17,331,147.53","20,422,561.41","25,283,538.54","28,382,180.24","6,122,517.49","17,829,910.03","23,884,320.67","12,845,573.82","533,099.04","19,015,606.40","87,909,691.31","61,041,042.80","23,534,037.23","40,069,003.25","109,475,385.48"
期初现金及现金等价物余额,"7,514,784.69","28,995,510.30","50,781,206.35","38,957,139.77","38,957,139.77","38,957,139.77","38,957,139.77","560,872,502.06","560,872,502.06","560,872,502.06","560,872,502.06","287,533,258.19","287,533,258.19","287,533,258.19","287,533,258.19","154,073,801.76","211,919,050.21","211,919,050.21","154,073,801.76","218,586,469.11","151,987,788.09","161,987,788.09","151,987,788.09","318,456,406.97","318,456,406.97","318,301,870.53","318,456,406.97","166,967,877.28","166,967,877.28","166,967,877.28"
投资支付的现金,"20,000,000.00",,,,,,,,,"32,000,000.00","32,000,000.00",,,,,,,,,,,,"3,628,500.00",,,,,,,
期末现金及现金等价物余额,"28,995,510.30","50,781,206.35","38,957,139.77","50,974,945.96","578,204,727.56","559,063,395.80","560,872,502.06","459,489,964.34","432,932,166.33","317,538,334.98","287,533,258.19","227,030,816.41","300,168,013.23","269,370,315.97","154,073,801.76","117,435,379.21","278,749,437.20","217,348,030.83","151,987,788.09","158,854,900.04","116,612,431.63","253,668,669.80","318,456,406.97","336,663,728.25","208,097,013.83","227,106,551.42","166,967,877.28","171,352,854.26","162,835,104.63","264,878,273.07"
