科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"65,682,969.02","99,593,824.66","98,540,114.74","99,046,990.69","1,024,856,082.19","1,058,728,257.93","1,043,088,105.08","1,001,183,737.74","968,161,434.45","1,044,731,930.00","1,058,699,377.43","987,911,580.02","1,022,595,593.57","1,071,886,397.96","1,023,721,340.32","862,414,058.40","466,606,822.23","399,619,093.57","475,041,540.17","518,910,875.26","391,013,814.65","388,260,449.96","237,027,618.60","186,029,304.10","379,864,568.33","448,073,047.98","281,973,263.27","382,019,713.19","433,072,601.96","552,975,440.22","367,260,959.03","329,007,065.13","432,242,484.93"
短期借款,"27,000,000.00","39,000,000.00","4,000,000.00",,,,,,,,,,,,,,,,,,,"80,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","73,000,000.00","143,000,000.00","173,000,000.00","203,000,000.00","114,000,000.00","214,000,000.00","274,000,000.00","395,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,213,000.00",,,,"700,000.00",,"1,700,000.00","3,055,000.00","1,898,000.00","980,000.00","1,980,000.00","1,080,576.00","5,176,576.00","15,735,600.55","3,917,226.95","4,537,226.95","2,886,226.95","24,950,351.00","27,215,894.00","13,228,894.00","4,441,153.95","17,701,639.15","11,342,098.00","3,279,550.90","11,862,299.60","13,737,767.90","10,753,161.90","6,328,193.85","7,729,458.85","2,017,874.00","1,907,281.00","5,150,983.52","2,563,119.95"
应付票据,"8,441,667.00","1,020,881.00",,,,"1,512,680.00",,,,,,,,,,,"20,537,000.00","17,951,000.00","9,445,300.00","3,645,300.00","3,645,300.00",,,,,"7,188,470.00","12,763,919.00","4,389,086.00","14,646,146.00","10,683,069.00","2,097,300.00","3,612,500.00","9,065,621.00"
应收账款,"39,818,210.49","41,091,916.07","34,918,878.45","33,597,007.78","47,288,091.76","26,545,471.30","39,142,174.14","43,454,476.43","49,524,351.55","47,293,011.60","58,220,209.17","57,830,096.84","65,178,637.23","46,093,815.83","68,599,559.62","59,323,527.04","62,316,055.68","58,639,308.73","84,506,342.83","88,562,871.77","88,861,686.14","74,951,370.16","89,922,349.61","115,188,739.59","116,904,401.80","82,626,850.53","88,144,376.56","97,533,530.98","113,171,441.39","116,052,904.46","131,905,232.41","147,260,531.92","151,144,141.25"
应付账款,"12,298,599.28","8,693,536.88","5,771,614.05","5,091,833.45","11,513,547.84","8,811,022.40","11,151,475.25","27,872,039.35","30,183,326.52","25,930,644.30","35,590,848.77","56,016,121.09","39,502,849.65","24,913,862.36","24,380,946.64","31,076,830.76","29,291,683.06","69,903,913.87","39,834,661.55","57,196,823.74","40,975,313.38","90,965,022.34","65,970,678.85","79,397,406.68","80,818,055.87","137,835,900.71","143,122,394.11","168,092,374.01","149,735,068.81","216,063,719.53","208,172,227.75","193,163,740.39","238,685,739.53"
预付款项,"5,752,333.47","9,587,808.52","15,905,001.03","11,992,904.44","15,529,730.97","23,601,800.70","37,880,832.31","50,700,292.14","59,442,623.45","12,992,594.58","42,999,788.42","84,906,966.00","79,391,364.52","74,958,289.67","66,426,026.46","77,492,380.14","85,362,369.57","21,182,965.58","35,249,406.27","40,586,177.21","27,643,743.99","22,973,183.09","52,729,222.95","50,011,935.60","39,510,631.17","38,505,021.25","41,983,751.74","51,116,307.42","48,105,611.51","11,725,236.82","21,694,117.23","20,874,071.87","23,854,257.70"
预收款项,"7,706,418.91","14,133,774.63","21,663,811.09","16,220,398.54","13,581,617.35","27,224,567.89","15,784,659.00","79,717,069.42","48,644,581.23","28,652,895.74","65,793,353.29","111,438,392.41","126,594,925.84","121,794,267.23","71,642,330.75","59,139,800.68","77,901,535.40","101,736,545.88","101,765,121.90","83,862,046.84","112,271,064.31","93,869,216.52","89,587,691.25","77,291,508.50","101,806,351.16","183,788,689.57","171,619,783.71","187,066,734.70","170,970,021.06","215,035,250.57","175,127,410.35","138,371,233.02","128,298,678.93"
其他应收款,"9,535,590.91","5,509,252.46","6,946,471.25","6,608,479.40","7,623,073.10","16,340,882.21","18,754,003.01","7,910,141.50","14,646,241.20","10,862,676.81","12,674,587.42","16,240,405.88","18,887,654.85","17,543,318.87","19,269,328.68","155,566,226.85","562,106,720.74","21,659,015.29","24,074,906.67","20,596,681.96","28,105,543.40","24,054,020.81","25,989,575.48","31,024,360.06","33,804,227.51","37,438,083.52","46,699,412.80","38,338,112.71","44,686,006.99","43,770,725.08","49,757,997.55","53,208,765.18","59,073,763.49"
应付职工薪酬,"3,850,006.81","4,604,046.69","3,102,025.80","3,359,676.98","2,382,452.94","4,827,560.54","3,643,720.22","4,699,278.67","3,787,526.77","6,050,103.92","3,842,937.80","5,053,799.55","3,970,118.81","5,138,219.46","3,021,490.26","4,458,685.68","4,643,585.54","11,709,638.10","6,174,170.06","5,807,930.65","6,258,082.45","14,657,122.74","5,479,979.35","6,330,418.86","6,881,432.61","15,016,268.49","5,186,686.87","8,190,600.78","7,622,906.57","17,347,240.51","5,748,920.27","6,866,018.98","7,812,523.01"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,733,124.81","4,747,455.77","7,000,681.04","3,417,035.46","10,527,280.17","8,124,070.86","12,010,747.74","1,683,691.98","6,969,474.74","14,375,778.12","12,523,684.40","-8,731,761.46","-1,561,889.72","-363,931.78","5,540,296.93","11,554,931.34","13,726,353.69","7,871,064.66","11,073,390.33","5,437,213.17","6,612,596.95","6,852,210.91","9,577,431.80","8,876,831.24","9,788,099.05","6,559,970.66","6,700,639.14","6,697,691.35","6,647,089.79","4,044,560.71","1,248,016.41","5,296,999.43","4,840,834.18"
应收利息,,,,,,"2,697,579.10","7,202,472.22","9,731,388.89","13,491,458.33","322,168.03","2,251,168.03","5,912,756.92","8,367,010.70","12,778,660.60","7,769,581.75","7,856,122.12","2,584,446.64","1,426,747.66","2,058,100.16","1,522,543.93","1,897,716.15","791,610.79","1,210,545.79","1,637,259.56","2,276,502.19","2,249,919.07","2,562,374.32","1,741,498.10","2,044,683.36","1,185,696.85","1,374,271.33","1,557,183.86","728,102.35"
应付利息,,,,,,,,,,,,,,,,,,,,,,"90,222.23","51,333.33",,"46,666.66","3,201,350.00","188,380.00","188,380.00","220,762.50","204,328.13","287,100.00","284,200.00","381,833.34"
应收股利,,,,,,,,"1,050,000.00","1,050,000.00",,,,,,,,,,,,,,,,,,,,"2,182,365.92","17,787,365.92","15,605,000.00","15,605,000.00","15,605,000.00"
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"16,854,019.09","16,128,603.41","22,309,820.53","29,095,656.86","22,002,617.35","31,303,119.86","29,927,588.97","77,848,899.39","90,523,079.60","70,178,043.39","82,141,111.05","139,197,414.81","123,693,649.26","134,949,426.71","117,483,105.06","137,012,063.98","162,740,850.23","195,336,490.51","175,627,090.54","209,081,563.95","234,431,760.81","236,519,029.20","226,831,393.96","272,247,920.41","293,623,169.41","486,756,391.18","540,067,027.95","590,290,868.49","598,584,450.73","757,809,363.78","734,871,740.71","729,471,647.62","770,085,028.18"
其他应付款,"2,125,737.12","1,227,098.99","2,312,298.06","2,559,709.32","4,289,025.51","2,850,751.89","3,609,726.93","2,502,652.55","4,092,752.31","3,779,516.72","2,855,410.36","2,951,989.11","3,135,709.81","4,775,391.90","3,967,328.59","3,363,399.49","4,089,624.95","5,000,537.99","3,982,149.56","7,190,829.79","7,726,828.34","6,028,332.51","9,108,823.64","7,996,333.31","9,344,461.71","9,840,949.67","13,683,304.14","15,110,005.98","13,631,081.42","15,174,135.13","15,952,438.51","16,743,380.84","15,743,573.05"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,"2,448,000.00","1,772,000.00","1,450,153.83","674,769.21","3,694,721.14","3,545,836.56","4,579,336.56","1,541,836.56"
其他流动资产,,,,,,,,,,,,,,"5,340,734.67","3,354,477.51","2,064,645.95","5,404,688.08","635,785,878.48","506,990,402.22","403,024,105.74","524,967,905.71","447,426,948.71","472,667,686.60","480,116,185.58","295,051,003.73","343,455,298.67","394,572,374.08","310,088,579.91","230,769,737.38","239,671,609.37","451,760,231.23","488,135,704.00","419,433,010.14"
其他流动负债,"262,500.00","935,000.00","725,833.34","379,166.67","529,166.67","2,922,634.41","2,719,354.84","2,016,075.27","2,149,999.99","1,281,341.45","643,484.32","550,627.18","426,341.46","2,129,841.26","466,984.11","134,146.32",,"3,071,042.10","1,943,547.64","1,197,871.36","494,013.26",,"50,282,915.58","51,188,455.58","52,120,433.55","50,000,000.00",,,,"18,310,356.54","16,185,721.08","18,922,516.49","18,735,495.02"
流动资产合计,"139,856,122.98","171,911,405.12","178,620,286.00","180,341,039.17","1,117,999,595.37","1,159,217,111.10","1,177,695,175.73","1,194,933,936.09","1,198,737,188.58","1,187,360,424.41","1,258,966,241.52","1,293,079,796.47","1,323,290,486.13","1,379,286,244.86","1,310,540,646.35","1,306,266,251.43","1,350,008,180.12","1,358,599,850.82","1,330,763,682.86","1,295,513,713.82","1,301,363,324.80","1,212,678,251.87","1,117,720,490.99","1,139,535,255.80","1,172,896,803.74","1,452,842,380.10","1,406,755,742.62","1,477,456,804.65","1,480,346,358.09","1,742,996,216.50","1,776,136,830.49","1,790,270,953.10","1,874,728,907.99"
流动负债合计,"69,418,053.93","74,361,793.96","44,576,263.38","31,027,820.42","42,823,090.48","56,273,287.99","48,919,683.98","118,490,807.24","95,827,661.56","80,070,280.25","121,249,718.94","167,279,167.88","172,068,055.85","158,387,650.43","109,019,377.28","109,727,794.27","150,189,782.64","217,243,742.60","174,218,341.04","164,338,015.55","177,983,198.69","292,462,127.25","260,058,853.80","271,080,954.17","300,805,500.61","488,879,599.10","498,037,106.97","564,185,026.65","567,147,845.36","614,557,381.26","642,364,970.93","661,839,925.71","820,106,134.62"
