科目,2013年度,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"892,409,386.33","940,615,343.92","1,108,371,516.08","1,423,675,374.98","332,776,552.49","674,533,773.99","1,223,250,051.43","1,451,868,891.07","361,100,580.84","818,963,101.09","1,266,525,606.52","1,537,789,501.81","365,405,694.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"13,750,003.84","18,433,556.17","14,878,451.34","16,850,441.85","6,312,840.34","8,418,134.19","10,539,367.55","15,689,533.82","6,236,230.31","6,471,542.18","9,305,082.45","13,378,380.06","7,369,359.45"
支付其他与投资活动有关的现金,,,,,,,"6,680,000.00",,,,,,
收到其他与经营活动有关的现金,"3,163,203.29","21,818,957.59","6,999,328.95","8,216,423.75","4,906,371.57","33,794,378.31","55,366,211.64","57,719,185.21","9,043,692.18","14,633,743.90","17,007,619.08","25,472,055.13","5,092,078.15"
投资活动现金流出小计,"93,263,523.29","94,004,775.70","69,449,958.66","106,923,648.10","22,830,237.63","124,199,781.45","348,162,893.70","559,212,746.80","229,697,262.35","266,314,754.03","568,071,171.64","819,721,423.70","267,972,614.37"
经营活动现金流入小计,"909,322,593.46","980,867,857.68","1,130,249,296.37","1,448,742,240.58","343,995,764.40","716,746,286.49","1,289,155,630.62","1,525,277,610.10","376,380,503.33","840,068,387.17","1,292,838,308.05","1,576,639,937.00","377,867,131.88"
投资活动产生的现金流量净额,"-91,541,052.13","-93,382,255.97","-68,849,062.95","-106,707,591.70","-22,830,237.63","-124,199,781.45","-348,162,893.70","-78,487,222.43","-28,116,553.33","-49,652,430.27","-68,544,437.37","-114,380,747.91","-66,260,421.28"
购买商品、接受劳务支付的现金,"568,030,859.64","592,355,432.28","761,193,448.99","940,734,528.22","260,250,543.19","480,315,548.72","810,600,033.93","984,722,765.34","192,713,294.82","463,743,506.37","734,182,173.55","834,657,124.10","155,598,862.49"
吸收投资收到的现金,"46,666,666.00",,,"644,716,250.00",,"100,536,000.00","100,536,000.00",,,,,"21,250,350.00",
支付给职工以及为职工支付的现金,"59,235,033.71","73,237,044.66","81,753,730.20","93,675,985.54","32,603,216.22","54,694,418.03","88,385,215.31","104,334,745.87","37,738,396.50","63,399,711.77","90,013,279.49","118,902,372.10","42,294,408.67"
取得借款收到的现金,"185,338,054.74","182,181,181.24","95,000,000.00","40,000,000.00",,,,,,,,,
支付的各项税费,"46,990,093.75","33,145,920.14","63,618,451.58","72,483,225.81","23,789,525.55","38,254,329.02","61,737,249.26","80,179,017.40","23,366,092.01","56,910,737.79","90,447,083.72","121,829,016.12","30,538,572.21"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"69,647,440.83","106,086,892.70","76,615,092.16","105,009,953.19","19,617,843.77","56,806,140.91","87,252,331.55","71,490,874.56","9,895,045.34","30,489,247.42","37,566,965.53","80,764,566.20","13,415,082.89"
筹资活动现金流入小计,"232,004,720.74","182,181,181.24","95,000,000.00","684,716,250.00",,"100,536,000.00","100,536,000.00",,,,,"21,250,350.00",
经营活动现金流出小计,"743,903,427.93","804,825,289.78","983,180,722.93","1,211,903,692.76","336,261,128.73","630,070,436.68","1,047,974,830.05","1,240,727,403.17","263,712,828.67","614,543,203.35","952,209,502.29","1,156,153,078.52","241,846,926.26"
偿还债务支付的现金,"236,082,081.33","267,800,382.75","122,917,384.87","90,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"165,419,165.53","176,042,567.90","147,068,573.44","236,838,547.82","7,734,635.67","86,675,849.81","241,180,800.57","284,550,206.93","112,667,674.66","225,525,183.82","340,628,805.76","420,486,858.48","136,020,205.62"
分配股利、利润或偿还利息支付的现金,"52,511,378.68","7,300,913.68","6,347,886.27","1,334,936.48",,"168,106,666.66","171,706,666.66","71,170,666.66",,"70,500,000.00","75,000,000.00","98,873,850.00",
收回投资收到的现金,,,,,,,,"475,000,000.00","200,000,000.00","200,000,000.00","480,000,000.00","680,000,000.00","200,000,000.00"
支付其他与筹资活动有关的现金,"14,076,000.00",,,"2,399,000.00","3,910,000.00","2,543,750.00","2,543,750.00","2,543,750.00",,,,,
取得投资收益收到的现金,,,,,,,,"5,647,697.98","1,571,266.15","1,571,266.15","4,414,676.66","5,838,415.30","1,695,913.09"
筹资活动现金流出小计,"302,669,460.01","275,101,296.43","129,265,271.14","93,733,936.48","3,910,000.00","170,650,416.66","174,250,416.66","73,714,416.66",,"70,500,000.00","75,000,000.00","98,873,850.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,722,471.16","622,519.73","600,895.71","216,056.40",,,,"77,826.39","9,442.87","100,752.87","121,752.87","609,929.75","16,280.00"
筹资活动产生的现金流量净额,"-70,664,739.27","-92,920,115.19","-34,265,271.14","590,982,313.52","-3,910,000.00","-70,114,416.66","-73,714,416.66","-73,714,416.66",,"-70,500,000.00","-75,000,000.00","-77,623,500.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,783,085.47","-1,033,937.66","10,507,216.14","19,866,846.77","3,085,034.29","-8,911,669.72","-13,551,754.10","-13,301,973.75","-6,279,706.87","-5,947,601.13","2,543,732.65","3,340,185.18","-6,043,112.74"
收到其他与投资活动有关的现金,,,,,,,,,,"14,990,304.74","14,990,304.74","18,892,330.74",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"1,722,471.16","622,519.73","600,895.71","216,056.40",,,,"480,725,524.37","201,580,709.02","216,662,323.76","499,526,734.27","705,340,675.79","201,712,193.09"
五、现金及现金等价物净增加额,"1,430,288.66","-11,293,740.92","54,461,455.49","740,980,116.41","-15,920,567.67","-116,550,018.02","-194,248,263.89","119,046,594.09","78,271,414.46","99,425,152.42","199,628,101.04","231,822,795.75","63,716,671.60"
购建固定资产、无形资产和其他长期资产支付的现金,"84,263,523.29","89,004,775.70","69,449,958.66","106,923,648.10","22,830,237.63","44,199,781.45","56,482,893.70","84,212,746.80","29,697,262.35","66,314,754.03","88,071,171.64","139,721,423.70","67,972,614.37"
期初现金及现金等价物余额,"105,587,329.39","107,017,618.05","95,723,877.13","150,185,332.62","891,165,449.03","891,165,449.03","891,165,449.03","891,165,449.03","1,010,212,043.12","1,010,212,043.12","1,010,212,043.12","1,010,212,043.12","1,242,034,838.87"
投资支付的现金,"9,000,000.00","5,000,000.00",,,,"80,000,000.00","285,000,000.00","475,000,000.00","200,000,000.00","200,000,000.00","480,000,000.00","680,000,000.00","200,000,000.00"
