科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"99,312,000,000.00","158,789,000,000.00","219,459,000,000.00","64,910,000,000.00","135,188,000,000.00","198,781,000,000.00","267,507,000,000.00","65,458,000,000.00","130,862,000,000.00","197,375,000,000.00","267,184,000,000.00","75,276,000,000.00","153,307,000,000.00","234,798,000,000.00","323,489,000,000.00","96,333,000,000.00","196,033,000,000.00","296,150,000,000.00","397,090,000,000.00","109,682,000,000.00","227,005,000,000.00","341,276,000,000.00","460,746,000,000.00","125,584,000,000.00","251,401,000,000.00","377,390,000,000.00","508,608,000,000.00","147,351,000,000.00","287,097,000,000.00","429,043,000,000.00","570,470,000,000.00","162,367,000,000.00","311,042,000,000.00","457,391,000,000.00","605,197,000,000.00","187,944,000,000.00","332,852,000,000.00","472,572,000,000.00","605,090,000,000.00","170,798,000,000.00","320,388,000,000.00","471,994,000,000.00","621,659,000,000.00","183,221,000,000.00","339,903,000,000.00","500,047,000,000.00","658,891,000,000.00","187,066,000,000.00"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"89,213,000,000.00","139,300,000,000.00","192,775,000,000.00","54,436,000,000.00","111,080,000,000.00","168,170,000,000.00","224,920,000,000.00","50,870,000,000.00","102,468,000,000.00","155,580,000,000.00","211,885,000,000.00","57,180,000,000.00","117,799,000,000.00","182,181,000,000.00","251,500,000,000.00","71,630,000,000.00","145,706,000,000.00","223,010,000,000.00","304,572,000,000.00","82,101,000,000.00","169,692,000,000.00","261,024,000,000.00","353,202,000,000.00","92,311,000,000.00","187,660,000,000.00","286,510,000,000.00","389,544,000,000.00","103,207,000,000.00","211,292,000,000.00","323,237,000,000.00","437,398,000,000.00","111,300,000,000.00","224,619,000,000.00","340,808,000,000.00","457,752,000,000.00","107,886,000,000.00","210,990,000,000.00","315,802,000,000.00","417,799,000,000.00","106,923,000,000.00","217,854,000,000.00","333,324,000,000.00","452,456,000,000.00","122,682,000,000.00","239,486,000,000.00","365,725,000,000.00","486,278,000,000.00","125,075,000,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,"130,897,000,000.00","205,178,000,000.00","284,823,000,000.00","83,614,000,000.00","172,193,000,000.00","264,497,000,000.00","356,500,000,000.00","84,109,000,000.00","168,435,000,000.00","253,394,000,000.00","339,463,000,000.00","87,588,000,000.00","179,650,000,000.00","276,114,000,000.00","377,783,000,000.00","107,495,000,000.00","223,458,000,000.00","348,353,000,000.00","482,247,000,000.00","145,266,000,000.00","295,433,000,000.00","448,166,000,000.00","603,241,000,000.00","154,938,000,000.00","313,347,000,000.00","479,181,000,000.00","646,253,000,000.00","172,356,000,000.00","356,473,000,000.00","547,012,000,000.00","739,126,000,000.00","190,156,000,000.00","384,194,000,000.00","580,671,000,000.00","770,559,000,000.00","177,272,000,000.00","346,411,000,000.00","523,246,000,000.00","696,637,000,000.00","179,561,000,000.00","363,489,000,000.00","555,566,000,000.00","750,154,000,000.00","199,141,000,000.00","395,320,000,000.00","604,759,000,000.00","811,026,000,000.00","215,918,000,000.00"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,"41,684,000,000.00","65,878,000,000.00","92,048,000,000.00","29,178,000,000.00","61,113,000,000.00","96,327,000,000.00","131,580,000,000.00","33,239,000,000.00","65,967,000,000.00","97,814,000,000.00","127,578,000,000.00","30,408,000,000.00","61,851,000,000.00","93,933,000,000.00","126,283,000,000.00","35,865,000,000.00","77,752,000,000.00","125,343,000,000.00","177,675,000,000.00","63,165,000,000.00","125,741,000,000.00","187,142,000,000.00","250,039,000,000.00","62,627,000,000.00","125,687,000,000.00","192,671,000,000.00","256,709,000,000.00","69,149,000,000.00","145,181,000,000.00","223,775,000,000.00","301,728,000,000.00","78,856,000,000.00","-159,575,000,000.00","239,863,000,000.00","312,807,000,000.00","69,386,000,000.00","135,421,000,000.00","207,444,000,000.00","278,838,000,000.00","72,638,000,000.00","145,635,000,000.00","222,242,000,000.00","297,698,000,000.00","76,459,000,000.00","155,834,000,000.00","239,034,000,000.00","324,748,000,000.00","-90,843,000,000.00"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"12,660,000,000.00","22,926,000,000.00","31,313,000,000.00","10,724,000,000.00","20,168,000,000.00","29,572,000,000.00","38,446,000,000.00","11,842,000,000.00","23,422,000,000.00","35,763,000,000.00","48,059,000,000.00","16,865,000,000.00","33,642,000,000.00","48,681,000,000.00","66,132,000,000.00","23,154,000,000.00","47,671,000,000.00","68,792,000,000.00","86,994,000,000.00","24,302,000,000.00","49,243,000,000.00","69,921,000,000.00","93,507,000,000.00","28,894,000,000.00","55,524,000,000.00","80,088,000,000.00","104,283,000,000.00","32,121,000,000.00","60,180,000,000.00","83,801,000,000.00","108,517,000,000.00","33,928,000,000.00","63,645,000,000.00","88,686,000,000.00","113,530,000,000.00","38,376,000,000.00","67,190,000,000.00","92,314,000,000.00","118,509,000,000.00","38,767,000,000.00","68,080,000,000.00","93,649,000,000.00","117,798,000,000.00","37,931,000,000.00","69,004,000,000.00","96,528,000,000.00","123,035,000,000.00","43,029,000,000.00"
营业税金及附加,"5,665,000,000.00","8,973,000,000.00","12,337,000,000.00","3,731,000,000.00","7,717,000,000.00","11,784,000,000.00","15,793,000,000.00","4,019,000,000.00","8,036,000,000.00","11,987,000,000.00","15,972,000,000.00","4,265,000,000.00","8,826,000,000.00","13,365,000,000.00","18,364,000,000.00","5,504,000,000.00","11,530,000,000.00","17,751,000,000.00","24,229,000,000.00","7,307,000,000.00","14,975,000,000.00","22,483,000,000.00","30,233,000,000.00","8,012,000,000.00","15,780,000,000.00","23,614,000,000.00","31,648,000,000.00","8,596,000,000.00","17,231,000,000.00","25,983,000,000.00","34,983,000,000.00","9,289,000,000.00","18,234,000,000.00","27,174,000,000.00","36,303,000,000.00","8,926,000,000.00","13,359,000,000.00","14,485,000,000.00","17,473,000,000.00","1,322,000,000.00","2,907,000,000.00","4,248,000,000.00","5,767,000,000.00","1,400,000,000.00","3,190,000,000.00","4,503,000,000.00","6,132,000,000.00","1,508,000,000.00"
