科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
其他应收款,"26,204,082.62","24,645,527.09","23,921,839.56","18,911,834.53","23,142,585.61","32,137,033.77","35,153,629.40","41,468,797.28","49,632,629.84","38,107,877.21","21,754,747.41","36,065,086.88","40,439,818.05","80,350,363.71","92,716,453.41","44,332,780.02","50,198,322.61","46,680,679.33","46,848,936.59","50,751,930.21","61,604,602.06","60,621,989.47","66,986,123.83","24,399,709.75","33,706,992.30","30,095,395.66","22,119,871.48","16,323,409.66","18,270,687.71","24,259,582.15","30,083,040.98","12,571,808.96","16,050,085.20","13,909,279.15","18,751,787.31","11,829,800.85","16,089,203.70","18,195,966.43","15,569,010.18","12,324,011.18","19,275,707.26","15,240,852.98","15,922,917.92","31,037,320.80"
应付职工薪酬,"4,240,145.11","3,194,047.39","4,033,625.06","3,465,902.81","3,127,007.98","2,584,264.13","3,275,740.97","61,158,064.98","55,056,829.89","53,303,500.14","52,791,193.63","45,211,496.50","65,092,569.69","62,296,471.88","58,964,517.27","47,341,823.28","44,806,165.19","44,896,298.63","41,697,925.11","44,509,466.19","40,540,985.25","38,868,445.85","37,576,350.46","43,205,134.57","38,045,683.10","35,812,004.83","41,657,137.98","48,553,475.33","44,865,101.58","44,762,298.37","43,964,076.14","43,408,043.90","43,675,592.34","37,350,564.17","34,792,988.44","43,682,836.02","36,471,962.52","36,496,256.87","37,665,966.24","40,145,344.83","34,170,460.03","34,640,987.38","34,166,408.58","42,644,995.42"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,062,722.12","1,571,796.65","691,705.73","-2,900,699.75","-2,337,543.85","293,190.31","893,051.71","8,511,231.10","3,554,580.31","13,914,845.57","9,641,539.93","23,144,883.39","30,951,590.82","35,726,217.01","26,871,882.01","30,558,025.77","18,748,909.84","4,325,708.39","3,112,374.76","13,164,814.01","3,198,524.86","-4,169,750.76","-8,106,198.81","8,643,854.55","8,823,055.82","4,392,533.80","1,753,435.55","13,103,051.57","2,065,146.59","1,697,135.17","4,698,411.39","62,185,113.93","40,458,923.78","39,746,560.20","39,373,101.20","64,522,667.33","54,448,837.19","54,305,124.00","48,733,047.36","79,422,114.34","72,075,889.78","48,964,895.87","51,649,779.08","88,588,437.85"
应收利息,"888,600.45","1,075,906.47","1,679,813.27","2,108,033.38","1,051,610.72","985,634.65","770,069.94","476,845.10","491,562.73","296,451.36","294,435.62","2,855,030.15","671,390.71","539,964.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"297,000.00",,,,,,,,,,,,,,,,,,,,,"518,911.56","506,692.41","134,535.64","141,289.60","349,701.10","119,747.97","115,260.52","152,876.51","653,513.24","173,123.15","127,298.27","171,833.16","489,648.87"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"923,998.05","923,998.05","681,546.26","781,546.26","781,546.26","781,546.26","781,546.26",,,"297,000.00",,,,,,,,,,"12,284,525.00",,,,"14,004,358.50",,,"4,378,640.00","15,969,874.15",,,,,,,,,,"13,580,351.55",,,,"12,607,325.46",,
存货,"141,809,681.47","153,839,683.42","137,158,568.05","141,898,556.23","142,666,920.03","137,756,612.50","132,948,538.73","251,814,779.42","264,525,615.29","293,012,068.15","284,809,180.90","307,921,196.15","473,438,679.64","530,556,857.40","605,801,379.50","525,038,235.89","542,447,197.61","585,977,645.85","639,127,371.61","540,407,133.35","562,289,472.32","564,457,221.27","583,431,193.83","555,622,794.90","572,010,598.45","611,079,451.29","601,100,655.07","594,805,793.12","599,213,315.47","637,583,553.00","666,642,683.36","501,279,204.89","603,970,663.97","730,100,263.34","826,232,685.56","628,374,715.20","677,611,380.18","703,592,687.23","847,716,848.21","586,848,630.94","641,186,975.55","662,261,868.48","694,803,590.30","570,543,659.64"
其他应付款,"15,024,413.26","12,874,131.13","10,290,412.67","23,423,187.79","23,634,802.97","27,016,892.01","26,946,437.78","59,600,646.83","64,776,818.05","65,499,236.20","24,847,451.61","56,822,234.17","65,841,284.18","60,762,902.96","60,818,147.47","183,726,244.60","171,024,553.55","175,343,342.10","176,669,998.15","165,068,030.94","166,171,376.97","169,892,421.49","180,352,333.17","173,607,054.39","171,676,011.78","171,640,701.27","180,027,768.59","181,947,007.86","182,278,606.06","179,051,817.62","182,174,867.25","243,487,853.93","78,899,218.65","75,414,600.43","61,641,075.81","69,537,558.27","67,664,684.00","74,921,201.99","77,421,162.51","155,065,077.68","145,516,001.21","64,965,870.65","68,685,551.17","146,447,535.13"
