科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,090,530,706.47","719,816,511.43","575,101,372.91","115,695,474.25","235,673,109.54","353,914,876.27","88,651,953.48","158,440,007.95","204,569,243.71","387,769,939.91","162,904,530.85","374,776,008.29","510,366,592.23","934,114,439.39","306,491,026.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"19,735,400.00",
收到的税费返还,"4,233,622.84","3,798,413.51","1,856,506.29","6,771,316.78","6,771,316.78","6,964,514.15","54,800.88","172,808.05","226,080.46","257,642.43","2,036,514.43","18,370,976.86","18,370,976.86","19,447,717.58","7,200,033.07"
支付其他与投资活动有关的现金,"2,798,164.33",,,,,,,,,,"30,072,606.56",,,,
收到其他与经营活动有关的现金,"11,178,274.70","9,760,904.11","5,216,362.56","10,349,745.65","14,338,465.76","14,203,139.22","37,660,756.42","25,774,921.66","53,961,445.50","9,440,818.38","4,429,326.78","17,616,840.39","27,953,732.32","9,944,967.17","2,608,321.69"
投资活动现金流出小计,"152,385,129.92","115,412,021.25","53,831,738.44","22,563,334.91","36,710,561.50","38,822,127.66","38,876,600.00","41,985,370.00","107,399,418.00","695,347,145.06","142,764,888.68","155,607,898.65","164,568,299.21","344,846,715.50","132,611,289.88"
经营活动现金流入小计,"1,105,942,604.01","733,375,829.05","582,174,241.76","132,816,536.68","256,782,892.08","375,082,529.64","126,367,510.78","184,387,737.66","258,756,769.67","397,468,400.72","169,370,372.06","410,763,825.54","556,691,301.41","963,507,124.14","316,299,381.71"
投资活动产生的现金流量净额,"-148,472,051.03","-114,543,121.34","-51,980,488.92","-20,701,733.49","-34,848,960.08","-36,960,526.24","-38,876,600.00","-40,676,511.86","-103,164,533.71","-293,517,796.85","-38,692,358.66","-22,381,821.21","-20,424,784.39","-162,896,304.59","-128,634,393.08"
购买商品、接受劳务支付的现金,"712,654,150.91","292,810,934.11","263,479,963.98","57,396,036.57","101,202,094.00","132,908,857.26","50,824,970.26","147,089,594.90","190,962,513.33","131,910,183.18","162,786,616.66","344,265,869.53","551,915,961.30","509,723,325.25","292,667,407.05"
吸收投资收到的现金,763.75,,,,,"331,068,800.00",,,"39,167,500.00","39,167,500.00","26,437,144.28","31,253,700.00","37,163,700.00","34,702,400.00","18,694,788.46"
支付给职工以及为职工支付的现金,"135,890,876.41","152,500,252.29","126,823,783.95","61,214,037.81","79,816,464.32","95,245,399.63","12,805,409.44","41,743,982.25","65,555,968.22","96,157,594.12","24,386,210.42","85,734,180.15","128,972,738.32","198,875,695.37","46,199,524.57"
取得借款收到的现金,"145,119,305.00","153,499,900.00","165,000,000.04","30,000,000.00","50,000,000.00","84,000,000.00",,,,"20,000,000.00","1,000,000.00","41,000,000.00","89,000,000.00","227,200,000.00","75,060,000.00"
支付的各项税费,"81,921,116.10","58,676,400.03","68,537,494.22","26,266,911.32","36,067,157.36","51,133,142.43","4,536,070.46","9,001,855.84","21,349,743.52","33,551,487.46","28,882,935.98","45,304,130.53","23,074,804.01","40,254,787.61","12,159,084.31"
收到其他与筹资活动有关的现金,"19,822,674.87","9,411,044.00","35,962,212.56","29,532,879.58","30,464,117.86","43,178,565.94",,"6,613,443.54","8,613,443.54","58,675,747.86","16,879.77","16,879.77","16,879.77","167,502,379.29",
支付其他与经营活动有关的现金,"42,800,813.68","34,398,764.65","31,230,915.14","5,566,308.40","13,472,728.52","15,396,888.97","13,169,004.99","7,700,551.61","10,742,857.81","43,665,331.53","6,648,787.51","34,819,992.02","44,102,766.03","43,528,269.26","13,448,992.01"
筹资活动现金流入小计,"164,942,743.62","162,910,944.00","200,962,212.60","59,532,879.58","80,464,117.86","458,247,365.94",,"6,613,443.54","47,780,943.54","117,843,247.86","27,454,024.05","72,270,579.77","126,180,579.77","429,404,779.29","93,754,788.46"
经营活动现金流出小计,"973,266,957.10","538,386,351.08","490,072,157.29","150,443,294.10","230,558,444.20","294,684,288.29","81,335,455.15","205,535,984.60","288,611,082.88","305,284,596.29","222,704,550.57","510,124,172.23","748,269,325.27","792,382,077.49","364,475,007.94"
偿还债务支付的现金,"122,900,000.00","112,619,205.00","136,000,000.00","77,000,000.04","110,000,000.04","135,000,000.04","84,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","20,000,000.00","21,000,000.00","21,000,000.00","70,000,000.00","50,000,000.00"
经营活动产生的现金流量净额,"132,675,646.91","194,989,477.97","92,102,084.47","-17,626,757.42","26,224,447.88","80,398,241.35","45,032,055.63","-21,148,246.94","-29,854,313.21","92,183,804.43","-53,334,178.51","-99,360,346.69","-191,578,023.86","171,125,046.65","-48,175,626.23"
分配股利、利润或偿还利息支付的现金,"18,570,966.10","27,636,192.94","27,931,901.35","25,398,201.44","26,571,135.19","27,292,747.52","498,358.38","14,019,258.36","14,019,258.36","15,222,235.84","50,750.00","6,134,850.00","12,574,360.00","15,662,152.31","1,560,417.15"
收回投资收到的现金,"730,000.00",,"1,105,458.14",,,,,,,"395,593,810.00","73,419,658.34","120,560,652.74","131,061,217.58","175,074,612.11","3,500,000.00"
支付其他与筹资活动有关的现金,"25,648,843.80","15,921,414.00","62,286,785.50","5,955,752.41","15,172,667.67","42,993,779.74","4,270,000.00","4,283,837.52","11,033,837.52","56,234,259.37",,"1,370,511.98","1,767,405.59","167,420,687.02",
取得投资收益收到的现金,"158,184.96","452,899.91","188,845.59","190,661.42","190,661.42","190,661.42",,"1,308,858.14","3,143,130.87","5,265,248.45","638,264.42","1,823,024.70","2,038,297.24","3,469,597.45","316,673.67"
筹资活动现金流出小计,"167,119,809.90","156,176,811.94","226,218,686.85","108,353,953.89","151,743,802.90","205,286,527.30","88,768,358.38","102,303,095.88","109,053,095.88","155,456,495.21","20,050,750.00","28,505,361.98","35,341,765.59","253,082,839.33","51,560,417.15"
处置固定资产、无形资产和其他长期资产收回的现金净额,"864,893.93","416,000.00","556,945.79","1,670,940.00","1,670,940.00","1,670,940.00",,,,"970,289.76","30,000,000.00","10,842,400.00","11,044,000.00","3,406,201.35",
筹资活动产生的现金流量净额,"-2,177,066.28","6,734,132.06","-25,256,474.25","-48,821,074.31","-71,279,685.04","252,960,838.64","-88,768,358.38","-95,689,652.34","-61,272,152.34","-37,613,247.35","7,403,274.05","43,765,217.79","90,838,814.18","176,321,939.96","42,194,371.31"
处置子公司及其他营业单位收到的现金净额,"2,160,000.00",,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-379,733.14","25,029.04","664,541.68","1,187,935.18","1,403,981.53","972,687.79",,"-43,899.62","-131,872.64","-329,865.91","-4,737.74",,,"377,428.62",
收到其他与投资活动有关的现金,,,,,,,,,"1,091,753.42",,"14,607.26",,,,"160,223.13"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,913,078.89","868,899.91","1,851,249.52","1,861,601.42","1,861,601.42","1,861,601.42",,"1,308,858.14","4,234,884.29","401,829,348.21","104,072,530.02","133,226,077.44","144,143,514.82","181,950,410.91","3,976,896.80"
五、现金及现金等价物净增加额,"-18,353,203.54","87,205,517.73","15,529,662.98","-85,961,630.04","-78,500,215.71","297,371,241.54","-82,612,902.75","-157,558,310.76","-194,422,871.90","-239,277,105.68","-84,628,000.86","-77,976,950.11","-121,163,994.07","184,928,110.64","-134,615,648.00"
购建固定资产、无形资产和其他长期资产支付的现金,"149,586,965.59","112,412,021.25","53,831,738.44","22,563,334.91","36,710,561.50","37,736,127.66","38,876,600.00","41,985,370.00","105,799,418.00","226,729,570.08","5,398,210.06","6,071,532.84","17,851,646.37","144,408,468.37","117,909,586.92"
期初现金及现金等价物余额,"83,480,331.49","65,127,127.95","152,332,645.68","167,862,308.66","167,862,308.66","167,862,308.66","499,057,545.77","465,233,550.20","465,233,550.20","465,233,550.20","231,736,070.32","225,956,444.52","225,956,444.52","225,956,444.52","410,884,555.16"
投资支付的现金,,"3,000,000.00",,,,"1,086,000.00",,,"1,600,000.00","468,617,574.98","107,294,072.06","149,536,365.81","146,716,652.84","180,702,847.13","14,701,702.96"
期末现金及现金等价物余额,"65,127,127.95","152,332,645.68","167,862,308.66","81,900,678.62","89,362,092.95","465,233,550.20","416,444,643.02","307,675,239.44","270,810,678.30","225,956,444.52","147,108,069.46","147,979,494.41","104,792,450.45","410,884,555.16","276,268,907.16"
