科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"190,202,219.00","191,060,508.44","253,281,415.41","205,902,088.98","302,501,326.03","60,294,032.17","140,069,957.22","224,257,030.19","390,580,071.69","85,735,388.38","181,999,573.70","296,814,091.93","386,327,118.40","120,421,485.81","260,930,554.91","419,632,076.44","528,485,636.89"
取得子公司及其他营业单位支付的现金净额,"472,625.88",,,,,,,,,,"69,158,713.09","69,158,713.09","69,158,713.09","27,832,718.48","30,454,171.97","30,454,171.97","17,391,222.71"
收到的税费返还,"4,156,981.83","5,506,838.36","8,453,280.08","6,835,539.78","8,717,715.96","5,308,248.54","9,503,691.51","17,160,538.06","23,048,437.98","4,882,354.45","7,632,451.32","15,321,420.39","18,953,622.34","6,643,162.04","14,449,575.72","19,100,339.76","22,339,570.11"
支付其他与投资活动有关的现金,,,,"221,889.00","423,239.00",,,,"11,000,000.00","173,396.63",,,"11,796,693.50",,,,
收到其他与经营活动有关的现金,"1,600,049.94","7,996,552.48","5,822,485.13","4,436,820.93","5,114,192.67","2,007,450.84","5,069,007.82","8,572,848.13","6,621,793.00","977,689.54","4,483,032.62","8,251,200.09","8,446,433.57","490,207.66","6,471,761.76","8,221,836.34","6,368,442.30"
投资活动现金流出小计,"67,579,079.27","28,769,295.33","33,938,281.95","45,824,848.76","69,188,460.60","16,077,986.02","37,335,549.22","61,747,802.56","272,509,600.82","82,837,269.17","1,033,880,696.42","1,622,521,406.31","1,967,199,534.15","306,918,864.67","525,500,215.22","749,992,396.35","877,735,150.90"
经营活动现金流入小计,"195,959,250.77","204,563,899.28","267,557,180.62","217,174,449.69","316,333,234.66","67,609,731.55","154,642,656.55","249,990,416.38","420,250,302.67","91,595,432.37","194,115,057.64","320,386,712.41","413,727,174.31","127,554,855.51","281,851,892.39","446,954,252.54","557,193,649.30"
投资活动产生的现金流量净额,"-66,385,767.44","-28,573,805.95","-33,752,366.95","-45,767,870.30","-69,023,133.01","-16,013,426.02","-37,101,679.22","-61,448,165.52","-269,692,932.23","654,342.28","-44,411,727.15","-168,261,978.67","-209,656,499.69","25,718,968.76","53,087,913.99","411,544.48","-30,527,391.53"
购买商品、接受劳务支付的现金,"119,248,633.37","103,580,484.02","148,131,773.37","118,860,615.98","168,352,264.73","29,975,859.38","89,618,307.02","132,998,938.52","251,904,794.10","34,315,521.48","90,207,597.83","138,678,269.80","163,820,786.87","57,454,951.01","142,478,646.24","215,081,254.89","275,891,048.75"
吸收投资收到的现金,,,"900,000.00",,,"317,800,000.00","317,800,000.00","317,800,000.00","284,100,000.00",,"172,999,924.88","172,999,924.88","172,999,924.88",,,,
