科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"50,578,950.43","53,801,207.20","83,611,407.59","577,953,997.61","173,386,076.00","146,046,387.90","150,834,225.04","195,434,606.00","245,677,624.14","154,626,624.79","151,200,740.27","361,406,265.11"
短期借款,"15,000,000.00","20,000,000.00","71,000,000.00","1,000,000.00",,,,,,"3,276,154.24","7,985,080.23","78,986,256.72"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"39,997,914.21","55,395,519.63","115,898,301.64","106,973,257.62","158,504,109.17","126,759,378.32","143,656,118.54","133,225,263.73","116,495,841.58","253,541,338.22","509,266,246.71","411,284,988.23"
应付票据,"72,624,465.31","103,087,164.51","109,389,256.96","152,037,882.00","164,423,326.01","184,370,220.33","159,193,903.55","194,688,998.59","261,917,837.74",,"404,514,257.40",
应收账款,"189,486,348.44","245,200,101.29","308,631,584.79","275,561,424.23","308,051,316.72","375,712,298.08","426,213,776.88","389,872,837.87","583,565,026.70","598,347,471.74","690,343,034.12","669,316,688.72"
应付账款,"227,441,238.59","305,375,767.67","363,352,843.89","319,624,883.83","418,303,693.47","450,299,699.20","499,044,537.84","538,279,300.86","702,199,175.29",,"862,396,551.49",
预付款项,"5,080,569.85","11,119,986.15","12,892,263.14","13,311,431.73","9,058,039.17","11,874,524.17","8,990,065.54","20,211,237.91","15,441,554.12","18,999,607.24","12,405,282.80","17,004,926.04"
预收款项,"7,382,254.18","10,205,151.97","15,296,543.37","15,946,853.34","25,552,173.03","23,450,327.97","19,229,741.43","22,573,166.56","23,663,840.33","26,940,460.38","23,474,521.65","21,780,719.96"
其他应收款,"12,532,848.88","12,108,576.98","7,096,877.47","10,860,953.21","15,535,782.58","13,724,899.69","9,731,458.32","15,364,809.69","23,179,587.63","19,614,374.66","12,517,308.87","14,017,216.57"
应付职工薪酬,"17,236,968.89","31,491,505.24","40,645,013.33","47,174,856.46","22,263,978.53","33,124,534.62","59,398,495.88","68,211,042.36","31,903,975.64","54,599,476.32","75,048,793.82","91,443,910.25"
应收关联公司款,,,,,,,,,,,,
应交税费,"7,145,216.67","7,097,674.79","9,878,322.06","6,208,793.20","6,606,212.64","10,128,262.70","18,034,559.76","7,596,057.14","8,602,818.70","13,626,582.27","16,244,672.59","15,594,450.80"
应收利息,,,,,,,,,,,,
应付利息,,,,,,,,,,,,
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,
存货,"203,568,261.68","299,081,062.56","347,051,671.38","370,767,662.37","420,614,725.47","483,725,648.91","482,720,836.46","622,092,485.88","701,728,879.56","812,228,847.24","827,807,225.59","887,208,567.80"
其他应付款,"4,433,489.48","5,649,008.16","9,197,173.04","5,158,382.82","8,955,625.41","72,037,288.62","71,863,768.43","72,873,921.13","71,415,133.03","72,129,305.42","61,088,130.88","58,748,081.56"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,"1,292,538.82","1,049,960.77","1,781.43","45,746.04","31,280.75","17,813.66","103,911.70","74,497.30","49,500.40","41,168.10","1,613.17","1,173.16"
一年内到期的非流动负债,,,,,,,,,,,,
其他流动资产,"120,364,214.16","123,444,860.37","177,064,065.21","129,812,907.44","506,946,490.78","547,439,811.89","554,151,761.18","503,819,004.79","406,570,055.84","386,635,523.93","366,574,137.88","314,364,841.12"
其他流动负债,,,,,,,,,,,,
流动资产合计,"622,901,646.47","801,201,274.95","1,052,247,952.65","1,485,287,380.25","1,592,127,820.64","1,705,300,762.62","1,776,402,153.66","1,880,094,743.17","2,092,708,069.97","2,244,034,955.92","2,570,115,589.41","2,674,604,666.75"
流动负债合计,"351,263,633.12","482,906,272.34","618,759,152.65","547,151,651.65","646,105,009.09","773,410,333.44","826,765,006.89","904,222,486.64","1,099,702,780.73","1,215,256,090.42","1,450,752,008.06","1,556,759,273.31"
可供出售金融资产,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","1,700,000.00","23,200,000.00","28,200,000.00","31,700,000.00","31,700,000.00","31,700,000.00",
长期借款,,,"30,000,000.00","28,750,000.00","27,500,000.00","26,250,000.00","25,000,000.00","23,750,000.00","22,500,000.00","21,250,000.00","20,000,000.00","18,750,000.00"
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,"17,084,834.45",,,,"8,725,375.96","14,724,013.74","14,801,527.55","14,829,980.89","19,262,982.23","27,482,744.43","31,983,853.68","37,788,673.96"
专项应付款,,,,,,,,,,,,
