科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"459,516,316.12","531,725,459.63","650,906,990.47","137,555,858.12","310,262,497.94","541,720,250.42","773,401,576.23","186,273,641.90","396,558,784.06","690,522,317.55","1,124,402,353.58","223,689,943.19","544,565,543.62","929,608,728.70","1,378,511,138.36","308,367,405.79","703,881,578.90","1,135,303,359.09","1,568,032,672.60","433,593,927.93","897,440,308.21","1,390,778,374.33","1,580,730,262.42","370,162,852.35","858,201,852.56","1,420,625,972.09","1,787,441,623.38","587,897,370.71","1,299,511,683.35"
二、营业利润,"43,100,884.73","55,023,524.56","66,662,364.13","11,735,164.74","30,509,961.38","49,042,063.26","66,098,552.07","11,500,007.73","32,793,472.99","57,920,718.70","75,569,410.70","10,648,086.19","30,967,309.99","54,201,070.75","71,954,499.15","13,854,755.81","39,274,533.79","59,996,262.62","76,166,862.54","14,408,352.39","36,602,634.59","65,329,058.48","92,733,591.00","11,623,821.39","10,743,974.62","41,048,056.45","28,311,605.82","33,586,716.84","66,235,569.13"
减:营业成本,"383,495,252.65","437,034,357.46","531,311,833.40","113,127,364.54","251,508,291.35","446,535,923.53","638,265,266.55","157,567,327.11","330,334,134.12","581,866,685.12","964,700,562.62","194,361,733.67","468,971,608.13","805,543,586.05","1,204,295,720.97","266,957,206.82","605,698,824.63","985,971,054.59","1,357,264,519.47","387,159,535.34","782,882,129.39","1,208,327,847.21","1,317,748,081.06","315,603,711.81","729,621,335.20","1,214,528,149.14","1,517,290,985.66","491,626,654.93","1,096,526,919.04"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,008,148.73","1,084,804.35","1,743,999.79","220,214.79","661,184.32","1,166,693.31","2,286,245.38","293,708.82","846,607.62","1,453,409.01","2,436,196.37","284,824.52","715,495.67","1,167,571.83","2,169,420.43","466,489.27","1,034,701.18","1,801,409.09","3,084,472.32","489,642.23","1,566,520.48","2,333,007.32","7,912,764.23","1,351,118.17","4,910,776.31","7,149,888.75","11,091,966.20","3,161,638.03","7,497,789.35"
营业外收入,"4,028,899.04","2,570,370.00","417,277.36","370,000.00","1,886,800.00","1,914,707.32","3,310,818.68","405,000.00","663,000.00","696,500.00","1,439,965.66","252,060.88","998,238.88","1,351,188.88","1,591,998.88","2,043,284.00","2,398,184.00","3,616,347.98","2,510,885.32","295,909.72","744,582.02","1,316,632.02","2,043,783.54","1,355,910.00","3,561,932.65","4,185,745.38","4,375,971.77","503,690.02","423,350.38"
销售费用,"6,675,352.20","6,467,424.85","9,716,650.33","2,528,755.61","4,538,537.55","8,837,724.37","13,009,590.07","3,701,676.85","7,108,819.19","13,051,341.43","25,708,893.77","5,091,332.05","10,856,388.23","20,192,664.63","30,460,387.30","7,323,514.11","16,984,016.42","24,431,614.92","38,043,011.77","7,014,311.04","21,034,106.08","31,368,810.19","47,877,785.74","9,596,269.21","26,614,218.20","38,984,163.80","57,542,717.77","9,125,961.84","23,799,986.72"
减:营业外支出,"55,885.08","211,738.60","1,001.00",,,,,,,,"239,749.11","108,343.50","151,781.00","151,781.00","160,206.98","20,000.00","72,908.68","72,908.68","75,051.23","20,000.03","1,023,006.97","1,105,868.33","1,534,784.66",15.74,"214,899.58","276,350.70","562,646.21","20,794.41","143,290.76"
管理费用,"15,674,247.24","18,575,255.95","20,482,729.93","5,317,467.28","13,525,644.80","19,958,224.72","29,784,540.06","8,495,960.66","16,588,999.79","26,095,367.50","33,216,326.86","9,400,663.29","19,505,360.22","30,352,885.25","40,468,909.34","11,159,712.50","24,375,837.13","36,441,628.57","51,198,367.96","15,899,249.97","35,373,047.23","53,220,653.70","75,260,173.13","20,768,094.23","40,864,510.66","61,317,252.25","93,234,207.66","32,485,722.68","65,266,592.91"
其中:非流动资产处置净损失,,"3,978.46",,,,,,,,,,,,,"57,437.50",,,,,,,,,,,"61,424.96",,,
