科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"85,685,375.66","167,785,478.42","171,392,814.79","128,133,891.32","165,000,111.08","212,839,092.49","91,036,335.08","164,792,996.39","234,000,286.04","295,465,413.25","38,050,479.68","173,831,877.60","242,754,009.97","372,512,993.71","142,598,194.60","267,860,547.25","431,825,637.33","534,831,418.56","84,572,220.02","315,569,185.82","495,081,812.20","603,796,287.55","164,096,897.46","294,858,901.34","492,207,076.95","664,060,891.58","355,975,217.81","502,077,184.33","764,685,677.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"427,520.13","2,895,512.59","6,879,342.97","2,479,654.88","3,422,776.66","5,690,388.46","1,192,584.18","6,625,583.77","9,621,938.36","12,850,926.68","3,787,931.81","7,484,010.78","8,691,503.77","11,988,198.12","6,396,743.52","7,756,054.99","9,903,019.10","10,583,775.31","6,676,210.58","12,385,684.02","14,679,491.18","15,552,957.84","17,089,029.38","17,936,988.01","22,535,489.97","26,728,452.61","20,175,909.46","32,480,032.24","42,024,292.29"
支付其他与投资活动有关的现金,,,,,,,,,"50,000,000.00","300,000.00",,,,"678,000.00",,,,"626,542.81",,,,,,,,"765,685.00",,,"-393,150.65"
收到其他与经营活动有关的现金,"1,307,753.61","7,319,763.83","3,702,432.75","1,660,498.77","2,467,984.23","6,832,797.25","7,539,376.52","6,084,024.95","10,768,734.68","13,746,828.11","2,856,608.11","3,528,536.14","3,173,077.80","7,937,957.25","1,731,958.20","3,136,342.05","3,625,037.92","6,978,569.70","5,172,952.22","709,517.31","1,264,343.66","3,437,000.19","604,987.90","1,371,378.10","3,295,781.70","6,358,608.52","419,869.56","13,458,859.35","12,381,876.77"
投资活动现金流出小计,"10,845,504.34","34,704,172.82","28,882,229.39","18,095,623.81","29,391,648.73","39,857,135.59","9,753,066.63","28,292,975.43","136,076,628.13","192,436,289.91","36,957,381.30","63,403,275.02","94,465,487.77","132,416,572.67","108,880,658.73","187,726,502.17","254,061,861.28","353,628,405.95","52,493,813.81","83,595,428.07","120,348,535.41","165,616,877.90","34,570,192.98","143,333,506.51","176,897,388.95","136,591,840.81","32,812,474.32","267,279,938.37","300,036,672.83"
经营活动现金流入小计,"87,420,649.40","178,000,754.84","181,974,590.51","132,274,044.97","170,890,871.97","225,362,278.20","99,768,295.78","177,502,605.11","254,390,959.08","322,063,168.04","44,695,019.60","184,844,424.52","254,618,591.54","392,439,149.08","150,726,896.32","278,752,944.29","445,353,694.35","552,393,763.57","96,421,382.82","328,664,387.15","511,025,647.04","622,786,245.58","181,790,914.74","314,167,267.45","518,038,348.62","697,147,952.71","376,570,996.83","548,016,075.92","819,091,846.51"
投资活动产生的现金流量净额,"-10,684,728.28","-33,157,001.13","-28,861,299.39","-18,095,283.91","-29,320,989.03","-39,790,907.89","-9,753,066.63","-28,292,975.43","-136,076,628.13","-164,033,656.19","-36,957,381.30","-63,403,275.02","-94,465,487.77","-131,478,790.10","-107,465,781.81","-186,556,091.36","-253,952,699.88","-353,374,446.46","-52,493,813.81","-82,945,228.07","-119,698,335.41","-164,517,690.57","-26,072,977.54","-86,973,365.86","-120,633,707.07","-127,099,672.69","-32,662,474.32","-267,007,513.02","-293,356,437.92"
购买商品、接受劳务支付的现金,"58,716,788.02","135,212,845.77","115,847,420.85","73,685,801.20","114,558,470.10","172,056,500.96","54,450,709.17","117,031,115.16","171,366,273.80","235,165,952.16","81,753,121.55","141,546,630.15","218,527,404.21","312,532,712.70","104,284,319.31","188,935,036.20","326,415,233.32","357,831,664.72","83,041,901.42","217,712,371.70","309,312,520.09","402,479,249.36","106,398,689.31","242,338,443.22","378,435,534.84","501,362,089.48","287,113,650.80","325,400,301.64","464,835,188.41"
吸收投资收到的现金,,"14,309,361.80",,,"452,920,000.00","452,920,000.00",,,,,,,,,,,"9,000,000.00","9,000,000.00",,,,,"210,799,971.76","204,169,885.18","204,169,885.18","204,169,885.18",,,
