科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"146,787,209.83","241,151,475.98","258,633,913.20","78,354,578.02","121,700,435.17","175,287,451.88","255,316,453.22","92,936,581.98","142,672,157.86","203,521,650.94","259,257,801.49","251,666,550.81","191,970,613.29","296,712,141.71","357,755,333.82","129,577,759.58"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"149,451.72","113,171.93","158,036.05",,,,"190,227.29",,,,,"5,342.99","5,342.99","2,117,386.89",,
支付其他与投资活动有关的现金,,,,,,,,"100,000,000.00","308,000,000.00","58,000,000.00",,,,"50,000.00",,
收到其他与经营活动有关的现金,"21,349,011.29","19,017,094.20","16,597,003.22","1,751,879.76","15,998,422.27","21,304,719.41","15,419,138.43","3,313,064.80","107,244,201.92","260,963,742.54","21,236,230.06","4,517,355.74","8,797,192.05","13,265,190.30","30,082,014.31","4,631,900.40"
投资活动现金流出小计,"207,710,010.68","108,404,722.02","89,293,267.44","30,310,880.07","28,462,499.72","357,856,545.74","708,955,913.16","164,156,338.59","419,031,198.68","513,113,039.87","564,757,305.59","26,683,872.14","160,303,702.47","244,668,998.04","392,306,799.11","90,752,917.84"
经营活动现金流入小计,"168,285,672.84","260,281,742.11","275,388,952.47","80,106,457.78","137,698,857.44","196,592,171.29","270,925,818.94","96,249,646.78","249,916,359.78","464,485,393.48","664,396,323.41","305,604,707.54","277,835,726.67","414,210,237.89","589,362,571.32","108,737,550.11"
投资活动产生的现金流量净额,"-200,183,432.83","-102,718,086.02","-71,212,354.60","-28,796,111.27","-28,462,499.72","-177,280,454.98","-218,072,107.16","-63,608,826.21","-117,813,131.44","-101,117,219.55","-145,076,704.28","-24,675,693.14","-155,853,918.90","-189,515,847.47","-316,867,841.34","-89,935,163.50"
购买商品、接受劳务支付的现金,"15,685,784.50","17,910,429.19","40,182,930.10","10,075,950.37","16,515,476.44","23,202,934.33","79,482,856.18","17,772,609.35","39,712,850.56","60,067,054.40","85,163,678.70","24,189,339.82","45,582,615.26","67,503,256.17","97,046,050.74","33,665,660.85"
吸收投资收到的现金,,,,,"387,507,400.00","387,507,400.00","387,507,400.00","1,200,000,000.00","1,200,000,000.00","2,160,000,000.00","2,160,000,000.00",,,,,"364,999,990.88"
