科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"153,116,641.81","219,238,700.48","185,153,758.50","246,310,679.72","31,485,734.70","74,751,567.83","142,878,268.23","247,255,460.72","46,203,463.64","108,222,786.79","205,125,929.01","417,445,269.73","56,933,296.59","200,667,619.22","371,610,634.01","665,088,034.69","138,834,346.96","306,579,854.45","496,358,912.50","1,023,069,902.40","177,856,260.66","379,866,195.78","583,389,023.86","1,186,644,496.20","231,983,662.83","525,200,576.30","894,180,230.06","1,676,615,031.46","389,116,836.48","820,601,736.19","1,335,448,101.00","2,448,219,642.11","413,246,789.95","968,680,017.39","1,601,213,909.50","2,963,058,965.15"
二、营业利润,"42,788,210.43","43,326,283.69","43,807,427.37","60,363,957.56","3,722,409.02","16,713,888.37","42,363,844.83","69,993,401.91","2,921,752.86","17,848,920.21","43,383,455.32","89,609,302.18","3,464,537.72","22,440,114.51","52,349,115.28","109,522,436.33","1,591,518.63","8,540,473.49","18,574,212.70","129,568,841.44","3,857,910.52","1,128,820.44","3,059,939.05","66,897,696.95","-28,538,741.50","-16,321,039.93","2,227,663.54","57,533,733.05","-8,803,153.75","5,423,699.54","23,594,957.44","112,661,445.84","-7,592,161.18","18,265,613.05","45,600,235.25","178,072,643.06"
减:营业成本,"91,617,608.48","139,399,242.85","101,309,272.00","131,517,235.55","14,269,063.94","32,260,113.15","56,940,116.28","100,207,293.77","19,078,868.56","44,954,720.80","92,418,077.27","218,228,276.00","24,405,397.13","116,649,843.28","219,983,658.88","398,363,796.47","96,552,476.28","210,609,060.53","335,779,487.79","687,354,284.51","120,037,319.87","272,054,133.69","407,537,508.43","882,913,913.01","199,309,267.11","416,037,141.74","703,773,707.53","1,345,551,580.25","326,744,610.28","664,854,182.17","1,087,386,828.04","2,011,566,159.42","327,935,618.47","783,350,487.39","1,295,469,950.93","2,383,331,832.34"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"-17,152.31","1,285,258.72","-257,190.93","273,499.89","402,166.95","1,731,826.30","2,676,402.64","3,432,074.21","337,590.06","659,088.97","-72,948.41","3,719,756.98","-495,946.45","-1,409,717.29","1,256,765.87","1,315,867.73","287,928.96","603,204.76","901,594.38","1,348,603.76","215,536.71","462,551.28","1,977,270.70","3,189,176.78","1,530,120.82","1,871,856.70","2,756,844.22","4,791,682.25","750,944.21","2,021,337.19","3,219,199.90","6,671,939.61","1,180,368.41","2,743,961.60","4,664,885.67","8,612,352.88"
营业外收入,"1,688,372.16","2,782,072.09","2,147,742.04","2,162,832.04","4,166.84","12,190.13","672,985.87","941,951.17","1,941.88","165,118.86","4,551,410.92","11,607,823.85","549,250.58","2,589,293.17","2,632,203.84","3,397,755.91","37,304.48","1,710,666.09","1,747,374.04","3,946,629.86","171,140.77","3,690,765.63","4,398,127.39","6,334,636.93","169,829.75","10,239,358.01","10,790,319.13","13,009,199.14","678,209.64","6,795,897.43","11,224,947.44","22,221,447.09","13,167,076.29","1,518,749.79","2,628,652.71","3,948,420.50"
销售费用,"1,334,140.14","2,001,822.02","4,331,869.27","7,026,724.54","2,254,708.27","4,596,234.43","7,696,980.92","10,901,740.28","5,235,505.99","10,675,869.88","16,724,668.46","24,760,955.62","6,183,731.49","12,847,715.43","21,381,647.58","35,263,180.97","11,275,301.39","23,242,490.47","35,144,836.72","49,350,821.94","13,509,964.94","27,170,059.66","41,812,986.02","61,721,035.92","14,890,810.64","31,602,529.25","47,949,559.18","66,585,399.47","17,474,150.67","35,205,321.71","56,099,354.17","79,298,085.92","25,492,714.00","55,091,179.10","81,066,683.96","112,609,037.95"
减:营业外支出,"123,346.86","238,329.74","30,433.60","38,168.28",,"10,967.93","215,399.68","246,333.00","49,136.28","128,539.41","177,031.11","248,705.59","55,636.98","83,632.67","174,036.22","406,249.08","13,746.68","890,808.94","954,548.45","1,040,235.61","21,281.60","52,078.94","75,936.17","111,769.76","171,276.94","180,778.88","205,060.10","354,458.64","20,590.13","21,866.13","23,402.84","446,525.81","47,525.52","47,525.52","50,095.40","112,270.78"
管理费用,"14,968,948.14","30,562,935.77","34,639,884.15","43,591,142.07","11,615,802.58","24,878,088.53","40,697,403.23","72,712,922.84","19,723,209.03","38,149,499.60","57,714,078.38","89,639,632.38","24,937,548.89","52,627,378.12","79,078,095.23","122,952,416.24","28,040,171.56","61,293,467.00","99,871,358.90","142,745,927.03","37,439,385.60","73,409,269.15","114,921,997.17","151,321,714.53","42,795,323.78","83,218,105.41","125,307,456.21","176,590,235.88","48,758,225.80","100,909,143.73","161,402,715.89","215,341,015.10","58,960,877.46","115,887,680.38","188,784,637.81","285,407,008.46"
其中:非流动资产处置净损失,,,,"8,168.28",,"10,967.93","27,225.42","58,158.74","48,638.43","117,827.87","167,031.11","238,705.59","22,164.77","42,015.37","132,418.92","364,119.33","13,746.68","50,333.94","119,548.45","153,426.32","19,540.80","52,078.94","74,761.03","110,594.62","43,823.49","53,325.43","57,482.83","226,804.99",590.11,"1,866.11","1,927.00","409,342.53","47,429.18","47,429.18","49,144.63",
