科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"274,563,173.16","637,425,488.22","1,157,112,136.40","704,899,233.92","475,414,416.60","1,114,821,607.54","1,688,851,576.66","1,451,905,321.53","1,381,354,640.66","1,269,578,560.95","1,635,311,187.85","1,378,213,903.28","1,227,889,442.30"
短期借款,"80,000,000.00","80,000,000.00","80,000,000.00","40,000,000.00","40,000,000.00","80,000,000.00","40,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00","40,000,000.00","40,000,000.00","80,000,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"4,191,260.00","5,188,871.19","4,670,759.03","1,520,759.03","889,738.74","11,377,652.93","42,620,000.00","36,378,724.00","3,155,024.93","2,000,000.00","3,262,329.00","2,564,792.00","5,792,452.98"
应付票据,"46,538,760.50","22,400,000.00","28,270,000.00","29,270,000.00","39,500,000.00","35,500,000.00","53,000,000.00","20,000,000.00","32,000,000.00","28,174,520.00","31,634,400.00","3,500,000.00","8,880,192.00"
应收账款,"149,440,652.50","155,745,611.04","156,755,690.30","150,273,868.16","333,705,727.87","295,440,398.04","166,494,819.89","165,573,238.32","332,431,901.05","224,651,955.41","119,699,106.97","158,448,694.26","439,991,141.77"
应付账款,"290,402,339.44","309,718,501.05","393,939,875.20","259,680,989.47","390,071,024.14","404,688,586.53","455,978,518.96","333,377,398.07","530,457,575.38","512,500,725.62","370,781,837.20","237,425,928.29","488,712,256.32"
预付款项,"48,786,157.59","93,604,154.33","90,423,546.65","154,834,599.37","170,785,098.53","196,398,750.72","161,176,444.42","275,310,174.49","203,569,595.16","209,326,935.33","69,520,590.68","162,252,314.63","108,748,727.37"
预收款项,"169,500,474.90","759,767,582.46","1,092,333,778.49","940,662,577.66","595,966,260.37","623,446,236.75","896,874,049.53","921,870,971.07","599,743,316.34","624,965,200.99","557,763,600.43","557,175,669.26","300,509,716.03"
其他应收款,"8,901,435.45","12,359,316.19","7,339,433.13","9,483,159.83","9,740,264.57","12,621,564.24","13,197,115.64","17,930,342.67","17,048,378.54","25,202,923.07","14,065,254.11","17,782,786.49","26,805,981.15"
应付职工薪酬,"5,223,696.00","5,223,696.00","5,223,696.00","6,748,686.28","7,666,471.87","7,710,239.94",,"2,544,231.18","3,161,150.68","3,317,258.08","33,680,236.00","3,327,709.86","2,903,043.62"
应收关联公司款,,,,,,,,,,,,,
应交税费,"-15,534,625.61","-4,220,341.49","9,750,681.58","-4,480,116.64","26,845,889.33","9,379,138.44","34,908,819.13","13,743,552.67","56,741,159.40","3,938,003.94","16,535,412.58","1,582,559.96","14,508,267.62"
应收利息,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"376,250,471.26","615,818,428.97","619,412,071.85","684,156,853.07","617,062,600.22","758,122,976.86","679,696,532.44","665,302,928.52","613,748,293.43","831,805,965.48","587,256,003.34","526,402,878.59","484,490,827.03"
其他应付款,"5,130,962.19","5,190,368.98","8,022,186.31","8,023,878.15","10,707,272.57","14,372,110.38","14,030,823.30","12,562,502.12","12,765,843.90","14,418,512.48","12,561,283.32","12,535,297.83","11,176,920.03"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,"40,000,000.00","40,000,000.00",
其他流动资产,,,,,,,"33,956,753.16","19,332,480.16","35,856,127.22","17,342,880.55","12,316,186.35","12,665,559.15","8,199,867.70"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"862,133,149.96","1,520,141,869.94","2,035,713,637.36","1,705,168,473.38","1,607,597,846.53","2,388,782,950.33","2,785,993,242.21","2,631,733,209.69","2,587,163,960.99","2,579,909,220.79","2,441,430,658.30","2,258,330,928.40","2,301,918,440.30"
流动负债合计,"581,261,607.42","1,178,079,807.00","1,617,540,217.58","1,279,906,014.92","1,110,756,918.28","1,175,096,312.04","1,494,792,210.92","1,344,098,655.11","1,314,869,045.70","1,267,314,221.11","1,102,956,769.53","895,547,165.20","906,690,395.62"
可供出售金融资产,"6,563,468.93","6,563,468.93","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87","2,209,853.87"
长期借款,,,,,,,"40,000,000.00","40,000,000.00",,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,
专项应付款,"46,127,417.84","23,416,024.41","18,875,612.18","18,875,612.18","19,715,612.18","20,054,078.52","19,984,364.00","19,984,364.00","19,984,364.00","19,984,364.00","2,347,300.00",,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"300,106,650.26","345,945,307.37","357,018,259.95","351,761,488.46","349,601,025.22","347,656,012.62","353,466,556.18","349,713,860.05","348,927,613.74","343,288,534.52","371,370,040.77","365,647,571.03","359,625,748.39"
递延所得税负债,,,,,,,,,,,,,
在建工程,"63,169,710.62","37,604,492.13","59,640,371.91","60,529,099.79","65,580,547.91","77,226,389.13","73,510,841.54","88,457,466.80","91,041,876.08","94,120,037.13","79,132,817.81","81,723,639.76","133,412,062.22"
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"70,496,617.84","51,835,962.41","47,295,550.18","47,295,550.18","48,135,550.18","48,474,016.52","115,847,903.24","115,705,803.55","75,563,703.86","77,464,404.17","59,685,240.48","57,195,840.79","57,053,741.10"
固定资产清理,,,,,,,,,"109,035.40",,,,
负债合计,"651,758,225.26","1,229,915,769.41","1,664,835,767.76","1,327,201,565.10","1,158,892,468.46","1,223,570,328.56","1,610,640,114.16","1,459,804,458.66","1,390,432,749.56","1,344,778,625.28","1,162,642,010.01","952,743,005.99","963,744,136.72"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"347,000,000.00","347,000,000.00","347,000,000.00","347,000,000.00","347,000,000.00","462,700,000.00","462,700,000.00","462,700,000.00","485,835,000.00","485,835,000.00","485,835,000.00","485,835,000.00","874,503,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"262,548,446.27","286,419,839.70","290,191,247.27","290,191,247.27","290,191,247.27","891,289,929.44","891,289,929.44","891,289,929.44","891,289,929.44","891,289,929.44","905,726,993.44","905,726,993.44","565,642,493.44"
无形资产,"114,035,316.13","116,281,146.51","116,837,993.80","115,892,620.78","114,947,250.85","113,981,877.67","154,158,085.02","153,001,472.53","203,155,457.18","204,616,537.10","208,883,756.76","207,647,327.53","205,890,274.07"
盈余公积,"18,549,329.92","29,649,831.22","40,854,646.88","40,854,646.88","43,936,308.92","43,936,308.92","56,548,423.53","56,548,423.53","56,548,423.53","56,548,423.53","75,651,809.41","75,651,809.41","75,651,809.41"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,
未分配利润,"73,098,210.48","143,099,033.91","239,510,113.07","241,572,391.98","310,423,046.37","318,678,119.54","378,842,336.03","383,086,409.84","438,402,001.60","466,314,130.39","510,962,937.33","530,265,878.69","561,012,852.66"
长期待摊费用,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,
递延所得税资产,"6,945,916.03","9,548,189.36","10,971,658.09","11,258,314.95","10,506,546.64","10,317,602.84","15,276,507.43","15,383,649.96","14,856,972.42","15,341,610.88","14,939,064.38","15,319,130.50","15,044,731.33"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,,,,,,,"15,377,612.28","12,894,005.78","14,998,979.60","5,189,472.75","22,708,680.27","19,235,453.20","22,167,641.92"
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"490,821,061.97","515,942,604.30","546,678,137.62","541,651,377.85","542,845,224.49","551,391,736.13","613,999,456.32","621,660,308.99","675,299,788.29","664,766,046.25","699,244,213.86","691,782,975.89","738,350,311.80"
所有者权益(或股东权益)合计,"701,195,986.67","806,168,704.83","917,556,007.22","919,618,286.13","991,550,602.56","1,716,604,357.90","1,789,352,584.37","1,793,589,060.02","1,872,030,999.72","1,899,896,641.76","1,978,032,862.15","1,997,370,898.30","2,076,524,615.38"
资产总计,"1,352,954,211.93","2,036,084,474.24","2,582,391,774.98","2,246,819,851.23","2,150,443,071.02","2,940,174,686.46","3,399,992,698.53","3,253,393,518.68","3,262,463,749.28","3,244,675,267.04","3,140,674,872.16","2,950,113,904.29","3,040,268,752.10"
负债和所有者(或股东权益)合计,"1,352,954,211.93","2,036,084,474.24","2,582,391,774.98","2,246,819,851.23","2,150,443,071.02","2,940,174,686.46","3,399,992,698.53","3,253,393,518.68","3,262,463,749.28","3,244,675,267.04","3,140,674,872.16","2,950,113,904.29","3,040,268,752.10"
