科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"265,410,355.42","286,624,990.28","302,313,767.39","152,022,718.86","221,135,341.07","303,449,215.37","90,946,975.78","174,916,622.27","267,221,693.93","392,347,203.53","131,863,393.81","266,408,892.42","383,323,948.85","496,919,808.63","125,437,103.98","252,073,135.62","371,601,190.85"
二、营业利润,"48,856,888.52","57,906,417.18","62,697,442.11","26,804,824.30","35,134,542.71","43,128,108.71","16,313,665.81","32,605,419.42","50,528,575.09","76,616,129.50","25,792,353.53","59,790,025.17","83,373,502.11","93,196,316.92","17,433,618.08","51,593,314.66","64,813,808.57"
减:营业成本,"178,101,839.35","182,339,081.78","186,163,604.48","93,591,201.90","137,594,257.71","190,556,527.01","56,873,897.26","105,315,302.99","154,618,245.24","224,598,804.32","72,245,134.44","143,485,624.62","209,067,915.31","274,491,935.94","78,312,155.06","145,753,031.22","226,367,820.75"
加:补贴收入,,,,,,,,,,,,,,,,,
营业税金及附加,"1,649,592.78","2,128,472.11","2,229,249.96","932,473.04","1,441,660.21","2,176,636.17","429,434.58","1,003,488.58","2,276,631.77","3,529,484.84","107,518.93","888,609.12","1,412,767.29","2,100,566.70","334,372.13","638,532.30","1,804,947.95"
营业外收入,"1,771,660.00","5,279,425.30","6,250,100.35","4,860,000.00","5,061,000.00","9,414,461.35","690,000.00","826,000.00","1,029,828.59","1,159,509.13","180,000.07","230,000.07","535,000.07","1,113,126.34","50,000.00",,
销售费用,"19,712,014.71","22,351,989.05","27,901,352.88","15,418,082.38","24,834,040.63","36,668,886.80","9,359,941.17","19,753,864.56","32,684,217.94","49,160,781.13","16,457,360.17","32,827,293.78","47,238,538.54","64,180,947.05","14,872,948.30","27,334,403.39","42,418,071.38"
减:营业外支出,"111,000.00","51,000.00","1,000.00",13.20,"429,642.26","284,280.88",12.88,38.00,38.00,"867,733.33","3,085.00","156,946.90","156,996.90","156,999.40",,"50,000.00","50,000.00"
管理费用,"15,455,637.45","20,244,718.67","20,185,983.78","11,804,542.04","18,901,924.43","28,549,249.97","6,627,056.45","15,406,286.86","29,023,315.01","41,329,480.19","11,343,677.05","23,852,478.65","36,355,159.77","48,916,499.96","10,999,536.60","23,964,097.45","40,199,909.80"
其中:非流动资产处置净损失,,,,,,"112,345.28",,,,"867,695.33",,"156,946.90","156,946.90","156,836.90",,,
堪探费用,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,
财务费用,"1,018,036.72","789,181.94","468,168.55","414,142.58","441,623.71","-2,100,482.07","-1,271,696.90","-2,903,206.10","-4,804,642.09","-9,215,778.99","3,618,419.50","2,371,895.26","836,011.58","5,044,410.26","96,892.63","1,526,369.81","-5,207,289.94"
三、利润总额,"50,517,548.52","63,134,842.48","68,946,542.46","31,664,811.10","39,765,900.45","52,258,289.18","17,003,652.93","33,431,381.42","51,558,365.68","76,907,905.30","25,969,268.60","59,863,078.34","83,751,505.28","94,152,443.86","17,483,618.08","51,543,314.66","64,763,808.57"
资产减值损失,"616,345.89","865,129.55","2,667,965.63","3,057,452.62","2,787,291.67","4,470,288.78","2,614,677.41","3,735,465.96","2,895,350.97","6,321,108.10","2,298,930.19","2,974,524.85","4,801,838.68","8,652,899.30","3,372,495.31","4,778,316.94","4,798,547.06"
减:所得税,"5,635,812.62","8,500,995.17","8,903,706.12","4,175,404.31","4,763,771.52","6,276,121.22","2,650,100.63","4,517,336.62","6,731,415.79","10,855,649.29","4,376,375.87","8,537,371.04","12,195,437.75","10,415,442.42","2,010,246.96","8,712,388.37","6,249,857.59"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,"-7,194.44",,"-218,440.97","-238,215.57","-336,232.50","-15,085.87","-38,069.85","-8,375.28"
四、净利润,"44,881,735.90","54,633,847.31","60,042,836.34","27,489,406.79","35,002,128.93","45,982,167.96","14,353,552.30","28,914,044.80","44,826,949.89","66,052,256.01","21,592,892.73","51,325,707.30","71,556,067.53","83,737,001.44","15,473,371.12","42,830,926.29","58,513,950.98"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,"-7,194.44",,"-218,440.97","-238,215.57","-336,232.50",,"-38,069.85","-8,375.28"
归属于母公司所有者的净利润,"44,881,735.90","54,633,847.31","60,064,775.41","27,500,944.76","35,038,846.29","46,055,181.29","14,373,243.01","28,966,731.63","44,970,065.79","63,585,882.59","17,012,281.98","43,598,440.41","60,958,299.32","85,312,853.52","15,935,285.55","43,883,640.58","60,939,600.12"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,
少数股东损益,,,"-21,939.07","-11,537.97","-36,717.36","-73,013.33","-19,690.71","-52,686.83","-143,115.90","2,466,373.42","4,580,610.75","7,727,266.89","10,597,768.21","-1,575,852.08","-461,914.43","-1,052,714.29","-2,425,649.14"
