科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"356,484,739.00","389,902,644.31","385,796,689.16","296,118,592.59","406,505,747.23","79,998,096.10","193,872,779.65","290,083,704.49","400,884,887.11","100,267,076.82","206,999,235.76","302,645,172.41","412,805,296.91","116,661,426.57","242,719,433.42","345,702,394.86","467,974,113.50","110,802,525.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,"2,410,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"18,126,903.58","14,157,137.10","9,146,772.99","7,622,624.66","9,805,147.06","510,754.01","3,809,205.66","6,294,111.34","8,756,478.95","1,492,714.33","3,472,030.43","4,768,940.52","8,867,712.21","2,620,532.00","5,054,081.12","7,250,334.63","13,056,061.59","614,401.72"
投资活动现金流出小计,"175,750,556.56","145,265,489.73","105,132,919.64","45,260,832.81","51,935,824.25","19,387,464.91","71,167,425.13","87,648,147.89","100,166,687.46","28,473,060.23","94,190,680.13","191,528,517.05","377,995,076.01","222,846,554.53","513,408,044.26","752,126,209.76","883,990,841.29","126,324,877.36"
经营活动现金流入小计,"374,611,642.58","404,059,781.41","394,943,462.15","303,741,217.25","416,310,894.29","80,508,850.11","197,681,985.31","296,377,815.83","409,641,366.06","101,759,791.15","210,471,266.19","307,414,112.93","421,673,009.12","119,281,958.57","247,773,514.54","352,952,729.49","481,030,175.09","111,416,927.05"
投资活动产生的现金流量净额,"-158,812,761.56","-144,862,557.01","-105,129,629.64","-45,127,154.81","-51,602,085.08","-19,374,874.91","-71,144,211.13","-87,324,858.03","-53,872,349.00","-28,448,361.23","-93,509,091.52","-130,162,935.25","-225,331,370.67","-41,513,347.49","-80,062,843.99","-137,699,907.58","-188,069,964.11","16,589,722.98"
购买商品、接受劳务支付的现金,"106,042,734.24","110,706,550.47","102,480,391.64","84,433,226.35","107,457,966.40","22,725,103.74","49,877,410.53","73,856,778.89","92,594,471.69","25,766,369.94","51,264,738.45","80,350,392.27","105,078,718.40","30,032,938.80","58,593,968.77","86,888,007.22","113,397,429.91","29,732,821.18"
吸收投资收到的现金,,,,,,"314,311,936.00","314,311,936.00","314,311,936.00","314,311,936.00",,,,,,,,,
支付给职工以及为职工支付的现金,"69,627,654.28","82,102,422.85","86,532,100.06","69,351,287.59","89,035,425.25","35,788,416.89","60,696,929.40","79,068,068.31","100,370,366.85","38,457,177.05","58,400,865.66","79,520,968.87","102,018,982.22","43,160,884.38","66,867,589.39","92,898,079.43","124,237,310.31","50,841,781.68"
取得借款收到的现金,"240,000,000.00","190,000,000.00","260,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,
支付的各项税费,"36,255,773.81","49,902,739.56","48,904,541.96","35,199,687.09","46,577,509.29","11,046,614.16","23,970,180.40","36,804,886.66","48,902,418.06","12,090,100.70","18,942,503.30","28,763,153.56","41,284,111.19","10,442,480.22","20,044,956.97","29,717,436.61","39,519,514.43","15,809,304.18"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"26,158,377.60","26,027,371.00","21,477,456.60","14,043,594.22","19,670,376.35","4,935,714.13","10,136,625.30","15,310,490.82","20,315,352.35","6,355,821.06","11,796,858.70","17,671,176.86","21,189,593.39","7,034,716.68","14,592,449.73","19,442,021.07","23,835,082.61","5,010,981.74"
筹资活动现金流入小计,"240,000,000.00","190,000,000.00","260,000,000.00","30,000,000.00","30,000,000.00","344,311,936.00","344,311,936.00","344,311,936.00","344,311,936.00",,,,,,,,,
经营活动现金流出小计,"238,084,539.93","268,739,083.88","259,394,490.26","203,027,795.25","262,741,277.29","74,495,848.92","144,681,145.63","205,040,224.68","262,182,608.95","82,669,468.75","140,404,966.11","206,305,691.56","269,571,405.20","90,671,020.08","160,098,964.86","228,945,544.33","300,989,337.26","101,394,888.78"
偿还债务支付的现金,"117,000,000.00","206,100,000.00","269,100,000.00","69,375,000.00","99,650,000.00","26,650,000.00","266,150,000.00","298,150,000.00","298,150,000.00",,,,,,,,,
经营活动产生的现金流量净额,"136,527,102.65","135,320,697.53","135,548,971.89","100,713,422.00","153,569,617.00","6,013,001.19","53,000,839.68","91,337,591.15","147,458,757.11","19,090,322.40","70,066,300.08","101,108,421.37","152,101,603.92","28,610,938.49","87,674,549.68","124,007,185.16","180,040,837.83","10,022,038.27"
分配股利、利润或偿还利息支付的现金,"28,028,440.33","34,195,250.40","31,516,163.08","24,984,478.75","29,196,102.82","4,042,670.26","5,121,275.07","18,538,985.07","18,538,985.07",,"14,388,400.00","14,388,400.00","14,388,400.00",,"15,495,200.00","15,495,200.00","15,495,200.00",
收回投资收到的现金,"16,915,000.00",,,,,,,,"45,000,000.00",,,"60,000,000.00","150,000,000.00","180,000,000.00","430,000,000.00","610,000,000.00","690,000,000.00","140,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"5,673,798.60","6,173,798.60","6,673,798.60",,,,,,,,,
取得投资收益收到的现金,,,,,,,,,"798,904.11",,,"446,705.48","1,123,787.65","1,274,833.79","3,212,681.97","4,149,312.11","5,510,175.12","2,738,868.49"
筹资活动现金流出小计,"145,028,440.33","240,295,250.40","300,616,163.08","94,359,478.75","128,846,102.82","30,692,670.26","276,945,073.67","322,862,783.67","323,362,783.67",,"14,388,400.00","14,388,400.00","14,388,400.00",,"15,495,200.00","15,495,200.00","15,495,200.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"22,795.00","402,932.72","3,290.00","133,678.00","333,739.17","12,590.00","23,214.00","323,289.86","70,542.76","24,699.00","36,519.00","36,519.00","240,561.48",,,,,
筹资活动产生的现金流量净额,"94,971,559.67","-50,295,250.40","-40,616,163.08","-64,359,478.75","-98,846,102.82","313,619,265.74","67,366,862.33","21,449,152.33","20,949,152.33",,"-14,388,400.00","-14,388,400.00","-14,388,400.00",,"-15,495,200.00","-15,495,200.00","-15,495,200.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-4,239.79","-2,506.94",-11.46,3.38,"-2,411.66",1.94,1.30,6.83,9.78,-0.72,-0.72,-0.72,-0.72,,,,,
收到其他与投资活动有关的现金,,,,,,,,,"424,891.59",,"645,069.61","882,357.32","1,299,356.21","58,373.25","132,518.30","276,990.07","410,702.06","175,731.85"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"16,937,795.00","402,932.72","3,290.00","133,678.00","333,739.17","12,590.00","23,214.00","323,289.86","46,294,338.46","24,699.00","681,588.61","61,365,581.80","152,663,705.34","181,333,207.04","433,345,200.27","614,426,302.18","695,920,877.18","142,914,600.34"
五、现金及现金等价物净增加额,"72,681,660.97","-59,839,616.82","-10,196,832.29","-8,773,208.18","3,119,017.44","300,257,393.96","49,223,492.18","25,461,892.28","114,535,570.22","-9,358,039.55","-37,831,192.16","-43,442,914.60","-87,618,167.47","-12,902,409.00","-7,883,494.31","-29,187,922.42","-23,524,326.28","26,611,761.25"
购建固定资产、无形资产和其他长期资产支付的现金,"175,750,556.56","145,265,489.73","105,132,919.64","45,260,832.81","51,935,824.25","19,387,464.91","26,167,425.13","42,648,147.89","52,756,687.46","28,473,060.23","34,190,680.13","41,528,517.05","47,995,076.01","22,846,554.53","33,408,044.26","45,891,109.76","57,755,741.29","36,324,877.36"
期初现金及现金等价物余额,"32,072,375.01","104,754,035.98","44,914,419.16","34,717,586.87","34,717,586.87","37,836,604.31","37,836,604.31","37,836,604.31","37,836,604.31","152,372,174.53","152,372,174.53","152,372,174.53","152,372,174.53","64,754,007.06","64,754,007.06","64,754,007.06","64,754,007.06","41,229,680.78"
投资支付的现金,,,,,,,"45,000,000.00","45,000,000.00","45,000,000.00",,"60,000,000.00","150,000,000.00","330,000,000.00","200,000,000.00","480,000,000.00","706,235,100.00","826,235,100.00","90,000,000.00"
期末现金及现金等价物余额,"104,754,035.98","44,914,419.16","34,717,586.87","25,944,378.69","37,836,604.31","338,093,998.27","87,060,096.49","63,298,496.59","152,372,174.53","143,014,134.98","114,540,982.37","108,929,259.93","64,754,007.06","51,851,598.06","56,870,512.75","35,566,084.64","41,229,680.78","67,841,442.03"
