科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"341,518,529.85","508,606,541.46","171,571,665.08","270,643,155.28","474,975,796.13","114,574,166.76","252,490,723.83","389,133,637.90","626,891,658.83","119,418,947.06","336,710,890.29","570,410,272.52","875,733,532.58","141,676,391.43","316,646,063.26","527,088,597.33","906,610,366.55","164,069,420.63","357,748,543.31","577,365,512.38","945,073,881.28","197,670,434.58","452,166,390.09","731,062,689.02","1,220,764,200.40","242,190,802.28","601,670,183.48","932,159,497.30","1,679,391,114.36","313,238,490.21","819,168,784.71","1,242,668,436.43","1,809,788,992.63","325,544,875.84","811,576,374.44","1,316,773,400.74","2,162,432,657.11","576,555,339.53","1,235,307,569.13","1,949,397,997.98","3,060,053,535.06","774,546,233.69"
取得子公司及其他营业单位支付的现金净额,"993,400.00",,,,,,,,,,,,,,,,,,,,,,"26,431,500.00","88,105,000.00","94,819,473.28",,,,,,,,,,"611,027,302.33","611,027,302.33","611,027,302.33",,,,"81,395,781.48",
收到的税费返还,"707,960.14","1,620,996.82","1,974,669.91","3,085,821.28","6,435,364.71","3,096,846.95","8,126,935.07","8,425,066.84","11,266,514.07","3,179,738.91","5,165,005.68","8,121,707.22","9,819,401.65","3,190,507.53","7,865,315.85","10,060,933.33","17,969,932.10","3,556,285.06","5,204,084.30","8,941,143.95","9,961,652.48","2,991,593.71","9,675,155.94","18,043,531.25","22,610,242.58","8,551,713.26","10,261,979.40","16,808,543.14","21,946,688.13","4,697,755.98","10,532,317.93","14,813,603.59","19,871,272.88","5,785,229.80","8,709,912.76","13,453,260.71","24,509,168.82","8,275,162.98","13,821,834.74","160,304,907.89","168,311,082.15","10,207,436.89"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"4,699.50","112,131.56","11,117.95","153,110.95","56,154,737.70","355,891.25",,,"21,962,895.55","26,401,409.40",,,,,,"170,829.57","2,788,849.92","3,655,887.06",,,,"28,294,328.76",
收到其他与经营活动有关的现金,"12,624,886.59","11,967,258.96","16,401,713.87","19,280,549.88","21,460,459.93","1,243,490.50","4,420,478.00","6,250,148.47","15,754,430.39","1,363,097.38","25,982,250.01","16,946,526.54","21,983,731.96","1,623,225.01","18,131,496.12","31,596,381.15","40,492,606.21","4,661,956.42","12,271,890.84","30,524,843.94","26,827,285.37","13,570,381.86","3,319,513.27","38,479,289.52","52,303,619.54","11,645,769.40","43,961,030.41","75,150,830.64","34,140,312.06","49,925,973.75","126,644,818.68","174,312,580.71","366,108,041.15","32,849,419.87","72,486,982.04","166,328,363.23","87,987,853.84","42,940,950.81","112,781,042.97","129,579,570.99","189,566,977.25","59,514,262.98"
投资活动现金流出小计,"23,667,061.69","15,338,143.83","13,147,773.85","20,115,537.55","24,815,631.68","3,075,456.99","14,267,704.64","68,589,169.78","88,052,909.11","12,627,601.40","31,089,682.76","58,287,376.70","112,769,669.78","27,388,400.75","51,110,085.44","74,885,949.76","86,887,363.94","300,506,816.85","518,567,508.23","699,575,422.94","1,138,394,459.30","331,250,637.40","455,820,804.01","608,052,811.42","692,231,485.93","84,589,899.06","184,357,822.40","397,212,424.18","805,869,808.58","175,792,638.62","1,105,184,881.29","2,285,532,925.24","5,816,371,369.28","3,372,452,771.94","5,495,323,064.23","6,091,231,258.42","8,275,970,220.69","2,703,403,754.18","5,284,216,430.18","6,171,583,100.59","6,672,052,881.58","272,023,730.28"
经营活动现金流入小计,"354,851,376.58","522,194,797.24","189,948,048.86","293,009,526.44","502,871,620.77","118,914,504.21","265,038,136.90","403,808,853.21","653,912,603.29","123,961,783.35","367,858,145.98","595,478,506.28","907,536,666.19","146,490,123.97","342,642,875.23","568,745,911.81","965,072,904.86","172,287,662.11","375,224,518.45","616,831,500.27","981,862,819.13","214,232,410.15","465,161,059.30","787,585,509.79","1,295,678,062.52","262,388,284.94","655,893,193.29","1,024,118,871.08","1,735,478,114.55","367,862,219.94","956,345,921.32","1,431,794,620.73","2,195,768,306.66","364,179,525.51","892,773,269.24","1,496,555,024.68","2,274,929,679.77","627,771,453.32","1,361,910,446.84","2,239,282,476.86","3,417,931,594.46","844,267,933.56"
投资活动产生的现金流量净额,"-23,667,061.69","-15,307,143.83","-13,098,073.85","-19,958,337.55","-24,571,827.68","-3,075,456.99","-14,230,704.64","-68,472,633.09","-87,426,834.34","-12,627,601.40","-31,039,682.76","-58,187,376.70","-112,590,139.78","-27,208,400.75","-50,930,085.44","-74,705,949.76","-86,707,363.94","-203,557,468.90","-239,791,137.00","-249,677,605.00","-284,017,108.36","77,404,968.49","41,463,909.05","-101,559,459.99","-149,200,281.37","-41,992,144.41","-74,413,616.76","-228,912,260.30","-610,906,191.76","-132,783,174.39","-962,130,806.80","-1,188,448,298.56","-1,033,599,425.26","-412,051,208.44","-475,715,673.85","-594,350,789.48","-822,347,332.05","-277,628,030.49","-274,437,427.26","-489,539,194.00","-761,644,377.63","-236,575,730.41"
购买商品、接受劳务支付的现金,"224,718,605.12","295,939,035.66","116,762,933.20","185,662,191.97","283,474,980.10","93,387,829.95","190,334,298.18","273,585,535.28","364,181,510.85","144,769,489.85","316,610,621.30","439,550,891.03","613,850,831.45","131,513,320.16","237,396,426.94","344,455,284.85","480,954,045.59","169,828,332.29","330,267,174.22","465,201,963.73","595,693,512.51","199,104,868.38","372,745,684.34","543,181,371.40","764,220,877.41","213,082,131.22","424,680,387.95","677,937,039.02","892,154,106.33","314,636,852.56","697,707,446.82","977,301,908.76","1,198,716,849.18","258,475,415.64","611,033,857.74","932,133,927.87","1,320,892,117.05","444,397,585.10","977,665,864.37","1,408,238,401.63","2,114,456,757.75","540,078,768.72"
吸收投资收到的现金,"17,014,400.00",,,,,"505,693,466.45","505,693,466.45","505,693,466.45","516,325,000.00",,,,"43,297,800.00",,,,,,,,"2,000,000.00",,,,"42,335,200.00","2,450,000.00","6,990,000.00","39,390,000.00","42,612,618.00","2,958,995.10","1,636,612,746.43","1,636,911,992.68","1,640,360,968.80","719,946.05","2,155,504.00","134,299,604.00","158,373,682.00","2,963,700.00","7,963,700.00","2,963,700.00","5,966,702.60",
