科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
货币资金,"561,948,471.54","519,972,148.47","436,748,612.11","482,906,907.48","494,314,583.01","470,132,041.59","625,222,721.21","642,077,320.75","619,944,351.46","629,780,463.49","650,344,732.84","673,456,929.38","653,710,111.26","652,989,511.94","722,812,340.81","771,617,723.10","709,956,291.40","708,648,678.28","1,712,193,395.40","1,410,301,823.33","1,434,957,008.07","1,368,060,967.47","865,509,996.87","796,044,248.77","949,201,013.65"
短期借款,,,"400,000,000.00","450,000,000.00","450,000,000.00","450,000,000.00","450,000,000.00","400,000,000.00","500,000,000.00","600,000,000.00","1,030,000,000.00","1,029,914,284.84","829,914,284.84","979,914,284.84","979,914,284.84","979,914,233.24","979,914,233.24",,"420,000,000.00","450,000,000.00","450,000,000.00","450,000,000.00","590,000,000.00","524,000,000.00","474,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,"164,758,741.00","137,006,715.00","556,324,137.00","472,158,152.00","478,742,596.00","594,554,452.00","459,051,417.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"10,200,000.00","33,900,000.00","24,200,000.00","53,080,000.00","104,730,000.00","70,050,000.00","1,980,000.00","42,555,796.69","18,647,119.16","89,636,237.01","51,685,527.68","27,683,547.00","28,772,224.00","50,992,480.31","106,561,028.46",,"10,436,911.09","32,400,000.00","18,100,000.00","13,000,000.00",,"147,700,000.00","141,800,000.00"
应付票据,,,,,,,"246,100,000.00","285,710,000.00","95,710,000.00","14,610,000.00",,,,,,,,,"9,791,000.00","14,978,280.00","5,187,280.00",,,,
应收账款,"1,526,298.02","1,935,386.24","61,164,200.65","210,497,005.33","112,308,906.62","89,173,741.72","109,281,191.27","368,922,918.30","367,461,452.12","316,717,182.62","291,048,141.30","108,825,072.67","83,484,429.92","119,158,205.80","67,439,929.29","52,915,690.06","26,813,079.45","48,264,367.55","942,060,805.49","774,147,730.59","865,361,788.13","1,074,552,105.25","1,584,767,699.52","713,056,309.44","767,625,893.83"
应付账款,"7,349,183.86","7,034,757.97","182,262,657.26","656,953,756.34","450,352,221.28","700,270,197.39","616,435,478.64","632,832,757.32","669,069,223.57","665,700,011.49","520,926,236.77","352,640,705.41","507,482,950.45","448,147,178.09","412,328,648.52","417,482,658.22","393,295,742.30","22,218,428.06","774,365,030.29","928,282,094.54","733,284,435.12","870,003,614.78","735,639,435.27","789,703,178.64","621,312,036.57"
预付款项,"1,081,100.85","4,468,559.06","19,533,040.04","51,187,715.46","42,063,226.23","92,336,484.12","115,126,553.68","9,766,830.82","8,124,567.93","7,720,731.41","7,174,396.69","23,346,856.18","25,168,690.00","36,490,968.26","41,888,585.97","24,438,148.12","30,344,524.84","19,168,138.00","340,938,003.19","477,005,877.21","195,944,866.58","368,630,391.03","156,431,591.18","233,900,372.47","145,340,882.82"
预收款项,"2,605,134.89","2,629,553.73","2,998,264.61","5,454,558.62","7,992,151.67","7,436,755.08","6,528,057.02","5,859,461.69","22,550,642.11","4,742,620.00","551,620.00","9,484,026.85","14,965,471.13","9,033,207.69","35,172,237.24","489,067.85","15,008,517.05","1,620.00","63,749.51","62,129.51","12,129.51","1,212,129.51",,"337,500.00","19,495,136.66"
其他应收款,"2,900,867.90","2,969,867.90","4,655,324.23","4,218,870.24","4,085,839.94","3,539,561.65","4,155,167.33","3,213,488.05","3,362,488.05","3,684,520.03","3,721,708.03","493,764.56","813,558.46","986,569.19","893,381.70","1,193,224.52","1,029,318.55","26,159,606.26","20,377,253.06","36,216,085.54","45,165,826.76","42,179,848.23","63,789,205.41","50,078,930.76","44,130,763.24"
应付职工薪酬,"946,194.38","6,893,898.36","7,652,824.54","7,399,931.34","1,448,887.35","8,073,411.97","10,432,802.11","9,161,615.03","10,340,109.36","9,757,725.28","9,979,422.18","10,613,825.52","10,172,771.71","9,907,117.54","10,859,567.87","10,111,190.77","10,131,131.55","9,113,854.05","26,648,357.60","15,833,448.72","22,780,719.99","30,104,777.29","26,739,642.51","17,313,414.02","24,939,248.19"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,862,403.91","6,036,210.20","22,760,942.59","40,342,369.87","14,391,325.94","4,819,516.06","14,495,391.43","29,747,464.74","7,228,371.11","6,900,168.87","11,403,564.20","22,206,918.53","13,143,328.52","-6,167,346.24","-5,341,572.14","13,811,475.35","-2,655,105.16","13,518,625.71","-125,462,201.62","-145,369,798.25","-101,982,417.37","-95,664,471.00","-89,477,723.07","-157,883,733.45","-157,889,661.98"
应收利息,,,,,,,,,,,,,,,,"4,553,450.00","790,399.55",,,"7,566,972.22","148,425.75","2,960,833.33",,,
应付利息,"68,250.00",,,,,,,,,,,,,,,,,,"7,921,187.71","25,454,209.37","27,162,203.23","45,147,130.27","21,154,595.49","27,730,416.43","25,123,589.59"
应收股利,,,,,,,,,,,,,,,,"8,834,850.00","8,834,850.00","8,834,850.00","8,834,850.00","8,834,850.00","8,834,850.00","8,834,850.00","8,834,850.00","8,834,850.00","8,834,850.00"
应付股利,,,,,,,,"68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","68,250.00","174,510,425.31","68,250.00","68,250.00","447,051,060.07","398,931,135.00","298,931,135.00"
存货,"320,025.01","314,727.86","149,032,112.39","123,150,485.74","190,454,421.33","192,549,109.35","202,987,692.55","142,571,598.49","143,937,815.83","144,658,843.83","133,888,297.16","147,796,048.88","199,030,233.19","195,683,403.16","155,100,304.46","152,663,720.55","143,059,666.78","4,327,670.14","250,167,531.94","320,051,218.22","342,475,801.17","358,591,347.73","650,466,217.46","374,397,574.28","329,642,817.97"
其他应付款,"25,250,995.54","127,551,338.61","347,845,740.64","358,968,177.67","349,381,059.94","337,234,770.34","335,427,808.49","319,872,939.81","328,903,270.11","330,624,656.12","41,960,200.19","60,328,126.31","71,426,257.12","84,535,981.99","94,395,113.12","87,238,515.10","98,062,656.51","12,867,077.33","272,739,140.60","250,795,289.88","270,288,999.90","250,811,191.28","286,236,216.13","48,620,906.12","72,348,428.77"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,"765,949,659.84","1,020,242,090.36","1,010,242,090.36","1,006,464,933.72","873,542,090.36","570,434,035.22","557,934,035.22"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,"842,416.55","842,416.55"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"567,776,763.32","529,660,689.53","681,333,289.42","905,860,984.25","867,426,977.13","900,810,938.43","1,161,503,326.04","1,236,602,156.41","1,144,810,675.39","1,145,117,538.07","1,104,824,395.18","1,043,554,908.68","1,013,892,550.51","1,032,992,205.35","1,016,906,766.23","1,067,209,286.66","1,027,389,159.03","815,403,310.23","3,449,767,491.17","3,203,531,272.11","3,467,312,703.46","3,708,968,495.04","3,808,542,156.44","2,919,409,154.27","2,846,470,055.06"
流动负债合计,"45,082,162.58","150,145,758.87","963,520,429.64","1,519,118,793.84","1,273,565,646.18","1,507,834,650.84","1,679,419,537.69","1,683,252,488.59","1,633,869,866.26","1,632,403,431.76","1,614,889,293.34","1,485,256,137.46","1,447,173,313.77","1,525,438,673.91","1,527,396,529.45","1,509,115,390.53","1,493,825,425.49","57,787,855.15","2,152,084,173.93","2,734,788,169.44","2,417,043,690.74","2,558,147,555.85","2,890,885,316.76","2,219,186,851.98","1,936,193,948.02"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,"6,082,660,344.38","5,370,323,788.63","5,136,026,190.69","5,060,888,510.96","5,173,281,032.97","5,195,555,903.73","4,952,669,925.88"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,"600,000,000.00","600,000,000.00","600,000,000.00","600,000,000.00","600,000,000.00","600,000,000.00","600,000,000.00"
长期股权投资,"40,437,485.89","87,696,122.22","35,575,312.25","35,543,163.95","35,075,016.14","35,447,031.66","35,445,302.60","41,210,995.53","36,576,923.45","36,129,714.03","35,694,262.89","44,825,299.32","23,964,961.30","23,964,961.30","23,964,961.30","21,095,482.82","21,095,482.82","21,095,482.82","21,095,482.82","25,176,448.26","25,176,448.26","25,176,448.26","25,176,448.26","16,222,166.04","16,222,166.04"
专项应付款,,,"646,005.00",,,,,,,,"12,200.00",,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,"8,767,974.43","8,684,806.81","8,601,639.19","8,518,471.57","8,435,303.95","8,352,136.33","8,268,968.71"
预计负债,"13,499,287.97","13,499,287.97","13,499,287.97","13,499,287.97","13,499,287.97","13,499,287.97","13,499,287.97",,,,,,,,,,,,,,,,,,
固定资产,"30,773,142.48","28,413,491.14","51,339,753.56","1,213,121,512.18","975,053,330.79","1,149,176,497.42","1,128,884,328.68","1,082,077,410.15","1,037,539,816.10","1,018,331,394.20","1,000,324,456.46","1,002,347,177.63","987,876,994.01","968,876,343.15","951,330,013.15","919,354,148.54","902,215,028.23","19,530,766.52","9,845,288,147.80","9,738,389,401.84","9,613,490,384.38","9,439,825,804.38","9,268,687,920.28","9,145,567,147.97","8,976,161,962.18"
递延所得税负债,"13,344.09","50,427.78","50,427.78","560,790.99","560,790.99","274,257.91","274,257.91","893,715.16","893,715.16","893,715.16","893,715.16",,,,,,,,"51,104,621.68","43,909,995.30","148,739,350.80","127,193,581.42","129,343,965.55","157,288,383.28","123,412,624.53"
在建工程,,,"711,459,368.76",,,,,,"42,666,643.24","46,196,111.66","52,338,061.38",,,,,,,,"154,969,238.27","157,200,371.94","161,918,049.49","180,410,102.06","219,178,700.91","407,984,298.16","443,018,022.80"
其他非流动负债,,,,,,,,,,,,,,,,,,,,"4,300,000.00","4,300,000.00","4,300,000.00","4,300,000.00","4,300,000.00","4,300,000.00"
工程物资,,,"131,851,427.67","19,987,684.95","20,432,357.75","23,158,609.08","24,684,394.95",,"24,563,962.76","24,564,332.76","24,936,388.69",,,,,,,,,,,,,,
