科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"74,716,033.62","98,726,534.50","134,165,486.50","70,945,077.02","106,080,834.99","200,436,534.98","45,854,603.57","88,529,031.95","149,396,151.87","222,864,974.81","48,128,757.92","96,903,573.88","145,601,193.89","213,490,003.53","68,346,091.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"2,074,738.00","2,074,738.00",,,,,"3,346,857.61"
收到的税费返还,"6,942,503.38","8,012,567.55","8,834,737.25","2,597,142.82","4,249,308.55","10,529,205.41","5,037,987.70","5,778,528.97","8,351,832.12","14,307,925.81","4,443,431.75","6,365,317.31","11,509,144.73","16,268,269.34","4,183,753.78"
支付其他与投资活动有关的现金,,,"233,434.59",,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,857,142.17","5,298,531.37","4,883,226.57","626,653.43","4,244,320.24","5,103,453.70","1,110,618.06","2,785,063.44","6,559,765.63","3,254,871.58","4,262,905.02","4,400,673.10","6,963,314.69","6,020,754.54","1,354,156.65"
投资活动现金流出小计,"3,696,920.08","1,651,134.95","6,901,386.20","6,695,963.65","7,328,128.82","8,582,162.84","80,416,475.94","174,319,730.44","318,205,896.83","329,016,276.75","139,419,478.14","30,914,304.11","122,266,776.08","107,197,161.09","61,221,552.63"
经营活动现金流入小计,"87,515,679.17","112,037,633.42","147,883,450.32","74,168,873.27","114,574,463.78","216,069,194.09","52,003,209.33","97,092,624.36","164,307,749.62","240,427,772.20","56,835,094.69","107,669,564.29","164,073,653.31","235,779,027.41","73,884,001.83"
投资活动产生的现金流量净额,"-1,084,940.54","-1,651,134.95","-6,901,386.20","-6,185,963.65","-6,818,128.82","-8,070,362.84","-80,416,475.94","-133,966,853.73","-146,549,572.18","-324,709,599.14","72,219,508.16","102,927,993.31","32,496,459.67","189,115,978.88","-57,549,334.43"
购买商品、接受劳务支付的现金,"27,924,186.57","37,657,072.96","54,105,905.86","22,490,895.01","47,641,018.21","62,317,934.64","13,445,410.30","28,051,763.96","44,635,109.72","61,493,167.76","13,626,063.12","23,156,255.50","39,764,906.04","65,807,636.97","23,577,743.82"
吸收投资收到的现金,,,,,,,"184,000,000.00","184,000,000.00","184,000,000.00","203,681,640.00",,,"1,100,800.00","1,100,800.00",
支付给职工以及为职工支付的现金,"17,030,550.88","28,037,611.94","37,432,343.20","25,485,605.85","38,370,827.97","43,067,488.45","20,174,934.96","32,701,228.43","46,645,580.36","61,706,384.28","25,537,743.83","43,994,334.09","63,707,410.58","84,912,875.92","34,614,793.03"
取得借款收到的现金,,,,,,,,,,,,,,,
支付的各项税费,"16,388,458.63","16,883,007.82","25,890,470.80","10,244,603.36","18,163,801.80","31,571,954.35","8,122,463.11","10,626,136.85","18,761,848.81","31,956,455.73","10,564,787.03","16,613,592.11","24,067,530.16","36,515,790.48","10,499,096.17"
收到其他与筹资活动有关的现金,,,,,,,,"207,939.70","491,179.36",,,,,,
支付其他与经营活动有关的现金,"19,732,668.64","18,039,580.68","24,143,955.66","10,786,386.50","19,898,723.88","29,933,397.17","13,816,864.55","15,174,941.22","27,501,458.52","35,044,796.51","7,107,300.77","13,162,737.19","23,014,034.86","27,087,964.55","17,054,791.90"
筹资活动现金流入小计,,,,,,,"184,000,000.00","184,207,939.70","184,491,179.36","203,681,640.00",,,"1,100,800.00","1,100,800.00",
经营活动现金流出小计,"81,075,864.72","100,617,273.40","141,572,675.52","69,007,490.72","124,074,371.86","166,890,774.61","55,559,672.92","86,554,070.46","137,543,997.41","190,200,804.28","56,835,894.75","96,926,918.89","150,553,881.64","214,324,267.92","85,746,424.92"
偿还债务支付的现金,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"6,439,814.45","11,420,360.02","6,310,774.80","5,161,382.55","-9,499,908.08","49,178,419.48","-3,556,463.59","10,538,553.90","26,763,752.21","50,226,967.92",-800.06,"10,742,645.40","13,519,771.67","21,454,759.49","-11,862,423.09"
分配股利、利润或偿还利息支付的现金,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",,"24,193,125.00","25,225,500.00","25,225,500.00","8,120.00"
收回投资收到的现金,"1,000,000.00",,,,,,,"40,000,000.00","170,000,000.00",,"210,000,000.00","130,000,000.00","150,000,000.00","290,000,000.00",
支付其他与筹资活动有关的现金,,,,,,,"5,965,833.00","7,715,833.00","8,072,292.32","7,533,469.68",,,"5,080.00","4,031,094.63","27,848,512.88"
取得投资收益收到的现金,"1,581,953.54",,,,,,,"352,876.71","1,656,324.65","4,305,977.61","1,638,986.30","3,840,703.42","4,761,243.75","6,307,775.07",
筹资活动现金流出小计,,,,,,,"5,965,833.00","27,715,833.00","28,072,292.32","27,533,469.68",,"24,193,125.00","25,230,580.00","29,256,594.63","27,856,632.88"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"1,800.00",,,,700.00,,"1,594.00","1,992.00","5,364.90",80.42
筹资活动产生的现金流量净额,,,,,,,"178,034,167.00","156,492,106.70","156,418,887.04","176,148,170.32",,"-24,193,125.00","-24,129,780.00","-28,155,794.63","-27,856,632.88"
处置子公司及其他营业单位收到的现金净额,"30,026.00",,,"510,000.00","510,000.00","510,000.00",,,,,,,,,
四、汇率变动对现金的影响,,"-9,505.90","2,201.31","1,531.51","2,507.96","1,984.66",-250.38,"-8,911.18","-18,323.76","-25,362.75","-16,869.13","5,650.41","231,372.08","194,286.43","-119,641.22"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"3,672,137.78"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,611,979.54",,,"510,000.00","510,000.00","511,800.00",,"40,352,876.71","171,656,324.65","4,306,677.61","211,638,986.30","133,842,297.42","154,763,235.75","296,313,139.97","3,672,218.20"
五、现金及现金等价物净增加额,"5,354,873.91","9,759,719.17","-588,410.09","-1,023,049.59","-16,315,528.94","41,110,041.30","94,060,977.09","33,054,895.69","36,614,743.31","-98,359,823.65","72,201,838.97","89,483,164.12","22,117,823.42","182,609,230.17","-97,388,031.62"
购建固定资产、无形资产和其他长期资产支付的现金,"3,696,920.08","1,651,134.95","2,167,951.61","445,963.65","537,128.82","1,791,162.84","416,475.94","1,319,730.44","1,631,198.93","2,441,578.85","139,478.14","1,634,304.11","72,986,776.08","77,917,161.09","50,374,695.02"
期初现金及现金等价物余额,"78,192,592.76","83,547,466.67","93,307,185.84","92,718,775.75","92,718,775.75","92,718,775.75","133,828,817.05","133,828,817.05","133,828,817.05","133,828,817.05","35,468,993.40","35,468,993.40","35,468,993.40","35,468,993.40","218,078,223.57"
投资支付的现金,,,"4,500,000.00","6,250,000.00","6,791,000.00","6,791,000.00","80,000,000.00","173,000,000.00","314,499,959.90","324,499,959.90","139,280,000.00","29,280,000.00","49,280,000.00","29,280,000.00","7,500,000.00"
期末现金及现金等价物余额,"83,547,466.67","93,307,185.84","92,718,775.75","91,695,726.16","76,403,246.81","133,828,817.05","227,889,794.14","166,883,712.74","170,443,560.36","35,468,993.40","107,670,832.37","124,952,157.52","57,586,816.82","218,078,223.57","120,690,191.95"
