科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"998,635,973.94","1,175,368,258.05","1,453,260,717.61","583,637,836.07","955,544,499.73","1,286,843,283.77","430,600,913.26","740,088,689.28","1,150,299,188.87","1,411,814,455.08","345,021,712.14","619,608,805.33","959,970,586.75","1,165,309,883.91","370,799,990.56","696,124,798.09","1,083,778,154.47","1,423,057,280.40","311,147,086.94","621,859,323.09"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"122,633,698.03","122,633,698.03","26,552,232.13",,,,,,,,,,
收到的税费返还,"20,391,801.11","26,691,896.93","33,539,461.44","28,996,944.01","30,078,414.35","45,285,187.60","20,058,588.58","32,488,751.74","47,221,942.10","65,841,142.20","21,395,300.86","36,572,662.91","61,253,887.64","71,768,643.70","15,951,519.33","31,192,595.04","51,013,604.88","63,191,335.83","11,859,278.67","28,008,023.40"
支付其他与投资活动有关的现金,,,,,,"100,000,000.00",,,,"825,000,000.00",,,,"655,000,000.00",,,,,,
收到其他与经营活动有关的现金,"58,847,500.66","68,737,624.43","62,576,711.24","50,466,894.80","59,528,776.27","63,230,440.61","81,631,663.42","91,441,779.36","97,710,163.70","75,426,949.61","97,029,413.71","103,069,419.47","109,527,778.81","106,622,679.39","36,723,325.25","55,969,767.35","61,580,173.39","39,516,116.35","111,192,864.87","133,596,556.06"
投资活动现金流出小计,"201,629,599.84","159,402,777.81","148,623,618.10","145,129,205.95","200,038,579.23","359,230,698.37","213,061,536.37","465,537,274.63","549,530,291.03","1,151,755,903.98","662,104,079.00","786,252,995.32","833,839,903.48","814,019,991.75","74,380,115.56","105,621,955.20","126,413,030.85","163,891,366.89","27,599,994.96","51,919,561.65"
经营活动现金流入小计,"1,077,875,275.71","1,270,797,779.41","1,549,376,890.29","663,101,674.88","1,045,151,690.35","1,395,358,911.98","532,291,165.26","864,019,220.38","1,295,231,294.67","1,553,082,546.89","463,446,426.71","759,250,887.71","1,130,752,253.20","1,343,701,207.00","423,474,835.14","783,287,160.48","1,196,371,932.74","1,525,764,732.58","434,199,230.48","783,463,902.55"
投资活动产生的现金流量净额,"-196,147,509.35","-156,692,200.39","-134,673,012.14","-115,451,812.69","-165,128,198.73","-307,328,350.04","-111,755,672.31","-117,210,014.64","-200,532,170.28","-651,311,021.33","-59,646,140.84","267,411,437.37","269,817,688.29","301,053,856.87","-74,380,115.56","-105,509,464.53","-126,163,845.35","-132,205,103.49","-27,240,354.96","-51,065,860.15"
购买商品、接受劳务支付的现金,"671,494,392.63","769,970,279.58","974,142,846.19","386,399,756.53","623,686,790.07","991,313,210.07","214,348,881.30","481,149,882.80","731,375,852.01","894,235,347.68","155,473,140.01","430,967,008.12","607,842,577.53","709,927,274.90","170,366,751.34","347,066,159.35","553,607,804.17","711,740,836.57","200,973,267.94","328,877,474.48"
吸收投资收到的现金,,,,,"752,665,904.85","771,173,088.00",,,,"783,499,974.00",,,"6,556,984.00","6,522,064.29",,"36,378,000.00","36,378,000.00","36,378,000.00",,
支付给职工以及为职工支付的现金,"126,262,667.34","141,137,308.48","180,554,521.65","96,763,752.91","136,633,281.02","192,762,244.58","63,720,339.96","120,465,987.90","169,743,545.16","245,305,034.87","77,602,347.36","138,083,247.59","198,477,741.10","263,530,390.70","82,125,252.19","144,949,162.00","206,773,300.95","275,815,775.83","84,709,156.39","149,213,628.35"
取得借款收到的现金,"380,695,513.30","406,619,443.00","591,354,446.96","506,446,180.00","666,712,180.00","746,097,580.00","67,200,000.00","377,662,100.00","624,387,781.80","602,935,400.00","40,000,000.00","99,375,500.00","419,375,500.00","419,375,500.00","91,139,600.00","448,375,600.00","463,375,600.00","448,833,200.00","223,507,280.00","723,507,280.00"
支付的各项税费,"37,682,937.63","72,010,325.81","67,142,210.82","26,642,200.46","44,192,997.19","58,241,221.23","12,519,323.48","29,102,377.23","51,469,847.54","54,873,100.96","23,906,788.51","56,016,097.87","79,569,730.70","83,116,792.93","16,466,487.29","52,118,398.59","68,793,240.74","94,211,198.67","23,450,364.80","66,666,632.29"
收到其他与筹资活动有关的现金,"17,737,040.00",,,,"18,507,183.15",,,,,"18,357,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"131,428,528.95","133,398,174.96","123,676,158.23","92,027,283.93","134,618,069.69","142,874,572.02","53,689,173.94","83,709,220.10","136,683,700.12","218,143,393.74","86,393,457.46","81,038,066.76","96,551,453.05","150,480,314.91","86,381,654.04","145,474,580.97","198,160,718.55","199,795,638.04","116,979,630.04","138,158,084.30"
筹资活动现金流入小计,"398,432,553.30","406,619,443.00","591,354,446.96","506,446,180.00","1,437,885,268.00","1,517,270,668.00","67,200,000.00","377,662,100.00","624,387,781.80","1,404,792,374.00","40,000,000.00","99,375,500.00","425,932,484.00","425,897,564.29","91,139,600.00","484,753,600.00","499,753,600.00","485,211,200.00","223,507,280.00","723,507,280.00"
经营活动现金流出小计,"966,868,526.55","1,116,516,088.83","1,345,515,736.89","601,832,993.83","939,131,137.97","1,385,191,247.90","344,277,718.68","714,427,468.03","1,089,272,944.83","1,412,556,877.25","343,375,733.34","706,104,420.34","982,441,502.38","1,207,054,773.44","355,340,144.86","689,608,300.91","1,027,335,064.41","1,281,563,449.11","426,112,419.17","682,915,819.42"
