科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"89,093,254.29","144,650,459.17","174,212,168.48","203,047,982.13","216,499,589.68","963,847,745.43","166,242,439.53","378,344,309.95","373,153,405.37","611,036,468.52","1,389,962,807.55","629,183,325.96"
短期借款,"220,490,493.69","121,459,662.13","257,717,095.23","288,619,126.12","302,018,588.36","278,044,810.01","137,543,381.66","290,962,703.65","417,579,088.94","547,325,426.04","641,295,179.34","486,493,888.17"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"4,501,795.82","4,040,149.17","4,036,302.75","6,104,593.96","2,998,957.27","6,158,228.08","6,907,047.05","9,306,422.00","6,182,329.44","11,051,477.11","12,287,431.95","18,750,591.19"
应付票据,"19,412,942.81","56,769,955.24","89,664,162.65","114,899,120.83","110,951,143.16","124,026,226.39","114,463,052.78","105,431,586.11","126,178,070.64","129,261,461.44","126,532,952.78","98,809,000.41"
应收账款,"240,411,302.65","318,245,284.97","363,230,566.12","385,961,550.79","470,836,724.01","499,620,374.20","514,236,006.44","566,228,143.85","639,792,634.45","656,884,870.69","651,706,244.88","681,196,892.05"
应付账款,"302,750,195.85","279,899,010.53","359,013,609.44","417,048,992.28","473,611,831.35","587,861,584.37","640,883,256.87","673,980,525.01","679,110,673.25","737,385,419.99","771,165,972.88","726,463,906.27"
预付款项,"1,332,273.49","1,712,823.75","2,779,307.07","3,137,547.69","6,732,489.44","12,136,073.92","4,174,610.32","1,482,718.39","723,652.12","4,959,565.19","5,142,593.16","1,904,703.01"
预收款项,"1,943,944.30","1,757,563.37","1,781,491.93","1,463,843.84","1,995,512.57","4,247,080.23","1,936,116.55","4,458,533.49","6,460,560.31","3,759,295.11","6,108,033.87","8,871,414.08"
其他应收款,"6,118,676.25","5,873,596.31","10,938,906.79","11,768,528.28","13,168,854.62","9,505,711.02","11,807,316.06","11,630,254.80","17,592,715.26","53,402,156.22","11,345,884.34","21,751,560.46"
应付职工薪酬,"18,247,486.27","40,522,034.04","46,812,457.06","32,566,270.91","38,712,624.39","50,065,518.29","68,703,909.26","35,925,326.94","44,454,884.89","50,541,293.04","59,413,257.62","39,713,313.99"
应收关联公司款,,,,,,,,,,,,
应交税费,"11,213,640.99","16,827,003.50","13,190,620.63","20,315,243.22","23,410,659.98","23,443,965.33","16,410,786.84","33,331,662.03","31,866,720.46","28,875,797.68","36,973,409.26","29,227,556.00"
应收利息,,,,,,,"1,088,876.71","3,088,438.35","4,248,328.76","2,072,328.76","54,513.85","3,341,630.13"
应付利息,,"179,484.62","185,150.15","296,397.72","225,684.79","6,876.65","187,036.97","501,943.20","774,768.02","883,703.02","1,384,642.93","842,557.74"
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,"184,500,000.00",,,,
