科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"238,040,495.67","265,596,287.45","217,792,956.78","136,464,309.65","202,616,815.69","267,460,484.54","55,903,353.30","93,430,517.36","145,779,357.99","265,686,174.41","74,613,428.68","126,979,938.15","225,168,975.46","290,270,502.11","67,257,973.94","107,222,299.03","191,881,010.07","412,921,042.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"383,569,960.93"
收到的税费返还,,,,,,,,,"972,257.16",,,,,,,,"202,164.06","5,391,129.30"
支付其他与投资活动有关的现金,"10,000,000.00",,,,,,"405,000.00","405,000.00","405,000.00","405,000.00",,,,"1,000,000.00",,,,"17,000,000.00"
收到其他与经营活动有关的现金,"5,465,671.73","5,349,656.44","17,254,190.10","8,520,584.35","11,921,931.62","13,158,662.25","3,642,256.96","9,226,016.88","13,403,370.08","13,930,467.12","1,900,239.65","4,618,308.37","7,866,325.16","13,526,674.16","4,949,967.30","7,638,853.95","11,308,726.76","22,647,465.94"
投资活动现金流出小计,"19,665,742.11","27,129,195.24","15,727,140.73","25,992,352.25","28,504,203.70","47,958,932.29","35,720,492.41","49,230,736.44","56,528,114.65","67,827,108.27","3,633,258.71","4,442,480.86","6,166,659.43","8,860,416.69","674,324.79","1,545,990.26","4,201,023.85","825,579,392.74"
经营活动现金流入小计,"243,506,167.40","270,945,943.89","235,047,146.88","144,984,894.00","214,538,747.31","280,619,146.79","59,545,610.26","102,656,534.24","160,154,985.23","279,616,641.53","76,513,668.33","131,598,246.52","233,035,300.62","303,797,176.27","72,207,941.24","114,861,152.98","203,391,900.89","440,959,638.21"
投资活动产生的现金流量净额,"-4,265,742.11","-12,520,589.53","-1,677,140.73","-25,992,352.25","-28,504,203.70","-45,958,932.29","-35,720,492.41","-49,230,736.44","-56,528,114.65","-67,669,108.27","-3,633,258.71","-4,442,480.86","-6,166,659.43","-7,847,416.69","-674,324.79","-1,455,990.26","-4,111,023.85","-807,216,037.07"
购买商品、接受劳务支付的现金,"159,326,709.25","149,917,600.38","182,605,873.09","94,409,654.29","148,615,212.52","187,951,803.89","60,714,041.45","87,467,637.55","136,759,923.66","198,797,196.73","52,148,401.85","92,227,964.48","154,464,048.31","167,716,426.20","47,043,966.69","80,500,756.11","176,566,058.39","245,348,661.65"
吸收投资收到的现金,"48,750,000.00",,,,,"231,000,000.00",,,,,,,,,,,"446,000.00","958,677,000.00"
