科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"647,339,972.27","645,856,372.16","269,789,480.17","375,065,737.11","559,659,202.31","105,999,502.34","559,104,117.11","722,711,837.12","1,019,872,270.34","294,353,390.68","1,030,600,054.58","1,318,083,982.52","1,856,493,294.69","393,294,131.89","981,482,833.54","1,455,564,734.28","2,261,547,868.83","595,394,296.08","1,692,949,027.52","2,220,636,108.09","2,926,478,920.13","569,927,739.61","1,412,820,440.38","1,897,947,520.18","2,427,285,430.40","448,732,330.86","1,213,434,287.24","1,628,420,007.96","1,836,666,739.83","432,893,027.49","1,055,806,391.80","1,499,216,369.01","2,168,949,561.02","382,702,250.27","895,968,724.70","1,240,076,062.03"
二、营业利润,"118,188,348.85","129,416,174.84","56,317,410.66","60,646,473.16","110,080,877.19","11,030,952.20","159,785,780.78","188,299,385.18","285,141,250.57","93,884,524.67","313,893,716.80","509,181,102.00","725,093,668.06","144,211,115.17","410,293,298.25","633,964,883.86","917,369,251.15","271,264,341.38","800,547,419.06","1,080,791,916.69","1,334,764,246.85","358,472,633.64","801,623,783.07","1,048,277,590.78","1,205,300,690.07","197,450,237.56","670,156,196.26","864,220,682.78","683,034,522.07","172,677,476.52","493,128,168.17","612,243,624.67","661,105,836.47","116,228,022.63","260,324,271.54","353,118,678.90"
减:营业成本,"429,833,511.24","386,010,466.61","156,525,924.32","214,742,759.15","330,436,822.31","60,411,757.20","281,566,260.94","393,034,219.32","529,098,948.12","136,446,104.90","428,875,153.35","560,989,952.40","839,051,473.65","161,100,130.17","383,058,428.58","559,224,883.87","907,140,446.94","196,326,882.96","466,148,963.14","623,284,740.52","831,396,573.25","115,544,091.85","383,741,632.36","555,147,954.47","750,004,893.59","134,870,102.64","316,596,514.33","466,896,644.91","666,087,319.65","142,717,675.26","344,468,988.59","582,854,763.00","886,327,739.78","178,078,552.15","438,076,608.03","633,217,143.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"43,701,412.67","49,154,790.78","30,191,208.20","35,345,667.23","50,148,113.82","7,601,883.13","78,728,592.77","88,212,208.43","116,244,848.16","36,259,032.64","239,392,672.49","162,911,808.35","187,262,218.39","51,242,834.66","135,512,979.44","180,390,557.51","295,750,932.07","79,252,719.97","349,268,569.46","406,999,148.08","603,579,250.36","71,891,312.58","179,066,383.86","220,348,273.32","278,299,000.36","51,125,963.65","141,067,186.38","156,010,507.00","177,532,778.87","45,447,862.40","91,233,582.29","120,678,886.89","250,998,897.16","26,438,099.97","64,928,852.85","82,296,510.16"
营业外收入,"6,933,743.31","5,888,223.27","16,060,799.53","16,182,186.15","24,165,703.61","156,257.59","864,806.99","23,776,040.19","43,009,124.94","26,546.00","6,418,167.88","13,862,196.65","42,873,018.72","12,614.50","2,618,655.88","4,565,939.88","58,818,333.61","404,796.12","758,000.01","3,835,614.81","76,583,078.19","15,160,833.57","16,664,349.10","29,634,241.24","82,856,967.30","35,427,757.76","36,858,488.70","41,189,548.17","78,557,679.91","24,564,225.51","31,677,007.78","54,340,034.03","85,666,506.09","3,537,313.80","27,076,298.79","10,872,477.47"
销售费用,"45,205,561.04","29,264,373.71","10,516,491.24","31,440,624.17","25,067,787.32","21,620,786.37","24,637,456.40","39,512,188.42","65,632,078.01","23,024,883.50","35,880,519.62","67,097,041.73","85,509,546.70","26,591,140.19","34,255,595.50","51,480,856.81","108,671,264.99","34,139,785.13","57,251,733.25","81,305,198.55","121,008,174.58","23,988,664.19","41,747,199.46","72,690,272.32","154,995,284.90","47,635,887.16","56,577,771.38","79,601,257.80","195,927,138.49","41,262,645.70","73,326,144.64","91,323,714.88","212,838,860.60","52,336,967.83","85,342,778.55","107,684,202.19"
减:营业外支出,"846,286.33","1,153,404.91","276,411.92","408,265.22","770,862.58","138,725.00","585,125.51","856,954.14","1,407,890.33","310,690.80","1,364,969.25","1,701,573.65","11,613,503.23","495,595.77","1,259,240.88","2,012,773.13","3,524,200.04","692,150.63","2,249,502.96","3,188,535.41","9,335,303.23","587,865.92","1,311,684.99","1,714,934.54","4,187,041.06","263,273.84","696,753.62","1,057,314.66","1,298,799.56","327,872.51","548,793.89","814,391.49","2,341,506.98","844,890.05","1,626,938.14","4,768,223.95"
管理费用,"20,442,015.72","30,744,608.44","12,338,875.86","28,853,394.15","36,019,862.88","8,699,586.91","19,632,373.96","31,175,715.42","44,835,995.54","10,533,735.18","22,856,582.67","40,644,941.90","61,110,776.97","15,858,409.47","31,590,303.94","52,413,280.50","73,135,429.41","18,928,868.48","35,754,141.07","57,309,742.39","84,292,545.42","15,601,389.43","32,480,049.68","55,353,313.56","83,700,320.78","24,284,605.43","49,184,983.74","74,660,629.01","113,303,082.46","28,846,994.55","48,243,777.61","77,493,049.52","110,112,330.06","28,155,422.19","51,889,331.44","80,215,324.59"
其中:非流动资产处置净损失,,"564,446.55",,,,,,,"1,479.20",,,"-24,541.68","23,657.58",,"13,828.67","13,828.67","82,537.76",,"1,923.77","8,459.88","8,586.63",,"6,289.67","6,289.67","9,838.17",,99.00,"5,554.60","34,585.44","6,041.96","10,837.31","80,141.50","80,623.25","20,517.29","21,272.29","23,163.79"
