科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"18,012,512.43","29,841,820.69","35,743,080.18","17,459,530.24","202,536,263.20","150,185,830.57","169,242,168.96","70,681,800.05","60,347,851.33","91,659,446.65","76,566,643.01","35,165,466.30","28,424,943.68","68,354,326.22","104,075,278.73","59,489,455.22"
短期借款,"20,500,000.00","22,000,000.00","39,250,000.00","41,250,000.00","45,250,000.00","9,000,000.00","7,000,000.00","5,000,000.00","14,000,000.00","38,500,000.00","46,000,000.00","66,000,000.00","74,900,000.00","90,900,000.00","111,900,000.00","110,660,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"4,348,286.16","4,995,801.00","4,611,003.75","1,539,200.00","2,272,600.00","2,064,635.00","7,422,680.00","6,793,632.04","5,392,978.00","12,326,816.80","12,158,069.31","16,879,522.60","19,348,354.55","11,939,852.05","20,927,275.54","18,574,326.58"
应付票据,,"5,234,910.00","10,260,000.00","14,577,200.00","17,727,200.00","22,577,000.00","34,377,000.00","21,800,000.00","9,500,000.00","19,220,000.00","28,354,440.00","23,336,540.00","13,288,000.00","11,360,000.00","16,660,000.00","17,982,831.00"
应收账款,"131,682,539.48","176,890,045.03","222,892,096.98","232,485,007.15","252,461,083.20","263,082,039.04","262,356,627.93","259,088,447.27","268,704,204.58","338,573,265.70","398,867,152.06","384,291,444.21","399,494,354.58","431,128,902.47","454,983,307.00","440,478,855.13"
应付账款,"51,042,481.76","69,781,837.83","83,434,596.73","74,558,138.45","84,097,504.50","82,639,425.88","87,002,565.41","78,504,751.29","84,295,726.39","86,578,533.24","96,981,541.32","93,753,651.58","113,052,929.97","118,572,926.31","117,926,301.32","114,340,629.94"
预付款项,"2,849,249.64","5,029,381.65","5,717,583.59","7,008,257.82","4,690,400.63","7,473,714.10","5,717,912.51","31,792,610.19","8,089,103.66","15,627,584.96","10,113,156.90","18,676,667.94","23,048,103.34","28,271,635.87","12,398,797.31","33,621,086.77"
预收款项,"27,926,618.00","15,835,353.99","11,285,672.79","11,300,398.58","13,167,626.88","23,066,473.29","8,686,761.92","8,597,458.92","12,745,869.97","52,511,566.66","36,917,014.06","35,422,814.93","49,633,798.36","28,834,527.00","32,264,069.35","37,194,751.41"
其他应收款,"14,272,879.82","14,189,697.35","16,001,146.28","17,015,326.11","13,482,037.83","19,451,451.08","19,349,452.10","26,475,914.13","20,963,447.87","25,646,410.96","20,891,598.48","28,619,489.59","31,140,031.54","24,425,464.98","18,833,896.10","24,877,318.35"
应付职工薪酬,"3,606,932.08","5,127,816.25","4,426,100.00","24,200.00","1,721,681.00","3,416,026.00","4,386,534.94","12,138.61","2,090,000.00","6,761,585.16","11,609,007.94","3,285,382.19","5,533,110.78","8,954,782.83","13,523,098.92","5,761,251.31"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"5,240,809.52","7,424,089.66","6,498,844.55","1,436,041.05","1,053,181.67","890,744.50","6,359,633.53","-1,283,242.04","643,374.61","5,218,141.08","10,512,496.66","9,908,734.72","6,277,976.32","13,979,184.61","22,555,931.58","14,318,911.45"
应收利息,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,"1,389.59","5,365.01","21,043.13","40,716.84","137,591.03",210.52,"44,175.48"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,
存货,"61,534,898.08","47,362,267.54","40,745,580.65","39,467,799.22","42,585,727.96","52,562,844.49","51,250,271.97","63,008,767.35","72,494,733.02","112,099,985.88","105,882,364.16","122,571,048.89","141,121,464.06","162,458,030.87","128,977,198.86","153,282,138.71"
