科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"136,594.80","456,743.80","574,610.80","868,710.03","3,838,939.61","90,899,668.51","201,174,783.20","111,592,785.73","192,483,402.24","274,746,833.75","418,751,687.32","322,360,289.32","464,123,071.33","588,965,967.71","740,096,542.63","168,944,983.09","562,839,548.19","765,132,754.84","1,778,537,977.48","427,049,732.64","712,165,266.73","1,178,398,051.98","2,026,863,133.96","626,068,320.57","1,054,632,295.51","1,766,721,019.99","2,520,912,416.78","571,420,370.47","1,330,424,900.29","2,147,157,433.28","3,606,455,808.59","974,769,221.41","1,990,971,144.05","2,833,240,412.29","4,089,105,421.11","1,110,119,580.52","2,095,185,990.84","2,950,806,166.59","4,870,378,124.24","1,441,184,022.80","2,882,505,962.91","4,448,882,519.69","5,950,171,779.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,978,956.47",,,,"41,197,900.00",,,,"176,905,949.00","311,584,847.76","323,584,847.76","323,829,358.18","346,129,683.42",,,"32,579,610.00","32,579,610.00"
收到的税费返还,,,,,,,,,,,,,,,"997,754.37",,,,"95,196.14","5,944,920.00","5,944,920.00","5,944,920.00","2,136,112.59","7,417,771.82","12,998,210.51","15,174,560.51","21,522,004.11","11,189,688.33","80,112,293.66","99,723,564.32","120,799,523.60","10,201,309.52","18,637,765.43","20,146,465.43","46,338,974.34","4,585,617.62","13,817,632.28","31,593,988.05","47,442,887.86","34,255,855.68","85,111,565.35","144,218,542.08","176,701,218.85"
支付其他与投资活动有关的现金,,,,"26,481.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,087.00","401,035,175.99","401,467,270.99",,,,,
收到其他与经营活动有关的现金,"868,286.50","1,944,649.39","2,777,335.29","1,500,350.12","4,519,880.18","1,181,800.51","1,231,469.00","123,083,167.64","50,440,106.82","100,622,220.87","67,079,359.89","176,773,625.16","264,272,188.73","460,873,461.88","312,868,484.50","812,560,084.99","1,397,676,415.54","1,412,893,035.76","827,478,048.40","125,482,303.34","236,153,914.45","333,126,690.03","325,133,595.06","125,186,058.91","241,362,863.52","325,879,132.94","254,601,289.32","85,678,257.96","93,039,189.67","128,708,061.30","523,219,183.90","180,597,638.77","247,085,305.38","458,788,102.99","956,124,926.67","45,448,390.53","190,168,660.49","275,194,410.63","241,811,489.53","61,510,225.41","199,999,211.62","299,984,451.65","273,667,537.17"
投资活动现金流出小计,,,,"26,481.26",,"10,706,019.71","83,269,014.79","51,161,208.91","70,080,684.59","169,848,416.58","325,204,052.03","748,913,815.21","1,066,450,218.53","1,578,850,186.83","2,850,962,700.90","891,541,285.86","1,939,991,419.10","2,423,255,439.68","3,715,024,188.62","301,555,702.32","613,327,817.96","811,817,343.27","1,444,824,091.61","89,989,646.59","328,198,434.32","1,191,067,586.66","1,630,355,730.53","142,591,915.43","705,610,720.48","985,005,963.03","2,088,922,478.81","1,017,694,641.62","1,876,329,542.01","2,232,239,493.59","2,981,359,485.73","563,598,664.71","1,156,535,191.22","1,411,832,524.03","2,637,886,858.34","792,269,848.82","2,329,455,874.11","3,495,049,429.36","4,125,967,502.35"
经营活动现金流入小计,"1,004,881.30","2,401,393.19","3,351,946.09","2,369,060.15","8,358,819.79","92,081,469.02","202,406,252.20","234,675,953.37","242,923,509.06","375,369,054.62","485,831,047.21","499,133,914.48","728,395,260.06","1,049,839,429.59","1,053,962,781.50","981,505,068.08","1,960,515,963.73","2,178,025,790.60","2,606,111,222.02","558,476,955.98","954,264,101.18","1,517,469,662.01","2,354,132,841.61","758,672,151.30","1,308,993,369.54","2,107,774,713.44","2,797,035,710.21","668,288,316.76","1,503,576,383.62","2,375,589,058.90","4,250,474,516.09","1,165,568,169.70","2,256,694,214.86","3,312,174,980.71","5,091,569,322.12","1,160,153,588.67","2,299,172,283.61","3,257,594,565.27","5,159,632,501.63","1,536,950,103.89","3,167,616,739.88","4,893,085,513.42","6,400,540,535.03"
投资活动产生的现金流量净额,,,"650,000.00","863,518.74",,"-10,706,019.71","-83,269,014.79","-51,161,208.91","-70,080,684.59","-169,848,416.58","-325,070,078.95","-748,903,815.21","-1,066,427,718.53","-1,578,827,686.83","-2,295,113,424.40","-889,173,518.87","-1,924,702,027.39","-2,407,551,421.62","-2,671,592,050.25","-301,555,702.32","-574,846,984.63","-697,493,691.38","-1,296,105,655.55","-89,299,646.59","-190,524,615.18","-1,015,155,323.05","-1,414,534,861.28","-114,685,225.78","-664,537,630.83","-907,399,067.00","-1,456,580,093.56","-997,377,641.62","-1,616,252,142.01","-1,967,833,533.12","-2,488,500,565.31","-321,217,296.45","-698,639,495.99","-546,052,445.24","-1,713,874,468.55","-762,903,075.82","-1,328,459,468.99","-2,323,545,914.71","-2,251,594,598.92"
购买商品、接受劳务支付的现金,"5,000.00","551,054.97","790,752.03","16,985.00",,"55,157,584.23","105,535,787.62","26,948,610.38","57,992,732.97","83,105,292.00","102,502,549.84","59,562,745.49","106,422,644.51","228,524,251.87","426,100,460.29","257,465,324.84","492,739,223.18","743,713,111.56","1,362,013,317.91","200,525,242.82","575,101,111.73","999,938,470.64","1,267,327,726.09","354,537,598.78","685,041,011.08","983,106,382.21","1,158,225,468.96","421,509,380.39","812,943,936.07","1,191,682,313.86","2,314,352,647.18","325,078,542.10","580,565,582.06","874,659,395.94","1,161,890,345.22","319,166,348.37","658,246,597.30","1,024,055,566.54","1,435,340,296.85","364,024,087.63","811,466,507.66","1,339,376,454.35","1,781,770,234.00"
吸收投资收到的现金,,,,,"9,135,703.04","9,135,703.04","9,135,703.04",,,"799,782,000.00","800,982,000.00",,"39,200,000.00","3,018,800,000.00","3,018,800,000.00","26,320,000.00","78,233,600.00","78,233,600.00","78,226,000.00",,,,,,,,,"3,239,599,983.11","3,327,099,983.11","3,327,099,983.11","3,324,498,606.96","37,500,000.00","87,500,000.00","87,500,000.00","3,591,066,411.63",,,,,,"3,342,643.56","3,342,643.56","3,342,643.56"
