科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"914,282,602.65","1,102,931,430.11","892,233,329.23","137,289,993.93","270,787,499.39","420,366,939.77","780,025,952.49","92,402,361.74","240,429,297.71","404,575,460.07","755,631,932.90","248,386,431.54","398,679,408.90","623,444,701.22","914,279,200.14","102,925,981.38"
取得子公司及其他营业单位支付的现金净额,,,"10,799,042.24",,,,"15,599,124.61","20,618,531.89","20,573,714.25","20,573,714.25","36,002,947.11","7,939,800.00","7,939,800.00","7,939,800.00",,
收到的税费返还,"11,383,635.46","7,841,771.49","20,937,356.95",,,"5,559,451.57","12,960,938.01","43,881.00","8,568,746.19","14,973,598.16","24,852,651.31",,,"4,856,335.98","8,966,746.66",
支付其他与投资活动有关的现金,,,,,,,"2,000,000.00",,,,,"5,000.00",,,,
收到其他与经营活动有关的现金,"31,523,777.00","16,294,906.65","49,519,364.42","7,904,367.49","8,598,501.50","16,035,676.50","22,642,142.30","15,769,947.64","18,947,053.08","22,728,343.79","33,055,695.18","409,357.01","26,846,624.60","35,367,344.56","24,643,728.95","2,508,798.88"
投资活动现金流出小计,"75,101,095.39","105,648,174.27","76,967,651.33","53,605,546.95","84,464,165.81","123,254,668.39","184,451,762.27","50,182,795.33","109,603,378.72","302,113,240.58","419,187,705.76","146,421,337.78","179,643,184.29","264,812,735.18","281,781,574.00","31,095,534.99"
经营活动现金流入小计,"957,190,015.11","1,127,068,108.25","962,690,050.60","145,194,361.42","279,386,000.89","441,962,067.84","815,629,032.80","108,216,190.38","267,945,096.98","442,277,402.02","813,540,279.39","248,795,788.55","425,526,033.50","663,668,381.76","947,889,675.75","105,434,780.26"
投资活动产生的现金流量净额,"-74,775,477.19","-105,639,180.57","-76,749,482.60","-53,605,076.95","-84,368,358.62","-123,157,676.89","-184,373,440.35","-50,066,395.33","-109,392,205.91","-301,873,336.77","-275,472,627.34","-64,284,532.89","-97,443,179.40","-182,586,550.29","-185,186,175.34","-31,095,414.99"
购买商品、接受劳务支付的现金,"532,484,945.95","679,405,090.84","520,394,405.87","142,212,566.32","242,652,328.28","295,516,622.35","373,307,149.22","117,520,634.72","191,145,429.06","290,848,111.32","469,591,729.74","215,439,617.04","333,885,847.78","489,443,085.77","680,810,484.69","224,991,221.44"
吸收投资收到的现金,"3,920,000.00",,,,"732,154,741.57","900,224,821.57","900,224,821.57",,,"17,042,800.00","27,042,800.00","2,500,000.00","8,950,000.00","10,450,000.00","10,900,000.00",
