科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"116,098,136.16","136,205,958.24","190,235,178.77","179,652,749.74",,"452,362,867.42","150,446,459.89","346,591,103.22","142,242,618.32","244,153,127.33","128,815,494.98"
短期借款,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"100,000.00",,,,,"390,000.00","1,500,000.00","700,000.00","1,026,030.00",,
应付票据,"85,858.50",,,,,,,,,,
应收账款,"27,258,830.50","32,634,109.25","51,947,475.58","57,659,860.94",,"80,241,199.09","62,456,504.88","79,075,863.40","89,544,302.63","92,998,944.34","78,173,769.73"
应付账款,"53,144,927.15","58,386,989.70","47,012,811.10","60,775,866.80",,"75,286,762.19","61,369,536.11","62,536,719.17","85,132,857.60","86,483,560.66","57,320,717.95"
预付款项,"1,563,972.50","4,783,207.47","7,335,649.80","3,702,853.31",,"1,907,966.16","9,207,417.62","2,749,218.37","6,790,118.26","11,599,634.90","4,868,871.60"
预收款项,"8,973,254.97","10,527,992.65","15,824,893.71","15,978,709.38",,"8,691,874.08","10,303,059.84","7,896,681.42","8,926,708.09","7,374,968.09","7,084,118.61"
其他应收款,"2,119,066.08","3,491,993.17","4,582,211.27","3,425,580.35",,"2,578,108.81","4,284,723.94","3,398,570.79","5,636,766.30","3,882,163.48","5,054,891.35"
应付职工薪酬,"13,598,194.25","12,908,066.89","19,129,815.53","13,266,011.77",,"28,870,067.40","8,622,963.33","13,491,018.93","14,405,843.82","31,457,995.81","9,243,145.73"
应收关联公司款,,,,,,,,,,,
应交税费,"3,532,019.06","1,630,175.81","2,771,763.13","2,949,728.46",,"678,213.21","1,238,911.96","1,184,223.00","1,357,697.21","5,031,545.94","5,613,152.58"
应收利息,,,,,,,,,,,
应付利息,,,"50,338.83","60,599.02",,"183,622.75","122,433.85","51,414.61","51,414.61",,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
