科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"624,942,676.58","586,256,403.28","506,412,992.61","267,987,007.47","560,718,966.02","158,591,364.28","336,357,351.39","531,757,365.13","717,769,678.20","156,704,542.99","319,591,535.16","466,722,627.82","586,664,509.88","150,330,970.93","435,089,391.06","595,898,003.05","513,198,209.11","240,494,667.16","452,415,944.86","563,575,950.07"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"123,805.54","277,299.21","969,808.04","99,737.82","99,737.82","1,130,655.54","1,130,655.54","1,130,655.54","1,130,655.54","37,107.16","1,504,055.09","1,670,998.02","1,670,998.02","78,374.32",,"110,513.16","764,421.01","11,671.48","693,179.18","693,179.18"
支付其他与投资活动有关的现金,,,,,,,"80,000,000.00","100,000,000.00","380,000,000.00","70,000,000.00","140,000,000.00","210,000,000.00","260,000,000.00","70,000,000.00","120,831,013.70","190,000,000.00","210,537,808.22","30,000,000.00","30,000,000.00","30,000,000.00"
收到其他与经营活动有关的现金,"8,625,226.44","5,803,302.86","20,998,319.29","584,602.25","2,081,694.04","5,835,870.38","7,168,415.90","8,667,915.34","7,768,685.71","4,661,084.40","3,814,223.11","11,375,668.88","9,442,259.61","3,389,026.46","16,183,616.24","79,723,591.80","76,630,840.44","8,922,907.17","6,276,423.22","4,908,517.01"
投资活动现金流出小计,"49,253,161.06","86,053,662.87","29,548,271.35","5,631,256.06","14,203,683.29","13,596,266.12","114,306,471.86","157,306,889.28","471,118,012.86","87,652,497.03","219,709,990.01","321,244,556.35","384,125,890.63","78,202,410.59","148,324,277.92","262,011,419.13","344,233,982.78","70,649,106.13","113,153,902.11","126,593,237.48"
经营活动现金流入小计,"633,691,708.56","592,337,005.35","528,381,119.94","268,671,347.54","562,900,397.88","165,557,890.20","344,656,422.83","541,555,936.01","726,669,019.45","161,402,734.55","324,909,813.36","479,769,294.72","597,777,767.51","153,798,371.71","451,273,007.30","675,732,108.01","590,593,470.56","249,429,245.81","459,385,547.26","569,177,646.26"
投资活动产生的现金流量净额,"-49,011,738.48","-86,053,662.87","-29,524,071.35","-5,543,056.06","-14,115,483.29","-13,596,266.12","-114,306,471.86","-157,306,889.28","-188,107,376.90","12,500,502.97","-47,422,414.66","-60,941,256.35","-90,523,344.05","70,977,133.85","11,261,655.97","-70,468,376.53","-73,721,671.47","-40,649,106.13","-73,043,619.99","-46,497,632.28"
购买商品、接受劳务支付的现金,"446,150,753.44","362,599,067.98","304,285,113.21","169,511,354.49","336,952,842.98","104,153,174.83","203,197,890.41","319,250,397.72","428,949,399.99","87,390,357.73","169,429,867.80","255,400,891.14","280,735,805.21","80,177,588.56","286,898,774.84","348,031,836.00","197,400,395.09","132,151,329.17","139,246,745.05","177,819,678.53"
吸收投资收到的现金,"94,256,857.00",,,,,"362,853,030.12","362,853,030.12","362,853,030.12","362,853,030.12",,,,,,,,,,,
