科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"151,608,976.24","310,227,057.34","376,304,847.51","78,079,586.34","187,476,281.80","302,876,839.97","418,213,522.73","109,638,849.75","207,383,581.51","294,768,636.10","424,544,740.62","102,684,033.56","216,902,483.83","350,543,817.41","466,992,064.48","108,758,334.62","241,335,731.84","358,618,685.32","440,313,804.24","97,332,327.68","241,089,146.29","373,040,374.75","516,916,654.65","154,216,701.32","295,325,636.58","434,401,816.77","642,661,703.56","142,134,738.93","331,219,669.52"
取得子公司及其他营业单位支付的现金净额,,"550,000.00",,,,,,,,,,,,,,,,,,,,,"19,210,629.44",,,,,,
收到的税费返还,,"2,057,972.46","5,324,447.96","730,264.73","1,314,990.70","2,108,942.06","3,469,450.34","2,509,594.44","2,509,594.44","3,735,277.28","4,171,729.56","500,285.73","1,133,857.19","1,140,877.00","1,621,577.32",,,"91,938.83","2,482,841.15",,,"860,919.73","908,913.19","505,946.21","2,885,047.54","3,348,285.04","3,485,422.05","118,097.23","2,589,024.12"
支付其他与投资活动有关的现金,,,,,,,,,,"15,000,000.00","190,031,000.00","185,260,000.00","286,000,000.00","456,000,000.00","714,026,260.00","250,000.00","3,004,000.00","3,701,000.00","800,000.00","3,841,000.00","213,841,000.00","310,000,000.00","415,453,257.11","253,190,000.00","1,009,390,000.00","1,203,690,000.00","1,669,420,000.00","240,400,000.00","1,130,600,000.00"
收到其他与经营活动有关的现金,"1,327,168.33","11,741,476.60","12,150,235.56","8,310,119.01","21,613,606.22","23,964,334.89","28,494,173.23","4,657,586.30","20,083,887.63","21,139,068.91","29,344,692.62","43,102,450.86","47,573,427.60","51,116,916.29","77,519,816.47","24,708,710.93","24,945,757.85","25,004,269.56","33,867,382.58","6,365,310.35","23,472,356.64","26,184,284.55","27,100,021.52","5,948,726.99","40,800,763.36","41,019,273.05","15,006,783.06","675,694.05","1,857,550.72"
投资活动现金流出小计,"19,424,861.76","31,350,697.57","65,025,657.28","9,292,512.39","20,390,210.93","37,155,529.13","52,960,460.48","21,683,458.90","39,582,557.37","93,657,995.11","301,979,841.77","227,307,552.20","355,473,479.44","545,796,709.80","814,309,892.21","14,836,808.39","33,286,151.13","82,825,784.58","98,771,259.27","13,717,072.65","272,564,309.81","437,328,300.30","580,281,489.75","352,107,758.43","1,149,641,568.64","1,369,050,577.78","1,870,783,913.86","253,680,782.15","1,151,641,914.76"
经营活动现金流入小计,"152,936,144.57","324,026,506.40","393,779,531.03","87,119,970.08","210,404,878.72","328,950,116.92","450,177,146.30","116,806,030.49","229,977,063.58","319,642,982.29","458,061,162.80","146,286,770.15","265,609,768.62","402,801,610.70","546,133,458.27","133,467,045.55","266,281,489.69","383,714,893.71","476,664,027.97","103,697,638.03","264,561,502.93","400,085,579.03","544,925,589.36","160,671,374.52","339,011,447.48","478,769,374.86","661,153,908.67","142,928,530.21","335,666,244.36"
投资活动产生的现金流量净额,"-19,141,981.01","-31,192,503.60","-64,686,180.00","-9,022,617.40","-16,604,902.45","-32,298,713.64","-41,356,702.78","-21,683,458.90","-39,582,557.37","-86,657,995.11","-218,672,252.74","-104,744,209.71","-103,357,768.23","-177,872,094.49","-217,682,223.50","-14,836,808.39","133,305,027.20","89,617,393.75","169,251,045.27","-13,652,072.65","-264,931,309.81","-413,379,375.00","-380,177,764.64","-140,392,526.02","-603,446,532.65","-664,187,492.05","-467,752,971.65","79,838,255.69","-331,113,521.73"
购买商品、接受劳务支付的现金,"121,051,960.90","235,231,665.03","250,559,354.29","63,689,461.40","128,059,532.98","193,064,451.60","264,989,671.05","87,969,075.56","158,956,884.60","216,231,832.02","288,163,621.94","88,998,765.16","181,097,829.11","261,645,438.00","344,654,793.83","79,865,335.86","145,639,780.42","207,136,709.03","255,186,308.37","61,504,657.04","149,093,120.17","217,504,172.34","324,684,352.23","83,174,105.33","189,531,294.78","281,059,345.90","374,386,447.23","90,209,263.65","176,546,612.98"
吸收投资收到的现金,,"64,800,000.00","2,025,000.00","506,040,000.00","526,612,000.00","526,612,000.00","525,612,000.00","14,250,000.00","42,750,000.00","42,750,000.00","42,750,000.00","28,500,000.00","28,500,000.00","28,500,000.00","28,500,000.00",,,,,,"536,999,994.00","536,999,994.00","540,599,994.00",,,"44,772,200.00","44,772,200.00",,
